sha,html_url,repo,committer_login
890f1bd3b5c1e207e7274879e2dbfd23d7770524,https://github.com/iProgrammerDmytro/health-coaching-agentic/commit/890f1bd3b5c1e207e7274879e2dbfd23d7770524,iProgrammerDmytro/health-coaching-agentic,iProgrammerDmytro
5f28f032f97b0640fe4c2f29fc480e9d90fcf207,https://github.com/pupiltree/workflow-automation/commit/5f28f032f97b0640fe4c2f29fc480e9d90fcf207,pupiltree/workflow-automation,
5f96b3c650aab2964b6bfca01c22330183aef9a6,https://github.com/cds-9-group-6/sasya-arogya-engine/commit/5f96b3c650aab2964b6bfca01c22330183aef9a6,cds-9-group-6/sasya-arogya-engine,techmoksha
f721f354ee6012edc6b8153994c4de6fedda5a8d,https://github.com/jeongsk/langchain-academy/commit/f721f354ee6012edc6b8153994c4de6fedda5a8d,jeongsk/langchain-academy,jeongsk
f122e9be8eba4f67d95e1d41ea96369e6f3d513b,https://github.com/jeongsk/langchain-academy/commit/f122e9be8eba4f67d95e1d41ea96369e6f3d513b,jeongsk/langchain-academy,jeongsk
4dc206e92ddbc060ad08ad42ffe2d8f2e5f59589,https://github.com/jooola/earhorn/commit/4dc206e92ddbc060ad08ad42ffe2d8f2e5f59589,jooola/earhorn,web-flow
c651eb3e0018dcb44317dd1f5bd995f649586985,https://github.com/hassan-2079/OmniForge-AI/commit/c651eb3e0018dcb44317dd1f5bd995f649586985,hassan-2079/OmniForge-AI,web-flow
9c8b72ee4b872228e9eb4c3cb489cf9da5b02163,https://github.com/alexhouse-ua/ShelfHelp/commit/9c8b72ee4b872228e9eb4c3cb489cf9da5b02163,alexhouse-ua/ShelfHelp,alexhouse-ua
1fe3efdef08f602890c311a9014e0ac83fc611bb,https://github.com/bilalmalikx/langGraph-completebasics-to-advance/commit/1fe3efdef08f602890c311a9014e0ac83fc611bb,bilalmalikx/langGraph-completebasics-to-advance,bilalmalikx
fd6dffa35aa62265b2505e3a4e4b4f130f87ed4b,https://github.com/BomfimThiago/ZendeskiAgentAutomation/commit/fd6dffa35aa62265b2505e3a4e4b4f130f87ed4b,BomfimThiago/ZendeskiAgentAutomation,web-flow
7743f0c41f18199a091625ec45905fed714d1e42,https://github.com/codemonkey800/lilnas/commit/7743f0c41f18199a091625ec45905fed714d1e42,codemonkey800/lilnas,codemonkey800
7b6ac2a7117fba532397692f80f7ee6b10f9a45b,https://github.com/Dtano17/pathwise_app/commit/7b6ac2a7117fba532397692f80f7ee6b10f9a45b,Dtano17/pathwise_app,Dtano17
7e4670094d0cd943e5eac928352881126862a350,https://github.com/Dtano17/pathwise_app/commit/7e4670094d0cd943e5eac928352881126862a350,Dtano17/pathwise_app,Dtano17
6022e9d41bd5fefe70ada92af0696de8f13d509e,https://github.com/evekeen/evals-for-ai-assisted-engineering/commit/6022e9d41bd5fefe70ada92af0696de8f13d509e,evekeen/evals-for-ai-assisted-engineering,evekeen
ba12613265b7a9918d34fb92ddb9ac731a66a433,https://github.com/guinacio/langchain-mcp-client/commit/ba12613265b7a9918d34fb92ddb9ac731a66a433,guinacio/langchain-mcp-client,guinacio
138ed76df1d7945b533512481b8e3e3cb1118604,https://github.com/H0rizon-AI/dynoGraph/commit/138ed76df1d7945b533512481b8e3e3cb1118604,H0rizon-AI/dynoGraph,web-flow
dbb3944f97610a31ecd9743b39b8c79a19b8f5db,https://github.com/H0rizon-AI/dynoGraph/commit/dbb3944f97610a31ecd9743b39b8c79a19b8f5db,H0rizon-AI/dynoGraph,web-flow
48bba1aa1d2c3771832b396d1945c99cc941c097,https://github.com/henryhobes/TheFranchise/commit/48bba1aa1d2c3771832b396d1945c99cc941c097,henryhobes/TheFranchise,henryhobes
e43bc2dee110749a88a3155f19c8eec070471b19,https://github.com/Jem-HR/jem-it-indaba-chatbot/commit/e43bc2dee110749a88a3155f19c8eec070471b19,Jem-HR/jem-it-indaba-chatbot,Jem-HR
17183e992f6dab9f9f523143dc6403230e5f6a5f,https://github.com/JochenWeerda/VALEO-NeuroERP-3.0/commit/17183e992f6dab9f9f523143dc6403230e5f6a5f,JochenWeerda/VALEO-NeuroERP-3.0,JochenWeerda
9de63038d6981c6aca3c7953bedaee3a706a33bc,https://github.com/jscraik/Cortex-OS/commit/9de63038d6981c6aca3c7953bedaee3a706a33bc,jscraik/Cortex-OS,jscraik
48ef63c0aadcac43da5ab40726ae8f9f9c4a6b5e,https://github.com/jscraik/Cortex-OS/commit/48ef63c0aadcac43da5ab40726ae8f9f9c4a6b5e,jscraik/Cortex-OS,jscraik
68f6f0cf44661c46be4deadf80f10c3c56c88d6d,https://github.com/Kewton/MySwiftAgent/commit/68f6f0cf44661c46be4deadf80f10c3c56c88d6d,Kewton/MySwiftAgent,Kewton
29df8713fe9bd48c82168ead2ddc02142cdc4426,https://github.com/kisinad/langgraph-mem0-ai-social-media-manager/commit/29df8713fe9bd48c82168ead2ddc02142cdc4426,kisinad/langgraph-mem0-ai-social-media-manager,kisinad
cf94df222df1fb712bede286a7f37f83e77cf0be,https://github.com/kostchei/belisarius/commit/cf94df222df1fb712bede286a7f37f83e77cf0be,kostchei/belisarius,kostchei
cf13775204511b3ff19ad81aa1a500c8deb23f55,https://github.com/launchdarkly-labs/devrel-agents-tutorial/commit/cf13775204511b3ff19ad81aa1a500c8deb23f55,launchdarkly-labs/devrel-agents-tutorial,web-flow
695e79f3eb8f74c8082cfd7c5710802733cdb251,https://github.com/liam-hq/liam/commit/695e79f3eb8f74c8082cfd7c5710802733cdb251,liam-hq/liam,liam-hq
7c38fdd159b1600511ea90891b1b10a3dda0a724,https://github.com/mirjebreili/Agentic-Router/commit/7c38fdd159b1600511ea90891b1b10a3dda0a724,mirjebreili/Agentic-Router,mirjebreili
