BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
"0   ",0,2010,6,23,Apple,ANANTNAG,0,JAYAD,HORTICULTURE,"JAMMU AND KASHMIR","CONTROL OF ALTERNARIA LEAF BLOTCH IN APPLE TREE","KEEP 60 CM SOIL AROUND TREES TRUNKS UNDISTURDED ON-SEASON",33.7461,75.1854
"0   ",0,2010,6,18,Apple,BARAMULLA,0,JAYAD,HORTICULTURE,"JAMMU AND KASHMIR","FARMER WANTS INFORMATION ABOUT THE CONTROL OF ALTERNARIA LEAF BLOTCH IN APPLE TREES","THE CONTROL OF ALTERNARIA LEAF BLOTCH IN APPLE TREES IS TO SPRAY WITH BITERTANOL 25 EC  50G100LTRS OF WATER",34.2087,74.3435
QAZIGUND,Fruits,2019,7,31,Apple,ANANTNAG,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","REGARDING ALTERNARIA LEAF BLOTCH  IN APPLE",nan,33.7461,75.1854
DACHNIPORA,Fruits,2019,8,2,Apple,ANANTNAG,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","REGARDING  ALTERNARIA LEAF BLOTCH IN APPLE",nan,33.7461,75.1854
ACHABAL,Fruits,2019,8,2,Apple,ANANTNAG,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","REGARDING ALTERNARIA LEAF BLOTCH IN APPLE",nan,33.7461,75.1854
ACHABAL,Fruits,2019,8,3,Apple,ANANTNAG,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","REGARDING ALTERNARIA LEAF BLOTCH IN APPLE",nan,33.7461,75.1854
TRAL,Fruits,2019,6,28,Apple,PULWAMA,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","ALTERNARIA LEAF BLOTCH IN APPLE",nan,33.949,75.0418
PULWAMA,Fruits,2019,8,2,Apple,PULWAMA,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","REGARDING ALTERNARIA LEAF BLOTCH IN APPLE",nan,33.949,75.0418
CHADOORA,Fruits,2019,7,31,Apple,BADGAM,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","REGARDING  ALTERNARIA LEAF BLOTCH IN APPLE",nan,34.0385,74.736
BKPORA,Fruits,2019,8,2,Apple,BADGAM,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","REGARDING ALTERNARIA LEAF BLOTCH IN APPLE",nan,34.0385,74.736
SOPORE,Fruits,2019,7,30,Apple,BARAMULLA,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","ALTERNARIA LEAF BLOTCH",nan,34.2087,74.3435
PATTAN,Fruits,2019,7,31,Apple,BARAMULLA,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","REGARDING ALTERNARIA LEAF BLOTCH IN APPLE",nan,34.2087,74.3435
SUMBAL,Fruits,2019,7,31,Apple,BANDIPORE,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","REGARDING ALTERNARIA LEAF BLOTCH IN APPLE",nan,34.4563,74.6825
KULGAM,Fruits,2019,6,1,Apple,KULGAM,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","Regarding alternaria leaf blotch in apple",nan,33.6447,75.0188
KULGAM,Fruits,2019,7,30,Apple,KULGAM,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","ALTERNARIA LEAF BLOTCH",nan,33.6447,75.0188
QUIMOH,Fruits,2019,8,3,Apple,KULGAM,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","REGARDING ALTERNARIA LEAF BLOTCH IN APPLE",nan,33.6447,75.0188
KULGAM,Fruits,2019,8,3,Apple,KULGAM,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","REGARDING ALTERNARIA LEAF BLOTCH IN APPLE",nan,33.6447,75.0188
SHOPIAN,Fruits,2019,7,30,Apple,SHUPIYAN,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","REGARDING ALTERNARIA LEAF BLOTCH",nan,33.6649,75.163
SHOPIAN,Fruits,2019,7,30,Apple,SHUPIYAN,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","REGARDING ALTERNARIA LEAF BLOTCH",nan,33.6649,75.163
SHOPIAN,Fruits,2019,8,2,Apple,SHUPIYAN,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","REGARDING ALTERNARIA LEAF BLOTCH IN APPLE",nan,33.6649,75.163
SHOPIAN,Fruits,2019,8,2,Apple,SHUPIYAN,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","REGARDING ALTERNARIA LEAF BLOTCH IN APPLE",nan,33.6649,75.163
SHOPIAN,Fruits,2019,8,3,Apple,SHUPIYAN,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","REGARDING ALTERNARIA LEAF BLOTCH IN APPLE",nan,33.6649,75.163
SHOPIAN,Fruits,2019,8,3,Apple,SHUPIYAN,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","REGARDING ALTERNARIA LEAF BLOTCH IN APPLE",nan,33.6649,75.163
