BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
"0   ",0,2009,4,21,Apple,CHAMBA,29,RABI,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL BLOSSOM THRIPS IN APPLE ORCHARD","SPRAY CHLORPYRIPHOS400ML  200LITRES OF WATER",32.6923,76.1632
"0   ",0,2009,4,7,Apple,KINNAUR,29,RABI,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL BLOSSOM THRIPS IN APPLE ORCHARD ","SPRAY CHLORPYRIPHOS400ML200LITRES OF WATER",31.593,78.3281
"0   ",0,2009,4,7,Apple,KINNAUR,29,RABI,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL BLOSSOM THRIPS IN APPLE ORCHARD ","SPRAY CHLORPYRIPHOS400ML200LITRES OF WATER",31.593,78.3281
"0   ",0,2009,3,14,Apple,KULLU,29,KHARIF,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL BLOSSOM THRIPS IN APPLE ORCHARD ","SPRAY CHLORPYRIPHOS400ML200LITRES OF WATER",31.9579,77.1089
"0   ",0,2009,3,15,Apple,KULLU,29,KHARIF,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL BLOSSOM THRIPS IN APPLE ORCHARD ","SPRAY CHLROPYRIPHOS 400ML  200LITRES OF WATER",31.9579,77.1089
"0   ",0,2009,3,16,Apple,KULLU,29,RABI,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL BLOSSOM THRIPS IN APPLE ORCHARD ","SPRAY CHLORPYRIPHOS400ML  200LITRES OF WATER",31.9579,77.1089
"0   ",0,2009,3,24,Apple,KULLU,29,RABI,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTORL BLOSSOM THRIPS IN APPLE ORCHARD ","SPRAY CHLORPYRIPHOS400ML  200LITRES OF WATER",31.9579,77.1089
"0   ",0,2009,4,15,Apple,KULLU,29,JAYAD,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL BLOSSOM THRIPS IN APPLE ","SPRAY CHLORPYRIPHOS400ML200LITRES OF WATER",31.9579,77.1089
"0   ",0,2009,4,15,Apple,KULLU,29,JAYAD,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL BLOSSOM THRIPS IN APPLE ","SPRAY CHLORPYRIPHOS400ML200LITRES OF WATER",31.9579,77.1089
"0   ",0,2009,4,16,Apple,KULLU,29,RABI,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL BLOSSOM THRIPS IN APPLE ORCHARD ","SPRAY CHLORPYRIPHOS400ML  200LITRES OF WATER",31.9579,77.1089
"0   ",0,2009,4,18,Apple,KULLU,29,RABI,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL BLOSSOM THRIPS IN APPLE ","SPRAY CHLORPYRIPHOS400ML  200LITRES OF WATER",31.9579,77.1089
