BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
"0   ",0,2009,4,25,Apple,CHAMBA,2,JAYAD,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL SCAB POWDERY MILDEW PETAL FALL STAGE IN APPLE ORCHARD ","SPRAY HEXACONAZOLE100ML  200LITRES OF WATER",32.6923,76.1632
"0   ",0,2009,5,7,Apple,CHAMBA,2,JAYAD,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL POWDERY MILDEW IN APPLE","SPRAY CARBENDAZIM  100 GM IN 200 LITERS OF WATER",32.6923,76.1632
"0   ",0,2009,5,7,Apple,KINNAUR,2,JAYAD,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL POWDERY MILDEW IN APPLE","SPRAY CARBENDAZIM  100GM 200 LITERS OF WATER",31.593,78.3281
"0   ",0,2009,5,21,Apple,KINNAUR,2,JAYAD,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL POWDERY MILDEW IN APPLE","SPRAY CARBENDAIZEM  100GM IN 200 LITERS OF WATER",31.593,78.3281
"0   ",0,2009,4,18,Apple,KULLU,2,RABI,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL SCAB AND POWDERY MILDEW PINK BUD STAGE IN APPLE ","SPRAY COMBI-PRODUCT 500G 200LITRES OF WATER",31.9579,77.1089
"0   ",0,2009,5,3,Apple,KULLU,2,JAYAD,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL SCAB AND POWDERY MILDEW IN APPLE ","SPRAY CARBENDAZIM100G200LITRES OF WATERN",31.9579,77.1089
"0   ",0,2009,5,8,Apple,KULLU,2,JAYAD,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL POWDERY MILDEW IN APPLE ","SPRAY CARBENDAZIM100G200LITRES OF WATER",31.9579,77.1089
"0   ",0,2009,5,13,Apple,KULLU,2,JAYAD,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL POWDERY MILDEW IN APPLE ","SPRAY CARBENDAZIM100G200LITRES OF WATER",31.9579,77.1089
"0   ",0,2009,5,20,Apple,KULLU,2,JAYAD,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL POWDERY MILDEW IN APPLE","SPRAY CARBENDAIZEM  100GM IN 200 LITERS OF WATER",31.9579,77.1089
"0   ",0,2009,5,20,Apple,KULLU,2,JAYAD,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL POWDERY MILDEW IN APPLE","SPRAY CARBENDAIZEM  100GM IN 200 LITERS OF WATER",31.9579,77.1089
"0   ",0,2009,5,25,Apple,KULLU,2,JAYAD,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL POWDERY MILDEW DISEASE IN APPLE ","SPRAY CARBENDAZIM  100 GM IN 200 LITRES OF WATER ",31.9579,77.1089
"0   ",0,2009,5,29,Apple,KULLU,2,JAYAD,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL POWDERY MILDEW IN APPLE ","SPRAY CARBENDZIM100G200LITRES OF WATER",31.9579,77.1089
"0   ",0,2009,5,8,Apple,MANDI,2,JAYAD,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL POWDERY MILDEW IN APPLE ","ESCALATION TO LEVEL-2",31.6517,77.0093
"0   ",0,2009,5,13,Apple,MANDI,2,JAYAD,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL POWDERY MILDEW IN APPLE ","SPRAY CARBENDAZIM100G200LITRES OF WATER",31.6517,77.0093
"0   ",0,2009,5,23,Apple,MANDI,29,JAYAD,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL POWDERY MILDEW IN APPLE","SPRAY CARBENDAIZEM  100 GM IN 200 LITERS OF WATER",31.6517,77.0093
"0   ",0,2009,5,28,Apple,MANDI,2,JAYAD,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL POWDERY MILDEW IN APPLE ","SPRAY CARBENDAZIM100G200LITRE OF WATER",31.6517,77.0093
"0   ",0,2009,6,19,Apple,MANDI,2,JAYAD,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL POWDERY MILDEW DISEASE IN APPLE ","SPRAY CARBENDAZIM  100 GM OR HAXACONAZOLE  100 GM IN 200 LITRES OF WATER ",31.6517,77.0093
"0   ",0,2009,4,18,Apple,SHIMLA,2,RABI,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL SCAB AND POWDERY MILDEW IN PINK BUD STAGE IN APPLE ORCHARD ","SPRAY COMBI-PRODUCT500G 200LITRES OF WATER",31.1042,77.171
"0   ",0,2009,4,19,Apple,SHIMLA,2,RABI,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL POWDERY MILDEW AND SCAB PINK BUD STAGE IN APPLE ","SPRAY COMBI PRODUCT500G 200LITRES WATER ",31.1042,77.171
"0   ",0,2009,4,19,Apple,SHIMLA,2,RABI,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL SCAB AND POWDERY MILDEW IN APPLE ","SPRAY COMBI-PRODUCT500G 200LITRES OF WATER",31.1042,77.171
"0   ",0,2009,4,21,Apple,SHIMLA,2,RABI,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL POWDERY MILDEW AND SCAB PINK BUD STAGE IN APPLE ORCHARD ","SPRAY COMBI-PRODUCT 500G 200LITRES OF WATER",31.1042,77.171
"0   ",0,2009,4,24,Apple,SHIMLA,2,JAYAD,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL POWDERY MILDEW AND SCAB PETAL FALL STAGE IN APPLE ORCHARD ","SPRAY PENCONAZOLE100ML  200LITRES OF WATER",31.1042,77.171
"0   ",0,2009,4,25,Apple,SHIMLA,2,JAYAD,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL POWDERY MILDEW PINK BUD STAGE IN APPLE ORCHARD ","SPRAY COMBI -PRODUCT 500G 200LITRES OF WATER",31.1042,77.171
"0   ",0,2009,4,29,Apple,SHIMLA,2,JAYAD,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL SCAB AND POWDERY MILDEW PETAL FALL STAGE IN APPLE ORCHARD ","SPRAY CARBENDAZIM100G 200LITRES OF WATER",31.1042,77.171
"0   ",0,2009,5,8,Apple,SHIMLA,2,JAYAD,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL POWDERY MILDEW IN APPLE","SPRAY CARBENDAZIM  100GM 200 LITERS OF WATER",31.1042,77.171
