BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
"0   ",0,2009,2,13,Apple,KINNAUR,29,KHARIF,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL SAN JOSE SCALE AND EGGS OF MITE IN APPLE ORCHARD ","SPRAY DORMANT OIL4LITRES 200LITRES OF WATER",31.593,78.3281
"0   ",0,2009,2,15,Apple,KULLU,29,KHARIF,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL SAN JOSE SCALE AND AGGS OF MITE IN APPLE PLANTS","SPRAY DORMANT OIL4LITRES 200LITRES OF WATER",31.9579,77.1089
"0   ",0,2009,3,10,Apple,KULLU,29,KHARIF,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONNTROL SAN JOSE SCALE AND EGGS OF MITE IN APPLE ORCHARD ","SPRAY DORMANT OIL4LITRES IN 200LITRES OF WATER",31.9579,77.1089
"0   ",0,2009,3,19,Apple,KULLU,29,RABI,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL SAN JOSE SCALE AND EGGS OF MITE IN APPLE ORCHARD ","SPRAY TIGHT CLUSTER STAGE DORMANT OIL4LITRES  200LITRES OF WATER",31.9579,77.1089
"0   ",0,2009,3,24,Apple,KULLU,29,KHARIF,HORTICULTURE,"HIMACHAL PRADESH","INFORMATION REGARDING SAN JOSE SCALE AND MITE IN APPLE PLANT","I TOLD THE KISAN SPRAY DURMET OIL 4 LITER OR HORTICULTURE MINURAL OIL 3 LITER200 LITER OF WATER AT THE TIME OF TITE CLUSTER STAGE",31.9579,77.1089
"0   ",0,2009,2,2,Apple,MANDI,29,KHARIF,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL SAN JOSE SCALE IN APPLE ","SPRAY BETEEN HALF INCH GREEN STAGE OF BUD DEVELOPMENT AND TIGHT CLUSTER STAGE WITH HNDUSTAN PETROLEUM SPRAY OIL E  4 LITRES OR BAL SPRAY  3 LITRES IN 200 LITRES OF WATER ",31.6517,77.0093
"0   ",0,2009,3,14,Apple,SHIMLA,29,KHARIF,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL SAN JOSE SCALE AND EGGS OF MITE IN APPLE ORCHARD ","SPRAY DORMANT OIL4LITRE 200LITRES OF WATER",31.1042,77.171
"0   ",0,2009,1,14,Apple,BAGESHWAR,29,KHARIF,HORTICULTURE,UTTARAKHAND,"apple in san jose scale","apple malathian 50ec2000mlhac with 1000lit of water",30.0088,79.928
"0   ",0,2009,1,30,Apple,UTTARKASHI,2,JAYAD,HORTICULTURE,UTTARAKHAND,"APPLE ME SAN JOSE SCALE","APPLY MALATHIAN 50EC 2000MLHAC WITH 1000LIT OF WATER",30.9636,78.6363
"0   ",0,2010,2,16,Apple,MANDI,76,KHARIF,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL SAN JOSE SCALE AND EGGS OF MITE IN APPLE ","SPRAY DORMANT OIL  4 LITER  200 LITERS OF WATER",31.6517,77.0093
"0   ",0,2010,3,3,Apple,MANDI,"Plant Protection",KHARIF,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL SAN JOSE SCALE AND EGGS OF MITE IN APPLE ","SPRAY HPTSO  3L  200 LITERS OF WATER",31.6517,77.0093
"0   ",0,2010,2,18,Apple,SHIMLA,76,RABI,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL SAN JOSE SCALE OF APPLE PLANTS ","SPRAY HPTSO3LITRES 200LITRES OF WATER",31.1042,77.171
"0   ",0,2010,3,25,Apple,PULWAMA,76,RABI,HORTICULTURE,"JAMMU AND KASHMIR","INFORMATION REGARDING CONTROL OF SAN JOSE SCALE IN APPLE TREE","SPRAY THE CHLOROPYRIOPHOS 20 EC  140 ML IN 100 LITRE OF WATER",33.949,75.0418
"0   ",0,2010,3,2,Apple,BARAMULLA,76,KHARIF,HORTICULTURE,"JAMMU AND KASHMIR","INFORMATION REGARDING CONTROL OF SAN JOSE SCALE IN APPLE","SPRAY THE CHLOROPYRIPHOS  2MLLITRE OF WATER",34.2087,74.3435
"0   ",0,2010,4,27,Apple,BARAMULLA,76,RABI,HORTICULTURE,"JAMMU AND KASHMIR","HOW TO CONTROL SAN JOSE SCALE IN APPLE ","SPRAY CHLOROPYRIPHOS 50 EC 2 002 ",34.2087,74.3435
"0   ",0,2010,12,13,Apple,BARAMULLA,76,KHARIF,HORTICULTURE,"JAMMU AND KASHMIR","CONTROL OF SAN JOSE SCALE IN APPLE TREE ","SPRAY CHLOROPYRIPHOS 20EC  25MLLITRE OF WATER",34.2087,74.3435
"0   ",0,2010,3,20,Apple,UDHAMPUR,75,RABI,HORTICULTURE,"JAMMU AND KASHMIR","INFORMATION REGARDING THE CONTROL OF SAN JOSE SCALE IN APPLE","SPRAY 1FISH SOAP1LITRE WATER FIRST BOIL THEN COOL IT AFTER THAT MIX 1 LITRE DISEL OIL THEN AGAIN MIX 19 LITRES OF WATER",32.912,75.3266
"0   ",0,2011,3,23,Apple,KINNAUR,76,RABI,HORTICULTURE,"HIMACHAL PRADESH","How to control san jose scale of apple plants ","spray TSO3litres 200litres of water",31.593,78.3281
"0   ",0,2011,3,23,Apple,KINNAUR,76,RABI,HORTICULTURE,"HIMACHAL PRADESH","How to control san jose scale of apple plants ","spray TSO3litres 200litres of water",31.593,78.3281
ANNI,0,2011,3,20,Apple,KULLU,76,RABI,HORTICULTURE,"HIMACHAL PRADESH","How to control san jose scale of apple plants ","spray TSO 3litres 200litres of water",31.9579,77.1089
"0   ",0,2011,3,22,Apple,KULLU,76,RABI,HORTICULTURE,"HIMACHAL PRADESH","How to control san jose scale of apple plants ","spray TSO3litres 200litres of water",31.9579,77.1089
KULLU,Fruits,2011,12,31,Apple,KULLU,76,KHARIF,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL SAN JOSE SCALE OF APPLE ","SPRAY SERVO ORCHARD SPRAY OIL4LITRES200LITRES OF WATER",31.9579,77.1089
KARSOG,0,2011,3,22,Apple,MANDI,76,RABI,HORTICULTURE,"HIMACHAL PRADESH","How to control san jose scale of apple plants ","spray TSO3lites 200litres of water",31.6517,77.0093
"0   ",0,2011,1,27,Apple,SHIMLA,76,KHARIF,HORTICULTURE,"HIMACHAL PRADESH","How to control san jose scale on apple ",nan,31.1042,77.171
THEOG,0,2011,3,15,Apple,SHIMLA,76,RABI,HORTICULTURE,"HIMACHAL PRADESH","How to control san jose scale and eggs of mite of apple ","spray dormant oil 4litres200litres of water",31.1042,77.171
THEOG,0,2011,3,19,Apple,SHIMLA,76,RABI,HORTICULTURE,"HIMACHAL PRADESH","How to control san jose scale and eggs of mite of apple plants ","spray HMO 4litres 200litres of water",31.1042,77.171
