BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
"0   ",0,2009,12,19,Apple,KULLU,75,KHARIF,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL WHITE ROOT ROT DISEASE IN APPLE ",nan,31.9579,77.1089
"0   ",0,2009,12,29,Apple,KULLU,75,KHARIF,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL WHITE ROOT ROT DISEASE IN APPLE ",nan,31.9579,77.1089
"0   ",0,2009,12,19,Apple,SHIMLA,75,KHARIF,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL WHITE ROOT ROT DISEASE IN APPLE TREE ","1 IMPROVE DRAINAGE IN THE ORCHARD 2 REMOVE THE INFECTED ROOTS AND APPLY CHAUBATIA PASTE  RED LEAD COPPER CARBONATE  AND LINSEED OIL   1:1:125 ON THE CUT ENDS AND HEALTHY PORTIONS OF THE ROOTS DURING NOVEMBER- DECEMBER 3 GIVE AT LEAST 3 DRENCHINGS OF CARBENDAZIM  200 GM OR AUREOFUNGIN  100 GM  COPPER SULPHATE  100 GM AT 15-20 DAYS INTERVAL DURING MONSOON APPLICATION BE MADE IN 15-25 CM DEEP HOLES AT A DISTANCE OF 30 CM EACH THROUGHOUT THE DRIP AREA OF TREE",31.1042,77.171
"0   ",0,2009,12,19,Apple,SIRMAUR,75,KHARIF,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL WHITE ROOT ROT DISEASE IN APPLE ",nan,30.6991,77.4465
"0   ",0,2010,1,21,Apple,KULLU,75,KHARIF,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL WHITE ROOT ROT DISEASE ON APPLE ",nan,31.9579,77.1089
"0   ",0,2010,1,21,Apple,KULLU,75,KHARIF,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL WHITE ROOT ROT DISEASE IN 10 YEARS OLD APPLE TREE",nan,31.9579,77.1089
KALPA,Fruits,2012,4,1,Apple,KINNAUR,75,RABI,HORTICULTURE,"HIMACHAL PRADESH","How to controll white root rot in apple plant","dreanching bavastin  200gm 200liter of water",31.593,78.3281
CHAUHARA,Fruits,2012,2,17,Apple,SHIMLA,51,RABI,HORTICULTURE,"HIMACHAL PRADESH","How to control white root rot in apple","Drenching carbendazim  200g 200 liter of water",31.1042,77.171
CHAUPAL,Fruits,2012,3,8,Apple,SHIMLA,75,RABI,HORTICULTURE,"HIMACHAL PRADESH","How to control white root rot in apple plant","drenching carbendazim  20gm liter of water",31.1042,77.171
THEOG,Fruits,2012,4,4,Apple,SHIMLA,100,JAYAD,HORTICULTURE,"HIMACHAL PRADESH","How to controll  White root rot in apple plant","Dreaching aevastin  200gn 200 liter of water",31.1042,77.171
