BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
QAZIGUND,Fruits,2019,7,30,Apple,ANANTNAG,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","Regarding control of Apple Mosaic Virus",nan,33.7461,75.1854
TRAL,Fruits,2019,5,26,Apple,PULWAMA,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","apple mosaic virus in apple ",nan,33.949,75.0418
KAKAPORA,Fruits,2019,6,22,Apple,PULWAMA,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","APPLE MOSAIC VIRUS",nan,33.949,75.0418
KHAN-SAHIB,Fruits,2019,5,25,Apple,BADGAM,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","REGARDING APPLE MOSAIC VIRUS",nan,34.0385,74.736
TANGMARG,Fruits,2019,6,22,Apple,BARAMULLA,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","Regarding control of  apple Mosaic Virus ",nan,34.2087,74.3435
KULGAM,Fruits,2019,6,3,Apple,KULGAM,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","Regarding apple mosaic virus ",nan,33.6447,75.0188
LAR,Fruits,2019,6,22,Apple,GANDERBAL,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","Regarding Apple Mosaic Virus control",nan,34.2889,75.0408
SHOPIAN,Fruits,2019,5,25,Apple,SHUPIYAN,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","Regarding  Apple Mosaic Virus",nan,33.6649,75.163
SHOPIAN,Fruits,2019,6,13,Apple,SHUPIYAN,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","Regarding Apple Mosaic Virus",nan,33.6649,75.163
ACHABAL,Fruits,2020,6,7,Apple,ANANTNAG,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","REGARDING THE APPLE MOSAIC VIRUS","FOLLOWING PRECAUTIONS TO BE TAKEN IN APPLE ORCHARD FOR APPLE MOSAIC VIRUS:1PRUNED THE INFECTED TWIGS 2 DISINFECT THE PRUNING TOOLS BEFORE  ITS USE IN ANOTHER HEALTHY TREE3 FIELD SANITATION SHOULD BE THERE4 TAGGING OF INFECTED BRANCHES SHOULD BE DONE AT THIS STAGE TO IDENTIFY THE INFECTED PORTION IN OFF SEASON",33.7461,75.1854
ACHABAL,Fruits,2020,6,8,Apple,ANANTNAG,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","REGARDING THE APPLE MOSAIC VIRUS  IN APPLE ORCHARD","FOR APPLE MOSAIC VIRUS DISINFESTATION OF TOOLS  NEEDS TO BE DONE BEFORE PRUNING OF HEALTHY TREE USE VIRUS FREE MATERIAL AS A GRAFT AND IT SHOULD BE OBTAINED FROM A REGISTERED NURSERY PUNNED OFF THE INFECTED TWIGS IF THE YELLOWING OF LEAVES BECOMES SEVERE",33.7461,75.1854
PAMPORE,Fruits,2020,10,25,Apple,PULWAMA,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","REGARDING APPLE MOSAIC VIRUS ","THE FARMER WAS ADVISED THAT TO TAKE through preventative measures and avoid planting contaminated material Since these viruses cannot be directly removed from the plant itself the most practical technique to manage ApMV is to plant certified trees obtained from Plant Improvement Organizations",33.949,75.0418
KULGAM,Fruits,2020,6,4,Apple,KULGAM,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","REGARDING THE APPLE MOSAIC VIRUS IN APPLE ORCHARD","IN THE OFF SEASON DURING PRUNING TIME IN APPLE ORCHARD DISINFESTATION  OF TOOLS AND  EQUIPMENT IS MUST PRUNED THE INFECTED TWIGS IF INFECTION IS MORE SEVERE AT THIS TIME ",33.6447,75.0188
GOHAR,Fruits,2023,4,26,Apple,MANDI,"Cultural Practices",nan,HORTICULTURE,"HIMACHAL PRADESH","Information regarding apple mosaic virus ","Dr Mrs Shalini Verma ScientistDepartment of Plant Pathology Fruit Pathology UHF Nauni 01792-2521400 98162-50009",31.6517,77.0093
KAKAPORA,Fruits,2023,4,29,Apple,PULWAMA,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","regarding attack of apple mosaic virus","THE FARMER WAS ADVISED THAT THERE IS NO CURE FOR HIS VIRAL DISEASE BUT HE CAN DO THE FOLLOING TO CONTROL IT:Plant virus-free varieties use virus-free grafting scion wood Diseased trees should be marked not need to be removed but should not be used as a source for scion material Feed nutrients at regular intervals Keep orchards insects free Neem Oils is a good source",33.949,75.0418
SHOPIAN,Fruits,2023,5,24,Apple,SHUPIYAN,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","REGARDING APPLE MOSAIC VIRUS IN APPLE ORCHARDS","THE FARMER WAS ADVISED TO TAG THE TWIGS AND PLANTS WHERE MOSAIC VIRUS IS FOUND THE PLANTS SHOULD BE PRUNNED WITH STERLIZED SCISSORS AND THE VIRUS INFECTED PLANTS SHOULD BE PRUNED AT THE ENDAND VIRUS FREE BUD WOOD SHOULD BE USED FOR GRAFTING",33.6649,75.163
