BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
"0   ",0,2010,6,8,Coconut,TINSUKIA,75,JAYAD,HORTICULTURE,ASSAM,"ASKING ABOUT THE CONTROL MEASURE TO CONTROL GANODERMA WILT IN COCONUT","SUGGESTED TO APPLY CAPTAN25GRAMLITER OF WATER AND TO APPLY NEEM CAKE3KILOGRAMPLANTYEAR",27.488,95.3602
CHHAYGAONPT,Fruits,2012,2,14,Coconut,KAMRUP,75,KHARIF,HORTICULTURE,ASSAM,"ASKING ABOUT THE CONTROL MEASURE OF GANODERMA WILT IN COCONUT","SUGGESTED THAT SPREAD OF THE DISEASE CAN BE CHECKED BY ISOLATING THE DISEASED PLANTS FROM SURROUNDING HEALTHY PLANTS BY DIGGING TRENCHES ALL AROUND  AND DRENCHING WITH CAPTAN   2 3 GRAM  LITRE OF WATER IN THE BASINAPPLY NEEM CAKE  3 KILOGRAM PLANT PER YEAR",26.1469,91.2227
GORUBATHAN,Fruits,2012,5,2,Coconut,DARJEELING,75,JAYAD,HORTICULTURE,"WEST BENGAL","CONTROL OF GANODERMA WILT IN COCONUT","APPLY ROOT FEETING   50 ML WATERCALYICSINE 5 ML AND APPLY BORDO MIXTURE 1 SOLUTION",27.0378,88.2632
"0   ","Plantation Crops",2013,2,13,Coconut,DARJEELING,75,KHARIF,HORTICULTURE,"WEST BENGAL","CONTROL OF GANODERMA WILT OF COCONUT","ROOT FEETING CALYICINE  5 ML50 ML OF WATER",27.0378,88.2632
MURSHIDABAD-JIAGUNJ,"Plantation Crops",2013,2,7,Coconut,MURSHIDABAD,75,KHARIF,HORTICULTURE,"WEST BENGAL","CONTROL OF GANODERMA WILT OF COCONUT","ROOT FEETING CALICCINE 5 ML50 ML WATER",24.1746,88.2721
"0   ","Plantation Crops",2013,2,9,Coconut,MURSHIDABAD,75,KHARIF,HORTICULTURE,"WEST BENGAL","CONTROL OF GANODERMA WILT OF COCONUT","ROOT FEETING CALYICCINE  5 ML50 ML OF WATER",24.1746,88.2721
CHANNARAYAPATNA,"Plantation Crops",2015,11,8,Coconut,HASSAN,"Plant Protection",RABI,HORTICULTURE,KARNATAKA,"ganoderma wilt","- 2 ml of Tridemorph in 100 ml water applied as root feeding- 1 Bordeaux mixture should be applied as soil drench around the trunk in a radius of 15 metre",13.0302,76.1745
PAZHAYANNUR,"Plantation Crops",2015,12,30,Coconut,THRISSUR,"Plant Protection",nan,HORTICULTURE,KERALA,"TANJORE WILT BASAL STEM END ROT GANODERMA WILT: Ganoderma lucidem and Ganoderma applanatum","TANJORE WILT BASAL STEM END ROT GANODERMA WILT: control measures Apply Pseudomonas fluorescens Pf1  200gpalm  Trichoderma viride  200gpalmyearApply 200g Phosphobacter and 200 g Azotobactor mixed with 50kg of FYMpalmApply FYM 50kg  neem cake 5 Kg once in 6 months along with fertilizerschemical control :The bleeding patches in the stem may be chiseled and protected with tridemorph 5 calxin and subsequently with hot coal tar or Trunk injection  root feeding with Calixin 3 mltreeForty litres of 1 Bordeaux mixture should be applied as soil drench around the trunk in a radius of 15m",10.527,76.2146
TIRUCHENDUR,"Plantation Crops",2015,12,13,Coconut,THOOTHUKUDI,"Plant Protection",RABI,HORTICULTURE,TAMILNADU,"ASKING ABOUT COCONUT TANJORE WILT BASAL STEM END ROT GANODERMA WILT:","recommended for Apply Pseudomonas fluorescens Pf1  100gpalm  Trichoderma viride  100gpalm6 months once and Apply FYM 25kg  neem cake 25 Kg once in 6 months along with fertilizers",8.8457,77.9938
KUNDGOL,"Plantation Crops",2016,4,5,Coconut,DHARWAD,"Plant Protection",nan,HORTICULTURE,KARNATAKA,"GANODERMA WILT","TRICHODERMA IS MIX WITH FYM AND APPLY TO FEILD",15.3707,75.1333
BELUR,"Plantation Crops",2016,2,6,Coconut,HASSAN,"Plant Protection",nan,HORTICULTURE,KARNATAKA,"COCONUT GANODERMA WILT DISEASE","     3     100         ",13.0302,76.1745
ARKALGUD,"Plantation Crops",2016,11,30,Coconut,HASSAN,"Plant Protection",nan,HORTICULTURE,KARNATAKA,"ganoderma wilt"," Up root and burn diseased palm and add 100 g Mancozeb 75 WPOR 100 g Captan 80 WPOR 30 ml Thiram 75 WSOR 15 ml Aureofungin to the 3 deep pit and mix Fill the pit a month after Root feeding with 30 ml Hexaconazole in 100 ml of water once in 3 months Incorporate to the soil 5 kg neem oil cake  50 g Trichoderma viride  10 kg compost plant Repeat the treatment at an interval of 6 months over a period of 2 years",13.0302,76.1745
TIPTUR,"Plantation Crops",2016,8,3,Coconut,TUMKUR,"Plant Protection",KHARIF,HORTICULTURE,KARNATAKA,"GANODERMA WILT","Aureofungin-sol 2 g 1 g Copper Sulphate in 100ml water or 2 ml of Tridemorph in 100 ml water applied as root feeding",13.3401,77.1006
TIPTUR,"Plantation Crops",2016,8,3,Coconut,TUMKUR,"Plant Protection",KHARIF,HORTICULTURE,KARNATAKA,"GANODERMA WILT","Apply FYM 50kg  neem cake 5 Kg once in 6 months along with fertilizers",13.3401,77.1006
TIPTUR,"Plantation Crops",2016,8,3,Coconut,TUMKUR,"Plant Protection",KHARIF,HORTICULTURE,KARNATAKA,"GANODERMA WILT","Remove and destroy all affected palmsGreen manure crops must be raised and ploughed at the time of flowering",13.3401,77.1006
TIPTUR,"Plantation Crops",2016,8,3,Coconut,TUMKUR,"Plant Protection",KHARIF,HORTICULTURE,KARNATAKA,"GANODERMA WILT","Forty litres of 1 Bordeaux mixture should be applied as soil drench around the trunk in a radius of 15m",13.3401,77.1006
UZHAVOOR,"Plantation Crops",2016,2,13,Coconut,KOTTAYAM,"Plant Protection",nan,HORTICULTURE,KERALA,"coconut : TANJORE WILT BASAL STEM END ROT GANODERMA WILT: Ganoderma lucidem and Ganoderma applanatum","Apply Pseudomonas fluorescens Pf1  200gpalm  Trichoderma viride  200gpalmyearForty litres of 1 Bordeaux mixture should be applied as soil drench around the trunk",9.62874,76.6455
KUNNAMANGALAM,"Plantation Crops",2016,1,14,Coconut,KOZHIKODE,"Plant Protection",nan,HORTICULTURE,KERALA,"TANJORE WILT BASAL STEM END ROT GANODERMA WILT","Forty litres of 1 Bordeaux mixture should be applied as soil drench around the trunk in a radius of 15m",11.2451,75.7755
IRITTY,"Plantation Crops",2016,1,25,Coconut,KANNUR,"Plant Protection",nan,HORTICULTURE,KERALA,"TANJORE WILT BASAL STEM END ROT GANODERMA WILT","Apply Pseudomonas fluorescens Pf1  200gpalm  Trichoderma viride  200gpalmyearIsolation of trench around the tree 4 feet away from the base of the trunk Apply Sulphur dust inside the trenchorty litres of 1 Bordeaux mixture should be applied as soil drench around the trunk in a radius of 15m",11.8764,75.3738
ATTUR,"Plantation Crops",2016,1,24,Coconut,SALEM,"Plant Protection",RABI,HORTICULTURE,TAMILNADU,"Coconut TANJORE WILT BASAL STEM END ROT GANODERMA WILT management","Recommended for Forty litres of 1 Bordeaux mixture should be applied as soil drench around the trunk in a radius of 15m",11.647,78.2107
ANAMALAI,"Plantation Crops",2016,1,16,Coconut,COIMBATORE,"Plant Protection",RABI,HORTICULTURE,TAMILNADU,"ASKING ABOUT COCONUT TANJORE WILT BASAL STEM END ROT GANODERMA WILT MANAGEMENT","recommended for Aureofungin-sol 2 g 1 g Copper Sulphate in 100ml water applied as root feeding The active absorbing root of pencil thickness must be selected and a slanting and a slanting cut is made The solution to be taken in a polythene bag or bottle and the cut end of the root should be dipped in the solution",11.0018,76.9628
SULUR,"Plantation Crops",2016,2,22,Coconut,COIMBATORE,"Plant Protection",RABI,HORTICULTURE,TAMILNADU,"ASKING ABOUT COCONUT TANJORE WILT BASAL STEM END ROT GANODERMA WILT:","Apply Pseudomonas fluorescens Pf1  200gpalm  Trichoderma viride  200gpalmyear",11.0018,76.9628
SULUR,"Plantation Crops",2016,5,7,Coconut,COIMBATORE,"Plant Protection",JAYAD,HORTICULTURE,TAMILNADU,"Tanjore wilt Basal stem end rot Ganoderma wilt management in coconut","Recommended for root feeding with Aureofungin-sol 2 g 1 g Copper Sulphate in 100ml water",11.0018,76.9628
ORATTANADU,"Plantation Crops",2016,5,3,Coconut,THANJAVUR,"Plant Protection",JAYAD,HORTICULTURE,TAMILNADU,"TANJORE WILT BASAL STEM END ROT GANODERMA WILT management for coconut","recommended for the root feeding   tridemorph 10 ml mixing with  water 100ml ",10.659,79.2014
RAJAKKAMANGALAM,"Plantation Crops",2016,8,25,Coconut,"KANNIYA KUMARI","Plant Protection",KHARIF,HORTICULTURE,TAMILNADU,"Asking about GANODERMA WILT management in coconut","Recommended for Apply Pseudomonas fluorescens Pf1  200gpalm  Trichoderma viride  200gpalmyear",10.9094,78.3665
PARAMATHY,"Plantation Crops",2016,3,26,Coconut,NAMAKKAL,"Plant Protection",JAYAD,HORTICULTURE,TAMILNADU,"TANJORE WILT BASAL STEM END ROT GANODERMA WILT","recommended Aureofungin-sol 2 g 1 g Copper Sulphate in 100ml water or 2 ml of Tridemorph in 100 ml water applied as root feeding The active absorbing root of pencil thickness must be selected and a slanting and a slanting cut is made The solution to be taken in a polythene bag or bottle and the cut end of the root should be dipped in the solution",11.3034,78.1186
PANGAL,"Plantation Crops",2016,4,2,Coconut,WANAPARTHY,"Plant Protection",nan,HORTICULTURE,TELANGANA,"coconut ganoderma wilt management","recommended to apply tricoderma viride formulation",16.2853,77.9865
YELBURGA,"Plantation Crops",2017,12,29,Coconut,KOPPAL,"Plant Protection",nan,HORTICULTURE,KARNATAKA,"ASKING ABOUT GANODERMA WILT MANAGEMENT IN COCONUT","Remove and destroy dead palms and palms in advanced stages ofthe disease Isolate diseased palms from healthy palms by digging isolationtrenches of 1 m deep and 30 cm wide Avoid flood irrigation and provide regular basin irrigation duringsummer Apply 50 kg farmyard manure  5 kg neem cake enriched withTrichodermapalmyear Grow banana as intercrop wherever possible Soil drenching of 1 Bordeaux mixture  40 litrespalm thrice ina year Root feeding of 2 g Aureofungin- sol  1 g CuSO4 in 100 ml ofwater or Hexaconazole 2-3ml 100ml or Calixin 2ml  100mlat quarterly interval",15.5748,76.3119
NIALI,"Plantation Crops",2017,3,21,Coconut,CUTTACK,"Plant Protection",nan,HORTICULTURE,ODISHA,"GANODERMA WILT IN COCONUT","Trunk injection  root feeding with Calixin 3 mltree",20.4686,85.8792
MAMIDIKUDURU,"Plantation Crops",2018,8,10,Coconut,"EAST GODAVARI","Plant Protection",nan,HORTICULTURE,"ANDHRA PRADESH","ganoderma wilt in coconut","TRICODERMA VIRIDE FORMULATION  PREPARATION: TRICODERMA VIRIDE 2 KGS COW DUNG 90 KGS NEEM KERNAL POWDERVEPA PINDI 10 KGS",16.9957,81.7154
CHAGALLU,"Plantation Crops",2018,2,6,Coconut,"WEST GODAVARI","Plant Protection",nan,HORTICULTURE,"ANDHRA PRADESH","coconut ganoderma wilt management","recommended to drench trichoderma viride 3 gm  lit",16.6443,81.5885
