BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
"0   ",0,2009,12,28,Coconut,KANNUR,0,nan,HORTICULTURE,KERALA,"RED PALM WEEVIL-COCONUT",SAND-200gSEVIDOL-20g,11.8764,75.3738
"0   ",0,2009,12,28,Coconut,SALEM,76,JAYAD,HORTICULTURE,TAMILNADU,"Red palm weevil control measure","Root feeding with monocrotophos 36 WSC 10 ml water 10 ml or Plug all holes and inject pyrocone E or carbaryl 1 or 10 ml ofmonocrotophos into the stem by drilling a hole above the points ofattack",11.647,78.2107
"0   ",0,2009,12,28,Coconut,SALEM,76,KHARIF,HORTICULTURE,TAMILNADU,"control measure for red palm weevil in coconut","root feeding 10 ml monocrotophos  10 ml water",11.647,78.2107
"0   ",0,2009,11,12,Coconut,COIMBATORE,76,KHARIF,HORTICULTURE,TAMILNADU,"red palm weevil in coconut","root feed with monocrotophos 15ml15ml watertree",11.0018,76.9628
"0   ",0,2009,11,1,Coconut,ERODE,76,KHARIF,HORTICULTURE,TAMILNADU,"RED PALM WEEVIL IN COCONUT","ROOT FEED WITH MONOCROTOPHOS 15ML15ML WATERTREE",11.4905,77.3505
"0   ",0,2009,11,6,Coconut,ERODE,76,JAYAD,HORTICULTURE,TAMILNADU,"Control measures for Red palm weevil in Coconut","Root feeding with Monocrotophos 10 ml  water 10 ml",11.4905,77.3505
"0   ",0,2009,11,26,Coconut,THANJAVUR,76,KHARIF,HORTICULTURE,TAMILNADU,"RED PALM WEEVIL IN COCONUT",nan,10.659,79.2014
"0   ",0,2009,11,26,Coconut,THANJAVUR,76,KHARIF,HORTICULTURE,TAMILNADU,"RED PALM WEEVIL IN COCONUT","ROOT FEED WITH MONOCROTOPHOS 15ML15ML WATERTREE",10.659,79.2014
"0   ",0,2009,11,30,Coconut,THANJAVUR,76,KHARIF,HORTICULTURE,TAMILNADU,"RED PALM WEEVIL IN COCONUT","ROOT FEED WITH MONOCROTOPHOS 15ML15ML WATERTREE",10.659,79.2014
"0   ",0,2009,11,7,Coconut,"KANNIYA KUMARI",76,KHARIF,HORTICULTURE,TAMILNADU,"red palm weevil in coconut","root feed with monocrotophos 15ml15ml watertree",10.9094,78.3665
"0   ",0,2009,11,21,Coconut,THIRUVALLUR,100,KHARIF,HORTICULTURE,TAMILNADU,"red palm weevil in coconut","root feed with monocrotophos 15ml15ml watertree",13.2538,80.0563
"0   ",0,2009,11,22,Coconut,KARUR,76,KHARIF,HORTICULTURE,TAMILNADU,"RED PALM WEEVIL IN COCONUT","ROOT FEED WITH MONOCROTOPHOS 15ML15ML WATERTREE",10.8218,78.3829
"0   ",0,2009,11,6,Coconut,DINDIGUL,76,KHARIF,HORTICULTURE,TAMILNADU,"RED PALM WEEVIL IN COCONUT","ROOT FEED WITH MONOCROTOPHOS 15ML15ML WATERTREE",10.4257,77.8157
"0   ",0,2009,12,29,Coconut,THENI,76,KHARIF,HORTICULTURE,TAMILNADU,"control measure for red palm weevil","root feeding :10 ml monocorotophos  10 ml water",9.86926,77.4223
