BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
"0   ",0,2009,11,4,Coconut,CUTTACK,76,KHARIF,HORTICULTURE,ODISHA,"TERMITES PROBLEM IN COCONUT","APPLY CHLOROPYRIPHOS POWDER",20.4686,85.8792
TIRUVALLUR,0,2009,12,10,Coconut,THIRUVALLUR,76,JAYAD,HORTICULTURE,TAMILNADU,"Termites control measure","Swabbing with neem oil 5 once on the base and upto 2 m height ofthe trunk for effective control",13.2538,80.0563
"0   ",0,2010,4,20,Coconut,VISAKHAPATNAM,76,KHARIF,HORTICULTURE,"ANDHRA PRADESH","ASKED ABOUT THE CONTROL OF TERMITES","RECOMMENDED TO APLLIY CLORIPHIPAS OR QUKINALPAS TO SUROUND THE TREES",17.6936,83.2921
"0   ",0,2010,3,15,Coconut,CHITTOOR,76,KHARIF,HORTICULTURE,"ANDHRA PRADESH","ASKED ABOUT THE CONTROL OF TERMITES IN COCONUT","RECOMMENDED TO SPRAY CHLORPYRIPHOS 2MLLIT",13.2026,79.0032
"0   ",0,2010,6,5,Coconut,SATARA,76,JAYAD,HORTICULTURE,MAHARASHTRA,"attac of termites","application of forate 25000 ml ha",17.6361,74.2983
"0   ",0,2010,1,8,Coconut,KOLHAPUR,"Plant Protection",nan,HORTICULTURE,MAHARASHTRA,"control of termites on coconut garden","Destroy termitorria use linden  10kgacre",16.7028,74.2405
"0   ",0,2010,8,25,Coconut,BALANGIR,76,nan,HORTICULTURE,ODISHA,"TERMITES PROBLEM IN COCONUT","SPRAY CHLOROPYRIPHOS  2MLLIT OF WATER",20.6095,83.1673
"0   ",0,2010,7,7,Coconut,KORAPUT,76,JAYAD,HORTICULTURE,ODISHA,"TERMITES IN COCONUT",nan,18.7232,82.6101
"0   ",0,2010,7,7,Coconut,KORAPUT,76,JAYAD,HORTICULTURE,ODISHA,"TERMITES IN COCONUT","SPRAY CHLOROPYRIPHOS  2 MLLIT OF WATER",18.7232,82.6101
"0   ",0,2010,5,20,Coconut,TIRUVANNAMALAI,76,KHARIF,HORTICULTURE,TAMILNADU,"control measure for termites","spray chlorpyriphos  2mllit of water neem oil 3mllit of water",12.4289,78.9992
"0   ",0,2010,3,11,Coconut,KRISHNAGIRI,100,JAYAD,HORTICULTURE,TAMILNADU,"control measure for termites","apply carbaryl 200gtree",12.5152,78.0094
"0   ",0,2010,2,16,Coconut,KOLKATTA,76,KHARIF,HORTICULTURE,"WEST BENGAL","ATTACK OF TERMITES IN COCONUT","APPLY CHLORPYRIPHOS 20  EC  25 MLLIT OF WATER",22.9965,87.6856
"0   ",0,2011,4,2,Coconut,BANGALORE,76,nan,HORTICULTURE,KARNATAKA,termites,"spray chloroperiphos 2mlli",12.9882,77.6226
"0   ",0,2011,2,28,Coconut,BELGAUM,76,nan,HORTICULTURE,KARNATAKA,"termites in coconut","give water frequently  then put chloripheriphos 4mllt of water",15.8573,74.5069
SABALGARH,Fruits,2011,9,4,Coconut,MORENA,76,JAYAD,HORTICULTURE,"MADHYA PRADESH","coconut plant infested by termites ","apply chlorpyriphose  40 ml pump",26.385,77.8613
"0   ",0,2011,4,29,Coconut,JAJAPUR,76,nan,HORTICULTURE,ODISHA,"termites of coconut","spray chloropyriphos 2mllit of water",20.8278,86.3798
"0   ",Fruits,2011,6,1,Coconut,NADIA,76,RABI,HORTICULTURE,"WEST BENGAL","CONTROL OF TERMITES IN COCONUT","SPRAY CHLOROPYRIPHOS 20 EC  25 MLLIT OF WATER",23.4847,88.5567
"0   ",Fruits,2012,1,10,Coconut,CHIKMAGALUR,102,nan,HORTICULTURE,KARNATAKA,termites,"apply phorate 1-2 spoon tree",13.318,75.7739
"0   ",Fruits,2012,5,4,Coconut,HASSAN,76,nan,HORTICULTURE,KARNATAKA,termites,"apply phorate 2 tea spoons per palm",13.0302,76.1745
SANGOLA,Fruits,2012,7,2,Coconut,SOLAPUR,76,nan,HORTICULTURE,MAHARASHTRA,"ATTACK OF TERMITES","USE OF THIMATE",17.8499,75.2763
"0   ","Plantation Crops",2012,10,23,Coconut,SOLAPUR,76,JAYAD,HORTICULTURE,MAHARASHTRA,"ATTACK OF TERMITES  WHITE GRUB","DRENCHING OF CHLOROPYRIPHOS",17.8499,75.2763
CHATRAPUR,"Plantation Crops",2012,11,16,Coconut,GANJAM,"Plant Protection",nan,HORTICULTURE,ODISHA,TERMITES,"CHLORPYRIPHOS DUST",19.609,84.7081
KANGAYAM,"Plantation Crops",2012,12,19,Coconut,ERODE,76,KHARIF,HORTICULTURE,TAMILNADU,"termites in coconut","spray chlorphyriphos 2 ml  lit of water",11.4905,77.3505
AMMAPETTAI,"Plantation Crops",2012,12,27,Coconut,THANJAVUR,76,KHARIF,HORTICULTURE,TAMILNADU,"termites in coconut","spray chlorphyriphos 2 ml  lit of water",10.659,79.2014
"0   ","Plantation Crops",2012,11,5,Coconut,THIRUVALLUR,76,KHARIF,HORTICULTURE,TAMILNADU,"termites in coconut","spray chlorphyriphos 2 ml  lit of water",13.2538,80.0563
GUMMIDIPUNDI,"Plantation Crops",2012,11,24,Coconut,THIRUVALLUR,76,KHARIF,HORTICULTURE,TAMILNADU,"termites in coconut","spray chlorphyriphos 2 ml  lit of water or carbofuran 3g 50gm neem cake 100gmtree",13.2538,80.0563
KRISHNAGIRI,"Plantation Crops",2012,12,23,Coconut,KRISHNAGIRI,76,KHARIF,HORTICULTURE,TAMILNADU,"termites in coconut","spray chlorphyriphos 2 ml  lit of water",12.5152,78.0094
