BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
"0   ",0,2009,12,22,Coconut,JORHAT,"Plant Protection",KHARIF,HORTICULTURE,ASSAM,"ASKING THE PREVENTIVE MEASURE AGAINST APHIDS AND CATERPILLARS FOR THE COCONUT SAPLINGS HE IS GOING TO PLANT","SUGGESTED MR DUTTA TO APPLY MALATHION 5 DUST POWDER  200 GRAM PER 75 SQUARE METER OF SEED BED AND TO APPLY 100 GRAM OF MALATHION 5 DUST POWDER AT THE TIME OF PLANTING",26.7578,94.208
"0   ",0,2009,12,7,Coconut,KASARGOD,0,nan,HORTICULTURE,KERALA,"what is the control for leaf eating caterpillar in cocobnut","spray dichloros  2mlL",12.4915,74.9878
"0   ",0,2010,4,16,Coconut,"EAST GODAVARI",76,KHARIF,HORTICULTURE,"ANDHRA PRADESH","ASKED ABOUT THE CONTROL OF BLACK-HAEDED CATERPILLAR","RECOMMENDED TO APLAY MONOCROTOPHAS 10ML10ML WATER",16.9957,81.7154
"0   ",0,2010,6,24,Coconut,BALASORE,76,JAYAD,HORTICULTURE,ODISHA,"BLACKHEADED CATERPILLAR IN COCONUT","SPRAY MONOCROTOPHOS  2 MLLIT OF WATER",21.5006,86.9199
"0   ",0,2010,3,16,Coconut,CUTTACK,76,nan,HORTICULTURE,ODISHA,"BLACK HEADED CATERPILLAR PEST IN COCONUT",nan,20.4686,85.8792
"0   ",0,2010,3,16,Coconut,CUTTACK,76,nan,HORTICULTURE,ODISHA,"BLACK HEADED CATERPILLAR PEST IN COCONUT","SPRAY DICHLOROVOUS  3MLLIT OF WATER",20.4686,85.8792
SULUR,0,2010,3,3,Coconut,COIMBATORE,76,JAYAD,HORTICULTURE,TAMILNADU,"control measure for blackheaded caterpillar","spray diclorovas 2mllit",11.0018,76.9628
"0   ",0,2010,3,7,Coconut,COIMBATORE,76,JAYAD,HORTICULTURE,TAMILNADU,"control measure for blackheaded caterpillar","spray diclorovas 2mllit",11.0018,76.9628
"0   ",0,2010,4,9,Coconut,COIMBATORE,76,KHARIF,HORTICULTURE,TAMILNADU,"Black headed caterpillar control measure in coconut","Release the larval Bethylid Braconid and Ichneumonid and pupalEulophid on chalcid parasitoids and predators periodically fromJanuary to check the build up of the pest during summer",11.0018,76.9628
AVANASHI,0,2010,5,27,Coconut,COIMBATORE,76,JAYAD,HORTICULTURE,TAMILNADU,"Black headed caterpillar control measure in coconut","Spray malathion 50 EC 005 1milit to cover the undersurface of theleaves",11.0018,76.9628
