BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
ATTUR,Cereals,2013,12,20,"Paddy Dhan",SALEM,nan,KHARIF,AGRICULTURE,TAMILNADU,"Brown Planthopper in paddy","Brown Planthopper in paddy",11.647,78.2107
MINJUR,Cereals,2013,12,12,"Paddy Dhan",THIRUVALLUR,"Plant Protection",KHARIF,AGRICULTURE,TAMILNADU,"brown planthopper in paddy","apply phorate 3 kg  ac",13.2538,80.0563
AGALPUR,Cereals,2014,10,28,"Paddy Dhan",BALANGIR,"Plant Protection",nan,AGRICULTURE,ODISHA,"Brown planthopper of paddy","Recommended to spray Acephate 75 SP 2gm per litre of water to control Brown planthopper of paddy",20.6095,83.1673
BANKI,Cereals,2014,4,27,"Paddy Dhan",CUTTACK,"Plant Protection",nan,AGRICULTURE,ODISHA,"BROWN PLANTHOPPER","BROWN PLANTHOPPER : SPRAY Quinalphos 25 EC 3ML PER LITRE OF WATER",20.4686,85.8792
BARGARH,Cereals,2014,4,23,"Paddy Dhan",BARGARH,"Plant Protection",nan,AGRICULTURE,ODISHA,"BROWN PLANTHOPPER","BROWN PLANTHOPPER : SPRAY CARBARYL 50 WP SEVIN 4GM PER LITRE OF WATER",21.232,83.5653
BARGARH,Cereals,2014,4,27,"Paddy Dhan",BARGARH,"Plant Protection",nan,AGRICULTURE,ODISHA,"BROWN PLANTHOPPER","BROWN PLANTHOPPER : SPRAY Quinalphos 25 EC 3ML PER LITRE OF WATER",21.232,83.5653
ATTABIRA,Cereals,2014,5,3,"Paddy Dhan",BARGARH,"Plant Protection",nan,AGRICULTURE,ODISHA,"BROWN PLANTHOPPER","BROWN PLANTHOPPER : SPRAY Quinalphos 25 EC 3ML PER LITRE OF WATER",21.232,83.5653
BARPALI,Cereals,2014,5,7,"Paddy Dhan",BARGARH,"Plant Protection",nan,AGRICULTURE,ODISHA,"BROWN PLANTHOPPER","BROWN PLANTHOPPER : SPRAY Quinalphos 25 EC 3ML PER LITRE OF WATER",21.232,83.5653
RAJAPALAIYAM,Cereals,2014,8,5,"Paddy Dhan",VIRUDHUNAGAR,"Plant Protection",JAYAD,AGRICULTURE,TAMILNADU,"Brown Planthopper in paddy","recommended for Brown Planthopper in paddy Spray imidaclopride 2 mllit",9.49263,77.8632
TIRUVANNAMALAI,Cereals,2014,11,30,"Paddy Dhan",TIRUVANNAMALAI,"Plant Protection",RABI,AGRICULTURE,TAMILNADU,"Brown Planthopper in paddy","recommended for Spray imidaclopride 2 mllit",12.4289,78.9992
TIRUVANNAMALAI,Cereals,2014,11,30,"Paddy Dhan",TIRUVANNAMALAI,"Plant Protection",RABI,AGRICULTURE,TAMILNADU,"Brown Planthopper in paddy","recommended for Spray imidaclopride 2 mllit",12.4289,78.9992
Udumalaipettai,Cereals,2014,10,25,"Paddy Dhan",TIRUPUR,"Plant Protection",KHARIF,AGRICULTURE,TAMILNADU,"Brown Planthopper in paddy","Recommended for spray imidaclopride 2 mlliter of water",11.1672,77.3473
NIMMANAPALLE,Cereals,2015,1,5,"Paddy Dhan",CHITTOOR,"Plant Protection",nan,AGRICULTURE,"ANDHRA PRADESH","PADDY BROWN PLANTHOPPER","RECOMENDED FOR MONOCROTOPUS 2MLLIT WATER",13.2026,79.0032
SAIKUL,Cereals,2015,9,16,"Paddy Dhan",SENAPATI,"Plant Protection",KHARIF,AGRICULTURE,MANIPUR,"ASKING ABOUT THE CONTROL MEASURE OF BROWN PLANTHOPPER IN RICE FIELD","SUGGESTED TO SPRAY THIAMETHOXAM 25 WG 25GMLT OF WATER OR FIPRONIL 5 SC 20 ML10 LT OF WATER OR CORAGEN 3ML15 LT OF WATER",25.3934,94.1505
THOUBAL,Cereals,2015,9,8,"Paddy Dhan",THOUBAL,"Plant Protection",KHARIF,AGRICULTURE,MANIPUR,"ASKING ABOUT THE CONTROL MEASURE BACTERIAL LEAF BLIGHT AND BROWN PLANTHOPPER IN RICE FIELD","SUGGESTED TO SPRAY ANUCIN OR STREPTOCYCLENE 6 GM100 LT OF WATER OR BACTRINASHAK 40 GM100 LT OF WATER BLIGHTFOR BROWN PLANTHOPPER SPRAY THIAMETHOXAM  5GM10 LT OF WATER OR FIPRONIL 5SC 20 ML10 LT OF WATER",24.6252,94.0084
KAKCHING,Cereals,2015,9,21,"Paddy Dhan",THOUBAL,"Plant Protection",KHARIF,AGRICULTURE,MANIPUR,"ASKING ABOUT THE CONTROL MEASURE OF BROWN PLANTHOPPER IN RICE FIELD AND SOWING TIME OF WHEAT","SUGGESTED TO SPRAY THIAMETHOXAM 25 WG5GM15 LT OF WATER OR FIPRONIL 5 SC 30 GM15 LT OF WATER WITH TIP TOP OR STICKER 5ML15 LT OF WATERSOWING TIME OF WHEAT IS 15TH OCTOBER TO 1ST  WEEK OF NOVEMBER",24.6252,94.0084
KAKCHING,Cereals,2015,9,24,"Paddy Dhan",THOUBAL,"Plant Protection",KHARIF,AGRICULTURE,MANIPUR,"ASKING ABOUT THE CONTROL MEASURE OF BROWN PLANTHOPPER IN RICE FIELD","SUGGESTED TO SPRAY THIAMETHOXAM 25 WG 5GM15 LT OF WATER OR FIPRONIL 5 SC 30 ML15 LT OF WATER WITH TETRACYCLENE 500MG",24.6252,94.0084
KAKCHING,Cereals,2015,10,24,"Paddy Dhan",THOUBAL,"Plant Protection",KHARIF,AGRICULTURE,MANIPUR,"ASKING ABOUT THE CONTROL MEASURE OF BROWN PLANTHOPPER IN RICE FIELD","SUGGESTED TO SPRAY THIAMETHOXAM  5GM15 LT OF WATER WITH CARBENDAZIM 30 GM AND TETRACYCLINE 500MG",24.6252,94.0084
THOUBAL,Cereals,2015,11,4,"Paddy Dhan",THOUBAL,"Plant Protection",KHARIF,AGRICULTURE,MANIPUR,"ASKING ABOUT THE CONTROL MEASURE OF BROWN PLANTHOPPER IN RICE FIELD","SUGGESTED TO SPRAY THIAMETHOXAM 25 WG 5GM15 LT OF WATER OR GLAMORE 80 WG 5GMLT OF WATER",24.6252,94.0084
MOIRANG,Cereals,2015,10,3,"Paddy Dhan",BISHNUPUR,"Plant Protection",KHARIF,AGRICULTURE,MANIPUR,"ASKING ABOUT THE CONTROL MEASURE OF BROWN PLANTHOPPER IN RICE FIELD ","SUGGESTED TO SPRAY THIAMETHOXAM 25 WG  5GM15 LT OF WATER OR FIPRONIL 6SC  30 ML15 LT OF WATER OR DINOTEFURAN 20 WG OR GLAMORE 80 WGD 50 GM200 LT OF WATER WITH TETRACYCLINE 500MG",24.6267,93.76
BISHNUPUR,Cereals,2015,10,29,"Paddy Dhan",BISHNUPUR,"Plant Protection",KHARIF,AGRICULTURE,MANIPUR,"ASKING ABOUT THE CONTROL MEASURE OF BROWN PLANTHOPPER IN RICE FIELD","SUGGESTED TO SPRAY THIAMETHOXAM 25 WG  5GM15 LT OF WATER OR GLAMORE 80 WG 5GM10 LT OF WATER OR CHLORPYRIPHOS 15DP  1MLLT OF WATERDRAIN THE WATER BEFORE SOWING",24.6267,93.76
"IMPHAL EAST II",Cereals,2015,9,6,"Paddy Dhan","IMPHAL EAST","Plant Protection",KHARIF,AGRICULTURE,MANIPUR,"ASKING ABOUT THE CONTROL MEASURE OF BROWN PLANTHOPPER IN RICE","SUGGESTED TO SPRAY THIAMETHOXAM 25 WG  2GM10 LT OF WATER OR DICHLORVOS  10ML10 LT OF WATER OR CORAGEN 3ML15 LT OF WATER",24.8515,94.0095
"IMPHAL EAST II",Cereals,2015,9,6,"Paddy Dhan","IMPHAL EAST","Plant Protection",KHARIF,AGRICULTURE,MANIPUR,"ASKING ABOUT THE CONTROL MEASURE OF STEMBORERBROWN PLANTHOPPER AND CASE WORM IN RICE FIELD","SUGGESTED TO SPRAY CORAGEN 3ML15 LT OF WATER OR LAMBDACYHOTHRIN 15 ML15 LT OF WATER WITH STICKER OR TIP TOP5ML15 LT OF WATER",24.8515,94.0095
"IMPHAL EAST I",Cereals,2015,9,8,"Paddy Dhan","IMPHAL EAST","Plant Protection",KHARIF,AGRICULTURE,MANIPUR,"ASKING ABOUT THE CONTROL MEASURE OF BROWN PLANTHOPPER IN RICE","SUGGESTED TO SPRAY THIAMETHOXAM  5GM OR FIPRONIL 5 SC  20ML10 LT OF WATER",24.8515,94.0095
"IMPHAL EAST II",Cereals,2015,9,13,"Paddy Dhan","IMPHAL EAST","Plant Protection",KHARIF,AGRICULTURE,MANIPUR,"ASKING ABOUT THE BROWN PLANTHOPPER IN RICE FIELD","SUGGESTED TO SPRAY THIAMETHOXAM 25 WG  5GM10 LT OF WATER OR FIPRONIL 5 EC  20 ML10 LT OF WATER OR DINOTEFURAN 20 WG  5GM10 LT OF WATER WITH TIP TOP OR STICKER 5ML15 LT OF WATER ",24.8515,94.0095
"IMPHAL EAST I",Cereals,2015,9,17,"Paddy Dhan","IMPHAL EAST","Plant Protection",KHARIF,AGRICULTURE,MANIPUR,"ASKING ABOUT THE CONTROL MEASURE OF BROWN PLANTHOPPER IN RICE FIELD","SUGGESTED TO SPRAY THIAMETHOXAM 25 WG 5GM10 LT OF WATER OR DINOTEFURAN 20 WG 5 GM10 LT OF WATER OR BUTROTEZIN 25 EC 20 ML10 LT OF WATER",24.8515,94.0095
"IMPHAL EAST I",Cereals,2015,9,21,"Paddy Dhan","IMPHAL EAST","Plant Protection",KHARIF,AGRICULTURE,MANIPUR,"ASKING ABOUT THE BROWN PLANTHOPPER IN RICE FIELD","SUGGESTED TO SPRAY THIAMETHOXAM 25 WG  5GM15 LT OF WATER OR FIPRONIL 5 SC  30 GM15 LT OF WATER",24.8515,94.0095
"IMPHAL EAST I",Cereals,2015,9,24,"Paddy Dhan","IMPHAL EAST","Fertilizer Use and Availability",KHARIF,AGRICULTURE,MANIPUR,"ASKING ABOUT THE FERTPOTASHDOSE FOR PANICLE STAGE AND BROWN PLANTHOPPER IN RICE FIELD","SUGGESTED TO APPLY POTASH 5 KGSANGAM AND FOR INSECT-SPRAY THIAMETHOXAM 25 WG  5GM15 LT OF WATER OR FIPRONIL 5SC 30 GM15 LT OF WATER WITH TETRACYCLENE 500MG",24.8515,94.0095
"IMPHAL EAST I",Cereals,2015,9,25,"Paddy Dhan","IMPHAL EAST","Plant Protection",KHARIF,AGRICULTURE,MANIPUR,"ASKING ABOUT THE CONTROL MEASURE OF BROWN PLANTHOPPER IN RICE FIELD","SUGGESTED TO SPRAY THIAMETHOXAM 25 WG 5GM15 LT OF WATER OR FIPRONIL 5SC 30 ML15 LT OF WATER WITH TETRACYCLENE 500MG",24.8515,94.0095
"IMPHAL EAST I",Cereals,2015,10,2,"Paddy Dhan","IMPHAL EAST","Plant Protection",KHARIF,AGRICULTURE,MANIPUR,"ASKING ABOUT THE CONTROL MEASURE OF BROWN PLANTHOPPER IN RICE FIELD","SUGGESTED TO SPRAY THIAMETHOXAM 25 WG 5GM15 LT OF WATER OR FIPRONIL 5SC  30 ML15 LT OF WATER OR Dinotefuran 20 WG Glamore 80 WG Buprofezin 20 EC  Dinotefuran 20 WG 50gm200 lt of water",24.8515,94.0095
