BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
TANDA,Cereals,2013,9,18,"Paddy Dhan",HOSHIARPUR,nan,nan,AGRICULTURE,PUNJAB,"PROBLEM OF GRAIN DISCOLORATION","SPRAY TILT 25EC 200ML IN 200 LITERS WATERACRE",31.6093,75.846
SAMRALA,Cereals,2013,8,26,"Paddy Dhan",LUDHIANA,nan,nan,AGRICULTURE,PUNJAB,"problem of grain discoloration in paddy","spray tilt 25ec 200ml in 200 liters water for the control of sheath blightfalse smut and grain discoloration in paddyspray apploudbuprofezin350ml in 100 liters wateracre for the control of brown plant hopper in paddy",30.909,75.8516
"GURU HAR SAHAI",Cereals,2013,8,29,"Paddy Dhan",FEROZPUR,nan,nan,AGRICULTURE,PUNJAB,"problem of blastsheath blight aand grain discoloration in paddy","spray nativo 200gm in 200 liters wateracre for the control of sheath blightblastneck blastgrain discoloration in paddyspray monceren 200ml in 200 liters wateracre for the control of sheath blight in paddyspray fame 30-35ml or triazophos 40ec 350ml or acephate 75sp 350gm in 100 liters water for the control of stem borer and leaf folder in paddy",30.4426,74.0656
AJNALA-1,Cereals,2013,10,9,"Paddy Dhan",AMRITSAR,nan,nan,AGRICULTURE,PUNJAB,"problem of grain discoloration in paddy","spray tilt 25ec 200ml in 200 liters wateracre for the control of grain discoloration in paddy",31.6357,74.8787
VERKA-5,Cereals,2013,10,9,"Paddy Dhan",AMRITSAR,nan,nan,AGRICULTURE,PUNJAB,"PROBLEM OF GRAIN DISCOLORATION IN PADDY","SPRAY TILT 25EC 200ML IN 200 LITERS WATERACRE FOR THE CONTROL OF GRAIN DISCOLORATION IN Paddy",31.6357,74.8787
"DERA BABA NANAK",Cereals,2013,8,26,"Paddy Dhan",GURDASPUR,nan,nan,AGRICULTURE,PUNJAB,"problem of grain discoloration in paddy","spray tilt 25ec 200ml in 200 liters wateracre for the control of grain discoloration in paddy",31.9037,75.2276
GURDASPUR,Cereals,2013,9,10,"Paddy Dhan",GURDASPUR,nan,nan,AGRICULTURE,PUNJAB,"PROBLEM OF GRAIN DISCOLORATION IN PADDY","SPRAY TILT 25EC 200ML IN 200 LITERS WATERACRE FOR THE CONTROL OF GRAIN DISCOLORATION IN PADDY",31.9037,75.2276
QADIAN,Cereals,2013,9,10,"Paddy Dhan",GURDASPUR,nan,nan,AGRICULTURE,PUNJAB,"problem of grain discoloration in paddy","spray tilt 25ec 200ml or folicur 200ml in 200 liters wateracre for the control of grain discoloration in paddy",31.9037,75.2276
GURDASPUR,Cereals,2013,9,14,"Paddy Dhan",GURDASPUR,nan,nan,AGRICULTURE,PUNJAB,"PROBLEM OF GRAIN DISCOLORATION IN BASMATI","SPRAY TILT 25EC 200ML IN 200 LITERS WATER FOR THE CONTROL OF GRAIN DISCOLORATION IN BASMATI",31.9037,75.2276
DHARIWAL,Cereals,2013,9,16,"Paddy Dhan",GURDASPUR,nan,nan,AGRICULTURE,PUNJAB,"problem of grain discoloration in paddy","spray tilt 25ec 200ml in 200 liters wateracre for the control of grain discoloration in paddy",31.9037,75.2276
