BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
ANAPARTHY,Cereals,2013,11,11,"Paddy Dhan","EAST GODAVARI",nan,nan,AGRICULTURE,"ANDHRA PRADESH","SHEATH ROT","CONTAF 400 ML FOR ACRE",16.9957,81.7154
NIDADAVOLE,Cereals,2013,11,2,"Paddy Dhan","WEST GODAVARI","Plant Protection",nan,AGRICULTURE,"ANDHRA PRADESH","sheath rot","PROPICONAZOLETILTRAADAR 200 ML PER ACRE  311431493120314731143135309331123100314731223149 310331353122314931033149 312031343105313431203149   308630933120313430933137 200 30873074 308631223149 200 3122313631033120314931223137 311231363103313531223147 30933122313531143135 31143135309831343093313431203135 309831433119313431223135",16.6443,81.5885
NALLAJERLA,Cereals,2013,11,12,"Paddy Dhan","WEST GODAVARI","Plant Protection",nan,AGRICULTURE,"ANDHRA PRADESH","sheath rot","PROPICONAZOLE TILT RADAR  200 ML PER ACRE  3114314931203146311431353093314631123100314731223149 310331353122314931033149 312031343105313431203149   30863093312031343112313530933135 200 30873074 308631223149  200 3122313631033120314931223137 311231363103313531223147 30933122313531143135 31143135309831343093313431203135 309831433119313431223135",16.6443,81.5885
MANDAVALLI,Cereals,2013,10,22,"Paddy Dhan",KRISHNA,"Plant Protection",nan,AGRICULTURE,"ANDHRA PRADESH","sheath rot","PROPICONAZOLE TILT RADAR  200 ML PER ACRE  3114314931203146311431353093314631123100314731223149 310331353122314931033149 312031343105313431203149   30863093312031343112313530933135 200 30873074 308631223149  200 3122313631033120314931223137 311231363103313531223147 30933122313531143135 31143135309831343093313431203135 309831433119313431223135",16.2128,81.0307
GAMPALAGUDEM,Cereals,2013,10,31,"Paddy Dhan",KRISHNA,nan,nan,AGRICULTURE,"ANDHRA PRADESH","sheath rot","PROPICONAZOLE TILT RADAR  200 ML PER ACRE  3114314931203146311431353093314631123100314731223149 310331353122314931033149 312031343105313431203149   30863093312031343112313530933135 200 30873074 308631223149  200 3122313631033120314931223137 311231363103313531223147 30933122313531143135 31143135309831343093313431203135 309831433119313431223135",16.2128,81.0307
BESTAVARIPETA,Cereals,2013,11,17,"Paddy Dhan",PRAKASAM,"Plant Protection",nan,AGRICULTURE,"ANDHRA PRADESH","sheath rot","CARBENDAZIM BAVISTIN DEROSAL CARBENDAZIM 200 GRAMS PER ACRE   30933134312031493116314230743105310031353074 3116313431253135312831493103313531123149  31053143312031473128313431223149 30933134312031493116314230743105310031353074    308630933120313430933137 200 30953149312031343118313731223137 200 3122313631033120314931223137 311231363103313531223147 30933122313531143135 31143135309831343093313431203135 309831433119313431223135",15.6643,79.4733
KURNOOL,Cereals,2013,11,6,"Paddy Dhan",KURNOOL,"Plant Protection",nan,AGRICULTURE,"ANDHRA PRADESH","SHEATH ROT","PROPICONAZOLE TILT RADAR  200 ML PER ACRE  3114314931203146311431353093314631123100314731223149 310331353122314931033149 312031343105313431203149   30863093312031343112313530933135 200 30873074 308631223149  200 3122313631033120314931223137 311231363103313531223147 30933122313531143135 31143135309831343093313431203135 309831433119313431223135",15.8309,78.0425
ASPARI,Cereals,2013,11,10,"Paddy Dhan",KURNOOL,"Plant Protection",nan,AGRICULTURE,"ANDHRA PRADESH","sheath rot","PROPICONAZOLE TILT RADAR  200 ML PER ACRE  3114314931203146311431353093314631123100314731223149 310331353122314931033149 312031343105313431203149   30863093312031343112313530933135 200 30873074 308631223149  200 3122313631033120314931223137 311231363103313531223147 30933122313531143135 31143135309831343093313431203135 309831433119313431223135",15.8309,78.0425
BOMMANAHAL,Cereals,2013,11,5,"Paddy Dhan",ANANTPUR,nan,nan,AGRICULTURE,"ANDHRA PRADESH","paddy sheath rot",hexaconal2mlli,13.5747,78.5029
GARLADINNE,Cereals,2013,11,11,"Paddy Dhan",ANANTPUR,"Plant Protection",nan,AGRICULTURE,"ANDHRA PRADESH","sheath rot","PROPICONAZOLE TILT RADAR  200 ML PER ACRE  3114314931203146311431353093314631123100314731223149 310331353122314931033149 312031343105313431203149   30863093312031343112313530933135 200 30873074 308631223149  200 3122313631033120314931223137 311231363103313531223147 30933122313531143135 31143135309831343093313431203135 309831433119313431223135",13.5747,78.5029
BRAHMASAMUDRAM,Cereals,2013,11,16,"Paddy Dhan",ANANTPUR,"Plant Protection",nan,AGRICULTURE,"ANDHRA PRADESH","sheath rot","PROPICONAZOLE TILT RADAR  200 ML PER ACRE  3114314931203146311431353093314631123100314731223149 310331353122314931033149 312031343105313431203149   30863093312031343112313530933135 200 30873074 308631223149  200 3122313631033120314931223137 311231363103313531223147 30933122313531143135 31143135309831343093313431203135 309831433119313431223135",13.5747,78.5029
ROMPICHERLA,Cereals,2013,10,3,"Paddy Dhan",CHITTOOR,nan,nan,AGRICULTURE,"ANDHRA PRADESH","sheath rot","carbendazim 200ml per acre",13.2026,79.0032
GOMARIGURI,Cereals,2013,10,25,"Paddy Dhan",GOLAGHAT,"Plant Protection",KHARIF,AGRICULTURE,ASSAM,"ASKING ABOUT SHEATH ROT IN PADDY","ADVISED TO SPRAY BAVISTIN 2GMLIT",26.5108,93.9744
KADWA,Cereals,2013,9,25,"Paddy Dhan",KATIHAR,"Plant Protection",JAYAD,AGRICULTURE,BIHAR,"sheath rot in rice","Spray mencozeb  2glit of water",25.5586,87.6457
MAHAM,Cereals,2013,9,28,"Paddy Dhan",ROHTAK,nan,JAYAD,AGRICULTURE,HARYANA,"Information regarding how to control Sheath Rot in Paddy","Spray 200 ml Tilt in 200 lt of water per acre",28.9011,76.5802
KHARKHODA,Cereals,2013,9,26,"Paddy Dhan",SONEPAT,nan,JAYAD,AGRICULTURE,HARYANA,"Information regarding how to control sheath rot in paddy","Spray 200 ml Propiconazole in 200 lt of water per acre",28.992,77.0343
GOHANA,Cereals,2013,10,1,"Paddy Dhan",SONEPAT,nan,JAYAD,AGRICULTURE,HARYANA,"Information regarding how to control Sheath Rot in paddy","Spray 200 ml Tilt in 200 lt of water per acre",28.992,77.0343
ALEWA,Cereals,2013,9,24,"Paddy Dhan",JIND,"Plant Protection",JAYAD,AGRICULTURE,HARYANA,"Information regarding how to control Sheath Rot in Paddy","Spray 200 ml Tilt in 200 lt of water per acre",29.314,76.3179
NARWANA,Cereals,2013,9,26,"Paddy Dhan",JIND,nan,JAYAD,AGRICULTURE,HARYANA,"Information regarding how to control Sheath Rot in paddy","Spray 200 ml Tilt in 200 lt of water per acre",29.314,76.3179
