BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
VEERAGHATTAM,Cereals,2013,8,25,"Paddy Dhan",SRIKAKULAM,nan,nan,AGRICULTURE,"ANDHRA PRADESH",hispa,"CHLORPYRPHOSKORBAN DURSBAN LETHAL CLASSIC RADAR 500 ML PER ACRE  3093314931223147312031463114314431203135311531343128314930933147312031343116313431123149  311031373120314931283116313431123149 31223136310831223149  30933149312231343128313530933149 312031343105313431203149  3119314230933134312030933137 500 308630748204308631223149  200 3122313631033120314931223137 311231363103313531223147 30933122313531143135 31143135309831353093313431203136 309831433119313431223135",18.2949,83.8939
GANGUVARISIGADAM,Cereals,2013,9,8,"Paddy Dhan",SRIKAKULAM,nan,nan,AGRICULTURE,"ANDHRA PRADESH",HISPA,"CHLORPYRPHOSKORBAN DURSBAN LETHAL CLASSIC RADAR 500 ML PER ACRE  3093314931223147312031463114314431203135311531343128314930933147312031343116313431123149  311031373120314931283116313431123149 31223136310831223149  30933149312231343128313530933149 312031343105313431203149  3119314230933134312030933137 500 308630748204308631223149  200 3122313631033120314931223137 311231363103313531223147 30933122313531143135 31143135309831353093313431203136 309831433119313431223135",18.2949,83.8939
LAVERU,Cereals,2013,9,9,"Paddy Dhan",SRIKAKULAM,"Plant Protection",nan,AGRICULTURE,"ANDHRA PRADESH","paddy hispa","CHLORPYRPHOSKORBAN DURSBAN LETHAL CLASSIC RADAR 500 PER ACRE         3093314931223147312031463114314431203135311531343128314930933147312031343116313431123149  311031373120314931283116313431123149 31223136310831223149  30933149312231343128313530933149 312031343105313431203149  3119314230933134312030933137 500 308630748204308631223149  200 3122313631033120314931223137 311231363103313531223147 30933122313531143135 31143135309831353093313431203136 309831433119313431223135",18.2949,83.8939
GARIVIDI,Cereals,2013,10,8,"Paddy Dhan",VIZIANAGARM,"Plant Protection",nan,AGRICULTURE,"ANDHRA PRADESH","rice hispa","PROPINOPHOS CURECRON PROFEXDON BOLERO  400 ML PER ACRE    311431493120314631153135311231463115313431283149 30933149311931383120309331493120313431123149 31143149312031463115314230933149312831493105313431123149 311631473122314231203147 3119314230933134312030933137  400 308630748204308631223149 308630748204308631223149  31143135309831353093313431203136 309831433119313431223135",15.9241,80.1864
RAMABHADRAPURAM,Cereals,2013,10,17,"Paddy Dhan",VIZIANAGARM,nan,nan,AGRICULTURE,"ANDHRA PRADESH",hispa,"MONOCROTOPHOSNUVACRON PHOSKIL LUPHOS 400 ML PER ACRE    31183147311231473093314931203147310331473115313431283149 311231373125309331493120313431123149 3115314731283093313531223149 312231373115313431283149 30873093312030933137 400 308630748204308631223149 200 3122313631033120314931223137 311231363103313531223147 30933122313531143135 31143135309831353093313431203136 309831433119313431223135",15.9241,80.1864
"KAKINADA RURAL",Cereals,2013,8,18,"Paddy Dhan","EAST GODAVARI","Plant Protection",nan,AGRICULTURE,"ANDHRA PRADESH",hispa,"spray chloripyriphos 25ml per lit",16.9957,81.7154
"RAJAHMUNDRY RURAL",Cereals,2013,9,26,"Paddy Dhan","EAST GODAVARI",nan,nan,AGRICULTURE,"ANDHRA PRADESH",hispa,"CHLORPYRPHOSKORBAN DURSBAN LETHAL CLASSIC RADAR 500 ML PER ACRE  3093314931223147312031463114314431203135311531343128314930933147312031343116313431123149  311031373120314931283116313431123149 31223136310831223149  30933149312231343128313530933149 312031343105313431203149  3119314230933134312030933137 500 308630748204308631223149  200 3122313631033120314931223137 311231363103313531223147 30933122313531143135 31143135309831353093313431203136 309831433119313431223135",16.9957,81.7154
SEETHANAGARAM,Cereals,2013,9,30,"Paddy Dhan","EAST GODAVARI","Plant Protection",nan,AGRICULTURE,"ANDHRA PRADESH","RICE HISPA","PROFINOPHOS 2MLLIT",16.9957,81.7154
AINAVILLI,Cereals,2013,10,6,"Paddy Dhan","EAST GODAVARI","Plant Protection",nan,AGRICULTURE,"ANDHRA PRADESH","paddy hispa","CHLORPYRPHOSKORBAN DURSBAN LETHAL CLASSIC RADAR 500 ML PER ACRE  3093314931223147312031463114314431203135311531343128314930933147312031343116313431123149  311031373120314931283116313431123149 31223136310831223149  30933149312231343128313530933149 312031343105313431203149  3119314230933134312030933137 500 308630748204308631223149  200 3122313631033120314931223137 311231363103313531223147 30933122313531143135 31143135309831353093313431203136 309831433119313431223135",16.9957,81.7154
KARAPA,Cereals,2013,10,19,"Paddy Dhan","EAST GODAVARI",nan,nan,AGRICULTURE,"ANDHRA PRADESH",hispa,"monocrotopos 16mllit",16.9957,81.7154
