BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
MOVVA,Cereals,2013,8,28,"Paddy Dhan",KRISHNA,nan,nan,AGRICULTURE,"ANDHRA PRADESH","mealy bug","malathion 400ml acre",16.2128,81.0307
OWK,Cereals,2013,9,25,"Paddy Dhan",KURNOOL,nan,nan,AGRICULTURE,"ANDHRA PRADESH","control of mealy bugs","spraying of methyl pararthion  2mllit water",15.8309,78.0425
JALESWAR,Cereals,2013,4,27,"Paddy Dhan",BALASORE,"Plant Protection",nan,AGRICULTURE,ODISHA,"MEALY BUG","IMIDACHLOPRID 1ML3LTR",21.5006,86.9199
BADAMBA,Cereals,2013,9,20,"Paddy Dhan",CUTTACK,"Plant Protection",nan,AGRICULTURE,ODISHA,"MEALY BUG","DIMETHOATE 2MLL",20.4686,85.8792
TIGIRIA,Cereals,2013,11,12,"Paddy Dhan",CUTTACK,"Plant Protection",nan,AGRICULTURE,ODISHA,"MEALY BUG","DETAILS GIVEN",20.4686,85.8792
GANJAM,Cereals,2013,9,23,"Paddy Dhan",GANJAM,"Plant Protection",nan,AGRICULTURE,ODISHA,"MEALY BUG","DIMETHOATE 2MLL",19.609,84.7081
BONAIGARH,Cereals,2013,9,10,"Paddy Dhan",SUNDARGARH,"Plant Protection",nan,AGRICULTURE,ODISHA,"MEALY BUG","SPRAY IMIDACHLOPRID TATAMIDA 1 ML IN 3 LITRE OF WATER",22.0605,83.9359
SUNDARGARH,Cereals,2013,9,23,"Paddy Dhan",SUNDARGARH,nan,nan,AGRICULTURE,ODISHA,"MEALY BUG","CHLOROPYRIPHOS 400MLACRE",22.0605,83.9359
AUL,Cereals,2013,10,16,"Paddy Dhan",KENDRAPARA,"Plant Protection",nan,AGRICULTURE,ODISHA,"mealy bug","details given",20.5475,86.5296
DERABISH,Cereals,2013,11,12,"Paddy Dhan",KENDRAPARA,"Plant Protection",nan,AGRICULTURE,ODISHA,"rice mealy bug","dimethoate 200mlacre",20.5475,86.5296
ATTABIRA,Cereals,2013,10,2,"Paddy Dhan",BARGARH,"Plant Protection",nan,AGRICULTURE,ODISHA,"mealy bug","apply dimethoate 1ml let of water",21.232,83.5653
LAKHANPUR,Cereals,2013,10,6,"Paddy Dhan",JHARSUGUDA,"Plant Protection",JAYAD,AGRICULTURE,ODISHA,"MEALY BUG","DIMETHOATE 2MLL",21.8019,83.9714
DASUYA,Cereals,2013,8,29,"Paddy Dhan",HOSHIARPUR,nan,nan,AGRICULTURE,PUNJAB,"MEALY BUG IN PADDY","SPRAY 350 ML UPLOADBUPROFRAZIN IN 100 LITRES OF WATER PER ACRE",31.6093,75.846
SUNAM,Cereals,2013,9,18,"Paddy Dhan",SANGRUR,"Plant Protection",nan,AGRICULTURE,PUNJAB,":    INFORMATION REGARDING CONTROL OF MEALY BUG IN COTTON ","A:    SPRAY LARVIN  250g OR 800g OF ACEPHATE  75SPPROFENOPHOS 50EC OF 500ML IN 100LITRES OF WATERACRE",30.1357,75.8533
ANDANA,Cereals,2013,9,30,"Paddy Dhan",SANGRUR,nan,nan,AGRICULTURE,PUNJAB,":   INFORMATION REGARDING CONTROL OF MEALY BUG IN cotton ","A:    SPRAY BLITOX 50  500 GM AGRIMYCIN 20 GM AND STREPTOCYCLINE 3 GM IN 200 LITRES OF WATER PER ACRE",30.1357,75.8533
FARIDKOT,Cereals,2013,9,19,"Paddy Dhan",FARIDKOT,nan,nan,AGRICULTURE,PUNJAB,":    INFORMATION REGARDING CONTROL OF MEALY BUG IN COTTON ","A:    SPRAY LARVIN  250g OR 800g OF ACEPHATE  75SPPROFENOPHOS 50EC OF 500ML IN 100LITRES OF WATERACRE",30.6014,74.795
"KOT KAPURA",Cereals,2013,10,5,"Paddy Dhan",FARIDKOT,"Plant Protection",JAYAD,AGRICULTURE,PUNJAB,"INFORMATION REGARDING CONTROL OF MEALY BUG IN COTTON","SPRAY LARVIN 250 ML IN 100 LITER OF WATERACRE",30.6014,74.795
"MEHAL KALAN",Cereals,2013,9,14,"Paddy Dhan",BARNALA,nan,nan,AGRICULTURE,PUNJAB,":    INFORMATION REGARDING CONTROL OF MEALY BUG IN COTTON ","A:    SPRAY LARVIN  250g OR 800g OF ACEPHATE  75SPPROFENOPHOS 50EC OF 500ML IN 100LITRES OF WATERACRE",30.3717,75.504
BARNALA,Cereals,2013,9,18,"Paddy Dhan",BARNALA,"Plant Protection",nan,AGRICULTURE,PUNJAB,":    INFORMATION REGARDING CONTROL OF MEALY BUG IN COTTON ","A:    SPRAY LARVIN  250g OR 800g OF ACEPHATE  75SPPROFENOPHOS 50EC OF 500ML IN 100LITRES OF WATERACRE",30.3717,75.504
VAIYAMPATTI,Cereals,2013,6,18,"Paddy Dhan",TIRUCHIRAPPALLI,"Plant Protection",RABI,AGRICULTURE,TAMILNADU,"mealy bug in cotton","spray imidacloprid 2mlneem oil 3mlteepol 1mllit of water",10.8071,78.6881
ARANTANGI,Cereals,2013,11,30,"Paddy Dhan",PUDUKKOTTAI,"Plant Protection",KHARIF,AGRICULTURE,TAMILNADU,"paddy mealy bug","spray confidar 2 ml  acephate 2 glit",10.2903,78.8174
KUMBAKONAM,Cereals,2013,10,29,"Paddy Dhan",THANJAVUR,"Plant Protection",KHARIF,AGRICULTURE,TAMILNADU,"mealy bug in paddy","mealy bug in paddy : spray methyl dematon 2mllit of water",10.659,79.2014
KUMBAKONAM,Cereals,2013,11,4,"Paddy Dhan",THANJAVUR,"Plant Protection",KHARIF,AGRICULTURE,TAMILNADU,"mealy bug in paddy","mealy bug in paddy : spray imidacloprid 2 ml  lit of water",10.659,79.2014
BUDALUR,Cereals,2013,12,11,"Paddy Dhan",THANJAVUR,"Post Harvest Preservation",KHARIF,AGRICULTURE,TAMILNADU,"paddy mealy bug","spray profenphos 2 ml  acephate 2 glit",10.659,79.2014
TIRUVALLUR,Cereals,2013,11,18,"Paddy Dhan",THIRUVALLUR,"Plant Protection",KHARIF,AGRICULTURE,TAMILNADU,"Mealy bug in paddy","Spray profenophos 25 EC 2 ml  acephate 2 ml  lit",13.2538,80.0563
TIRUVALLUR,Cereals,2013,11,28,"Paddy Dhan",THIRUVALLUR,nan,KHARIF,AGRICULTURE,TAMILNADU,"mealy bug in paddy","mealy bug in paddy : spray imidacloprid 2 ml  lit of water",13.2538,80.0563
TIRUVALLUR,Cereals,2013,11,29,"Paddy Dhan",THIRUVALLUR,"Plant Protection",KHARIF,AGRICULTURE,TAMILNADU,"mealy bug in paddy","mealy bug in paddy : spray imidacloprid 2 ml  lit of water",13.2538,80.0563
NAMAGIRIPET,Cereals,2013,12,2,"Paddy Dhan",NAMAKKAL,Seeds,JAYAD,AGRICULTURE,TAMILNADU,"mealy bug attack","spray micronutrient 5gmlit",11.3034,78.1186
KADAVUR,Cereals,2013,12,17,"Paddy Dhan",KARUR,nan,KHARIF,AGRICULTURE,TAMILNADU,"paddy mealy bug","spray confidar 2 ml  acephate 2 glit",10.8218,78.3829
THIRUVARUR,Cereals,2013,11,6,"Paddy Dhan",THIRUVARUR,"Plant Protection",JAYAD,AGRICULTURE,TAMILNADU,"mealy bug attack","spray monocrotophos 1mlacephate 1glit",10.6879,79.4979
KOLLIDAM,Cereals,2013,10,23,"Paddy Dhan",NAGAPATTINAM,nan,KHARIF,AGRICULTURE,TAMILNADU,"mealy bug in paddy","mealy bug in paddy : spray methyl dematon 2mlneem oil 3mlteepol 1mllit of water",10.6026,79.7619
NAGAPPATTINAM,Cereals,2013,11,15,"Paddy Dhan",NAGAPATTINAM,"Plant Protection",JAYAD,AGRICULTURE,TAMILNADU,"mealy bug attack","Spray profenophos 2 mllit",10.6026,79.7619
NAGAPPATTINAM,Cereals,2013,11,23,"Paddy Dhan",NAGAPATTINAM,nan,KHARIF,AGRICULTURE,TAMILNADU,"mealy bug in paddy","spray imidacloprid 2 ml  lit of water",10.6026,79.7619
KILVELUR,Cereals,2013,11,24,"Paddy Dhan",NAGAPATTINAM,"Plant Protection",KHARIF,AGRICULTURE,TAMILNADU,"mealy bug in paddy","mealy bug in paddy : spray imidacloprid 2 ml  lit of water",10.6026,79.7619
KILVELUR,Cereals,2013,11,24,"Paddy Dhan",NAGAPATTINAM,nan,KHARIF,AGRICULTURE,TAMILNADU,"mealy bug in paddy","mealy bug in paddy : spray dimethoate 2 ml  lit of water",10.6026,79.7619
NAGAPPATTINAM,Cereals,2013,11,28,"Paddy Dhan",NAGAPATTINAM,"Plant Protection",KHARIF,AGRICULTURE,TAMILNADU,"mealy bug in paddy","mealy bug in paddy : spray imidacloprid 2 ml  lit of water",10.6026,79.7619
KILVELUR,Cereals,2013,11,30,"Paddy Dhan",NAGAPATTINAM,"Plant Protection",KHARIF,AGRICULTURE,TAMILNADU,"Mealy bug in paddy","Mealy bug in paddy : spray methyl dematan 2mlneemoil 3mlteepol 1mllit of water",10.6026,79.7619
KUTTALAM,Cereals,2013,12,1,"Paddy Dhan",NAGAPATTINAM,nan,KHARIF,AGRICULTURE,TAMILNADU,"mealy bug in paddy","mealy bug in paddy : spray imidacloprid 2 ml  lit of water",10.6026,79.7619
