BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
CHAURAI,Vegetables,2012,2,14,Potato,CHHINDWARA,75,KHARIF,HORTICULTURE,"MADHYA PRADESH","how to control Bacterial Wilt or Brown Rot ","Application of stable bleaching powder 12kgha mixed with fertilizer in furrows while planting reduces wilt incidence by 80 Practicing crop rotation for 2-3 years with crops like maize finger millet cereals garlic lupin and onion cabbage can reduce the disease inoculumBlack Scurf and Stem CankerRhizoctoni",22.2072,78.7988
UJJAIN,Vegetables,2013,11,14,Potato,UJJAIN,nan,KHARIF,HORTICULTURE,"MADHYA PRADESH","how to control Bacterial Wilt or Brown Rot of potato ","use copper oxy chloride 45 gram and  steptrocyclin 2 gram at 15 liter of water",23.1885,75.7717
JASRANA,Vegetables,2013,12,4,Potato,FIROZABAD,nan,KHARIF,HORTICULTURE,"UTTAR PRADESH","potato me  Brown rot laga hai","rogi podhe ko ukhad kar khet se bahar nikal de",27.1942,78.4605
FORBESGANJ,Vegetables,2014,12,3,Potato,ARARIA,"Plant Protection",RABI,HORTICULTURE,BIHAR,"Brown rot","Select brown rot disease free tubers Give proper drainage facilities  Remove and destroy the affected plants",26.2651,87.3699
ARARIA,Vegetables,2015,10,26,Potato,ARARIA,"Plant Protection",nan,HORTICULTURE,BIHAR,"BROWN ROT IN CAULIFLOWER","PROPER DRAINAGE",26.2651,87.3699
UDHAGAMANDALAM,Vegetables,2015,9,10,Potato,"THE NILGIRIS","Plant Protection",KHARIF,HORTICULTURE,TAMILNADU,"Brown rot in potato","Recommended for soil drenching for copper oxy chloride 25 g lit of water",11.4,76.7
BARPETA,Vegetables,2016,11,17,Potato,BARPETA,"Plant Protection",RABI,HORTICULTURE,ASSAM,"ASKING ABOUT THE CONTROL OF BROWN ROT","SUGGESTED HIM TO SPRAY INDOFIL-M-45  2GML OF WATER",26.3459,91.0397
SALEPUR,Vegetables,2016,1,9,Potato,CUTTACK,"Plant Protection",nan,HORTICULTURE,ODISHA,"BROWN ROT IN POTATO","RECOMMENDED TO DRENCH COPPER OXYCHLORIDE 30GM  STREPTOCYCLIN 15GM  10 LITER OF WATER",20.4686,85.8792
BARPALI,Vegetables,2016,3,12,Potato,BARGARH,"Plant Protection",nan,HORTICULTURE,ODISHA,"Brown rot in potato","Spray 30 gram copper oxy chloride and 15 gram streptocyclin in 10 litre water",21.232,83.5653
DEEG,Vegetables,2016,12,20,Potato,BHARATPUR,"Plant Protection",RABI,HORTICULTURE,RAJASTHAN,"TELL ME CONTROL OF BROWN ROT IN POTATO","USE HEXACONAZOLE 5 EC 1 LITER PER HA WITH IRRIGATION",27.0247,77.292
HATHGAON,Vegetables,2016,8,23,Potato,FATEHPUR,"Plant Protection",KHARIF,HORTICULTURE,"UTTAR PRADESH","brown rot in potato","Select brown rot disease free tubers Give proper drainage facilities  Remove and destroy the affected plants",25.8348,80.9155
BALDEO,Vegetables,2017,12,19,Potato,MATHURA,"Plant Protection",RABI,HORTICULTURE,"UTTAR PRADESH","Brown rot control in potato info","Carbofuran 3G  4-5 Kgacre ki dar se prayog kare",27.4956,77.6856
SASNI,Vegetables,2017,4,12,Potato,HATHRAS,"Plant Protection",RABI,HORTICULTURE,"UTTAR PRADESH","Brown rot potato  control infarmetion ","fasal chakr apnaye beej ko upcharit kar buwai kare",27.5724,78.1116
ARAMBAGH,Vegetables,2017,1,23,Potato,HOOGHLY,"Plant Protection",RABI,HORTICULTURE,"WEST BENGAL","CONTROL OF BROWN ROT IN POTATO TUBER","RECOMMENDED FOR SELECT BROWN ROT DISEASE FREE TUBERSGIVE PROPER DRAINAGE FACILITIES REMOVE AND DESTROY THE AFFECTED PLANT",22.9099,88.0121
GONDA,Vegetables,2018,1,15,Potato,ALIGARH,"Plant Protection",RABI,HORTICULTURE,"UTTAR PRADESH","Brown rot disease in potato","Give proper drainage facilities  Remove and destroy the affected plants",27.8761,78.1358
MANKACHAR,Vegetables,2019,12,1,Potato,DHUBRI,"Plant Protection",nan,HORTICULTURE,ASSAM,"ASKING ABOUT CONTROL OF BROWN ROT ",nan,26.1323,90.125
