BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
"0   ",0,2009,12,24,Potato,BHOJPUR,2,KHARIF,AGRICULTURE,BIHAR,"EARLY BLIGHT OF POTATO","SPRAY ENDOPHIL M 452GMLIT OF WATER",25.4501,84.5635
"0   ",0,2009,12,21,Potato,ROHTAS,2,KHARIF,AGRICULTURE,BIHAR,"EARLY BLIGHT IN POTATO","SPRAY ENDOPHIL M 4515-2GMLIT OF WATER",24.9394,84.0197
"0   ",0,2009,12,8,Potato,SARAN,2,KHARIF,AGRICULTURE,BIHAR,"asking about early blight of potato","spray mancozeb  2gm lit of water",25.9214,84.776
"0   ",0,2009,12,25,Potato,SIWAN,2,KHARIF,AGRICULTURE,BIHAR,"EARLY BLIGHT IN POTATO","SPRAY ENDOFIL M452GMLIT OF WATER",26.131,84.3911
"0   ",0,2009,11,2,Potato,BHAGALPUR,2,KHARIF,AGRICULTURE,BIHAR,"POTATO ME EARLY BLIGHT LAGA HAI","SPRAY CARBENDAZIM 1GM  MENCOZEB 1GM L WATER",25.2861,87.1304
"0   ",0,2009,12,19,Potato,KISHANGANJ,2,KHARIF,AGRICULTURE,BIHAR,"ASKING ABOUT EARLY BLIGHT IN POTATO","SPRAY ENDOPHIL M 452GMLIT OF WATER",26.2984,87.9467
"0   ",0,2009,12,18,Potato,SHEOHAR,2,KHARIF,AGRICULTURE,BIHAR,"ASKING ABOUT EARLY BLIGHT IN POTATO","SPRAY ENDOPHIL M 4515-2GMLIT OF WATER",26.4934,85.2718
ADAMPUR,0,2009,11,30,Potato,HISSAR,2,KHARIF,AGRICULTURE,HARYANA,"HOW TO CONTROL EARLY BLIGHT OF POTATO CROP ","SPRAY TO INDOFIL Z-78  600-800 GM IN 200 LITRES OF WATER ACRE ",29.8573,76.4545
SIRSA,0,2009,12,27,Potato,SIRSA,2,KHARIF,AGRICULTURE,HARYANA,"HOW TO CONTROL EARLY BLIGHT IN POTATO CROP ","SPRAY INDOFIL Z-78  600-800 GM IN 200 LITRES OF WATER ACRE",29.6063,74.9037
"BAWANI KHERA",0,2009,12,12,Potato,BHIWANI,2,KHARIF,AGRICULTURE,HARYANA,"HOW TO CONTROL EARLY BLIGHT IN POTATO CROP ","SPRAY TO INDOFIL-M-45  600-800 GM IN 200 LITRES OF WATER ACRE ",28.7932,76.1391
DADRI-I,0,2009,12,31,Potato,BHIWANI,2,KHARIF,AGRICULTURE,HARYANA,"CONTROL OF EARLY BLIGHT IN POTATO ","SPRAY OF INDOFIL-M-45  600GM IN 200 LITERS OF WATERACRE",28.7932,76.1391
