BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
"0   ",0,2009,11,6,Potato,AHMADNAGAR,"Agriculture Mechanization",KHARIF,AGRICULTURE,MAHARASHTRA,"attack of jassids on potato","spraying of imidacloprid 5 ml in 10 lit water",19.0744,74.722
"0   ",0,2009,11,28,Potato,AHMADNAGAR,3,KHARIF,AGRICULTURE,MAHARASHTRA,"JASSIDS IN POTATO","SPRAY DIMETHOATE 10ML  30ML NEEMOIL  10GM DETERGENT IN 10 LIT OF WATER",19.0744,74.722
"0   ",0,2010,10,14,Potato,INDORE,"Plant Protection",KHARIF,AGRICULTURE,"MADHYA PRADESH","To control aphids and jassids spraying metasystox or dimethoate 1 ml per litre is effectiveTo control aphids and jassids spraying metasystox or dimethoate 1 ml per litre is effectiveTo control aphids and jassids spraying metasystox or dimethoate 1 ml per litre is effectivehow To control aphids and jassids",nan,22.7204,75.8682
"0   ",0,2010,1,27,Potato,NASIK,3,RABI,AGRICULTURE,MAHARASHTRA,"attack of aphids  jassids on potato ","spraying of emida croplid 5 ml in 10 lit of water",19.9613,73.8317
MAUR,Vegetables,2011,11,3,Potato,BHATINDA,76,KHARIF,HORTICULTURE,PUNJAB,"HOW TO CONTROL JASSIDS IN POTATO CROP","SPRAY ROGOR 30EC  300ML IN 80-100LITERS WATER PER ACRE",30.2068,74.9464
"0   ",Vegetables,2011,11,8,Potato,SANGRUR,76,KHARIF,HORTICULTURE,PUNJAB,"how to control jassids in potato crop","spray rogor 30ec  300ml in 100liters water per acre",30.1357,75.8533
CHHINDWARA,Vegetables,2012,12,16,Potato,CHHINDWARA,76,KHARIF,HORTICULTURE,"MADHYA PRADESH","aphids  jassids control in potato  ","spray metasystax  2 ml  liter of water",22.2072,78.7988
AMBIKAPUR,Vegetables,2012,12,5,Potato,SURGUJA,"Plant Protection",KHARIF,HORTICULTURE,CHHATTISGARH,"aphidsjassids problem in potato crop","pls spray dimethoate or emdachloropid  2-5ml per pump",22.9469,83.1657
TENDUKHEDA,Vegetables,2013,2,14,Potato,DAMOH,76,RABI,HORTICULTURE,"MADHYA PRADESH","jassids potato control ","spray imidaclopride  5-6 ml  15 liter of water ",23.7981,79.5419
SAILU,Vegetables,2013,3,21,Potato,PARBHANI,76,KHARIF,HORTICULTURE,MAHARASHTRA,jassids,"spray acephate",19.2902,76.6026
BALANGIR,Vegetables,2013,12,2,Potato,BALANGIR,nan,KHARIF,HORTICULTURE,ODISHA,"Jassids atack",Details,20.6095,83.1673
MAHILPUR,Vegetables,2013,10,8,Potato,HOSHIARPUR,nan,KHARIF,HORTICULTURE,PUNJAB,"INFORMATION REGARDING FOR THE CONTROL OF APHIDS  JASSIDS ATTACK ON POTATOALOO CROP","FOR THE CONTROL OF APHIDS  JASSIDS ATTACK ON POTATO CROPPLS SPRAY 100ML IMIDACHLOPRIDE OR 120GM THIAMATHOXAMACRE IN 150LITRE WATER",31.6093,75.846
MAHILPUR,Vegetables,2013,10,16,Potato,HOSHIARPUR,nan,KHARIF,HORTICULTURE,PUNJAB,"INFORMATION REGARDING FOR THE CONTROL OF APHIDS  JASSIDS ATTACK ON POTATOALOO CROP","FOR THE CONTROL OF APHIDS  JASSIDS ATTACK ON POTATO CROPPLS SPRAY 100ML IMIDACHLOPRIDE OR 120GM THIAMATHOXAMACRE IN 150LITRE WATER",31.6093,75.846
NAKODAR,Vegetables,2013,11,4,Potato,JALANDHAR,"Plant Protection",KHARIF,HORTICULTURE,PUNJAB,"INFORMATION REGARDING FOR THE CONTROL OF APHIDS  JASSIDS ATTACK ON POTATOALOO CROP","FOR THE CONTROL OF APHIDS  JASSIDS ATTACK ON POTATO CROPPLS SPRAY 100ML IMIDACHLOPRIDE OR 120GM THIAMATHOXAMACRE IN 150LITRE WATER",31.2922,75.5679
