BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
"0   ",0,2009,12,31,Potato,GURDASPUR,3,KHARIF,AGRICULTURE,PUNJAB,"INFORMATION REGARING CONTROL LEAF MINER OF PEA","I TOLD HIM SPRAY 300 ML ROGOR IN 100 LITER WATER ACRE",31.9037,75.2276
"0   ",0,2009,12,26,Potato,FARIDKOT,3,KHARIF,AGRICULTURE,PUNJAB,"INFORMATION REGARDING LEAF MINER OF PEA","SPRAY  300 ML ROGOR-30EC IN 100 LITER PERACRE",30.6014,74.795
"0   ",0,2010,2,18,Potato,DINDORI,"Plant Protection",KHARIF,AGRICULTURE,"MADHYA PRADESH","POTATO LEAF MINER CONTROL","SPRAY MAGISTER  7 ML PUMP",22.9071,80.8847
"0   ",0,2010,1,6,Potato,JALANDHAR,3,KHARIF,AGRICULTURE,PUNJAB,"INFORMATION REGARDING CONTROL LEAF MINER OF POTATO",nan,31.2922,75.5679
"0   ",0,2010,1,6,Potato,JALANDHAR,3,KHARIF,AGRICULTURE,PUNJAB,"INFORMATION REGARDING CONTROL LEAF MINER OF POTATO","SPRAY  300 ML ROGOR IN 100 LITER WATER ACRE",31.2922,75.5679
"0   ",0,2010,1,2,Potato,FEROZPUR,3,KHARIF,AGRICULTURE,PUNJAB,"INFORMATION REGARDING CONTROL LEAF MINER OF POTATO ","SPRAY  300 ML ROGOR-30EC IN 100 LITER WATER ACRE",30.4426,74.0656
"0   ",0,2010,3,10,Potato,AMRITSAR,3,RABI,AGRICULTURE,PUNJAB,"INFORMATION REGARDING CONTROL LEAF MINER OF POTATO ","SPRAY  250 ML ROGOR-30 EC IN 100 LITER WATER ACRE",31.6357,74.8787
"0   ",0,2010,11,25,Potato,DEHRADUN,2,KHARIF,AGRICULTURE,UTTARAKHAND,"INFORMATION REGARDING CONTROL TO LEAF MINER OF PEA","APPLY OXYDEMENTON-METHYL 25EC750MLHAC WITH MINIMUM 500LIT OF WATER",30.3256,78.0437
BEGAMGANJ,Vegetables,2012,12,21,Potato,RAISEN,75,KHARIF,HORTICULTURE,"MADHYA PRADESH","how to control leaf miner of tomato","Spray any one of the following chemicals starting from one month after planting at 15 days interval 1 Carbaryl 50 WP 2 glit  Wettable Sulphur 50 WP 2 glit or 2 Neem oil 3  or  3 Quinalphos 25 EC 2 mllit  Neem oil 3  or 4 Neem Seed Kernel Extract 5 ",23.2676,78.1727
OMPI,Vegetables,2013,12,13,Potato,"SOUTH TRIPURA","Plant Protection",KHARIF,HORTICULTURE,TRIPURA,"CONTROL OF LEAF MINER IN POTATO CULTIVATION","ADVISED TO SPRAY FLASH TRICEL  15 ML  LITRE OF WATER",23.1708,91.6388
AGOMANI,Vegetables,2014,12,12,Potato,DHUBRI,"Plant Protection",RABI,HORTICULTURE,ASSAM,"ASKING CONTROL OF LEAF MINER ATTACK IN POTATO","SPRAY MALATHION 50 EC  2 ML PER LITRE OF WATER",26.1323,90.125
