BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
"0   ",0,2011,1,26,Potato,BHATINDA,3,KHARIF,AGRICULTURE,PUNJAB,"how to control of leaf roll virus in potato ","spray  300 ml of rogor 30ec in 100 litres water per acre",30.2068,74.9464
"0   ",Vegetables,2012,12,24,Potato,"BANAS KANTHA",75,KHARIF,HORTICULTURE,GUJARAT,"potato leaf roll viruses control","spray dimithoat 15mlpump",24.25,72.5
TARIKERE,Vegetables,2013,8,9,Potato,CHIKMAGALUR,"Plant Protection",nan,HORTICULTURE,KARNATAKA,"Potato Leaf roll Virus ","Population of aphid vectors is controlled by application of suitable contactsystemic insecticides",13.318,75.7739
UJJAIN,Vegetables,2013,12,1,Potato,UJJAIN,"Plant Protection",KHARIF,HORTICULTURE,"MADHYA PRADESH","how to control potato leaf roll virus","Collect and destroy the infected plants Spray systemic insecticides to control aphid vector",23.1885,75.7717
UJJAIN,Vegetables,2013,12,8,Potato,UJJAIN,nan,KHARIF,HORTICULTURE,"MADHYA PRADESH","Leaf roll: Potato Leaf roll Virus PLRV ","spray of Oxydemeton  30 MLpump",23.1885,75.7717
BANMANKHI,Vegetables,2014,11,2,Potato,PURNEA,"Plant Protection",RABI,HORTICULTURE,BIHAR,"Leaf roll: Potato Leaf roll Virus","spray chloropyriphos  2ml in 1 litre of water",25.7774,87.4731
NARSINGHGARH,Vegetables,2014,12,27,Potato,RAJGARH,"Plant Protection",RABI,HORTICULTURE,"MADHYA PRADESH","HOW TO CONTROL Potato Leaf roll Virus ","SPRAY METASYSTOX 25 EC  MLLITRE OF WATER TO CONTROL VECTOR Potato Leaf roll Virus  ",23.8717,76.7745
TARANA,Vegetables,2014,11,7,Potato,UJJAIN,"Plant Protection",RABI,HORTICULTURE,"MADHYA PRADESH","Leaf roll: Potato Leaf roll Virus PLRV ","Recommended for spray of Methyl demeton  30 MLpump and Spray of Carbendazim  45 gm  Streptrocylin  2 mpump",23.1885,75.7717
DEPALPUR,Vegetables,2014,12,14,Potato,INDORE,"Plant Protection",RABI,HORTICULTURE,"MADHYA PRADESH","farmer want to know information about How to control of Potato Leaf roll Virus PLRV in potato crop ","Spray of imidaclorprid 178SL 5 to 6 ml per pump",22.7204,75.8682
BALIAPAL,Vegetables,2014,12,20,Potato,BALASORE,"Plant Protection",nan,HORTICULTURE,ODISHA,"POTATO LEAF ROLL VIRUS","RECOMMENDED IMIDACHLOPRID  1ML3LITRE SPRAY",21.5006,86.9199
BALESHWAR,Vegetables,2014,12,22,Potato,BALASORE,"Plant Protection",nan,HORTICULTURE,ODISHA,"LEAF ROLL VIRUS IN POTATO","RECOMMENDED IMIDACHLOPRID  1ML3LITRE SPRAY",21.5006,86.9199
RAIRAKHOL,Vegetables,2014,12,9,Potato,SAMBALPUR,"Plant Protection",nan,HORTICULTURE,ODISHA,"POTATO LEAF ROLL VIRUS","RECOMMENDED IMIDACHLOPRID  1ML3LITRE SPRAY",21.5571,84.1529
DHARSIWA,Vegetables,2014,11,29,Potato,RAIPUR,"Plant Protection",RABI,HORTICULTURE,CHHATTISGARH,"how to control potato leaf roll VIRUS  ","spray dimethoate  30  EC  1 mllitre of water to control potato leaf roll VIRUS  ",21.2381,81.6337
DHAMTARI,Vegetables,2014,1,26,Potato,DHAMTARI,"Plant Protection",KHARIF,HORTICULTURE,CHHATTISGARH,"Leaf roll: Potato Leaf roll Virus PLRV ","spray of Methyl demeton  30 MLpump and Spray of Carbendazim  45 gm  Streptrocylin  2 mpump",20.5326,81.7156
MAJULI,Vegetables,2015,12,11,Potato,JORHAT,"Plant Protection",nan,HORTICULTURE,ASSAM,"asking about the control of potato leaf roll virus","suggest him to apply rogor 35 ec  2mllitre of water",26.7578,94.208
GHILAMARA,Vegetables,2015,12,11,Potato,LAKHIMPUR,"Plant Protection",nan,HORTICULTURE,ASSAM,"asking about the control of potato leaf roll virus","suggest him to apply rogor 35 ec  2mllitre of water",27.1763,94.1993
"MOMAN BADODIA",Vegetables,2015,1,10,Potato,SHAJAPUR,"Plant Protection",RABI,HORTICULTURE,"MADHYA PRADESH","how to control Potato Leaf roll Virus potato crop ","Recommended for spray Thiamethaxam 70  WS  5 gram per pump ",23.4171,76.6075
SATYABADI,Vegetables,2015,1,27,Potato,PURI,"Plant Protection",nan,HORTICULTURE,ODISHA,"POTATO LEAF ROLL VIRUS","SPRAY ACEPHATE 2G PER 1LTR WATER",19.8076,85.8253
AMLOH,Vegetables,2015,11,1,Potato,"FATEHGARH SAHIB","Plant Protection",RABI,HORTICULTURE,PUNJAB,"INFORMATION REGARDING TO CONTROL POTATO LEAF ROLL VIRUS","TO CONTROL POTATO LEAF ROLL VIRUS APPLY 5 KG THIMET 10GACRE",30.6634,76.3803
BILAIGARH,Vegetables,2015,1,23,Potato,BalodaBazar,"Plant Protection",RABI,HORTICULTURE,CHHATTISGARH,"HOW TO CONTROL LEAF ROLL VIRUS IN POTATO ","SPRAY MITHYLE DEMETON 25   EC  1MLLITRE OF WATER TO CONTROL VECTOR APHIDS ",21.6565,82.1606
BADNAGAR,Vegetables,2016,1,20,Potato,UJJAIN,"Plant Protection",RABI,HORTICULTURE,"MADHYA PRADESH","Leaf roll: Potato Leaf roll Virus PLRV ","spray of Methyl demeton  30 MLpump and Spray of Carbendazim  45 gm  Streptrocylin  2 mpump",23.1885,75.7717
RUPSHI,Vegetables,2017,1,3,Potato,BARPETA,"Plant Protection",nan,HORTICULTURE,ASSAM,"asking about the control of potato leaf roll virus","suggest him to apply rogor 35 ec  2mllitre of water",26.3459,91.0397
TITABOR,Vegetables,2017,2,1,Potato,JORHAT,"Plant Protection",RABI,HORTICULTURE,ASSAM,"Asking about control measure of potato leaf roll virus","Recommended to spray Rogor  2 ml per lit of water twice after 5 days interval",26.7578,94.208
