BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
"0   ",Vegetables,2011,7,28,Potato,CHITRADURGA,76,nan,HORTICULTURE,KARNATAKA,"white grub","Summer ploughing to expose the pupae and adults2 Dust Endosulfan 5 D or Quinalphos 5 D at 25 kgha 10 days after first summer rains3 Install light traps between 7 pm and 9 pm in April - May months4 Hand pick the adult beetles in the morning5 Hand pick the 3rd instar grub during July - August   6 In endemic areas apply Phorate 10 G at 25 kgha during autumn season August",14.3049,76.5297
"0   ",Vegetables,2011,7,28,Potato,CHITRADURGA,76,nan,HORTICULTURE,KARNATAKA,"white grub",nan,14.3049,76.5297
"0   ",Vegetables,2011,10,1,Potato,MANDYA,76,nan,HORTICULTURE,KARNATAKA,"white grub","Summer ploughing to expose the pupae and adults2 Dust Endosulfan 5 D or Quinalphos 5 D at 25 kgha 10 days after first summer rains3 Install light traps between 7 pm and 9 pm in April - May months4 Hand pick the adult beetles in the morning5 Hand pick the 3rd instar grub during July - August   6 In endemic areas apply Phorate 10 G at 25 kgha during autumn season August - October",12.6369,76.7275
"0   ",Vegetables,2011,10,7,Potato,UDUPI,76,nan,HORTICULTURE,KARNATAKA,"white grub","Summer ploughing to expose pupae Endosulfan 4  dust or quinalphos 5 Dust  25 kg ha  10 days after first summer rainSet up light trap  1ha between 7 PM and 9 PM Hand  pick adult beetles in the morning",13.527,74.8732
KALAMB,Vegetables,2012,12,16,Potato,OSMANABAD,76,KHARIF,HORTICULTURE,MAHARASHTRA,"attack of white grub","apply phorate 25 kgha",18.2822,76.0588
DANTIVADA,Vegetables,2013,11,12,Potato,"BANAS KANTHA",nan,KHARIF,HORTICULTURE,GUJARAT,"ask abt white grub","I suggested kloropyrifos",24.25,72.5
DEESA,Vegetables,2013,11,12,Potato,"BANAS KANTHA",nan,KHARIF,HORTICULTURE,GUJARAT,"ask abt white grub","I suggested kloropyrifos",24.25,72.5
AMBAH,Vegetables,2013,5,25,Potato,MORENA,nan,RABI,HORTICULTURE,"MADHYA PRADESH","HOW TO CONTROL WHITE GRUB POTATO","FORET 10-16KG ACRE POTATO",26.385,77.8613
GHATIYA,Vegetables,2013,11,24,Potato,UJJAIN,nan,KHARIF,HORTICULTURE,"MADHYA PRADESH","Potato White grub ","In endemic areas apply Phorate 10 G at 25 kgha during autumn season August - October",23.1885,75.7717
WAI,Vegetables,2013,3,20,Potato,SATARA,76,KHARIF,HORTICULTURE,MAHARASHTRA,"sweet pototo white grub ",thimate,17.6361,74.2983
UDGIR,Vegetables,2013,11,17,Potato,LATUR,nan,JAYAD,HORTICULTURE,MAHARASHTRA,"Attack of White Grub ","Spray Redomil Gold 30gm  Humic Acid 30ml15 Lit of Water Drenching",18.3553,76.7549
CHIKHLI,Vegetables,2013,3,9,Potato,BULDANA,76,KHARIF,HORTICULTURE,MAHARASHTRA,"white grub",gives,20.5628,76.4087
BHANDARA,Vegetables,2013,12,1,Potato,BHANDARA,"Plant Protection",KHARIF,HORTICULTURE,MAHARASHTRA,"white grub attack ","2309232523812335237523522366 523272381235223732350 2352236723372379235023672354 23272379235423812337 3023272381235223732350 152354236723352352 23462366233923812351236623502343238123512375 2328237523142344 234723572366235223392368 23252352236623572368",21.1226,79.7945
"0   ",Vegetables,2013,3,7,Potato,"North Delhi Narela","Plant Protection",KHARIF,HORTICULTURE,DELHI,"WHITE GRUB IN POTATO","USE QUNALPHOS 1 LBIGHA",28.8228,77.1258
GOTEGAON,Vegetables,2014,1,14,Potato,NARSIMPUR,"Plant Protection",KHARIF,HORTICULTURE,"MADHYA PRADESH","how to control white grub in potato ","Quinalphos 5 Dust  25 kg ha",23.8143,77.5341
NARWAR,Vegetables,2014,10,8,Potato,SHIVPURI,"Plant Protection",KHARIF,HORTICULTURE,"MADHYA PRADESH","how to control of white grub in potato crop","spray cloropyriphos  50 mlpump",25.3741,77.8279
KHILCHIPUR,Vegetables,2014,12,4,Potato,RAJGARH,"Plant Protection",RABI,HORTICULTURE,"MADHYA PRADESH","how to control white grub on potato crop","apply Phorate 10 G at 10 kgacre",23.8717,76.7745
SHAJAPUR,Vegetables,2014,11,25,Potato,SHAJAPUR,"Plant Protection",RABI,HORTICULTURE,"MADHYA PRADESH","White Grubs in Potato damage the plant ","Broadcasting of Forate 10G  8-10 kgacre",23.4171,76.6075
SITAMAU,Vegetables,2014,12,3,Potato,MANDSAUR,"Plant Protection",RABI,HORTICULTURE,"MADHYA PRADESH","how to control white grub on potato crop","apply Phorate 10 G at 10 kg acre",24.2628,75.3857
SINNAR,Vegetables,2014,2,4,Potato,NASIK,"Plant Protection",JAYAD,HORTICULTURE,MAHARASHTRA,"Attack of White Grub ","Drenching of Chloropyriphos 40 ml  15 lit of water23252381235423792352237923462366235123522368234723792360  402350236723542367  15 23542368 10 2354236723352352 2346236623392381235123662340 23282375235723702344 23102355235723392368 23252352236623572368",19.9613,73.8317
SHEVGAON,Vegetables,2014,11,20,Potato,AHMADNAGAR,"Plant Protection",nan,HORTICULTURE,MAHARASHTRA,"Attack of White Grub ","Phorate 4 G 10kgAcre Application",19.0744,74.722
PARNER,Vegetables,2014,11,25,Potato,AHMADNAGAR,"Plant Protection",RABI,HORTICULTURE,MAHARASHTRA,"Attack of White Grub ","  40  15  10     ",19.0744,74.722
NEVASA,Vegetables,2014,11,28,Potato,AHMADNAGAR,"Plant Protection",nan,HORTICULTURE,MAHARASHTRA,"Attack of White Grub ","Use Fertera 4 kg acre  Regent 4 kg  acre",19.0744,74.722
KARMALA,Vegetables,2014,10,31,Potato,SOLAPUR,"Plant Protection",KHARIF,HORTICULTURE,MAHARASHTRA,"Attack of White Grub","Use Fertera 4 kg acre  Regent 4 kg  acre",17.8499,75.2763
GANGAPUR,Vegetables,2014,11,3,Potato,AURANGABAD,"Plant Protection",nan,HORTICULTURE,MAHARASHTRA,"Attack of White Grub ","Drenching of Chloropyriphos 40 ml  15 lit of water",19.8773,75.339
KANAND,Vegetables,2014,12,17,Potato,AURANGABAD,"Plant Protection",nan,HORTICULTURE,MAHARASHTRA,"Attack of White Grub ","Use Fertera 4 kg acre  Regent 4 kg  acre",19.8773,75.339
MANWAT,Vegetables,2014,1,16,Potato,PARBHANI,nan,KHARIF,HORTICULTURE,MAHARASHTRA,"WHITE GRUB ATTACK ","23252381235423792352237923462366235123522368234723792360 302350236723542367  23612369235023672325 23092373236023672337 30 2350236723542367152354236723352352 2346236623392381235123662340 23282375235723702344 23102355235723392368 23252352236623572368",19.2902,76.6026
JINTUR,Vegetables,2014,11,4,Potato,PARBHANI,"Plant Protection",RABI,HORTICULTURE,MAHARASHTRA,"white grube on potato","white grube on potato - drenching lasenta 150 gm  acre - drenching lasenta 150 gm  acre",19.2902,76.6026
BEED,Vegetables,2014,9,14,Potato,BEED,"Plant Protection",KHARIF,HORTICULTURE,MAHARASHTRA,"Attack of White Grub in potato","Use Fertera 4 kg acre  Thimate 4 kg  acreSpray Nuwan 20ml15Lit of Water",18.9918,75.9098
GEORAI,Vegetables,2014,11,19,Potato,BEED,"Plant Protection",nan,HORTICULTURE,MAHARASHTRA,"Attack of White Grub","Use Fertera 4 kg acre  Regent 4 kg  acre",18.9918,75.9098
LATUR,Vegetables,2014,10,10,Potato,LATUR,"Plant Protection",KHARIF,HORTICULTURE,MAHARASHTRA,"Attack of White Grub ","Use Fertera 4 kg acre  Thimate 4 kg  acre",18.3553,76.7549
SENGAON,Vegetables,2014,2,22,Potato,HINGOLI,"Plant Protection",KHARIF,HORTICULTURE,MAHARASHTRA,"white grub","give information",19.5431,77.1739
SENGAON,Vegetables,2014,2,22,Potato,HINGOLI,"Plant Protection",KHARIF,HORTICULTURE,MAHARASHTRA,"white grub","give information",19.5431,77.1739
SENGAON,Vegetables,2014,2,22,Potato,HINGOLI,"Plant Protection",KHARIF,HORTICULTURE,MAHARASHTRA,"white grub","give information",19.5431,77.1739
SENGAON,Vegetables,2014,2,22,Potato,HINGOLI,"Plant Protection",KHARIF,HORTICULTURE,MAHARASHTRA,"white grub","give information",19.5431,77.1739
ARAIN,Vegetables,2014,11,25,Potato,AJMER,"Plant Protection",RABI,HORTICULTURE,RAJASTHAN,"TELL ME FOR CONTROL OF WHITE GRUB POTATO","USE QUINOLPHOS 25 EC 4 LITER PER HA WITH IRRIGATION FOR CONTROL OF WHITE GRUB",26.4691,74.639
ARAIN,Vegetables,2014,11,25,Potato,AJMER,"Plant Protection",RABI,HORTICULTURE,RAJASTHAN,"TELL ME FOR CONTROL OF WHITE GRUB","USE QUINOLPHOS 25 EC 4 LITER PER HA WITH IRRIGATION FOR CONTROL OF WHITE GRUB",26.4691,74.639
ARAIN,Vegetables,2014,11,25,Potato,AJMER,"Plant Protection",RABI,HORTICULTURE,RAJASTHAN,"TELL ME FOR CONTROL OF WHITE GRUB  IN POTATO","USE QUINOLPHOS 25 EC 4 LITER PER HA WITH IRRIGATION FOR CONTROL OF WHITE GRUB",26.4691,74.639
ARAIN,Vegetables,2014,11,25,Potato,AJMER,"Plant Protection",RABI,HORTICULTURE,RAJASTHAN,"TELL ME FOR CONTROL OF WHITE GRUB POTATO","USE QUINOLPHOS 25 EC 4 LITER PER HA WITH IRRIGATION FOR CONTROL OF WHITE GRUB",26.4691,74.639
ARAIN,Vegetables,2014,11,25,Potato,AJMER,"Plant Protection",RABI,HORTICULTURE,RAJASTHAN,"TELL ME FOR CONTROL OF WHITE GRUB  IN POTATO","USE QUINOLPHOS 25 EC 4 LITER PER HA WITH IRRIGATION FOR CONTROL OF WHITE GRUB",26.4691,74.639
"RAMPUR MANIHARAN",Vegetables,2014,11,12,Potato,SAHARANPUR,"Plant Protection",RABI,HORTICULTURE,"UTTAR PRADESH","potato me white grub ki samasya hai","kisan bhai phoret ya carbofuran ka prayog kare",29.9857,77.5041
SIAR,Vegetables,2014,12,24,Potato,BALLIA,"Plant Protection",RABI,HORTICULTURE,"UTTAR PRADESH","aloo me white grub laga hai","regent  ya foret ya furadan   8  kg acre daale",25.875,84.121
DARJEELING-PULBAZAR,Vegetables,2014,7,2,Potato,DARJEELING,"Plant Protection",JAYAD,HORTICULTURE,"WEST BENGAL","CONTROL OF WHITE GRUBSAPHIDS IN POTATO","Application of Metarhizium anisopliae  20 kgha at the time of land preparationspray neem oil 3mllitre of water",27.0378,88.2632
MAHASAMUND,Vegetables,2014,3,2,Potato,MAHASAMUND,"Plant Protection",KHARIF,HORTICULTURE,CHHATTISGARH,"how I can control white grub in potato","Quinalphos 5 Dust  25 kg ha  10 days after first summer rainSummer ploughing to expose pupaeSet up light trap  1ha between 7 PM and 9 PMHand  pick adult beetles in the morning",21.1923,82.489
MAINPAT,Vegetables,2014,2,14,Potato,SURGUJA,"Plant Protection",KHARIF,HORTICULTURE,CHHATTISGARH,"how to control White grubs","Summer ploughing to expose pupaeQuinalphos 5 Dust  25 kg ha  10 days after first summer rainSet up light trap  1ha between 7 PM and 9 PMHand  pick adult beetles in the morning",22.9469,83.1657
BARAMKELA,Vegetables,2014,12,23,Potato,RAIGARH,"Plant Protection",RABI,HORTICULTURE,CHHATTISGARH,"White Grubs in Potato damage the plant ","Broadcasting of Forate 10G  8-10 kgacre",22.2362,83.353
VADGAM,Vegetables,2015,12,29,Potato,"BANAS KANTHA","Plant Protection",RABI,HORTICULTURE,GUJARAT,"Ask about termiteNematodwhite grub control information","Suggested: Chlorpyrifos 20 EC 30 mlpump drenching or 250 mlvigha water treatment",24.25,72.5
MANSA,Vegetables,2015,12,30,Potato,GANDHINAGAR,"Plant Protection",RABI,HORTICULTURE,GUJARAT,"Ask about termiteNematodwhite grub control information","Suggested: Chlorpyrifos 20 EC 30 mlpump drenching or 250 mlvigha water treatment",23.2233,72.6492
IDAR,Vegetables,2015,12,25,Potato,SABARKANTHA,"Plant Protection",RABI,HORTICULTURE,GUJARAT,"Ask about termiteNematodwhite grub control information","Suggested: Chlorpyrifos 20 EC 30 mlpump drenching or 250 mlvigha water treatment",23.8689,73.0138
BHAINSDEHI,Vegetables,2015,7,18,Potato,BETUL,"Plant Protection",nan,HORTICULTURE,"MADHYA PRADESH","farmer wants to information how to control white grubs in potato crop","Recommended for use phorate or corbofuron 8-10 kg per acre ",21.8797,77.8754
MULTAI,Vegetables,2015,11,27,Potato,BETUL,"Plant Protection",RABI,HORTICULTURE,"MADHYA PRADESH","farmer want to know information about how to control White grub in potato crop","recommand for spray of qunalphos 25 EC 1000 ml Spray per ha",21.8797,77.8754
KALAPIPAL,Vegetables,2015,11,28,Potato,SHAJAPUR,"Plant Protection",RABI,HORTICULTURE,"MADHYA PRADESH","farmer want to know about control of white grub in potato  field ","reccomended drenching chloropyriphas 20 EC 500 ml mix with 15 kg sand ",23.4171,76.6075
BAGLI,Vegetables,2015,11,26,Potato,DEWAS,"Plant Protection",RABI,HORTICULTURE,"MADHYA PRADESH","FARMER WANT TO KNOW HOW TO CONTROL WHITE GRUB IN POTATO CROP ","recommended for apply to 1 liter clopyrephos mixed to sand then apply to farm field for control of WHITE GRUB",22.8057,76.294
DEPALPUR,Vegetables,2015,9,30,Potato,INDORE,"Plant Protection",RABI,HORTICULTURE,"MADHYA PRADESH","how to control white grub  of potato  crop ","Chlorpyriphos 20ec 750 ml per acre apply mix with sand ",22.7204,75.8682
DATIA,Vegetables,2015,11,24,Potato,DATIA,"Plant Protection",nan,HORTICULTURE,"MADHYA PRADESH","White Grubs in Potato damage the plant","Broadcasting of Forate 10G  8-10 kgacre",25.9183,78.6645
JAMKHED,Vegetables,2015,1,12,Potato,AHMADNAGAR,"Plant Protection",RABI,HORTICULTURE,MAHARASHTRA,"ATTACK OF WHITE GRUBS","ATTACK OF WHITE GRUBS -- APPALICATION OF THIMATE  PHORATE",19.0744,74.722
AKOLE,Vegetables,2015,11,4,Potato,AHMADNAGAR,"Plant Protection",RABI,HORTICULTURE,MAHARASHTRA,"Attack of White Grub ","Use Thimet 4 kgacrediethyl S- phosphorodithioatemvac",19.0744,74.722
SANGAMNER,Vegetables,2015,11,22,Potato,AHMADNAGAR,"Plant Protection",nan,HORTICULTURE,MAHARASHTRA,"Attack of White Grub ","Use Fertera 4 kg acre  Regent 4 kg  acre",19.0744,74.722
KHULTABAD,Vegetables,2015,2,25,Potato,AURANGABAD,"Plant Protection",nan,HORTICULTURE,MAHARASHTRA,"Attack of White Grub ","Use Fertera 4 kg acre  Thimate 4 kg  acre",19.8773,75.339
BHOKARDAN,Vegetables,2015,1,27,Potato,JALNA,"Plant Protection",RABI,HORTICULTURE,MAHARASHTRA,"ATTACK OF WHITE GRUB----","Chloropyriphos 30ml  Humic Acid 30ml15 Lit of Water Drenching",19.9188,75.8709
