BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
"0   ",0,2010,3,12,Potato,SEHORE,3,RABI,AGRICULTURE,"MADHYA PRADESH","what are control of potato mosaic virus in leaves","spray acetamiprid  10 ml pump",23.115,77.0665
"KOT KAPURA",Vegetables,2012,12,19,Potato,FARIDKOT,0,nan,HORTICULTURE,PUNJAB,"problem of mosaic virus in potato","spray metasystox 300ml in 100 liters wateracre",30.6014,74.795
BHIKHI,Vegetables,2012,12,22,Potato,MANSA,0,nan,HORTICULTURE,PUNJAB,"problem of mosaic virus in potato","spray metasystox 300ml in 100 liters wateracre",29.8764,75.489
"GHARAUNDA PART",Vegetables,2013,11,28,Potato,KARNAL,"Plant Protection",KHARIF,HORTICULTURE,HARYANA,"How to control potato mosaic virus in potato crop ","spray rogor  300 ml in 200 litre of wateacre",29.7256,76.9107
BARARA,Vegetables,2013,1,2,Potato,AMBALA,76,KHARIF,HORTICULTURE,HARYANA,"how to control mosaic virus in potato crop ","spray tp rogor  300 ml in 250 liter of wateracre",30.3844,76.7704
NARWANA,Vegetables,2013,12,4,Potato,JIND,nan,KHARIF,HORTICULTURE,HARYANA,"How to control potato mosaic virus in potato crop ","spray rogor  300 ml in 200 litre of wateracre",29.314,76.3179
MORENA,Vegetables,2013,2,25,Potato,MORENA,76,RABI,HORTICULTURE,"MADHYA PRADESH","Leaf curl mosaic virus control in potato ","spray imidaclopride  5-6 ml  15 liter of water ",26.385,77.8613
"0   ",Vegetables,2013,1,19,Potato,FEROZPUR,0,nan,HORTICULTURE,PUNJAB,"problem of mosaic virus in potato",nan,30.4426,74.0656
SIPAJHAR,Vegetables,2014,1,27,Potato,DARRANG,nan,KHARIF,HORTICULTURE,ASSAM,"query to control potato mosaic virus","adviced to spray rogor 2mll",26.4373,92.0047
BARWALA,Vegetables,2014,2,17,Potato,HISSAR,"Plant Protection",KHARIF,HORTICULTURE,HARYANA,"Information regarding how to control mosaic virus in potato crop ","spray rogor  350 ml in 200 litre of wateracre",29.8573,76.4545
HISAR-I,Vegetables,2014,11,6,Potato,HISSAR,"Plant Protection",RABI,HORTICULTURE,HARYANA,"Information regarding how to control potato mosaic virus in potato ","Information regarding how to control potato mosaic virus in potato spray rogor  300 ml in 200 litre of wateracre",29.8573,76.4545
HANSI-I,Vegetables,2014,11,7,Potato,HISSAR,"Plant Protection",RABI,HORTICULTURE,HARYANA,"Information regarding how to control potato mosaic virus in potato crop ","Information regarding how to control potato mosaic virus in potato crop spray rogor  350 ml in200 litre of wateracre",29.8573,76.4545
HANSI-I,Vegetables,2014,11,20,Potato,HISSAR,"Plant Protection",RABI,HORTICULTURE,HARYANA,"Information regarding how to control potato mosaic virus in potato ","Information regarding how to control potato mosaic virus in potato spray rogor  300 ml in 200 litre of wateracre",29.8573,76.4545
BARAGUDHA,Vegetables,2014,12,23,Potato,SIRSA,"Plant Protection",RABI,HORTICULTURE,HARYANA,"Information regarding how to control potato mosaic virusthrips in potato ","Information regarding how to control potato mosaic virusthrips in potato spray rogor  300 ml in 200 litre of wateracre",29.6063,74.9037
DADRI-II,Vegetables,2014,10,22,Potato,BHIWANI,"Plant Protection",RABI,HORTICULTURE,HARYANA,"Information regarding how to control potato mosaic virus in potato ","Information regarding how to control potato mosaic virus in potato spray rogor  300 ml in 200 litre of wateracre",28.7932,76.1391
KAIRU,Vegetables,2014,10,26,Potato,BHIWANI,"Plant Protection",RABI,HORTICULTURE,HARYANA,"Information regarding how to control potato mosaic virus in potato ","Information regarding how to control potato mosaic virus in potato spray rogor  300 ml in 200 litre of wateracre",28.7932,76.1391
BADHRA,Vegetables,2014,10,26,Potato,BHIWANI,"Plant Protection",RABI,HORTICULTURE,HARYANA,"Information regarding how to control potato mosaic virus in potato ","Information regarding how to control potato mosaic virus in potato spray rogor  300 ml in 200 litre of wateracre",28.7932,76.1391
BADHRA,Vegetables,2014,11,3,Potato,BHIWANI,"Plant Protection",RABI,HORTICULTURE,HARYANA,"Information regarding how to control potato mosaic virus in potato ","Information regarding how to control potato mosaic virus in potato spray rogor  300 ml in 200 litre of wateracre",28.7932,76.1391
BADHRA,Vegetables,2014,11,3,Potato,BHIWANI,"Plant Protection",RABI,HORTICULTURE,HARYANA,"Information regarding how to control potato mosaic virus in potato ","Information regarding how to control potato mosaic virus in potato spray rogor  300 ml in 200 litre of wateracre",28.7932,76.1391
BADHRA,Vegetables,2014,11,3,Potato,BHIWANI,"Plant Protection",RABI,HORTICULTURE,HARYANA,"Information regarding how to control potato mosaic virus in potato ","Information regarding how to control potato mosaic virus in potato spray rogor  300 ml in 200 litre of wateracre",28.7932,76.1391
TOSHAM,Vegetables,2014,11,7,Potato,BHIWANI,"Plant Protection",RABI,HORTICULTURE,HARYANA,"Information regarding how to control potato mosaic virus in potato ","Information regarding how to control potato mosaic virus in potato spray rogor  300 ml in 200 litre of wateracre",28.7932,76.1391
DADRI-II,Vegetables,2014,11,9,Potato,BHIWANI,"Plant Protection",RABI,HORTICULTURE,HARYANA,"Information regarding how to control potato mosaic virus in potato ","Information regarding how to control potato mosaic virus in potato spray rogor  300 ml in 200 litre of wateracre",28.7932,76.1391
DADRI-I,Vegetables,2014,11,19,Potato,BHIWANI,"Plant Protection",RABI,HORTICULTURE,HARYANA,"Information regarding how to control potato mosaic virus in potato ","Information regarding how to control potato mosaic virus in potato spray rogor  300 ml in 200 litre of wateracre",28.7932,76.1391
KAIRU,Vegetables,2014,11,20,Potato,BHIWANI,"Plant Protection",RABI,HORTICULTURE,HARYANA,"Information regarding how to control potato mosaic virus in potato ","Information regarding how to control potato mosaic virus in potato spray rogor  300 ml in 200 litre of wateracre",28.7932,76.1391
BADHRA,Vegetables,2014,11,23,Potato,BHIWANI,"Plant Protection",RABI,HORTICULTURE,HARYANA,"Information regarding how to control potato mosaic virus in potato ","Information regarding how to control potato mosaic virus in potato spray rogor  300 ml in 200 litre of wateracre",28.7932,76.1391
LOHARU,Vegetables,2014,11,23,Potato,BHIWANI,"Plant Protection",RABI,HORTICULTURE,HARYANA,"Information regarding how to control potato mosaic virus in potato ","Information regarding how to control potato mosaic virus in potato spray rogor  300 ml in 200 litre of wateracre",28.7932,76.1391
ROHTAK,Vegetables,2014,11,1,Potato,ROHTAK,"Plant Protection",RABI,HORTICULTURE,HARYANA,"Information regarding how to control potato mosaic virus in potato crop","Information regarding how to control potato mosaic virus in potato cropspray rogor  300 ml in 200 litre of wateracre",28.9011,76.5802
"LAKHAN MAJRA",Vegetables,2014,11,7,Potato,ROHTAK,"Plant Protection",RABI,HORTICULTURE,HARYANA,"Information regarding how to control potato mosaic virus in potato ","Information regarding how to control potato mosaic virus in potato spray rogor  300 ml in 200 litre of wateracre",28.9011,76.5802
SONIPAT,Vegetables,2014,11,19,Potato,SONEPAT,"Plant Protection",RABI,HORTICULTURE,HARYANA,"Information regarding how to control potato mosaic virus in potato ","Information regarding how to control potato mosaic virus in potato spray rogor  300 ml in 200 litre of wateracre",28.992,77.0343
"FARRUKH NAGAR",Vegetables,2014,1,8,Potato,GURGAON,"Nursery Management",KHARIF,HORTICULTURE,HARYANA,"how to control mosaic virus in mustard","spray 200 ml monocrotophos in 200 lt of water per acre",28.4646,77.0299
PATAUDI,Vegetables,2014,11,4,Potato,GURGAON,"Plant Protection",RABI,HORTICULTURE,HARYANA,"Information regarding how to control potato mosaic virus in potato ","Information regarding how to control potato mosaic virus in potato spray rogor  300 ml in 200 litre of wateracre",28.4646,77.0299
KARNAL,Vegetables,2014,10,26,Potato,KARNAL,"Plant Protection",RABI,HORTICULTURE,HARYANA,"Information regarding how to control potato mosaic virus in potato ","Information regarding how to control potato mosaic virus in potato spray rogor  300 ml in 200 litre of wateracre",29.7256,76.9107
KARNAL,Vegetables,2014,11,3,Potato,KARNAL,"Plant Protection",RABI,HORTICULTURE,HARYANA,"Information regarding how to control potato mosaic virus in potato ","Information regarding how to control potato mosaic virus in potato spray rogor  300 ml in 200 litre of wateracre",29.7256,76.9107
SHAHBAD,Vegetables,2014,10,20,Potato,KURKSHETRA,"Plant Protection",RABI,HORTICULTURE,HARYANA,"Information regarding how to control potato mosaic virus in potato crop ","Information regarding how to control potato mosaic virus in potato crop spray rogor  350 ml in 200 litre of wateracre",29,76
PEHOWA,Vegetables,2014,10,26,Potato,KURKSHETRA,"Plant Protection",RABI,HORTICULTURE,HARYANA,"Information regarding how to control potato mosaic virus in potato ","Information regarding how to control potato mosaic virus in potato spray rogor  300 ml in 200 litre of wateracre",29,76
THANESAR,Vegetables,2014,10,26,Potato,KURKSHETRA,"Plant Protection",RABI,HORTICULTURE,HARYANA,"Information regarding how to control potato mosaic virus in potato ","Information regarding how to control potato mosaic virus in potato spray rogor  300 ml in 200 litre of wateracre",29,76
THANESAR,Vegetables,2014,10,26,Potato,KURKSHETRA,"Plant Protection",RABI,HORTICULTURE,HARYANA,"Information regarding how to control potato mosaic virus in potato ","Information regarding how to control potato mosaic virus in potato spray rogor  300 ml in 200 litre of wateracre",29,76
THANESAR,Vegetables,2014,11,3,Potato,KURKSHETRA,"Plant Protection",RABI,HORTICULTURE,HARYANA,"Information regarding how to control potato mosaic virus in potato ","Information regarding how to control potato mosaic virus in potato spray rogor  300 ml in 200 litre of wateracre",29,76
THANESAR,Vegetables,2014,11,7,Potato,KURKSHETRA,"Plant Protection",RABI,HORTICULTURE,HARYANA,"Information regarding how to control potato mosaic virus in potato ","Information regarding how to control potato mosaic virus in potato spray rogor  300 ml in 200 litre of wateracre",29,76
THANESAR,Vegetables,2014,12,10,Potato,KURKSHETRA,"Plant Protection",RABI,HORTICULTURE,HARYANA,"Information regarding hw to control potato mosaic virus in potato crop ","Information regarding hw to control potato mosaic virus in potato crop spray rogor  300 ml in 200 litre of wateracre",29,76
AMBALA-I,Vegetables,2014,11,11,Potato,AMBALA,"Plant Protection",RABI,HORTICULTURE,HARYANA,"Information regarding how to control potato mosaic virus in potato ","Information regarding how to control potato mosaic virus in potato spray rogor  300 ml in 200 litre of wateracre",30.3844,76.7704
JULANA,Vegetables,2014,11,11,Potato,JIND,"Plant Protection",RABI,HORTICULTURE,HARYANA,"Information regarding how to control potato mosaic virus in potato ","Information regarding how to control potato mosaic virus in potato spray rogor  300 ml in 200 litre of wateracre",29.314,76.3179
KANINA,Vegetables,2014,11,10,Potato,"MAHENDRA GARH","Plant Protection",RABI,HORTICULTURE,HARYANA,"Information regarding how to control potato mosaic virus in potato ","Information regarding how to control potato mosaic virus in potato spray rogor  300 ml in 200 litre of wateracre",29,76
PUNDRI,Vegetables,2014,10,27,Potato,KAITHAL,"Plant Protection",RABI,HORTICULTURE,HARYANA,"Information regarding how to control potato mosaic virus in potato crop ","Information regarding how to control potato mosaic virus in potato crop spray rogor  300 ml in 200 litre of wateracre",29.7997,76.399
ISRANA,Vegetables,2014,12,13,Potato,PANIPAT,"Plant Protection",RABI,HORTICULTURE,HARYANA,"Information regarding how to control potato mosaic virus in potato ","Information regarding how to control potato mosaic virus in potato spray rogor  300 ml in 200 litre of wateracre",29.3913,76.9772
CHHACHHRAULI,Vegetables,2014,11,4,Potato,"YAMUNA NAGAR","Plant Protection",RABI,HORTICULTURE,HARYANA,"Information regarding how to control potato mosaic virus in potato ","Information regarding how to control potato mosaic virus in potato spray rogor  300 ml in 200 litre of wateracre",30.1389,77.3011
MUSTAFABAD,Vegetables,2014,11,19,Potato,"YAMUNA NAGAR","Plant Protection",RABI,HORTICULTURE,HARYANA,"Information regarding how to control potato mosaic virus in potato ","Information regarding how to control potato mosaic virus in potato spray rogor  300 ml in 200 litre of wateracre",30.1389,77.3011
BILASPUR,Vegetables,2014,11,20,Potato,"YAMUNA NAGAR","Plant Protection",RABI,HORTICULTURE,HARYANA,"Information regarding how to control potato mosaic virus in potato ","Information regarding how to control potato mosaic virus in potato spray rogor  300 ml in 200 litre of wateracre",30.1389,77.3011
REWARI,Vegetables,2014,11,20,Potato,REWARI,"Plant Protection",RABI,HORTICULTURE,HARYANA,"Information regarding how to control potato mosaic virus in potato ","Information regarding how to control potato mosaic virus in potato spray rogor  300 ml in 200 litre of wateracre",28.1956,76.6165
BAHADURGARH,Vegetables,2014,1,23,Potato,JHAJJAR,nan,KHARIF,HORTICULTURE,HARYANA,"Information regarding how to control mosaic virus in potato crop ","spray rogor  300 ml in 200 litre of wateracre",28.5964,76.6505
MATANNAIL,Vegetables,2014,11,1,Potato,JHAJJAR,"Plant Protection",RABI,HORTICULTURE,HARYANA,"Information regarding how to control potato mosaic virus in potato ","Information regarding how to control potato mosaic virus in potato spray rogor  300 ml in 200 litre of wateracre",28.5964,76.6505
BAHADURGARH,Vegetables,2014,11,22,Potato,JHAJJAR,"Plant Protection",RABI,HORTICULTURE,HARYANA,"Information regarding how to control potato mosaic virus in potato ","Information regarding how to control potato mosaic virus in potato spray rogor  300 ml in 200 litre of wateracre",28.5964,76.6505
NABHA,Vegetables,2014,11,19,Potato,PATIALA,"Plant Protection",RABI,HORTICULTURE,PUNJAB,"Information regarding how to control Mosaic Virus in Potato","Spray 400 ml Malathion 50EC in 125 lt of water per acre",30.2093,76.3397
"DERA BASSI",Vegetables,2014,11,19,Potato,"SAHIBZADA AJIT SINGH NAGAR","Plant Protection",RABI,HORTICULTURE,PUNJAB,"Information regarding how to control Mosaic Virus in Potato","Spray 400 ml Malathion 50EC in 125 lt of water per acre",30.7041,76.7177
"NIHAL SINGH WALA",Vegetables,2014,12,5,Potato,MOGA,"Plant Protection",RABI,HORTICULTURE,PUNJAB,"Information regarding how to control Mosaic Virus in Potato","Spray 400 ml Malathion 50EC or 100 ml Confidor 178SL in 100-125 lt of water per acre",30.7878,75.1594
COONOOR,Vegetables,2014,10,8,Potato,"THE NILGIRIS","Plant Protection",RABI,HORTICULTURE,TAMILNADU,"POTATO  mosaic virus","RECOMMENDED FOR POTATO  mosaic virus spray dimethoate 2mlneem oil 3mlteepol 1mllit of water",11.4,76.7
"GANGAJAL GHATI",Vegetables,2014,12,15,Potato,BANKURA,"Plant Protection",RABI,HORTICULTURE,"WEST BENGAL","CONTROL OF YELLOW VINE MOSAIC VIRUS IN POTATO","RECOMMENDED FOR SPRAY  DIMETHOATE 30 EC  2 ML   LIT OF WATER",23.1324,87.2082
VENKATAGIRIKOTA,Vegetables,2015,11,13,Potato,CHITTOOR,"Plant Protection",nan,HORTICULTURE,"ANDHRA PRADESH","potato mosaic virus","RECOMMENDED TO SPRAY FIPRONILREGENT BILLGRAN SALVO 400 ML PER ACRE",13.2026,79.0032
HANSI-I,Vegetables,2015,11,19,Potato,HISSAR,"Plant Protection",RABI,HORTICULTURE,HARYANA,"Information regarding how to control potato mosaic virus in potato crop ","control potato mosaic virus in potato crop -spray of rogor  350 ml mixed in 200 litre of wateracre",29.8573,76.4545
HANSI-I,Vegetables,2015,11,24,Potato,HISSAR,"Plant Protection",RABI,HORTICULTURE,HARYANA,"Information regarding how to control potato mosaic virus in potato crop ","control potato mosaic virus in potato crop -spray of rogor  350 ml mixed in 200 litre of wateracre",29.8573,76.4545
HISAR-II,Vegetables,2015,12,15,Potato,HISSAR,"Plant Protection",RABI,HORTICULTURE,HARYANA,"Information regarding how to control potato mosaic virus in potato crop ","control potato mosaic virus in potato crop -spray of rogor  350 ml mlixed in 200 litre of wateracre",29.8573,76.4545
