BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
"0   ",0,2009,6,27,Tomato,DHARMAPURI,2,KHARIF,HORTICULTURE,TAMILNADU,"Tomato spotted wilt virus control measure","spray on Carbofuran 3glit",12.1456,78.1132
"0   ",0,2009,8,22,Tomato,COIMBATORE,2,JAYAD,HORTICULTURE,TAMILNADU,"Tomato spotted wilt virus control measure","apply Carbofuran 3 G 1 kg aiha",11.0018,76.9628
"0   ",0,2009,1,25,Tomato,ERODE,29,KHARIF,HORTICULTURE,TAMILNADU,"Tomato spotted wilt virus control measure","sprays Endosulfan 15 mllit",11.4905,77.3505
PALAMANER,Vegetables,2011,12,29,Tomato,CHITTOOR,75,nan,HORTICULTURE,"ANDHRA PRADESH","asked about control of tomato spotted wilt virus","no remedy is their but control of thrips",13.2026,79.0032
"0   ",Vegetables,2012,8,4,Tomato,"BANAS KANTHA",75,nan,HORTICULTURE,GUJARAT,"Tomato spotted wilt virus","Monocrotophos 15 ml or Dimethoate 2ml of Acephate 1g per litre of water",24.25,72.5
RUDRAVARAM,Vegetables,2013,7,9,Tomato,KURNOOL,nan,nan,HORTICULTURE,"ANDHRA PRADESH","tomato spotted wilt virus","dimethoate 400ml per acre",15.8309,78.0425
MYDUKUR,Vegetables,2013,10,5,Tomato,"Y S R ",nan,nan,HORTICULTURE,"ANDHRA PRADESH","tomato spotted wilt virus","methyl demeton 2mll",15.9241,80.1864
KOLATHUR,Vegetables,2013,7,9,Tomato,SALEM,nan,JAYAD,HORTICULTURE,TAMILNADU,"tomato spotted wilt virus","3 sprays of phosalone 35 EC  15 mllit  25 40 55 days after transplanting",11.647,78.2107
HARUR,Vegetables,2013,7,7,Tomato,DHARMAPURI,"Plant Protection",JAYAD,HORTICULTURE,TAMILNADU,"tomato spotted wilt virus","spray imidachloprid 1ml acephate 1gm lit",12.1456,78.1132
KODUMUR,Vegetables,2014,9,27,Tomato,KURNOOL,"Plant Protection",nan,HORTICULTURE,"ANDHRA PRADESH","TOMATO SPOTTED WILT VIRUS","RECOMMENDED DIMETHIOTE ROGAR 2MLLITRE  400MLACRE",15.8309,78.0425
BANGARUPALEM,Vegetables,2014,11,18,Tomato,CHITTOOR,"Plant Protection",nan,HORTICULTURE,"ANDHRA PRADESH","tomato spotted wilt virus","DI METHOATE 2 MLLT WATER  ROGAR  AND ROGARIN",13.2026,79.0032
BAGLAN,Vegetables,2014,3,22,Tomato,NASIK,nan,nan,HORTICULTURE,MAHARASHTRA,"attack of tomato spotted wilt virus","spray propiconazol 4 ml  15 lit water",19.9613,73.8317
ATTUR,Vegetables,2014,8,26,Tomato,SALEM,"Plant Protection",KHARIF,HORTICULTURE,TAMILNADU,"tomato spotted wilt virus","recommended for spray fibronil 2mlliter water",11.647,78.2107
SULTANPET,Vegetables,2014,7,25,Tomato,COIMBATORE,"Plant Protection",JAYAD,HORTICULTURE,TAMILNADU,"tomato spotted wilt virus","spray dimethoate 2mllit",11.0018,76.9628
PALLADAM,Vegetables,2014,7,30,Tomato,COIMBATORE,"Plant Protection",JAYAD,HORTICULTURE,TAMILNADU,"tomato spotted wilt virus","spray phosalone 2mllit",11.0018,76.9628
MADUKKARAI,Vegetables,2014,8,5,Tomato,COIMBATORE,"Plant Protection",JAYAD,HORTICULTURE,TAMILNADU,"tomato spotted wilt virus","recommended for spray phosalone 2mllit",11.0018,76.9628
"POLLACHI NORTH",Vegetables,2014,9,8,Tomato,COIMBATORE,"Plant Protection",KHARIF,HORTICULTURE,TAMILNADU,"tomato spotted wilt virus","recommended for spray imidachloprid 2 millilit",11.0018,76.9628
THONDAMUTHUR,Vegetables,2014,9,16,Tomato,COIMBATORE,"Plant Protection",KHARIF,HORTICULTURE,TAMILNADU,"tomato spotted wilt virus","recommended for spray imidachloprid 1mllit",11.0018,76.9628
TIRUTTANI,Vegetables,2014,4,16,Tomato,THIRUVALLUR,"Plant Protection",KHARIF,HORTICULTURE,TAMILNADU,"tomato spotted wilt virus","3 sprays of phosalone 35 EC  15 mllit  25 40 55 days after transplanting",13.2538,80.0563
HOSUR,Vegetables,2014,4,21,Tomato,KRISHNAGIRI,"Plant Protection",KHARIF,HORTICULTURE,TAMILNADU,"TOMATO SPOTTED WILT VIRUS","3 sprays of phosalone 35 EC  15 mllit  25 40 55 days after transplanting",12.5152,78.0094
BARGUR,Vegetables,2014,8,6,Tomato,KRISHNAGIRI,"Plant Protection",JAYAD,HORTICULTURE,TAMILNADU,"tomato spotted wilt virus","recommended for spray phosalone 2 mllit",12.5152,78.0094
KOMARADA,Vegetables,2015,9,16,Tomato,VIZIANAGARM,"Plant Protection",nan,HORTICULTURE,"ANDHRA PRADESH","tomato spotted wilt virus","RECOMMENDED TO SPRAY CHLORPYRPHOSKORBAN DURSBAN LETHAL CLASSIC RADAR 500 ML PER ACRE",15.9241,80.1864
