BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
"0   ",0,2009,8,25,Tomato,AHMADNAGAR,3,JAYAD,HORTICULTURE,MAHARASHTRA,"WHITEFLIES ON TOMATO","SPRAYING TROZOPHOS 30ML15 LIT OF WATER",19.0744,74.722
"0   ",0,2010,8,21,Tomato,NASIK,76,JAYAD,HORTICULTURE,MAHARASHTRA,"WHITEFLIES ON TOMATO","Spray methyl demeton 25 EC 2 mllit dimethoate 30 EC 2 mllit or endosulfan 07 or phosalone 09 to control vector",19.9613,73.8317
"0   ",Vegetables,2013,1,30,Tomato,BIJAPUR,76,nan,HORTICULTURE,KARNATAKA,whiteflies,"confidor 05ml",16.827,75.7175
SINDAGI,Vegetables,2013,3,22,Tomato,BIJAPUR,76,nan,HORTICULTURE,KARNATAKA,whiteflies,"spray confidor 05-1mllit",16.827,75.7175
KOPPAL,Vegetables,2013,3,28,Tomato,KOPPAL,76,nan,HORTICULTURE,KARNATAKA,whiteflies,"spray confidor 1mllit",15.5748,76.3119
BATHALAPALLE,Vegetables,2014,4,16,Tomato,ANANTPUR,nan,nan,HORTICULTURE,"ANDHRA PRADESH","tomato whiteflies","IMIDACHLOPRIDCONFIDOR TATAMIDA  VICTOR ATOM   50 ML PER ACRE       3079311831353105313430933149312231473114314931203135310531493093313431123149311531353105314731203149 31033134310331343118313531053134 3125313530933149310331203149 307831033074  30863093312031343112313530933135 50 308630748204308631223149  200 3122313631033120314931223137 311231363103313531223147 30933122313531143135 31143135309831353093313431203136 309831433119313431223135",13.5747,78.5029
BABAI,Vegetables,2014,1,14,Tomato,HOSHANGABAD,nan,nan,HORTICULTURE,"MADHYA PRADESH","Control  of  Whiteflies Aphids jassids Thrips GLHBPHWBPH Yellow miteMealy  bugs","Spray of  Buprofezin 25 SC  Jawaa Apple and Bruno    320 ml acre",22.7546,77.7198
BARGARH,Vegetables,2014,11,10,Tomato,BARGARH,"Plant Protection",nan,HORTICULTURE,ODISHA,"whiteflies in pumpkin","recommended confidor  1ml3litre water",21.232,83.5653
KANEKAL,Vegetables,2016,6,12,Tomato,ANANTPUR,"Plant Protection",nan,HORTICULTURE,"ANDHRA PRADESH","TOMATO WHITEFLIES","RECOMMENDED TO SPRAY  DIMETHOTE 2MLLITRE WATER",13.5747,78.5029
KALYANDRUG,Vegetables,2016,10,14,Tomato,ANANTPUR,"Plant Protection",nan,HORTICULTURE,"ANDHRA PRADESH","tomato whiteflies","recommended to spray dimethoate 400mlacre",13.5747,78.5029
