BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
NARKANDA,Fruits,2013,3,8,Apple,SHIMLA,75,KHARIF,HORTICULTURE,"HIMACHAL PRADESH","how to controle crown gall in apple plant","dip healthy grafted plants in 1 coper sulphate solution sor 15 houre",31.1042,77.171
ANNI,Fruits,2016,2,25,Apple,KULLU,"Cultural Practices",JAYAD,HORTICULTURE,"HIMACHAL PRADESH","how to control crown gall in apple plants ","dip the plant in 1 copper sulfate solution for one and half hour",31.9579,77.1089
POOH,Fruits,2019,12,28,Apple,KINNAUR,"Plant Protection",nan,HORTICULTURE,"HIMACHAL PRADESH","Information regarding control of crown gall in apple",nan,31.593,78.3281
BADGAM,Fruits,2019,4,23,Apple,BADGAM,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","How to control hairy root and crown gall of apple",nan,34.0385,74.736
KHAN-SAHIB,Fruits,2019,5,30,Apple,BADGAM,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","How to control hairy root and crown gall of apple",nan,34.0385,74.736
WAGOORA,Fruits,2019,12,26,Apple,BARAMULLA,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","REGARDING FORMATION OF CROWN GALL IN APPLE TREE",nan,34.2087,74.3435
ANNI,Fruits,2020,1,22,Apple,KULLU,"Plant Protection",nan,HORTICULTURE,"HIMACHAL PRADESH","Information regarding control of crown gall ","                  10   1                          ",31.9579,77.1089
SERAJ,Fruits,2020,1,28,Apple,MANDI,"Plant Protection",nan,HORTICULTURE,"HIMACHAL PRADESH","Information regarding control of crown gall in apple ","       600    200        ",31.6517,77.0093
SERAJ,Fruits,2020,1,29,Apple,MANDI,"Plant Protection",nan,HORTICULTURE,"HIMACHAL PRADESH","Information regarding control of crown gall in Apple seedling ","             1     10        ",31.6517,77.0093
CHAUPAL,Fruits,2020,8,31,Apple,SHIMLA,"Plant Protection",nan,HORTICULTURE,"HIMACHAL PRADESH","Information regarding spray after fruit harvesting and crown gall in Apple","      600     2   200         1-2    400   200       ",31.1042,77.171
RAJGARH,Fruits,2020,9,23,Apple,SIRMAUR,"Plant Protection",nan,HORTICULTURE,"HIMACHAL PRADESH","Information regarding control of crown gall in apple","         10     1        ",30.6991,77.4465
BRENG,Fruits,2020,3,20,Apple,ANANTNAG,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","How to control hairy root and crown gall of apple","Orchardist are advised spray any of the following horticulture mineral oils HMOs should besprayed  2 2 litper 100 litof water at delayed dormancy stage when the average day andnight temperatures remain above 4 Degree celat least for two consecutive days",33.7461,75.1854
KHAN-SAHIB,Fruits,2020,6,8,Apple,BADGAM,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","How to control hairy root and crown gall of apple","IT IS ADVISED ORCHARDIST APPLY UREA  15Kg DAP  750g AND POTASHMOP  25Kg PER TREE HAVING AGE 15 YEARS AND ABOVE WHOLE DAP WITH13RD OF UREA AND HALF DOSE OF POTASH SHOULD BE APPLIED TWO TO THREEWEEKS BEFORE THE TREES COMES OUT OF DORMANCY AND 23RD UREA SHOULDBE APPLIED AFTER FRUIT SET AND REMAINING UREA AND POTASH SHOULD BEAPPLIED IN JUNE BECAUSE IT IMPROVES FRUIT QUALITY AND COLOURDEVELOPMENT AND IN JUNE NEW BUDS START TO GROW SO THE FERTILIZERAPPLICATION IS MOST IMPORTANT AT THIS STAGE",34.0385,74.736
"MANDI SADAR",Fruits,2021,10,2,Apple,MANDI,"Plant Protection",nan,HORTICULTURE,"HIMACHAL PRADESH","Information regarding crown gall disease of apple ","QUERY ESCALATE",31.6517,77.0093
MASHOBRA,Fruits,2021,12,24,Apple,SHIMLA,"Plant Protection",nan,HORTICULTURE,"HIMACHAL PRADESH","Information regarding crown gall disease in apple "," crown gall disease :-  Symptoms include roundish rough-surfaced galls woody tumourlike growths several centimetres or more in diameter usually at or near the soil line on a graft site or bud union or on roots and lower stems The galls are at first cream-coloured or greenish and later turn brown or black",31.1042,77.171
MASHOBRA,Fruits,2021,12,24,Apple,SHIMLA,"Plant Protection",nan,HORTICULTURE,"HIMACHAL PRADESH","Information regarding crown gall disease in apple "," crown gall disease :-  Symptoms include roundish rough-surfaced galls woody tumourlike growths several centimetres or more in diameter usually at or near the soil line on a graft site or bud union or on roots and lower stems The galls are at first cream-coloured or greenish and later turn brown or black",31.1042,77.171
MASHOBRA,Fruits,2021,12,24,Apple,SHIMLA,"Plant Protection",nan,HORTICULTURE,"HIMACHAL PRADESH","Information regarding crown gall disease in apple "," crown gall disease :-  Symptoms include roundish rough-surfaced galls woody tumourlike growths several centimetres or more in diameter usually at or near the soil line on a graft site or bud union or on roots and lower stems The galls are at first cream-coloured or greenish and later turn brown or black",31.1042,77.171
GOHAR,Fruits,2022,2,5,Apple,MANDI,"Plant Protection",nan,HORTICULTURE,"HIMACHAL PRADESH","Information regarding how to control crown gall in apple plant"," control crown gall in apple plant-please contact nearest Krishi Vigyan Kendra district Mandi ",31.6517,77.0093
CHAUPAL,Fruits,2023,6,23,Apple,SHIMLA,"Plant Protection",nan,HORTICULTURE,"HIMACHAL PRADESH","Information regarding how to control crown gall and white root rot in apple plant ","            -                                3  15  20      100      100   100             30    15   25                   ",31.1042,77.171
SALUNI,Fruits,2023,11,26,Apple,CHAMBA,"Plant Protection",nan,HORTICULTURE,"HIMACHAL PRADESH","Information regarding control of crown gall in apple","     -            ",32.6923,76.1632
KARSOG,Fruits,2024,2,6,Apple,MANDI,"Plant Protection",nan,HORTICULTURE,"HIMACHAL PRADESH","Information regarding control of crown gall in apple plants ","           -        1                              ",31.6517,77.0093
CHAUPAL,Fruits,2024,2,5,Apple,SHIMLA,"Plant Protection",nan,HORTICULTURE,"HIMACHAL PRADESH","Information regarding control of crown gall in apple plants ","           -        1                              ",31.1042,77.171
THEOG,Fruits,2024,10,26,Apple,SHIMLA,"Plant Protection",nan,HORTICULTURE,"HIMACHAL PRADESH","Information regarding how to control crown gall in Apple ","          -        1                            ",31.1042,77.171
ANNI,Fruits,2025,1,23,Apple,KULLU,"Plant Protection",,HORTICULTURE,"HIMACHAL PRADESH","Information regarding control of crown gall in apple plants ","                                3  15  20      100      100   100             30    15   25                   ",31.9579,77.1089
MASHOBRA,Fruits,2025,1,18,Apple,SHIMLA,"Cultural Practices",,HORTICULTURE,"HIMACHAL PRADESH","Information regarding control of crown gall in apple plants ","           -        1                                                          :",31.1042,77.171
MASHOBRA,Fruits,2025,1,18,Apple,SHIMLA,"Plant Protection",,HORTICULTURE,"HIMACHAL PRADESH","Information regarding how to control crown gall in apple plant ","                                3  15  20      100      100   100             30    15   25                   ",31.1042,77.171
