BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
"0   ",0,2010,5,20,Apple,ANANTNAG,75,JAYAD,HORTICULTURE,"JAMMU AND KASHMIR","HOW TO CONTROL RUST LIKE APPEARANCE ON APPLE TREE ","SPRAY RUBIGON 12EC  40ML IN 100 LITRE OF WATER",33.7461,75.1854
"0   ",0,2010,6,21,Apple,ANANTNAG,75,JAYAD,HORTICULTURE,"JAMMU AND KASHMIR","FARMER SEEKS INFORMATION ABOUT THE CONTROL OF RUST LIKE APPEARENCE IN APPLE LEAVES HAVING 3 YEAR OLD","SPRAY FENERIMOL 12EC 40 ML IN 100 LITRE OF WATER",33.7461,75.1854
"0   ",0,2010,4,6,Apple,PULWAMA,102,RABI,HORTICULTURE,"JAMMU AND KASHMIR","WHICH SPRAY IS RECOMMENDED FOR THE CONTROL OF RUST LIKE APPEARENCE ON THE LEAVES OF APPLE  PLANT","SPRAY FENERIMOL  RUBIGON   12 EC  40 ML IN 100 LITRE OF WATER",33.949,75.0418
"0   ",0,2010,5,18,Apple,PULWAMA,75,JAYAD,HORTICULTURE,"JAMMU AND KASHMIR","INFORMATION REGARDING CONTROL OF RUST LIKE APPEARENCE IN APPLE LEAVES","SPRAY FENERAMOL 12 EC  40 ML IN 100 LITRE OF WATER",33.949,75.0418
"0   ",0,2010,6,24,Apple,PULWAMA,75,JAYAD,HORTICULTURE,"JAMMU AND KASHMIR","INFORMATION REGARDING CONTROL OF RUST LIKE APPEARENS ON APPLE LEAVES","SPRAY THE FENRIMOL 12 EC  40 ML IN 100 LITRE OF WATER",33.949,75.0418
"0   ",0,2010,6,24,Apple,PULWAMA,75,JAYAD,HORTICULTURE,"JAMMU AND KASHMIR","FARMER SEEKS INFORMATION ABOUT THE CONTROL OF RUST LIKE APPEARENCE ON THE LEAVES OF APPLE LEAVES","SPRAY FENERIMOL 12 EC 40 ML IN 100 LITRE OF WATER",33.949,75.0418
"0   ",0,2010,7,5,Apple,PULWAMA,75,JAYAD,HORTICULTURE,"JAMMU AND KASHMIR","INFORMATION REGARDING CONTROL OF RUST ON APPLE LEAVES",nan,33.949,75.0418
"0   ",0,2010,7,11,Apple,PULWAMA,75,JAYAD,HORTICULTURE,"JAMMU AND KASHMIR","FARMER NEEDS INFORMATION ABOUT THE CONTROL OF RUST LIKE APPEARENCE IN APPLE ","SPRAY RUBIGON 12 EC  40 ML IN 100 LITRE OF WATER",33.949,75.0418
"0   ",0,2010,7,11,Apple,PULWAMA,75,JAYAD,HORTICULTURE,"JAMMU AND KASHMIR","INFORMATION REGARDING CONTROL OF RUST IN APPLE FRUIT","SPRAY THE FENRIMOL  40 ML IN 100 LITRE OF WATER",33.949,75.0418
"0   ",0,2010,7,18,Apple,PULWAMA,75,JAYAD,HORTICULTURE,"JAMMU AND KASHMIR","HOW TO CONTROL  RUST  LIKE  APPEARENCE  IN APPLE LEAVES","SPRAY  RUDIGON   40ML IN 100 LITRE OF  WATER",33.949,75.0418
