BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
"0   ",0,2009,12,1,Coconut,CHITTOOR,75,KHARIF,HORTICULTURE,"ANDHRA PRADESH","ASKED ABOUT THE CONTROL OF LEAF BLIGHT","RECOMMENDED TO SPRAY BORDEAUX PASTE AND REMOVE DISEASED LEAVES",13.2026,79.0032
"0   ",0,2009,12,23,Coconut,CACHAR,75,KHARIF,HORTICULTURE,ASSAM,"ASKING FOR THE CONTROL MEASURE AGAINST LEAF BLIGHT OF COCONUT TREE WHICH IS AFFECTING HIS 5 NUMBERS OF COCONUT TREES","SUGGESTED TO SPRAY BORDEAUX MIXTURE  1 PER PLANT AND TO REMOVE THE OLD AND AFFECTED LEAVES",24.7586,92.8817
"0   ",0,2009,11,7,Coconut,KASARGOD,75,nan,HORTICULTURE,KERALA,"Control of Grey leaf blight in Coconut","Spraying of Bordeaux Mixture 1",12.4915,74.9878
"0   ",0,2009,12,23,Coconut,KENDRAPARA,75,KHARIF,HORTICULTURE,ODISHA,"LEAF BLIGHT IN COCONUT","SPRAY 1 BORADEUX MIXTURE",20.5475,86.5296
"0   ",0,2010,1,8,Coconut,CHITTOOR,75,KHARIF,HORTICULTURE,"ANDHRA PRADESH","ASKED AABOUT THE CONTROL OF LEAF BLIGHT IN COCONUT","RECOMMENDED TO SPRAY BOARDOMIXTURE 1",13.2026,79.0032
"0   ",0,2010,6,19,Coconut,TRIVANDRUM,0,nan,HORTICULTURE,KERALA,"leaf blight",nan,8.48823,76.9475
"0   ",0,2010,9,14,Coconut,TRIVANDRUM,"Agriculture Mechanization",nan,HORTICULTURE,KERALA,"leaf blight","apply fytolan 2gltre",8.48823,76.9475
"0   ",0,2010,6,22,Coconut,KOZHIKODE,0,nan,HORTICULTURE,KERALA,"leaf blight","apply indofil 2gltre",11.2451,75.7755
"0   ",0,2010,6,8,Coconut,WAYANAD,0,nan,HORTICULTURE,KERALA,"leaf blight",nan,11.7151,76.1271
"0   ",0,2010,6,7,Coconut,KANNUR,0,nan,HORTICULTURE,KERALA,"leaf blight","apply indofilm 45",11.8764,75.3738
"0   ",0,2010,4,21,Coconut,GANJAM,75,RABI,HORTICULTURE,ODISHA,"LEAF BLIGHT DISEASE OF COCONUT PLANT","SPRAY COPPER OXYCHLORIDE 3GMLIT OF WATER",19.609,84.7081
"0   ",0,2010,6,15,Coconut,KHORDHA,75,RABI,HORTICULTURE,ODISHA,"LEAF BLIGHT DISEASE OF COCONUT","SPRAY COPPER OXYCHLORIDE 3GMLIT OF WATER",20.0538,85.5023
"0   ",0,2010,10,7,Coconut,COIMBATORE,75,JAYAD,HORTICULTURE,TAMILNADU,"control measure for Leaf Blight  in coconut","Application of extra 15kg of Potash Pseudomonas fluorescence 200gNeem Cake 5kg tree Removel of affected leafs",11.0018,76.9628
"0   ",0,2010,10,7,Coconut,COIMBATORE,75,JAYAD,HORTICULTURE,TAMILNADU,"control measure for Leaf Blight  in coconut",nan,11.0018,76.9628
"0   ",0,2010,10,23,Coconut,COIMBATORE,75,JAYAD,HORTICULTURE,TAMILNADU,"control measure for Leaf blight in coconut","application of extra 15kg of PotashPseudomonas fluorescence 200gNeem Cake 5kg tree Removel of affected leafs",11.0018,76.9628
ORATTANADU,0,2010,11,16,Coconut,THANJAVUR,75,KHARIF,HORTICULTURE,TAMILNADU,"Control measures for Bacterial leaf blight in paddy","Spray Bacteriomycin 18 gm acre",10.659,79.2014
"0   ",0,2010,10,12,Coconut,KARUR,75,JAYAD,HORTICULTURE,TAMILNADU,"control measure for Leaf Blight in coconut","Application of extra 15kg of Potash and  Pseudomonas fluorescence 200gNeem Cake 5kg tree Removel of affected leafs",10.8218,78.3829
"0   ",0,2010,8,13,Coconut,TIRUVANNAMALAI,75,JAYAD,HORTICULTURE,TAMILNADU,"control measure for Leaf Blight in coconut","Application of extra 15kg of PotashPseudomonasfluorescence 200gNeem Cake 5kg tree Removel of affected leafs",12.4289,78.9992
"0   ",0,2010,11,3,Coconut,TIRUVANNAMALAI,75,JAYAD,HORTICULTURE,TAMILNADU,"control measure for Leaf Blight in coconut","Application of extra 15kg of Potash",12.4289,78.9992
"0   ",0,2010,5,18,Coconut,JALPAIGURI,75,KHARIF,HORTICULTURE,"WEST BENGAL","LEAF BLIGHT OF COCONUT","APPLY MANCOZEB 75  WP  25 GMLIT OF WATER",26.6263,88.7335
"0   ",0,2010,5,10,Coconut,"Cooch BIHAR",75,KHARIF,HORTICULTURE,"WEST BENGAL","LEAF BLIGHT OF COCONUT","APPLY COPPER OXYCHLORIDE 50  WP  25 GMLIT OF WATER",26.3224,89.4592
"0   ",0,2010,4,23,Coconut,HOOGHLY,75,KHARIF,HORTICULTURE,"WEST BENGAL","LEAF BLIGHT OF COCONUT","APPLY MANCOZEB 75  WP  25 GMLIT OF WATER",22.9099,88.0121
"0   ",Fruits,2011,9,4,Coconut,CHIKMAGALUR,75,nan,HORTICULTURE,KARNATAKA,"leaf blight","Removal of the older 2-3 disease affected leaves and spraying the foliage with 025 Copper oxychloride will check the spread of the disease",13.318,75.7739
JAMKHANDI,Fruits,2011,9,24,Coconut,BAGALKOT,75,nan,HORTICULTURE,KARNATAKA,"leaf blight","Removal of the older 2-3 disease affected leaves and spraying the foliage with 025 Copper oxychloride will check the spread of the disease",16.1793,75.6999
"GOLAGHAT EAST",Fruits,2012,2,12,Coconut,GOLAGHAT,75,KHARIF,HORTICULTURE,ASSAM," ASKING FOR THE CONTROL MEASURE AGAINST LEAF BLIGHT IN ARECANUT TREES","SUGGESTED TO REMOVE THE OLDER AFFECTED LEAVES AND TO SPRAY BORDEAUX MIXTURE  1",26.5108,93.9744
"0   ",Fruits,2012,1,5,Coconut,THANE,75,KHARIF,HORTICULTURE,MAHARASHTRA,"leaf blight","spray bavistin and streptocycline",19.1943,72.9702
"0   ",Fruits,2012,5,19,Coconut,KANCHEEPURAM,75,JAYAD,HORTICULTURE,TAMILNADU,"how to control leaf blight in coconut","spray Copper oxychloride 2 gm  lit",12.8796,79.7043
MODAKURICHI,"Plantation Crops",2012,12,20,Coconut,ERODE,75,KHARIF,HORTICULTURE,TAMILNADU,"Leaf blight in coconut","Application of extra 15kg of Potash Pseudomonas fluorescence 200gCowdung 5kg tree",11.4905,77.3505
THIRUVAIYARU,Fruits,2012,6,20,Coconut,THANJAVUR,75,JAYAD,HORTICULTURE,TAMILNADU,"Leaf blight or Grey Leaf Spot in coconut","spray copper oxychloride 2gmlit then apply Pseudomonas fluorescence 200gCowdung 5kg tree",10.659,79.2014
KEELAPAVOOR,Fruits,2012,6,12,Coconut,TIRUNELVELI,75,JAYAD,HORTICULTURE,TAMILNADU,"leaf blight in coconut","spray Copper oxychloride 2 gm  lit",8.72031,77.7075
"0   ",Fruits,2012,8,30,Coconut,"KANNIYA KUMARI",0,JAYAD,HORTICULTURE,TAMILNADU,"Lethal leaf blight","spray copper oxychloride 2gmlit",10.9094,78.3665
"0   ","Plantation Crops",2012,10,23,Coconut,"Cooch BIHAR",75,JAYAD,HORTICULTURE,"WEST BENGAL","LEAF BLIGHT OF COCONUT","APPLY COPPER OXYCHLORIDE 50  WP  4 GMLIT OF WATER",26.3224,89.4592
BOLPUR-SRINIKETAN,"Plantation Crops",2012,11,6,Coconut,BIRBHUM,75,KHARIF,HORTICULTURE,"WEST BENGAL","BUD ROT AND LETHAL LEAF BLIGHT OF COCONUT","THE INFECTED TISSUES FROM THE CROWN REGTION SHOULD BE REMOVED AND DRESSED WITH BORDEAUX PASTE OR 1 BORDEAUX MIXTURE TO BE SPRAYED TO REACH CROWN REGION AS PRE-MONSOON",24.0622,87.6983
"0   ","Plantation Crops",2012,12,7,Coconut,"EAST MEDINIPUR",75,KHARIF,HORTICULTURE,"WEST BENGAL","Leaf blight or Grey Leaf Spot of coconut","Removal of the older 2-3 disease affected leaves and spraying the foliage with 025 Copper oxychloride will check the spread of the disease Application of extra 15kg of Potash Pseudomonas fluorescence 200gCowdung 5kg tree Removed burning of affected leaves",22.2906,87.9159
KHARMUZA,"Plantation Crops",2013,1,30,Coconut,GOALPARA,"Plant Protection",KHARIF,HORTICULTURE,ASSAM,"ASKING ABOUT THE MANAGEMENT OF LEAF BLIGHT OF COCONUT","I SUGGEST HIM TO APPLY 1BORDEAUX MIXTURE ON TOP OF THE COCONUT LEAVES",26.0492,90.6002
SISSIBORGAON,"Plantation Crops",2013,1,23,Coconut,DHEMAJI,"Fertilizer Use and Availability",KHARIF,HORTICULTURE,ASSAM,"ASKING ABOUT THE Leaf blight or Grey Leaf Spot OF COCONUT","GIVEN IN DETAILS",27.5945,94.7192
"0   ","Plantation Crops",2013,1,29,Coconut,ARARIA,75,KHARIF,HORTICULTURE,BIHAR,"GREY LEAF BLIGHT IN COCONUT","Spray the crown with 025 per cent copper oxychloride or 1 per cent Bordeaux mixture before the onset of rains",26.2651,87.3699
HOLALKERE,"Plantation Crops",2013,7,29,Coconut,CHITRADURGA,"Plant Protection",nan,HORTICULTURE,KARNATAKA,"leaf blight","ManagementRemoval of the older 2-3 disease affected leaves and spraying the foliage with 025 Copper oxychloride will check the spread of the diseaseApplication of extra 15kg of Potash Pseudomonas fluorescence 200gCowdung 5kg tree Removed burning of affected leaves",14.3049,76.5297
NEMOM,"Plantation Crops",2013,8,27,Coconut,TRIVANDRUM,nan,nan,HORTICULTURE,KERALA,"leaf blight and yellowing","bordeaux mixture",8.48823,76.9475
CHERPU,"Plantation Crops",2013,8,27,Coconut,THRISSUR,nan,nan,HORTICULTURE,KERALA,"leaf blight and yellowing","bordeaux mixture",10.527,76.2146
PERAMBRA,"Plantation Crops",2013,8,14,Coconut,KOZHIKODE,nan,nan,HORTICULTURE,KERALA,"-leaf blight","bordeaux mixture",11.2451,75.7755
KUTHUPARAMBA,"Plantation Crops",2013,6,28,Coconut,KANNUR,nan,nan,HORTICULTURE,KERALA,"leaf blight","bordeaux mixture",11.8764,75.3738
HARICHADANPUR,"Plantation Crops",2013,12,13,Coconut,KEONJHAR,nan,nan,HORTICULTURE,ODISHA,"Leaf blight or Grey Leaf Spot","Pseudomonas fluorescence 200gCowdung 5kg tree",21.5,85.5
BHANDARIPOKHARI,"Plantation Crops",2013,8,23,Coconut,BHADRAK,"Plant Protection",nan,HORTICULTURE,ODISHA,"Leaf blight","Removal of the older 2-3 disease affected leaves",20.9854,86.5934
BADCHANA,"Plantation Crops",2013,8,8,Coconut,JAJAPUR,"Plant Protection",nan,HORTICULTURE,ODISHA,"LEAF BLIGHT  GRAY LEAF SPOT","CONTACT KVK JAJAPUR ATPO - BADACHANA 06725-220005",20.8278,86.3798
KOREI,"Plantation Crops",2013,8,13,Coconut,JAJAPUR,"Plant Protection",JAYAD,HORTICULTURE,ODISHA,"Leaf Blight","Mancozeb 75 3gmLtr",20.8278,86.3798
KENDRAPADA,"Plantation Crops",2013,10,21,Coconut,KENDRAPARA,nan,nan,HORTICULTURE,ODISHA,"Leaf blight or Grey Leaf Spot","Application of extra 15kg of Potash Pseudomonas fluorescence 200gCowdung 5kg tree",20.5475,86.5296
"0   ","Plantation Crops",2013,3,11,Coconut,COIMBATORE,75,KHARIF,HORTICULTURE,TAMILNADU,"Leaf blight or Grey Leaf Spot","pplication of extra 15kg of Potash Pseudomonas fluorescence 200gCowdung 5kg tree Removed burning of affected leaves",11.0018,76.9628
MADUKKARAI,"Plantation Crops",2013,3,13,Coconut,COIMBATORE,75,KHARIF,HORTICULTURE,TAMILNADU,"coconut Leaf blight","apply Pseudomonas fluorescence 200gCowdung 5kg tree",11.0018,76.9628
"POLLACHI NORTH","Plantation Crops",2013,4,13,Coconut,COIMBATORE,"Fertilizer Use and Availability",KHARIF,HORTICULTURE,TAMILNADU,"leaf blight in coconut","Application of extra 15kg of Potash Pseudomonas fluorescence 200gCowdung 5kg tree Removed burning of affected leaves",11.0018,76.9628
TIRUPPUR,"Plantation Crops",2013,4,17,Coconut,COIMBATORE,"Plant Protection",KHARIF,HORTICULTURE,TAMILNADU,"Leaf blight or Grey Leaf Spot in coconut","Application of extra 15kg of Potash Pseudomonas fluorescence 200gCowdung 5kg tree Removed burning of affected leaves",11.0018,76.9628
PALLADAM,"Plantation Crops",2013,6,21,Coconut,COIMBATORE,"Plant Protection",JAYAD,HORTICULTURE,TAMILNADU,"leaf blight in coconut","spray copper oxychloride 25 g  lit of water",11.0018,76.9628
MADUKKARAI,"Plantation Crops",2013,7,10,Coconut,COIMBATORE,"Plant Protection",JAYAD,HORTICULTURE,TAMILNADU,"leaf blight in coconut","spray pseudomonas 2 g  lit of water",11.0018,76.9628
PERIYANAYAKKANPALAYAM,"Plantation Crops",2013,7,17,Coconut,COIMBATORE,"Plant Protection",JAYAD,HORTICULTURE,TAMILNADU,"grey leaf blight","Application of extra 15kg of Potash Pseudomonas fluorescence 200gCowdung 5kg tree Removed burning of affected leaves",11.0018,76.9628
TIRUPPUR,"Plantation Crops",2013,10,3,Coconut,COIMBATORE,nan,JAYAD,HORTICULTURE,TAMILNADU,"Leaf blight or Grey Leaf Spot","Application of extra 15kg of Potash Pseudomonas fluorescence 200gCowdung 5kg tree",11.0018,76.9628
AVANASHI,"Plantation Crops",2013,11,24,Coconut,COIMBATORE,"Plant Protection",KHARIF,HORTICULTURE,TAMILNADU,"leaf blight in coconut","spray copper oxychloride 25 g  lit of water",11.0018,76.9628
PERUNDURAI,"Plantation Crops",2013,1,21,Coconut,ERODE,75,KHARIF,HORTICULTURE,TAMILNADU,"leaf blight in coconut","spray Copper oxychloride 2glit",11.4905,77.3505
AVADAIYARKOVIL,"Plantation Crops",2013,4,30,Coconut,PUDUKKOTTAI,nan,RABI,HORTICULTURE,TAMILNADU,"Leaf blight or Grey Leaf Spot in coconut","Apply of extra 15kg of Potash Pseudomonas fluorescence 200gCowdung 5kg tree",10.2903,78.8174
KADAIYANALLUR,"Plantation Crops",2013,5,17,Coconut,TIRUNELVELI,"Plant Protection",KHARIF,HORTICULTURE,TAMILNADU,"coconut Lethal leaf blight","soil drenching with Copper oxychloride 25glit",8.72031,77.7075
TENKASI,"Plantation Crops",2013,12,7,Coconut,TIRUNELVELI,nan,KHARIF,HORTICULTURE,TAMILNADU,"leaf blight in coconut","spray copper oxychloprid 2 g  lit of water",8.72031,77.7075
TIRUVALLUR,"Plantation Crops",2013,4,15,Coconut,THIRUVALLUR,"Plant Protection",KHARIF,HORTICULTURE,TAMILNADU,"coconut Leaf blight","Application of extra 15kg of Potash Pseudomonas fluorescence 200gCowdung 5kg tree",13.2538,80.0563
RASIPURAM,"Plantation Crops",2013,2,7,Coconut,NAMAKKAL,75,KHARIF,HORTICULTURE,TAMILNADU,"leaf blight in coconut","apply extra 750gm of potash  pseudomonas200gmfresh cowdung 5kgtree",11.3034,78.1186
KULITTALAI,"Plantation Crops",2013,5,23,Coconut,KARUR,"Plant Protection",KHARIF,HORTICULTURE,TAMILNADU,"Leaf blight or Grey Leaf Spot","Application of extra 15kg of Potash Pseudomonas fluorescence 200gCowdung 5kg tree Removed burning of affected leaves",10.8218,78.3829
KARUR,"Plantation Crops",2013,5,28,Coconut,KARUR,"Plant Protection",KHARIF,HORTICULTURE,TAMILNADU,"coconut leaf blight","spray Copper oxychloride 25glit",10.8218,78.3829
DINDIGUL,"Plantation Crops",2013,8,4,Coconut,DINDIGUL,"Plant Protection",JAYAD,HORTICULTURE,TAMILNADU,"grey leaf blight","Application of extra 15kg of Potash Pseudomonas fluorescence 200gCowdung 5kg tree Removed burning of affected leaves",10.4257,77.8157
PALANI,"Plantation Crops",2013,11,30,Coconut,DINDIGUL,"Plant Protection",KHARIF,HORTICULTURE,TAMILNADU,"coconut leaf blight","coconut leaf blight : spray Copper oxychloride 25glit",10.4257,77.8157
TIRUVANNAMALAI,"Plantation Crops",2013,6,7,Coconut,TIRUVANNAMALAI,"Plant Protection",RABI,HORTICULTURE,TAMILNADU,"Leaf blight","Leaf blight in coconut : apply pseudomonos 200gmcowdung 5kgtree",12.4289,78.9992
Kundadam,"Plantation Crops",2013,4,29,Coconut,TIRUPUR,"Plant Protection",KHARIF,HORTICULTURE,TAMILNADU,"leaf blight in coconut","Application of extra 15kg of Potash Pseudomonas fluorescence 200gCowdung 5kg tree",11.1672,77.3473
BELDANGA-I,"Plantation Crops",2013,2,8,Coconut,MURSHIDABAD,87,KHARIF,HORTICULTURE,"WEST BENGAL","LEAF BLIGHT OF COCNUT","APPLY COPPER OXYCHLORIDE 50  WP  4 GM LIT OF WATER",24.1746,88.2721
KARIMPUR-1,"Plantation Crops",2013,3,22,Coconut,NADIA,75,KHARIF,HORTICULTURE,"WEST BENGAL","LEAF BLIGHT OF COCONUT","SPRAY COPPER OXYCHLORIDE 50  WP  4 GM LIT OF WATER",23.4847,88.5567
DUBRAJPUR,"Plantation Crops",2013,12,13,Coconut,BIRBHUM,"Plant Protection",nan,HORTICULTURE,"WEST BENGAL","LEAF BLIGHT OF COCONUT","SPRAY COPPER OXYCHLORIDE 50  WP  4 GM LIT OF WATER",24.0622,87.6983
MEJHIA,"Plantation Crops",2013,7,13,Coconut,BANKURA,"Plant Protection",JAYAD,HORTICULTURE,"WEST BENGAL","LEAF BLIGHT OF COCONUT","SPRAY COPPER OXYCHLORIDE 50  WP  4 GM LIT OF WATER",23.1324,87.2082
RAIGANJ,"Plantation Crops",2013,2,22,Coconut,"North DINAJPUR",75,KHARIF,HORTICULTURE,"WEST BENGAL","LEAF BLIGHT OF COCONUT","APPLY COPPER OXYCHLORIDE 50  WP  4 GMLIT OF WATER",22.9965,87.6856
ALLAVARAM,"Plantation Crops",2014,12,8,Coconut,"EAST GODAVARI","Plant Protection",nan,HORTICULTURE,"ANDHRA PRADESH","leaf blight spots","30g copper oxy chloride1g streptocyclin10 lit of water",16.9957,81.7154
NARAYANPUR,"Plantation Crops",2014,11,3,Coconut,LAKHIMPUR,"Plant Protection",KHARIF,HORTICULTURE,ASSAM,"ASKING FOR THE CONTROL MEASURE AGAINST LEAF BLIGHT IN ARECANUT TREES","SUGGESTED TO REMOVE THE OLDER AFFECTED LEAVES AND TO SPRAY BORDEAUX MIXTURE  1",27.1763,94.1993
JATH,"Plantation Crops",2014,11,25,Coconut,SANGLI,"Plant Protection",RABI,HORTICULTURE,MAHARASHTRA,"LEAF BLIGHT OR GREY LEAF SPOT:","Chemical Method:Spraying the foliage with 025 Copper oxychloride will check the spread of the disease Remove severely affected older leaves and burn Spray the trees with 1 Bordeaux mixture or propiconazole 03",17.1727,74.5868
POLOSARA,"Plantation Crops",2014,3,7,Coconut,GANJAM,"Plant Protection",nan,HORTICULTURE,ODISHA,"leaf blight","spray mancojeb 3 gmltr",19.609,84.7081
POLOSARA,"Plantation Crops",2014,3,7,Coconut,GANJAM,"Plant Protection",nan,HORTICULTURE,ODISHA,"leaf blight","spray mancojeb 3 gmltr",19.609,84.7081
RENGALI,"Plantation Crops",2014,1,27,Coconut,SAMBALPUR,nan,nan,HORTICULTURE,ODISHA,"Leaf blight or Grey Leaf Spot","025 Copper oxychloride",21.5571,84.1529
TIHIDI,"Plantation Crops",2014,10,1,Coconut,BHADRAK,"Plant Protection",nan,HORTICULTURE,ODISHA,"LEAF BLIGHT IN COCONUT","RECOMMENDED TO SPRAY COPPER OXYCHLORIDE 25GM1 LITER OF WATER",20.9854,86.5934
