BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
"0   ",0,2010,8,5,Coconut,AHMADNAGAR,76,JAYAD,HORTICULTURE,MAHARASHTRA,"CONTROL FOR WHITE GRUB IN COCONUT","GIVE DRENCHING OF PHORATE 10 G",19.0744,74.722
"0   ",0,2010,12,30,Coconut,BEED,76,KHARIF,HORTICULTURE,MAHARASHTRA,"white grub in the root zone of coconut","apply phorate 10 G",18.9918,75.9098
"0   ","Plantation Crops",2012,10,23,Coconut,SOLAPUR,76,JAYAD,HORTICULTURE,MAHARASHTRA,"ATTACK OF TERMITES  WHITE GRUB","DRENCHING OF CHLOROPYRIPHOS",17.8499,75.2763
BEZERA,"Plantation Crops",2013,5,3,Coconut,KAMRUP,"Plant Protection",KHARIF,HORTICULTURE,ASSAM,"CONTROL OF WHITE GRUB ATTACK IN THE SURROUNDINGS OF COCONUT PLANTATION","ADVISED TO SPRAY METAGREENMETARHIZIUM ANISOPLIAE  2 ML  LITRE OG WATER",26.1469,91.2227
MANDANGAD,"Plantation Crops",2013,7,9,Coconut,RATNAGIRI,"Plant Protection",nan,HORTICULTURE,MAHARASHTRA,"white grubs","2357236623542381235723672360236623362368 23472379235223752335 2335236623252366",17.2826,73.457
SAWANTWADI,"Plantation Crops",2013,4,7,Coconut,SINDHUDURG,nan,nan,HORTICULTURE,MAHARASHTRA,"white grub","regent granular 4kg for 1 ekar",16.1357,73.6522
YEOLA,"Plantation Crops",2013,3,31,Coconut,NASIK,76,RABI,HORTICULTURE,MAHARASHTRA,"Attact of White Grub ","Drenching Of Nuwan 40m ml in 15 lit of water",19.9613,73.8317
"0   ","Plantation Crops",2013,2,26,Coconut,AHMADNAGAR,76,KHARIF,HORTICULTURE,MAHARASHTRA,"Attact of White Grub ","Drenching Of Nuwan 40m ml in 15 lit of water",19.0744,74.722
"0   ","Plantation Crops",2013,2,7,Coconut,SATARA,76,KHARIF,HORTICULTURE,MAHARASHTRA,"white grub attak",thimate,17.6361,74.2983
PANDHARPUR,"Plantation Crops",2013,8,15,Coconut,SOLAPUR,"Plant Protection",JAYAD,HORTICULTURE,MAHARASHTRA,"white grub","regent granular 4kg for 1 ekar",17.8499,75.2763
