BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
"0   ",0,2009,4,15,Apple,ANANTNAG,2,KHARIF,HORTICULTURE,"JAMMU AND KASHMIR","HOW TO CONTROL FIRE BLIGHT IN APPLE ","SPRAY RUBIGAN 12 EC  40 ML IN 100 LUITERS OF WATER REPEAT THE SPRAY AFTER 15 DAYS ",33.7461,75.1854
"0   ",0,2009,4,15,Apple,ANANTNAG,2,KHARIF,HORTICULTURE,"JAMMU AND KASHMIR","HOW TO CONTROL FIRE BLIGHT IN APPLE ","SPRAY RUBIGAN 12 EC  40 ML IN 100 LUITERS OF WATER REPEAT THE SPRAY AFTER 15 DAYS ",33.7461,75.1854
"0   ",0,2009,4,27,Apple,PULWAMA,2,JAYAD,HORTICULTURE,"JAMMU AND KASHMIR","HOW TO CONTROL FIRE BLIGHT IN APPLE ","SPRAY RUBIGAN 12 EC  40 ML IN 100 LITERS OF WATER",33.949,75.0418
"0   ",0,2009,5,14,Apple,PULWAMA,2,KHARIF,HORTICULTURE,"JAMMU AND KASHMIR","HOW TO CONTROL FIRE BLIGHT IN APPLE ","SPRAY RUBIGAN 12 EC  40 ML IN 100 LITERS OF WATER",33.949,75.0418
"0   ",0,2009,5,16,Apple,PULWAMA,2,JAYAD,HORTICULTURE,"JAMMU AND KASHMIR","HOW TO CONTROL FIRE BLIGHT IN APPLE TREES ","SPRAY RUBIGAN 12 EC  40 ML IN 100 LITERS OF WATER",33.949,75.0418
"0   ",0,2009,5,18,Apple,PULWAMA,2,JAYAD,HORTICULTURE,"JAMMU AND KASHMIR","HOW TO CONTROL FIRE BLIGHT IN APPLE ","SPRAY RUBIGAN 12 EC  40 ML IN 100 LITERS OF WATER",33.949,75.0418
"0   ",0,2009,6,5,Apple,PULWAMA,2,JAYAD,HORTICULTURE,"JAMMU AND KASHMIR","HOW TO CONTROL FIRE BLIGHT IN APPLE ","SPRAY RUBIGAM 12 EC  40 ML IN 100 LITERS OF WATER",33.949,75.0418
"0   ",0,2009,6,27,Apple,PULWAMA,2,JAYAD,HORTICULTURE,"JAMMU AND KASHMIR","INFORMATION REGARDING CONTROL OF FIRE BLIGHT IN APPLE ","SPRAY MANCOZEB  2 GM PER LITRE OF WATER",33.949,75.0418
"0   ",0,2009,7,15,Apple,PULWAMA,2,JAYAD,HORTICULTURE,"JAMMU AND KASHMIR","HOW TO CONTROL FIRE BLIGHT IN APPLE ","SPRAY RUBIGAN 12 EC  40 ML IN 100 LITERS OF WATER",33.949,75.0418
"0   ",0,2009,7,18,Apple,PULWAMA,2,JAYAD,HORTICULTURE,"JAMMU AND KASHMIR","HOW TO CONTROL FIRE BLIGHT IN APPLE ","SPRAY RUBIGAN 12 EC  40 ML IN 1 LITER OF WATER ",33.949,75.0418
