BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
"0   ",0,2009,12,9,Coconut,SONITPUR,75,KHARIF,HORTICULTURE,ASSAM,"ASKING ABOUT THE CONTROL MEASURE OF CROWN ROT","SUGGESTED TO APPLY 1 BORDEAUX MIXTURE AND TO APPLY 25 GMS BORAX IN A TRENCH OF 15CM WIDTH AND 10 CMS DEPTH AT A DISTANCE OF 175 METER AWAY FROM THE TREE TRUNK",26.7678,92.7014
"0   ",0,2010,9,29,Coconut,DHUBRI,76,JAYAD,HORTICULTURE,ASSAM,"ASKING ABOUT THE CONTROLLING MEASURE FOR CROWN ROT DISEASES OF COCONUT","SUGGESTED MR KALAM TO APPLY BORUX25 GRAMCOCONUT TREE BY RING METHOD OF APPLICATION",26.1323,90.125
"0   ",0,2010,9,30,Coconut,DHUBRI,75,JAYAD,HORTICULTURE,ASSAM,"ASKING ABOUT THE CONTROLLING MEASURE FOR CROWN ROT DISEASE OF COCONUT","SUGGESTED MR RAI TO APPLY BORUX25 GRAMCOCONUT TREE AT A DISTANCE OF 3 FEET BY RING METHOD OF APPLICATION",26.1323,90.125
RUPSI,0,2010,10,5,Coconut,DHUBRI,75,KHARIF,HORTICULTURE,ASSAM,"ASKING ABOUT THE CONTROLLING MEASURE FOR CROWN ROT DISEASES OF COCONUT","SUGGESTED MR REJJAK TO APPLY BORAX25 GRAMCOCONUT TREE AT A DISTANCE OF THREE FEET BY RING METHOD OF APPLICATION",26.1323,90.125
GAURIPUR,0,2010,10,27,Coconut,DHUBRI,75,KHARIF,HORTICULTURE,ASSAM,"ASKING ABOUT THE CONTROLLING MEASURE FOR CROWN ROT DISEASES OF COCONUT ","SUGGESTED MR QAYUM TO APPLY BORUX25 GRAMCOCONUT TREE AT A DISTANCE OF 3 FEET BY RING METHOD OF APPLICATION",26.1323,90.125
"0   ",0,2010,10,15,Coconut,KAMRUP,75,KHARIF,HORTICULTURE,ASSAM,"ASKING ABOUT THE CONTROLLING MEASURE FOR CROWN ROT DISEASES OF COCONUT","SUGGESTED MR SINGH TO APPLY BORUX25 GRAM AT A DISTANCE OF 3 FEET BY RING METHOD OF APPLICATION",26.1469,91.2227
"0   ",0,2010,10,23,Coconut,KAMRUP,75,KHARIF,HORTICULTURE,ASSAM,"ASKING ABOUT THE CONTROLLING MEASURE FOR CROWN ROT DUSEASES OF COCNUT","SUGGESTED MR HAMID TO APPLY BORUX25 GRAMCOCONUT TREE AT A DISTANCE OF THREE FEET BY RING METHOD OF APPLICATION",26.1469,91.2227
"0   ",0,2010,9,23,Coconut,BARPETA,75,JAYAD,HORTICULTURE,ASSAM,"ASKING ABOUT THE CONTROL MEASURE FOR CROWN ROT DISEASES OF COCONUT","SUGGESTED MR HASAN TO APPLY BORAX  25 GRAMTREE BY RING METHOD OF APPLICATION",26.3459,91.0397
"0   ",0,2010,10,15,Coconut,BARPETA,75,KHARIF,HORTICULTURE,ASSAM,"ASKING ABOUT THE CROWN ROT DISEASES OF COCONUT",nan,26.3459,91.0397
"0   ",0,2010,10,15,Coconut,BARPETA,75,KHARIF,HORTICULTURE,ASSAM,"ASKING ABOUT THE CONTROLLING MEASURE FOR CROWN ROT DISEASES OF COCONUT","SUGGESTED MR LAL TO APPLY BORUX25 GRAMCOCONUT TREE AT A DISTANCE OF 3 FEET BY RING METHOD OF APPLICATION",26.3459,91.0397
"0   ",0,2010,10,15,Coconut,BARPETA,75,JAYAD,HORTICULTURE,ASSAM,"ASKING ABOUT THE CONTROLLING MEASURE FOR CROWN ROT DISEASES OF COCONUT","SUGGESTED MR RASID TO APPLY BORUX25 GRAMCOCONUT TREE AT A DISTANCE OF 3 FEET BY RING METHOD OF APPLICATION",26.3459,91.0397
JALAH,0,2010,11,30,Coconut,BARPETA,75,KHARIF,HORTICULTURE,ASSAM,"ASKING ABOUT THE CONTROL MEASURE OF CROWN ROT DISEASES OF COCONUT","SUGGESTED MR DAS TO APPLY  UREA1KGSUPER PHOSPHATE15KGPOTASH1KG AND BORUX25GRAMCOCONUT TREE AT FIFTH YEAR BY RING METHOD OF APPLICATION AT A DISTANCE OF THREE FEET",26.3459,91.0397
"0   ",0,2010,10,15,Coconut,DARRANG,75,KHARIF,HORTICULTURE,ASSAM,"ASKING ABOUT THE CONTROLLING MEASURE FOR CROWN ROT DISEASES OF COCONUT","SUGGESTED MR ALI TO APPLY BORUX 25 GRAMCOCONUT TREE AT A DISTANCE OF 3 FEET BY RING METHOD OF APPLICATION",26.4373,92.0047
"0   ",0,2010,10,18,Coconut,DARRANG,75,JAYAD,HORTICULTURE,ASSAM,"ASKING ABOUT THE CONTROLLING MEASURE FOR CROWN ROT DISEASES OF COCONUT","SUGGESTED MR AHMED TO APPLY BORUX25 GRAMCOCONUT TREE AT A DISTANCE OF 3 FEET BY RING METHOD OF APPLICATION",26.4373,92.0047
"0   ",0,2010,12,16,Coconut,DARRANG,75,KHARIF,HORTICULTURE,ASSAM,"ASKING ABOUT THE CONTROL MEASURE OF CROWN ROT DISEASES OF COCONUT","SUGGESTED MR SAHARIA TO APPLY UREA1KGSUPER PHOSPHATE15KG POTASH1KG BORUX25GRAM AND SAME DOSE TO BE APPLY IN THE MONTH OF MARCH-APRIL",26.4373,92.0047
"0   ",0,2010,11,15,Coconut,SONITPUR,75,KHARIF,HORTICULTURE,ASSAM,"ASKING ABOUT THE CONTROLLING MEASURE OF CROWN ROT DISEASES OF COCONUT","SUGGESTED MR KEOT TO APPLY BORUX50GMCOCONUT TREE BY RING METHOD OF APPLICATION",26.7678,92.7014
