BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
"0   ",0,2010,2,16,Coconut,ERNAKULAM,75,nan,HORTICULTURE,KERALA,"Control measures for coconut stem bleeding disease","Chisel out the affected portion and apply Calyxin 5ml100ml water  and paste next day  coltarr or rubber coat 5 ml clyxin 300 ml water - root feeding take healthy root slanding cut to the tip  and dip  done  two month interval  in three times  in 6 month time period or 25 ml calyxin 25 liter water and drench the moist base at monthly interwal for 3 months Apply 10kg  veppinpinnaku  Neem cake",9.98408,76.2741
"0   ",0,2010,9,16,Coconut,CUTTACK,75,JAYAD,HORTICULTURE,ODISHA,"stem bleeding disease of coconut","apply bordeaux paste 10",20.4686,85.8792
"0   ",0,2010,4,1,Coconut,COIMBATORE,75,KHARIF,HORTICULTURE,TAMILNADU,"Stem bleeding disease in coconut","The bark of the trunk should be removed in the bleeding area and Bordeaux paste should be applied",11.0018,76.9628
"0   ",Fruits,2011,9,18,Coconut,TRIVANDRUM,0,nan,HORTICULTURE,KERALA,"Control measures for coconut stem bleeding disease","Chisel out the affected portion and apply Calyxin 5ml100ml water and paste next day coltarr or rubber coat 5 ml clyxin 300 ml water - root feeding take healthy root slanding cut to the tip and dip done  two month interval in three times in 6 month time period or 25 ml calyxin 25 liter water and drench the moist base at monthly interwal for 3 months Apply 10kg veppinpinnaku Neem cake",8.48823,76.9475
"0   ",0,2011,4,29,Coconut,TIRUVANNAMALAI,75,KHARIF,HORTICULTURE,TAMILNADU,"Stem bleeding disease in coconut","The bark of the trunk should be removed in the bleeding area andBordeaux paste should be applied",12.4289,78.9992
PANAMARATHUPATTI,Fruits,2012,7,24,Coconut,SALEM,75,JAYAD,HORTICULTURE,TAMILNADU,"stem bleeding disease","prepare  borduex mixture then apply root",11.647,78.2107
BHAVANI,Fruits,2012,7,13,Coconut,ERODE,75,JAYAD,HORTICULTURE,TAMILNADU,"stem bleeding disease","preparation of bordeux mixture then apply",11.4905,77.3505
BARHAMPUR,"Plantation Crops",2013,1,15,Coconut,NAGAON,75,KHARIF,HORTICULTURE,ASSAM,"ASKING ABOUT STEM BLEEDING DISEASE IN COCONUT","SUGGESTED TO APPLY ALKATRA IN THE INFECTED PART",26.3314,92.7525
CHIKNAYAKANHALLI,"Plantation Crops",2013,12,4,Coconut,TUMKUR,nan,nan,HORTICULTURE,KARNATAKA," Stem bleeding disease","The bark of the trunk should be removed in the bleeding area and Bordeaux paste should be applied in this area",13.3401,77.1006
CHIKNAYAKANHALLI,"Plantation Crops",2013,12,4,Coconut,TUMKUR,nan,nan,HORTICULTURE,KARNATAKA," Stem bleeding disease","The bark of the trunk should be removed in the bleeding area and Bordeaux paste should be applied in this area",13.3401,77.1006
