BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
SONIPAT,Cereals,2013,6,13,"Paddy Dhan",SONEPAT,"Cultural Practices",JAYAD,AGRICULTURE,HARYANA,"information regarding bakanae disease control in rice","spray 400ml malathion in 200 litre of water per acre",28.992,77.0343
ISRANA,Cereals,2013,6,13,"Paddy Dhan",PANIPAT,"Cultural Practices",JAYAD,AGRICULTURE,HARYANA,"information regarding bakanae disease in paddy","spray m-45 50ml in 100 litre of water per acre",29.3913,76.9772
FATEHABAD,Cereals,2013,6,12,"Paddy Dhan",FATEHABAD,"Cultural Practices",JAYAD,AGRICULTURE,HARYANA,"information regarding bakanae disease","spray fungicide indofil m-45 400ml in 200 litre of water per acre",29.5359,75.5753
NANAUTA,Cereals,2014,7,24,"Paddy Dhan",SAHARANPUR,"Plant Protection",JAYAD,AGRICULTURE,"UTTAR PRADESH","paddy me bakanae disease ki samasya hai","Carbendazim 12  Mancozeb 63 WP- 400 gramekd",29.9857,77.5041
PUWARKA,Cereals,2014,7,26,"Paddy Dhan",SAHARANPUR,"Plant Protection",JAYAD,AGRICULTURE,"UTTAR PRADESH","bakanae disease ki samsya hai","khadi fasal koi upay nhi haiseed treatment soil treatment",29.9857,77.5041
PUWARKA,Cereals,2014,8,23,"Paddy Dhan",SAHARANPUR,"Plant Protection",nan,AGRICULTURE,"UTTAR PRADESH","paddy me bakanae disease ki samasya hai","carbendazimmancozeb-400 gramekd ka spray kare",29.9857,77.5041
MURADNAGAR,Cereals,2014,8,1,"Paddy Dhan",GHAZIABAD,"Plant Protection",JAYAD,AGRICULTURE,"UTTAR PRADESH","paddy me bakanae disease ki samasya hai","carbendazim 12mancozeb 13- 400 gramekd",28.775,77.4587
KHAIR,Cereals,2014,7,21,"Paddy Dhan",ALIGARH,"Plant Protection",JAYAD,AGRICULTURE,"UTTAR PRADESH","paddy me bakanae disease ki samasya hai","Carbendazim 12  Mancozeb 63 WP- 2 gramliter pani",27.8761,78.1358
LODHA,Cereals,2014,9,9,"Paddy Dhan",ALIGARH,"Plant Protection",KHARIF,AGRICULTURE,"UTTAR PRADESH","paddy me bakanae disease ki samasya hai","Carbendazim 12  Mancozeb 63 WP-400 gramekd",27.8761,78.1358
MAT,Cereals,2014,7,30,"Paddy Dhan",MATHURA,"Plant Protection",JAYAD,AGRICULTURE,"UTTAR PRADESH","paddy me bakanae disease ki samasya hai","Carbendazim 12  Mancozeb 63 WP- 400 gramekd",27.4956,77.6856
