BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
KARAMCHEDU,Cereals,2013,5,8,"Paddy Dhan",PRAKASAM,nan,nan,AGRICULTURE,"ANDHRA PRADESH","ctrl of brown spot in rice","spray mancozeb 2mllit",15.6643,79.4733
DARSI,Cereals,2013,12,7,"Paddy Dhan",PRAKASAM,nan,nan,AGRICULTURE,"ANDHRA PRADESH","brown spot",hexaconazole,15.6643,79.4733
AMARAPURAM,Cereals,2013,9,22,"Paddy Dhan",ANANTPUR,nan,nan,AGRICULTURE,"ANDHRA PRADESH","brown spot","CARBENDAZIM BAVISTIN DEROSAL CARBENDAZIM 200 GRAMS PER ACRE   30933134312031493116314230743105310031353074 3116313431253135312831493103313531123149  31053143312031473128313431223149 30933134312031493116314230743105310031353074    308630933120313430933137 200 30953149312031343118313731223137 200 3122313631033120314931223137 311231363103313531223147 30933122313531143135 31143135309831343093313431203135 309831433119313431223135",13.5747,78.5029
DOTOMA,Cereals,2013,10,2,"Paddy Dhan",KOKRAJHAR,"Plant Protection",JAYAD,AGRICULTURE,ASSAM,"ASKING ABOUT THE BROWN SPOT DISEASE OF RICE","APPLICATION OF HINOSAN  25 GRAM PER LITRE OF WATER",26.4912,90.1215
AMGURI,Cereals,2013,9,14,"Paddy Dhan",SIVASAGAR,"Plant Protection",JAYAD,AGRICULTURE,ASSAM,"asking about control of brown spot in paddy","advised to apply antracol  2 gram  litre of water",26.9835,94.6394
DHAKUAKHANA,Cereals,2013,8,28,"Paddy Dhan",LAKHIMPUR,"Plant Protection",JAYAD,AGRICULTURE,ASSAM,"CONTROL OF BROWN SPOT IN PADDY","ADVISED TO SPRAY INDOFILS BAAN  OR BAVISTIN  2 GRAM  LITRE OF WATER AT 15-20 DAYS INTERVAL FOR TWO TIMES",27.1763,94.1993
PUNPUN,Cereals,2013,7,7,"Paddy Dhan",PATNA,"Plant Protection",KHARIF,AGRICULTURE,BIHAR,"BROWN SPOT IN PADDY","SPRAY MANCOZEB 75   2 GMLT OF WATER",25.6093,85.1235
PUNPUN,Cereals,2013,7,7,"Paddy Dhan",PATNA,"Plant Protection",KHARIF,AGRICULTURE,BIHAR,"BROWN SPOT IN PADDY","SPRAY MANCOZEB 75   2 GMLT OF WATER",25.6093,85.1235
PUNPUN,Cereals,2013,7,7,"Paddy Dhan",PATNA,"Plant Protection",KHARIF,AGRICULTURE,BIHAR,"BROWN SPOT IN PADDY","SPRAY MANCOZEB 75   2 GMLT OF WATER",25.6093,85.1235
PUNPUN,Cereals,2013,7,7,"Paddy Dhan",PATNA,"Plant Protection",KHARIF,AGRICULTURE,BIHAR,"BROWN SPOT IN PADDY","SPRAY MANCOZEB 75   2 GMLT OF WATER",25.6093,85.1235
PUNPUN,Cereals,2013,7,7,"Paddy Dhan",PATNA,"Plant Protection",KHARIF,AGRICULTURE,BIHAR,"BROWN SPOT IN PADDY","SPRAY MANCOZEB 75   2 GMLT OF WATER",25.6093,85.1235
HILSA,Cereals,2013,7,7,"Paddy Dhan",NALANDA,"Cultural Practices",KHARIF,AGRICULTURE,BIHAR,"BROWN SPOT IN PADDY","SPRAY MANCOZEB 75  2 GMLT OF WATER",25.1365,85.4437
BIND,Cereals,2013,10,5,"Paddy Dhan",NALANDA,"Plant Protection",nan,AGRICULTURE,BIHAR,"BROWN SPOT","SPRAY MONOCROTOPHOS AND HEXACONOZOLE 2-2MLLIT OF WATER",25.1365,85.4437
