BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
PATERA,Cereals,2013,9,10,"Paddy Dhan",DAMOH,"Plant Protection",JAYAD,AGRICULTURE,"MADHYA PRADESH","how to control  Green leafhopperof paddy","spray profenophos 50 EC 1000 mlha to control  Green leafhopperof paddy",23.7981,79.5419
BETUL,Cereals,2013,9,27,"Paddy Dhan",BETUL,"Plant Protection",JAYAD,AGRICULTURE,"MADHYA PRADESH","11 Green leafhopper Nephotettix virescens","Spray  insecticides twice 15 and 30 days after transplanting likephosphamidon 40 SL 1000 ml haprofenophos 50 EC 1000 mlha",21.8797,77.8754
TAMIA,Cereals,2013,8,2,"Paddy Dhan",CHHINDWARA,"Plant Protection",JAYAD,AGRICULTURE,"MADHYA PRADESH","how to control Green leafhopper in paddy ","spray phosphamidon 40 SL 1000 ml ha or profenophos 50 EC 1000 mlha",22.2072,78.7988
DABRA,Cereals,2013,8,19,"Paddy Dhan",GWALIOR,"Plant Protection",JAYAD,AGRICULTURE,"MADHYA PRADESH","Green leafhopper of rice ","phosphamidon 40 SL 1000 ml haorprofenophos 50 EC 1000 mlha",26.2037,78.1574
BADNAWAR,Cereals,2013,9,10,"Paddy Dhan",DHAR,"Plant Protection",JAYAD,AGRICULTURE,"MADHYA PRADESH","how to control  Green leafhopper of paddy","spray profenophos 50 EC 1000 mlhato control  Green leafhopper of paddy",22.5787,75.2259
BALANGIR,Cereals,2013,9,16,"Paddy Dhan",BALANGIR,"Plant Protection",JAYAD,AGRICULTURE,ODISHA,"Green leafhopper Nephotettix virescens","PropenophusCypermethrin 15mlLtr",20.6095,83.1673
"MADANPUR    RAMPUR",Cereals,2013,10,5,"Paddy Dhan",KALAHANDI,"Plant Protection",nan,AGRICULTURE,ODISHA,"Green leafhopper","QUINALPHOS OR PROFENOPHOS 2ML1 LITER",19.8266,83.0409
BHANDARIPOKHARI,Cereals,2013,10,19,"Paddy Dhan",BHADRAK,"Plant Protection",nan,AGRICULTURE,ODISHA,"GREEN LEAFHOPPER","GREEN LEAFHOPPER : SPRAY PHOSPHAMIDON 40 SL 2 ML PER LITRE OF WATER",20.9854,86.5934
ERASAMA,Cereals,2013,9,13,"Paddy Dhan",JAGATSINGHAPUR,"Plant Protection",nan,AGRICULTURE,ODISHA,"Green leafhopper","phosphamidon 2ML1 LITER OR QUINALPHOS 2ML1 LITER",20.1801,86.3415
BALIANTA,Cereals,2013,10,9,"Paddy Dhan",KHORDHA,"Plant Protection",nan,AGRICULTURE,ODISHA,"Green leafhopper","profenophos 50 EC 400 mlACRE",20.0538,85.5023
BARPALI,Cereals,2013,9,17,"Paddy Dhan",BARGARH,"Plant Protection",nan,AGRICULTURE,ODISHA,"Green leafhopper","IMIDACHLOPRIDE 5ML15 LITER",21.232,83.5653
LALGUDI,Cereals,2013,10,3,"Paddy Dhan",TIRUCHIRAPPALLI,"Plant Protection",JAYAD,AGRICULTURE,TAMILNADU,"Green leafhopper in paddy","spray monocrotophos 2ml  lit",10.8071,78.6881
ORATTANADU,Cereals,2013,12,10,"Paddy Dhan",THANJAVUR,nan,KHARIF,AGRICULTURE,TAMILNADU,"rice Green leafhopper","spray monocrotophos 2 mllit",10.659,79.2014
KADAIYANALLUR,Cereals,2013,12,10,"Paddy Dhan",TIRUNELVELI,"Plant Protection",KHARIF,AGRICULTURE,TAMILNADU,"rice Green leafhopper","spray monocrotophos 2 mllit",8.72031,77.7075
SIRKAZHI,Cereals,2013,11,18,"Paddy Dhan",NAGAPATTINAM,"Fertilizer Use and Availability",JAYAD,AGRICULTURE,TAMILNADU,"Green leafhopper in paddy","Set up light traps",10.6026,79.7619
ARANI,Cereals,2013,5,6,"Paddy Dhan",TIRUVANNAMALAI,"Plant Protection",KHARIF,AGRICULTURE,TAMILNADU,"Green leafhopper in paddy nursery","Spray monocrotophos 2 mllitre",12.4289,78.9992
THANDRAMPET,Cereals,2013,12,17,"Paddy Dhan",TIRUVANNAMALAI,"Plant Protection",KHARIF,AGRICULTURE,TAMILNADU,"Green leafhopper in paddy","spray monocrotophos 2ml  lit",12.4289,78.9992
KRISHNAGIRI,Cereals,2013,10,5,"Paddy Dhan",KRISHNAGIRI,"Plant Protection",JAYAD,AGRICULTURE,TAMILNADU,"paddy Green leafhopper","spray monocrotophos 2ml  lit",12.5152,78.0094
DONDILOHARA,Cereals,2013,9,19,"Paddy Dhan",DURG,"Plant Protection",JAYAD,AGRICULTURE,CHHATTISGARH,"how to control  Green leafhopper of paddy","profenophos 50 EC 1000 mlhato control  Green leafhopper of paddy",21.1983,81.4008
