BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
BALIAPAL,Cereals,2015,2,27,"Paddy Dhan",BALASORE,"Plant Protection",nan,AGRICULTURE,ODISHA,"leaf scald in paddy","recommended to spray copperoxychloride 0r mancozeb   2 gm per litre water",21.5006,86.9199
SORO,Cereals,2015,9,17,"Paddy Dhan",BALASORE,"Plant Protection",nan,AGRICULTURE,ODISHA,"LEAF SCALD IN PADDY","RECOMMENDED TO APPLY MANCOZEB 4GM OR COPPER OXYCHLORIDE 3GM IN 1 LITRE WATER TO CONTROL LEAF SCALD IN PADDY",21.5006,86.9199
SORO,Cereals,2015,9,17,"Paddy Dhan",BALASORE,"Plant Protection",nan,AGRICULTURE,ODISHA,"LEAF SCALD IN PADDY","RECOMMENDED TO APPLY CARBEDENZIM 3GM IN 1 LITRE WATER TO CONTROL LEAF SCALD AND APPLY QUINALPHOS 25EC 2ML IN 1 LITRE WATER TO CONTROL  INSECTES IN PADDY",21.5006,86.9199
SORO,Cereals,2015,9,18,"Paddy Dhan",BALASORE,"Plant Protection",nan,AGRICULTURE,ODISHA,"leaf scald in rice","recommended to spray with blitox 50 2gmltr of water",21.5006,86.9199
BAHANAGA,Cereals,2015,9,25,"Paddy Dhan",BALASORE,"Plant Protection",KHARIF,AGRICULTURE,ODISHA,"Leaf Scald","SPRAY COC 2 GLITRE OF WATER",21.5006,86.9199
REMUNA,Cereals,2015,9,26,"Paddy Dhan",BALASORE,"Plant Protection",nan,AGRICULTURE,ODISHA,"leaf scald in rice","apply mancozeb 2gm in 1 litre water",21.5006,86.9199
NILGIRI,Cereals,2015,9,28,"Paddy Dhan",BALASORE,"Plant Protection",KHARIF,AGRICULTURE,ODISHA,"LEAF SCALD IN PADDY","RECOMMENDED TO SPRAY VALIDAMYCIN  2ML1 LIT OF WATER FOR LEAF SCALD IN PADDY",21.5006,86.9199
BALESHWAR,Cereals,2015,9,29,"Paddy Dhan",BALASORE,"Plant Protection",nan,AGRICULTURE,ODISHA,"leaf scald in paddy","recommended to spray validamycin  2 ml1 lit of water for leaf scald in paddy",21.5006,86.9199
REMUNA,Cereals,2015,10,1,"Paddy Dhan",BALASORE,"Plant Protection",nan,AGRICULTURE,ODISHA,"leaf scald in paddy","apply mancozeb 2gm in 1 litre water",21.5006,86.9199
OUPADA,Cereals,2015,10,6,"Paddy Dhan",BALASORE,"Plant Protection",nan,AGRICULTURE,ODISHA,"leaf scald in paddy","apply mancozeb 2gm per 1 litre water",21.5006,86.9199
SIMULIA,Cereals,2015,10,8,"Paddy Dhan",BALASORE,"Plant Protection",nan,AGRICULTURE,ODISHA,"LEAF SCALD IN PADDY","APPLY COPPER OXYCHLORIDE  3GMLITRE WATER SPRAY",21.5006,86.9199
KHAIRA,Cereals,2015,10,16,"Paddy Dhan",BALASORE,"Plant Protection",RABI,AGRICULTURE,ODISHA,"leaf scald in paddy","recommended to spray propiconazole  2ml1 lit of water for leaf scald in paddy",21.5006,86.9199
SAINTALA,Cereals,2015,9,24,"Paddy Dhan",BALANGIR,"Plant Protection",nan,AGRICULTURE,ODISHA,"leaf scald in rice","apply mancozeb 2gm in 1 litre water",20.6095,83.1673
LOISINGA,Cereals,2015,9,24,"Paddy Dhan",BALANGIR,"Plant Protection",KHARIF,AGRICULTURE,ODISHA,"LEAF SCALD IN PADDY","RECOMENDED TO SPRAY HEXACONAZOLE  2ML1 LIT OF WATER FOR LEAF SCALD IN PADDY",20.6095,83.1673
SAINTALA,Cereals,2015,9,26,"Paddy Dhan",BALANGIR,"Plant Protection",KHARIF,AGRICULTURE,ODISHA,"LEAF SCALD IN PADDY","RECOMMENDED TO SPRAY VALIDAMYCIN  2ML1 LIT OF WATER FOR LEAF SCALD IN PADDY",20.6095,83.1673
AGALPUR,Cereals,2015,9,28,"Paddy Dhan",BALANGIR,"Plant Protection",KHARIF,AGRICULTURE,ODISHA,"LEAF SCALD IN PADDY","RECOMMENDED TO SPRAY HEXACONAZOLE OR VALIDAMYCIN  2 ML1 LIT OF WATER FOR LEAF SCALD IN PADDY",20.6095,83.1673
PUINTALA,Cereals,2015,9,28,"Paddy Dhan",BALANGIR,"Plant Protection",KHARIF,AGRICULTURE,ODISHA,"LEAF SCALD IN PADDY","RECOMMENDED TO SPRAY VALIDAMYCIN OR HEXACONAZOLE  2ML1 LIT OF WATER FOR LEAF SCALD IN PADDY",20.6095,83.1673
MURIBAHAL,Cereals,2015,9,29,"Paddy Dhan",BALANGIR,"Plant Protection",KHARIF,AGRICULTURE,ODISHA,"leaf scald in paddy","recommended to spray hexaconazole  2ml1 lit of water for leaf scald in paddy",20.6095,83.1673
DEOGAON,Cereals,2015,9,30,"Paddy Dhan",BALANGIR,"Plant Protection",nan,AGRICULTURE,ODISHA,"leaf scald in paddy","apply mancozeb 2gm in 1 litre water",20.6095,83.1673
DEOGAON,Cereals,2015,10,1,"Paddy Dhan",BALANGIR,"Plant Protection",nan,AGRICULTURE,ODISHA,"leaf scald in paddy","apply mancozeb 2gm in 1 litre water",20.6095,83.1673
PATNAGARH,Cereals,2015,10,6,"Paddy Dhan",BALANGIR,"Plant Protection",nan,AGRICULTURE,ODISHA,"LEAF SCALD IN PADDY","RECOMMENDED TO SPRAY HEXACONAZOLE OR VALIDAMYCIN  2ML1 LIT OF WATER FOR LEAF SCALD IN PADDY",20.6095,83.1673
LOISINGA,Cereals,2015,10,14,"Paddy Dhan",BALANGIR,"Plant Protection",KHARIF,AGRICULTURE,ODISHA,"leaf scald in paddy","recommended to spray hexadecanol or validamycin  2ml1 lit of water for leaf scald in paddy",20.6095,83.1673
CHIKITI,Cereals,2015,8,23,"Paddy Dhan",GANJAM,"Plant Protection",KHARIF,AGRICULTURE,ODISHA,"leaf scald in paddy","Apply carbendazim  2gm1lit water for leaf scald in paddy",19.609,84.7081
SANAKHEMUNDI,Cereals,2015,9,23,"Paddy Dhan",GANJAM,"Plant Protection",nan,AGRICULTURE,ODISHA,"LEAF SCALD IN PADDY","RECOMENDED DOSE OF BENOFIT 1GM1LIT WATER SPRAY",19.609,84.7081
DIGAPAHANDI,Cereals,2015,9,23,"Paddy Dhan",GANJAM,"Plant Protection",nan,AGRICULTURE,ODISHA,"leaf scald in rice","apply validamycin 2gm in 1 litre water",19.609,84.7081
BUGUDA,Cereals,2015,9,30,"Paddy Dhan",GANJAM,"Plant Protection",KHARIF,AGRICULTURE,ODISHA,"LEAF SCALD IN PADDY","RECOMMENDED TO SPRAY HEXACONAZOLE OR VALIDAMYCIN  2ML1 LIT OF WATER FOR LEAF SCALD IN PADDY",19.609,84.7081
SHERAGADA,Cereals,2015,10,5,"Paddy Dhan",GANJAM,"Plant Protection",nan,AGRICULTURE,ODISHA,"leaf scald in paddy","apply mancozeb 2gm per 1 litre water",19.609,84.7081
GOLAMUNDA,Cereals,2015,8,23,"Paddy Dhan",KALAHANDI,"Plant Protection",KHARIF,AGRICULTURE,ODISHA,"LEAF SCALD IN PADDY","APPLY carbendazim  2GM1LIT WATER",19.8266,83.0409
"MADANPUR    RAMPUR",Cereals,2015,9,24,"Paddy Dhan",KALAHANDI,"Plant Protection",nan,AGRICULTURE,ODISHA,"leaf scald in rice","apply mancozeb 2gm in 1 litre water",19.8266,83.0409
GOLAMUNDA,Cereals,2015,9,25,"Paddy Dhan",KALAHANDI,"Plant Protection",nan,AGRICULTURE,ODISHA,"leaf scald in rice","apply mancozeb 2gm in 1 litre water",19.8266,83.0409
BHAWANIPATNA,Cereals,2015,9,26,"Paddy Dhan",KALAHANDI,"Plant Protection",nan,AGRICULTURE,ODISHA,"leaf scald in rice","apply mancozeb 2gm in 1 litre water",19.8266,83.0409
JUNAGARH,Cereals,2015,9,26,"Paddy Dhan",KALAHANDI,"Plant Protection",nan,AGRICULTURE,ODISHA,"leaf scald in rice","apply mancozeb 2gm in 1 litre water",19.8266,83.0409
KALAMPUR,Cereals,2015,9,28,"Paddy Dhan",KALAHANDI,"Plant Protection",nan,AGRICULTURE,ODISHA,"LEAF SCALD IN PADDY","RECOMMENDED TO SPRAY HEXACONAZOLE OR VALIDAMYCIN  2ML1 LIT OF WATER FOR LEAF SCALD IN PADDY",19.8266,83.0409
"MADANPUR    RAMPUR",Cereals,2015,9,28,"Paddy Dhan",KALAHANDI,"Plant Protection",KHARIF,AGRICULTURE,ODISHA,"LEAF SCALD IN PADDY","RECOMMENDED TO SPRAY HEXACONAZOLE  2ML1 LIT OF WATER FOR LEAF SCALD IN PADDY",19.8266,83.0409
GOLAMUNDA,Cereals,2015,10,1,"Paddy Dhan",KALAHANDI,"Plant Protection",nan,AGRICULTURE,ODISHA,"leaf scald in paddy","apply mancozeb 2gm in 1 litre water",19.8266,83.0409
