BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
PITHAPURAM,Cereals,2013,5,30,"Paddy Dhan","EAST GODAVARI",nan,nan,AGRICULTURE,"ANDHRA PRADESH","control of tungro virus","application of carbofuran granules 8 kgacre",16.9957,81.7154
JANGAREDDIGUDEM,Cereals,2013,9,26,"Paddy Dhan","WEST GODAVARI",nan,nan,AGRICULTURE,"ANDHRA PRADESH","rice tungro virus","monocrotophas 15 mll  acephate 15 gl31183146311231473093314931203147310831473115313431283149  15 3086307431223149 31223135   307731283137311531083143  15 3095314931203134 31223135",16.6443,81.5885
BUTCHIREDDIPALEM,Cereals,2013,7,9,"Paddy Dhan",NELLORE,nan,nan,AGRICULTURE,"ANDHRA PRADESH","asked about rice tungro virus","spraying of hexaconazole  2mllit",14.4494,79.9874
SYDAPURAM,Cereals,2013,7,21,"Paddy Dhan",NELLORE,nan,nan,AGRICULTURE,"ANDHRA PRADESH","paddy tungro virus","monocrotophos 300 mlacre",14.4494,79.9874
UDAIPURA,Cereals,2013,9,16,"Paddy Dhan",RAISEN,"Plant Protection",JAYAD,AGRICULTURE,"MADHYA PRADESH","how to control tungro virus","spray Monocrotophos  16 to 22mllit to control insect vector to control tungro virus",23.2676,78.1727
ANUPPUR,Cereals,2013,9,18,"Paddy Dhan",ANUPPUR,"Plant Protection",JAYAD,AGRICULTURE,"MADHYA PRADESH","how to control tungro virus","spray Monocrotophos  16 to 22mllit to control insect vector",23.0346,81.751
BASTA,Cereals,2013,8,19,"Paddy Dhan",BALASORE,"Plant Protection",nan,AGRICULTURE,ODISHA,"TUNGRO VIRUS","TATAMIDA 1ML3L",21.5006,86.9199
JALESWAR,Cereals,2013,8,25,"Paddy Dhan",BALASORE,"Plant Protection",nan,AGRICULTURE,ODISHA,"RICE TUNGRO VIRUS","CARBOFURAN 3G 10KGACRE",21.5006,86.9199
AGALPUR,Cereals,2013,8,17,"Paddy Dhan",BALANGIR,"Plant Protection",nan,AGRICULTURE,ODISHA,"rice tungro virus","momocrotophos 300 ml in one acre",20.6095,83.1673
PATNAGARH,Cereals,2013,8,27,"Paddy Dhan",BALANGIR,"Plant Protection",nan,AGRICULTURE,ODISHA,"rice tungro virus","details given",20.6095,83.1673
"TANGI CHOUDWAR",Cereals,2013,8,25,"Paddy Dhan",CUTTACK,"Plant Protection",nan,AGRICULTURE,ODISHA,"RICE TUNGRO VIRUS","MONOCROTOPHOS 2MLL",20.4686,85.8792
KARLAMUNDA,Cereals,2013,8,17,"Paddy Dhan",KALAHANDI,"Plant Protection",nan,AGRICULTURE,ODISHA,"RICE TUNGRO VIRUS","MONOCROTOPHOS 2MLLET OF WATER",19.8266,83.0409
HATADIHI,Cereals,2013,9,30,"Paddy Dhan",KEONJHAR,nan,nan,AGRICULTURE,ODISHA,"RICE TUNGRO VIRUS","Carbofuran 3 G  10 kgacre",21.5,85.5
MANESWAR,Cereals,2013,9,21,"Paddy Dhan",SAMBALPUR,"Plant Protection",nan,AGRICULTURE,ODISHA,"rice tungro virus","details given",21.5571,84.1529
KOREI,Cereals,2013,9,18,"Paddy Dhan",JAJAPUR,"Plant Protection",nan,AGRICULTURE,ODISHA,"rice tungro virus","details given",20.8278,86.3798
PADAMPUR,Cereals,2013,8,11,"Paddy Dhan",BARGARH,"Plant Protection",nan,AGRICULTURE,ODISHA,"rice tungro virus","detail given",21.232,83.5653
PADAMPUR,Cereals,2013,9,18,"Paddy Dhan",BARGARH,"Plant Protection",nan,AGRICULTURE,ODISHA,"rice tungro virus","apply carbofuran 3g 10kg per acre",21.232,83.5653
NEMILI,Cereals,2013,5,13,"Paddy Dhan",VELLORE,"Plant Protection",KHARIF,AGRICULTURE,TAMILNADU,"rice tungro virus","spray monocrotophos 1ml  mangozeb  1gm lit",12.9022,79.0611
TIRUPPATTUR,Cereals,2013,10,31,"Paddy Dhan",VELLORE,"Plant Protection",JAYAD,AGRICULTURE,TAMILNADU,"rice tungro virus","spray Profenophos 2mllit of water",12.9022,79.0611
TIMIRI,Cereals,2013,12,24,"Paddy Dhan",VELLORE,nan,KHARIF,AGRICULTURE,TAMILNADU,"rice tungro virus","spray monocrotophos 2mllit",12.9022,79.0611
SATYAMANGALAM,Cereals,2013,10,5,"Paddy Dhan",ERODE,"Plant Protection",JAYAD,AGRICULTURE,TAMILNADU,"rice tungro virus","spray Profenophos 2mllit of water",11.4905,77.3505
ERODE,Cereals,2013,11,11,"Paddy Dhan",ERODE,"Plant Protection",JAYAD,AGRICULTURE,TAMILNADU,"rice tungro virus","Spray profenophos 2 mllit",11.4905,77.3505
