BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
HAJO,Cereals,2013,4,26,"Paddy Dhan",KAMRUP,"Plant Protection",KHARIF,AGRICULTURE,ASSAM,"CONTROL OF RICE EAR CUTTING CATERPILLAR","ADVISED TO SPRAY VAZRA QUINALPHOS 25  EC   15 ML  LITRE OF WATER",26.1469,91.2227
"KALAIGAON  Pt",Cereals,2013,5,29,"Paddy Dhan",DARRANG,"Plant Protection",nan,AGRICULTURE,ASSAM,"CONTROL OF EAR CUTTING CATERPILLAR IN PADDY","SPTAY PROFEX  2 ML  LITRE OF WATER",26.4373,92.0047
NURMAHAL,Cereals,2013,10,5,"Paddy Dhan",JALANDHAR,nan,nan,AGRICULTURE,PUNJAB,"rice ear cutting caterpillar ","spray ekalux 400 ml in 100 litres of water per acre",31.2922,75.5679
ADAMPUR,Cereals,2013,10,8,"Paddy Dhan",JALANDHAR,nan,JAYAD,AGRICULTURE,PUNJAB,"INFORMATION RGEARDING FOR THE CONTROL OF EAR CUTTING CATERPILLAR IN PADDY CROP","FOR THE CONTROL OF EAR CUTTING CATERPILLAR IN PADDY SPRAY 500 ML EKALUX IN 100 LITRE WATER PER ACRE",31.2922,75.5679
JAGRAON,Cereals,2013,10,8,"Paddy Dhan",LUDHIANA,nan,JAYAD,AGRICULTURE,PUNJAB,"INFORMATION RGEARDING FOR THE CONTROL OF EAR CUTTING CATERPILLAR IN PADDY CROP","FOR THE CONTROL OF EAR CUTTING CATERPILLAR IN PADDY SPRAY 500 ML EKALUX IN 100 LITRE WATER PER ACRE",30.909,75.8516
LUDHIANA-1,Cereals,2013,10,8,"Paddy Dhan",LUDHIANA,nan,JAYAD,AGRICULTURE,PUNJAB,"INFORMATION RGEARDING FOR THE CONTROL OF EAR CUTTING CATERPILLAR IN PADDY CROP","FOR THE CONTROL OF EAR CUTTING CATERPILLAR IN PADDY SPRAY 500 ML EKALUX IN 100 LITRE WATER PER ACRE",30.909,75.8516
ZIRA,Cereals,2013,10,5,"Paddy Dhan",FEROZPUR,nan,nan,AGRICULTURE,PUNJAB,"Information regarding spray against Rice ear cutting Caterpillar","400 ml Ekalux 25 EC Quinalphos in 100 litre of water per acre",30.4426,74.0656
FIROZPUR,Cereals,2013,10,8,"Paddy Dhan",FEROZPUR,nan,JAYAD,AGRICULTURE,PUNJAB,"INFORMATION RGEARDING FOR THE CONTROL OF EAR CUTTING CATERPILLAR IN PADDY CROP","FOR THE CONTROL OF EAR CUTTING CATERPILLAR IN PADDY SPRAY 500 ML EKALUX IN 100 LITRE WATER PER ACRE",30.4426,74.0656
MAUR,Cereals,2013,10,5,"Paddy Dhan",BHATINDA,nan,nan,AGRICULTURE,PUNJAB,"rice ear cutting caterpillar","spray ekalux 400 ml in 100 litres of water per acre",30.2068,74.9464
RAMPURA,Cereals,2013,10,8,"Paddy Dhan",BHATINDA,nan,JAYAD,AGRICULTURE,PUNJAB,"INFORMATION RGEARDING FOR THE CONTROL OF EAR CUTTING CATERPILLAR IN PADDY CROP","FOR THE CONTROL OF EAR CUTTING CATERPILLAR IN PADDY SPRAY 500 ML EKALUX IN 100 LITRE WATER PER ACRE",30.2068,74.9464
"TALWANDI SABO",Cereals,2013,10,8,"Paddy Dhan",BHATINDA,nan,JAYAD,AGRICULTURE,PUNJAB,"INFORMATION RGEARDING FOR THE CONTROL OF EAR CUTTING CATERPILLAR IN PADDY CROP","FOR THE CONTROL OF EAR CUTTING CATERPILLAR IN PADDY SPRAY 500 ML EKALUX IN 100 LITRE WATER PER ACRE",30.2068,74.9464
GHANAUR,Cereals,2013,9,15,"Paddy Dhan",PATIALA,"Plant Protection",JAYAD,AGRICULTURE,PUNJAB,"INFORMATION RGEARDING FOR THE CONTROL OF RICE EAR CUTTING CATERPILLAR IN PADDY CROP","FOR THE CONTROL OF RICE EAR CUTTING CATERPILLAR IN PADDY CROP SPRAY 400 ML EKALUX QUINOLPHOS OR 550 ML MONOCROTOPHOS IN 100 LITRES OF WATER SPRAY IN EVENING",30.2093,76.3397
PATIALA,Cereals,2013,9,26,"Paddy Dhan",PATIALA,nan,nan,AGRICULTURE,PUNJAB,"Information regarding spray against Rice ear cutting Caterpillar","400 ml Ekalux 25 EC Quinalphos in 100 litre of water per acre",30.2093,76.3397
PATRAN,Cereals,2013,10,3,"Paddy Dhan",PATIALA,"Plant Protection",JAYAD,AGRICULTURE,PUNJAB,"INFORMATION RGEARDING FOR THE CONTROL OF EAR CUTTING CATERPILLAR IN PADDY CROP","FOR THE CONTROL OF EAR CUTTING CATERPILLAR IN PADDY SPRAY 400 ML EKALUX QUINOLPHOS 25 EC IN 100 LITRE WATER PER ACRE",30.2093,76.3397
SAMANA,Cereals,2013,10,7,"Paddy Dhan",PATIALA,"Plant Protection",JAYAD,AGRICULTURE,PUNJAB,"INFORMATION RGEARDING FOR THE CONTROL OF EAR CUTTING CATERPILLAR IN PADDY CROP","FOR THE CONTROL OF EAR CUTTING CATERPILLAR IN PADDY SPRAY 500 ML EKALUX IN 100 LITRE WATER PER ACRE",30.2093,76.3397
PATIALA,Cereals,2013,10,8,"Paddy Dhan",PATIALA,nan,JAYAD,AGRICULTURE,PUNJAB,"INFORMATION RGEARDING FOR THE CONTROL OF EAR CUTTING CATERPILLAR IN PADDY CROP","FOR THE CONTROL OF EAR CUTTING CATERPILLAR IN PADDY SPRAY 500 ML EKALUX IN 100 LITRE WATER PER ACRE",30.2093,76.3397
