BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
"0   ",0,2009,11,18,Potato,JAMMU,3,KHARIF,AGRICULTURE,"JAMMU AND KASHMIR","FARMER WANTS INFORMATION ABOUT THE CONTROL OF APHIDS IN POTATO ","SPRAY ENDOSULFAN 35EC  2 MLLT OF WATER",32.7186,74.8581
"0   ",0,2009,12,23,Potato,SANGLI,3,JAYAD,AGRICULTURE,MAHARASHTRA,"APHIDS IN POTATO","SPRAY 5ML IMIDACLOPRID  30ML AZADIRACHTIN IN 10 LIT OF WATER",17.1727,74.5868
"0   ",0,2009,11,25,Potato,HOSHIARPUR,3,KHARIF,AGRICULTURE,PUNJAB,"INFORMATION REGARDING CONTROL APHIDS OF POTATO",nan,31.6093,75.846
"0   ",0,2009,12,12,Potato,BHATINDA,3,KHARIF,AGRICULTURE,PUNJAB,"INFORMATION REGARDING CONTROL OF APHIDS IN POTATO ","I TOLD THE KISAN SPRAY  400 ML OF ROGOR 30 EC IN 100 LITRES OF WATERACRE",30.2068,74.9464
"0   ",0,2009,12,25,Potato,BARNALA,3,KHARIF,AGRICULTURE,PUNJAB,"INFORMATION REGARDING CONTROL OF APHIDS IN POTATO ","SPRAY 300ML OF GOGOR 30EC IN 100LIT OF WATERACRE",30.3717,75.504
"0   ",0,2009,11,14,Potato,NADIA,3,nan,AGRICULTURE,"WEST BENGAL","CONTROL OF APHIDS IN POTATO","SPRAY DIMETHOATE  2 MLLT OF WATER",23.4847,88.5567
"0   ",0,2010,1,8,Potato,CACHAR,3,KHARIF,AGRICULTURE,ASSAM,"ASKING THE CONTROL MEASURE AGAINST APHIDS AND EPILACHNA BEETLE WHICH ARE DESTROYING HIS POTATO CULTIVATION","SUGGESTED TO APPLY MALATHION 50 EC  15 LITRE IN 500-600 LITRES OF WATER TO GET CONTROL ON THESE TYPES OF PESTS",24.7586,92.8817
"0   ",0,2010,11,21,Potato,NARSIMPUR,3,KHARIF,AGRICULTURE,"MADHYA PRADESH","how to control of  potato aphids ","apply pride   10 ml pump",23.8143,77.5341
"0   ",0,2010,12,21,Potato,NARSIMPUR,3,KHARIF,AGRICULTURE,"MADHYA PRADESH","how to control Aphids in potato",nan,23.8143,77.5341
"0   ",0,2010,12,21,Potato,NARSIMPUR,3,KHARIF,AGRICULTURE,"MADHYA PRADESH","how to control Aphids in potato","for control Aphids sprey Metasystox 700 ml700 liter of water",23.8143,77.5341
"0   ",0,2010,12,21,Potato,NARSIMPUR,3,KHARIF,AGRICULTURE,"MADHYA PRADESH","how to control Aphids in potato",nan,23.8143,77.5341
"0   ",0,2010,12,21,Potato,NARSIMPUR,3,KHARIF,AGRICULTURE,"MADHYA PRADESH","how to control potato Aphids",nan,23.8143,77.5341
"0   ",0,2010,12,21,Potato,NARSIMPUR,3,KHARIF,AGRICULTURE,"MADHYA PRADESH","how to control potato Aphids",nan,23.8143,77.5341
"0   ",0,2010,12,21,Potato,NARSIMPUR,3,KHARIF,AGRICULTURE,"MADHYA PRADESH","how to control Aphids in potato",nan,23.8143,77.5341
"0   ",0,2010,10,14,Potato,INDORE,"Plant Protection",KHARIF,AGRICULTURE,"MADHYA PRADESH","To control aphids and jassids spraying metasystox or dimethoate 1 ml per litre is effectiveTo control aphids and jassids spraying metasystox or dimethoate 1 ml per litre is effectiveTo control aphids and jassids spraying metasystox or dimethoate 1 ml per litre is effectivehow To control aphids and jassids",nan,22.7204,75.8682
