BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
"0   ",0,2009,12,30,Potato,CACHAR,2,KHARIF,AGRICULTURE,ASSAM,"ASKING THE CONTROL MEASURE OF BACTERIAL WILT IN HIS POTATO CULTIVATION","SUGGESTED TO APPLY STREPTOMYCIN  1 GRAM PER LITRE OF WATER AND TO DRENCH THE SOIL AROUND THE PLANT WITH 1 GRAM OF ASAFOETIDA ALONG WITH 5 GRAM OF TURMERIC POWDER BY MIXING IN 10 LITRES OF WATERALSO ADVISED THAT WHENEVER HE GOES FOR HIS NEXT CULTIVATION OF POTATO TO APPLY 12 GRAM OF BLEACHING POWDER PER HECTARE DURING FINAL LAND PREPARATION",24.7586,92.8817
"0   ",0,2009,12,21,Potato,BARDDHAMAN,2,nan,AGRICULTURE,"WEST BENGAL","BACTERIAL WILT IN POTATO","SPRAY STREPTOMYCINE  1 GM10 LT OF WATER",23.25,87.75
"0   ",0,2009,11,23,Potato,"North DINAJPUR",2,KHARIF,AGRICULTURE,"WEST BENGAL","CONTROL BACTERIAL WILT IN POTATO","SPRAY MANCOZEB 75   25 GM LIT OF WATER",22.9965,87.6856
"0   ",0,2010,11,29,Potato,KAMRUP,2,KHARIF,AGRICULTURE,ASSAM,"ASKING FOR THE CONTROL MEASURE TO CONTROL BACTERIAL WILT DISEASE IN POTATO","SUGGESTED TO SPRAY STREPTOCYCLIN SOLUTION STREPTOMYCIN SULPHATE  200 MILLI GRAMS IN 1 LITRE OF WATER AT 15 DAYS INTERVALALSO ADVISED TO DRENCH THE SOIL AT THE BASE OF THE PLANT WITH A MIXTURE SOLUTION OF ASAFOETIDA  1 GRAM  TURMERIC POWDER  5 GRAM IN 10 LITRES OF WATER",26.1469,91.2227
"0   ",0,2010,12,1,Potato,KAMRUP,2,KHARIF,AGRICULTURE,ASSAM,"ASKING ABOUT THE CONTROL  MEASURE TO CONTROL BACTERIAL WILT DISEASE IN POTATO","SUGGESTED TO SPRAY STREPTOCYCLINSTREPTOMYCIN SULPHATE200 MILIGRAMLITER OF WATER  AT 15 DAYS INTERVAL",26.1469,91.2227
"0   ",0,2010,11,29,Potato,DARRANG,2,KHARIF,AGRICULTURE,ASSAM,"ASKING FOR THE CONTROL MEASURE TO CONTROL BACTERIAL WILT DISEASE IN POTATO",nan,26.4373,92.0047
"0   ",0,2010,11,29,Potato,DARRANG,2,KHARIF,AGRICULTURE,ASSAM,"ASKING FOR THE CONTROL MEASURE TO CONTROL BACTERIAL WILT DISEASE IN POTATO","SUGGESTED TO SPRAY STREPTOCYCLIN SOLUTION STREPTOMYCIN SULPHATE  200 MILLI GRAMS IN 1 LITRE OF WATER AT 15 DAYS INTERVALALSO ADVISED TO DRENCH THE SOIL AT THE BASE OF THE PLANT WITH A MIXTURE SOLUTION OF ASAFOETIDA  1 GRAM  TURMERIC POWDER  5 GRAM IN 10 LITRES OF WATER",26.4373,92.0047
"0   ",0,2010,12,2,Potato,DARRANG,2,KHARIF,AGRICULTURE,ASSAM,"ASKING FOR THE CONTROL MEASURE AGAINST BACTERIAL WILT IN POTATO CROP CULTIVATION","SUGGESTED TO SPRAY STREPTOCYCLIN SOLUTION  2OO MILLI GRAM IN 1 LITRE OF WATER AND TO DRENCH THE SOIL WITH A MIXTURE OF ASAFOETIDA 1GRAM AND TURMERIC POWDER5GRAM IN 10 LITRES OF WATER",26.4373,92.0047
"0   ",0,2010,12,3,Potato,NALBARI,2,KHARIF,AGRICULTURE,ASSAM,"ASKING ABOUT THE CONTROL MEASURE TO CONTROL BACTERIAL WILT DISEASE IN POTATO","SUGGESTED TO SPRAY STREPTOCYCLINSTREPTOMYCIN SULPHATE200 MILIGRAMLITER OF WATER  AT 15 DAYS INTERVAL",26.3534,91.3984
"0   ",0,2010,1,9,Potato,ALLAHABAD,0,nan,AGRICULTURE,"UTTAR PRADESH","CONTROL OF BACTERIAL WILT IN POTATO","SPRAY VALIDAMYCIN300MLACRE",25.4381,81.8338
MANDIA,Vegetables,2011,11,24,Potato,BARPETA,75,KHARIF,HORTICULTURE,ASSAM,"ASKING ABOUT THE CONTROL MEASURE TO CONTROL BACTERIAL WILT DISEASE IN POTATO","SUGGESTED TO SPRAY STREPTOCYCLIN STREPTOMYCIN SULPHATE200 MILIGRAMLITER OF WATER AT 15 DAYS INTERVAL",26.3459,91.0397
CHENGA,Vegetables,2011,12,15,Potato,BARPETA,75,KHARIF,HORTICULTURE,ASSAM,"ASKING FOR THE CONTROL MEASURE AGAINST BACTERIAL WILT IN POTATO","STREPTOMYCIN OR PLANTOMYCIN OR AGRIMYCIN SOLUTION  1 GRAM PER 10 LITRES OF WATER HAS BEEN SUGGETSED TO SPRAY ON THE CROP AND TO DRENCH THE SOIL BY SPRAYING AT AND AROUND THE BASE OF THE PLANT WITH A MIXTURE SOLUTION OF 1 GRAM OF ASAFOETIDA  5 GRAMS OF TURMERIC POWDER IN 10 LITRES OF WATER",26.3459,91.0397
"KALAIGAON  Pt",Vegetables,2011,11,23,Potato,DARRANG,75,KHARIF,HORTICULTURE,ASSAM,"ASKING ABOUT THE CONTROL  MEASURE TO CONTROL BACTERIAL WILT DISEASE IN POTATO","SUGGESTED TO SPRAY STREPTOCYCLIN STREPTOMYCIN SULPHATE200 MILIGRAMLITER OF WATER AT 15 DAYS INTERVAL",26.4373,92.0047
CHAIDUAR,Vegetables,2011,12,7,Potato,SONITPUR,0,nan,HORTICULTURE,ASSAM,"ASKING ABOUT BACTERIAL WILT IN POTATO","SUGGESTED TO SRPAY STREPTOMICINE SULPHAT  1GM10LIT WATER",26.7678,92.7014
TITABOR,Vegetables,2011,12,9,Potato,JORHAT,75,KHARIF,HORTICULTURE,ASSAM,"ASKING FOR THE CONTROL MEASURE AGAINST BACTERIAL WILT IN POTATO","STREPTOMYCIN OR PLANTOMYCIN OR AGRIMYCIN SOLUTION  1 GRAM PER 1 LITRE OF WATER HAS BEEN SUGGETSED TO SPRAY ON THE CROP AND TO DRENCH THE SOIL BY SPRAYING AT AND AROUND THE BASE OF THE PLANT WITH A MIXTURE SOLUTION OF 1 GRAM OF ASAFOETIDA  5 GRAMS OF TURMERIC POWDER IN 10 LITRES OF WATER",26.7578,94.208
BORBORUAH,Vegetables,2011,12,9,Potato,DIBRUGARH,75,KHARIF,HORTICULTURE,ASSAM,"ASKING FOR THE CONTROL MEASURE AGAINST BACTERIAL WILT IN POTATO","STREPTOMYCIN OR PLANTOMYCIN OR AGRIMYCIN SOLUTION  1 GRAM PER 1 LITRE OF WATER HAS BEEN SUGGETSED TO SPRAY ON THE CROP AND TO DRENCH THE SOIL BY SPRAYING AT AND AROUND THE BASE OF THE PLANT WITH A MIXTURE SOLUTION OF 1 GRAM OF ASAFOETIDA  5 GRAMS OF TURMERIC POWDER IN 10 LITRES OF WATER",27.4845,94.9019
"PUB NALBARI",Vegetables,2011,12,11,Potato,NALBARI,0,KHARIF,HORTICULTURE,ASSAM,"ASKING FOR THE CONTROL MEASURE AGAINST BACTERIAL WILT IN POTATO","STREPTOMYCIN OR PLANTOMYCIN OR AGRIMYCIN SOLUTION  1 GRAM PER 10 LITRES OF WATER HAS BEEN SUGGETSED TO SPRAY ON THE CROP AND TO DRENCH THE SOIL BY SPRAYING AT AND AROUND THE BASE OF THE PLANT WITH A MIXTURE SOLUTION OF 1 GRAM OF ASAFOETIDA  5 GRAMS OF TURMERIC POWDER IN 10 LITRES OF WATER",26.3534,91.3984
MAYANG,Vegetables,2011,12,11,Potato,MARIGOAN,75,KHARIF,HORTICULTURE,ASSAM,"ASKING FOR THE CONTROL MEASURE AGAINST BACTERIAL WILT IN POTATO","STREPTOMYCIN OR PLANTOMYCIN OR AGRIMYCIN SOLUTION  1 GRAM PER 10 LITRES OF WATER HAS BEEN SUGGETSED TO SPRAY ON THE CROP AND TO DRENCH THE SOIL BY SPRAYING AT AND AROUND THE BASE OF THE PLANT WITH A MIXTURE SOLUTION OF 1 GRAM OF ASAFOETIDA  5 GRAMS OF TURMERIC POWDER IN 10 LITRES OF WATER",26.4074,93.2551
"0   ",Vegetables,2011,8,20,Potato,SHIMOGA,75,nan,HORTICULTURE,KARNATAKA,"bacterial wilt","Application of stable bleaching powder 12kgha mixed with fertilizer in furrows while planting reduces wilt incidence by 80 Practicing crop rotation for 2-3 years with crops like maize finger millet cereals garlic lupin and onion cabbage can reduce the disease inoculum",14.0557,75.2381
MANKACHAR,Vegetables,2012,2,28,Potato,DHUBRI,75,KHARIF,HORTICULTURE,ASSAM,"ASKING FOR THE CONTROL MEASURE AGAINST BACTERIAL WILT IN POTATO","STREPTOMYCIN OR PLANTOMYCIN OR AGRIMYCIN SOLUTION  1 GRAM PER 10 LITRES OF WATER HAS BEEN SUGGETSED TO SPRAY ON THE CROP AND TO DRENCH THE SOIL BY SPRAYING AT AND AROUND THE BASE OF THE PLANT WITH A MIXTURE SOLUTION OF 1 GRAM OF ASAFOETIDA  5 GRAMS OF TURMERIC POWDER IN 10 LITRES OF WATER",26.1323,90.125
RAMPUR,Vegetables,2012,2,6,Potato,KAMRUP,75,KHARIF,HORTICULTURE,ASSAM,"ASKING FOR THE CONTROL MEASURE AGAINST BACTERIAL WILT IN POTATO","STREPTOMYCIN OR PLANTOMYCIN OR AGRIMYCIN SOLUTION  1 GRAM PER 10 LITRES OF WATER HAS BEEN SUGGETSED TO SPRAY ON THE CROP AND TO DRENCH THE SOIL BY SPRAYING AT AND AROUND THE BASE OF THE PLANT WITH A MIXTURE SOLUTION OF 1 GRAM OF ASAFOETIDA  5 GRAMS OF TURMERIC POWDER IN 10 LITRES OF WATER",26.1469,91.2227
BHAWANIPUR,Vegetables,2012,3,12,Potato,BARPETA,75,KHARIF,HORTICULTURE,ASSAM,"ASKING FOR THE CONTROL MEASURE AGAINST BACTERIAL WILT IN POTATO","STREPTOMYCIN OR PLANTOMYCIN OR AGRIMYCIN SOLUTION  1 GRAM PER 10 LITRES OF WATER HAS BEEN SUGGETSED TO SPRAY ON THE CROP AND TO DRENCH THE SOIL BY SPRAYING AT AND AROUND THE BASE OF THE PLANT WITH A MIXTURE SOLUTION OF 1 GRAM OF ASAFOETIDA  5 GRAMS OF TURMERIC POWDER IN 10 LITRES OF WATER",26.3459,91.0397
PACHIM-MANGALDAI,Vegetables,2012,1,15,Potato,DARRANG,75,KHARIF,HORTICULTURE,ASSAM,"ASKING FOR THE CONTROL MEASURE AGAINST BACTERIAL WILT IN POTATO","STREPTOMYCIN OR PLANTOMYCIN OR AGRIMYCIN SOLUTION  1 GRAM PER 10 LITRES OF WATER HAS BEEN SUGGETSED TO SPRAY ON THE CROP AND TO DRENCH THE SOIL BY SPRAYING AT AND AROUND THE BASE OF THE PLANT WITH A MIXTURE SOLUTION OF 1 GRAM OF ASAFOETIDA  5 GRAMS OF TURMERIC POWDER IN 10 LITRES OF WATER",26.4373,92.0047
SIPAJHAR,Vegetables,2012,3,8,Potato,DARRANG,0,JAYAD,HORTICULTURE,ASSAM,"ASKING FOR THE CONTROL MEASURE AGAINST BACTERIAL WILT IN POTATO","STREPTOMYCIN OR PLANTOMYCIN OR AGRIMYCIN SOLUTION  1 GRAM PER 10 LITRES OF WATER HAS BEEN SUGGETSED TO SPRAY ON THE CROP AND TO DRENCH THE SOIL BY SPRAYING AT AND AROUND THE BASE OF THE PLANT WITH A MIXTURE SOLUTION OF 1 GRAM OF ASAFOETIDA  5 GRAMS OF TURMERIC POWDER IN 10 LITRES OF WATER",26.4373,92.0047
BARHAMPUR,Vegetables,2012,1,12,Potato,NAGAON,75,KHARIF,HORTICULTURE,ASSAM,"ASKING FOR THE CONTROL MEASURE AGAINST BACTERIAL WILT IN POTATO","STREPTOMYCIN OR PLANTOMYCIN OR AGRIMYCIN SOLUTION  1 GRAM PER 10 LITRES OF WATER HAS BEEN SUGGETSED TO SPRAY ON THE CROP AND TO DRENCH THE SOIL BY SPRAYING AT AND AROUND THE BASE OF THE PLANT WITH A MIXTURE SOLUTION OF 1 GRAM OF ASAFOETIDA  5 GRAMS OF TURMERIC POWDER IN 10 LITRES OF WATER",26.3314,92.7525
KALIABOR,Vegetables,2012,3,5,Potato,NAGAON,75,KHARIF,HORTICULTURE,ASSAM,"ASKING FOR THE CONTROL MEASURE AGAINST BACTERIAL WILT IN POTATO","STREPTOMYCIN OR PLANTOMYCIN OR AGRIMYCIN SOLUTION  1 GRAM PER 10 LITRES OF WATER HAS BEEN SUGGETSED TO SPRAY ON THE CROP AND TO DRENCH THE SOIL BY SPRAYING AT AND AROUND THE BASE OF THE PLANT WITH A MIXTURE SOLUTION OF 1 GRAM OF ASAFOETIDA  5 GRAMS OF TURMERIC POWDER IN 10 LITRES OF WATER",26.3314,92.7525
"0   ",Vegetables,2012,12,21,Potato,NAGAON,0,nan,HORTICULTURE,ASSAM,"ASKING FOR BACTERIAL WILT","SUGGESTED HIM TO APPLY  STREPTOMYCIN 1 GM PER LITRE OF WATER",26.3314,92.7525
MAJULI,Vegetables,2012,2,6,Potato,JORHAT,0,KHARIF,HORTICULTURE,ASSAM,"ASKING FOR THE CONTROL MEASURE AGAINST BACTERIAL WILT IN POTATO","STREPTOMYCIN OR PLANTOMYCIN OR AGRIMYCIN SOLUTION  1 GRAM PER 10 LITRES OF WATER HAS BEEN SUGGETSED TO SPRAY ON THE CROP AND TO DRENCH THE SOIL BY SPRAYING AT AND AROUND THE BASE OF THE PLANT WITH A MIXTURE SOLUTION OF 1 GRAM OF ASAFOETIDA  5 GRAMS OF TURMERIC POWDER IN 10 LITRES OF WATER",26.7578,94.208
TENGAKHAT,Vegetables,2012,1,10,Potato,DIBRUGARH,75,KHARIF,HORTICULTURE,ASSAM,"ASKING FOR THE CONTROL MEASURE AGAINST BACTERIAL WILT IN POTATO","STREPTOMYCIN OR PLANTOMYCIN OR AGRIMYCIN SOLUTION  1 GRAM PER 10 LITRES OF WATER HAS BEEN SUGGETSED TO SPRAY ON THE CROP AND TO DRENCH THE SOIL BY SPRAYING AT AND AROUND THE BASE OF THE PLANT WITH A MIXTURE SOLUTION OF 1 GRAM OF ASAFOETIDA  5 GRAMS OF TURMERIC POWDER IN 10 LITRES OF WATER",27.4845,94.9019
"GOLAGHAT SOUTH",Vegetables,2012,1,15,Potato,GOLAGHAT,75,KHARIF,HORTICULTURE,ASSAM,"ASKING FOR THE CONTROL MEASURE AGAINST BACTERIAL WILT IN POTATO","STREPTOMYCIN OR PLANTOMYCIN OR AGRIMYCIN SOLUTION  1 GRAM PER 10 LITRES OF WATER HAS BEEN SUGGETSED TO SPRAY ON THE CROP AND TO DRENCH THE SOIL BY SPRAYING AT AND AROUND THE BASE OF THE PLANT WITH A MIXTURE SOLUTION OF 1 GRAM OF ASAFOETIDA  5 GRAMS OF TURMERIC POWDER IN 10 LITRES OF WATER",26.5108,93.9744
MANIKPUR,Vegetables,2012,2,5,Potato,BONGAIGAON,75,KHARIF,HORTICULTURE,ASSAM,"ASKING FOR THE CONTROL MEASURE AGAINST BACTERIAL WILT IN POTATO","STREPTOMYCIN OR PLANTOMYCIN OR AGRIMYCIN SOLUTION  1 GRAM PER 10 LITRES OF WATER HAS BEEN SUGGETSED TO SPRAY ON THE CROP AND TO DRENCH THE SOIL BY SPRAYING AT AND AROUND THE BASE OF THE PLANT WITH A MIXTURE SOLUTION OF 1 GRAM OF ASAFOETIDA  5 GRAMS OF TURMERIC POWDER IN 10 LITRES OF WATER",26.48,90.558
DHEMAJI,Vegetables,2012,2,12,Potato,DHEMAJI,75,KHARIF,HORTICULTURE,ASSAM,"ASKING FOR THE CONTROL MEASURE AGAINST BACTERIAL WILT IN POTATO","STREPTOMYCIN OR PLANTOMYCIN OR AGRIMYCIN SOLUTION  1 GRAM PER 10 LITRES OF WATER HAS BEEN SUGGETSED TO SPRAY ON THE CROP AND TO DRENCH THE SOIL BY SPRAYING AT AND AROUND THE BASE OF THE PLANT WITH A MIXTURE SOLUTION OF 1 GRAM OF ASAFOETIDA  5 GRAMS OF TURMERIC POWDER IN 10 LITRES OF WATER",27.5945,94.7192
SAIKHOWA,Vegetables,2012,2,6,Potato,TINSUKIA,0,nan,HORTICULTURE,ASSAM,"ASKING ABOUT BACTERIAL WILT IN POTATO","SUGGESTED TO SPRAY MIXTURE OF 1GM HING  5GM TERMERIC POWDER 10 LITS OF WATER",27.488,95.3602
RAIT,Vegetables,2012,5,17,Potato,KANGRA,75,JAYAD,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL OF BACTERIAL WILT OF TOMATO ","SPRAY OF BAVISTIN  10 GM IN 10 LITRE WATER ",32.0769,76.2986
CHAURAI,Vegetables,2012,2,14,Potato,CHHINDWARA,75,KHARIF,HORTICULTURE,"MADHYA PRADESH","how to control Bacterial Wilt or Brown Rot ","Application of stable bleaching powder 12kgha mixed with fertilizer in furrows while planting reduces wilt incidence by 80 Practicing crop rotation for 2-3 years with crops like maize finger millet cereals garlic lupin and onion cabbage can reduce the disease inoculumBlack Scurf and Stem CankerRhizoctoni",22.2072,78.7988
RAJGARH,Vegetables,2012,11,9,Potato,RAJGARH,100,KHARIF,HORTICULTURE,"MADHYA PRADESH","how to control bacterial wilt of potato","Application of stable bleaching powder 12kgha mixed with fertilizer in furrows while planting reduces wilt incidence by 80",23.8717,76.7745
SATCHAND,Vegetables,2012,12,18,Potato,"SOUTH TRIPURA",0,nan,HORTICULTURE,TRIPURA,"CONTROL MEASURE OF BACTERIAL WILT","SPRAY MIXTURE OF 1 GM HIND  5 TERMERIC  10 LIT WATER",23.1708,91.6388
HARISHCHANDRAPUR-I,Vegetables,2012,11,6,Potato,MALDAH,75,KHARIF,HORTICULTURE,"WEST BENGAL","bacterial wilt in potato","spray streptocyclin  1mllit water",25.0977,88.1262
BURWAN,Vegetables,2012,11,17,Potato,MURSHIDABAD,75,KHARIF,HORTICULTURE,"WEST BENGAL","BACTERIAL WILT OF POTATO","Application of stable bleaching powder 12kgha mixed with fertilizer in furrows while planting reduces wilt incidence by 80",24.1746,88.2721
"0   ",Vegetables,2012,12,13,Potato,"South DINAJPUR",75,KHARIF,HORTICULTURE,"WEST BENGAL","TO CONTROL OF BACTERIAL WILT IN POTATO","SPRAY STREPTACYCLINE1GM10 LIT OF WATER",22.9965,87.6856
BEZERA,Vegetables,2013,12,23,Potato,KAMRUP,nan,nan,HORTICULTURE,ASSAM,"fungal and bacterial wilt in potatotomato  brinjal","explained in details",26.1469,91.2227
BARPETA,Vegetables,2013,11,19,Potato,BARPETA,"Plant Protection",KHARIF,HORTICULTURE,ASSAM,"ASKING ABOUT BACTERIAL WILT IN POTATO","ADVISED TO SPRAY BACTINASH 1 MLL",26.3459,91.0397
BATADRAVA,Vegetables,2013,12,8,Potato,NAGAON,nan,nan,HORTICULTURE,ASSAM,"ASKING ABOUT BACTERIAL WILTING PROBLEM","ADVICE TO SPRAY STREPTOMYCIN 1GM10L WATER",26.3314,92.7525
LAKHIMPUR,Vegetables,2013,12,9,Potato,LAKHIMPUR,nan,KHARIF,HORTICULTURE,ASSAM,"BACTERIAL WILT","SPRAY CARBANDAZIM 1 GRAMLITRE WATER",27.1763,94.1993
HOWRAGHAT,Vegetables,2013,12,6,Potato,KARBI-ANGLONG,"Plant Protection",nan,HORTICULTURE,ASSAM,"ASKING ABOUT BACTERIAL WILT PROBLEM","ADVICE TO SPRAY  STREPTOMYCIN  1GM10L WATER",26,93.5
DHEMAJI,Vegetables,2013,10,8,Potato,DHEMAJI,"Plant Protection",nan,HORTICULTURE,ASSAM,"ASKING ABOUT PROTECTIVE MEASURE FOR FUNGAL AND BACTERIAL WILT IN POTATO","APPLY 2KG OF PSEUDOMONAS FLOURESCENS POWDER WITH 2OKG OF FYM FOR 1BIGHA",27.5945,94.7192
KAPILI,Vegetables,2013,12,2,Potato,MARIGOAN,"Plant Protection",KHARIF,HORTICULTURE,ASSAM,"QUERY TO CONTROL BACTERIAL WILT IN POTATO","ADVISED TO SPRAY BACTINASH 1MLL",26.4074,93.2551
UDALGUAI,Vegetables,2013,11,20,Potato,UDALGURI,"Plant Protection",KHARIF,HORTICULTURE,ASSAM,"ASKING ABOUT BACTERIAL WILT IN POTATO","ADVISED TO SPRAY BACTINASH 200 1MLL",26.7047,92.0422
RAHATGARH,Vegetables,2013,1,2,Potato,SAGAR,75,KHARIF,HORTICULTURE,"MADHYA PRADESH","how to control bacterial wilt","application bleeching  powder12kg ha",23.8083,78.7583
JABALPUR,Vegetables,2013,3,4,Potato,JABALPUR,"Plant Protection",KHARIF,HORTICULTURE,"MADHYA PRADESH","how to control Bacterial Wilt or Brown ring Rot in potato","spray mancozeb  25 gm  liter of water",23.1702,79.9324
PARASIA,Vegetables,2013,10,1,Potato,CHHINDWARA,nan,KHARIF,HORTICULTURE,"MADHYA PRADESH","2 Bacterial Wilt or Brown ring Rot: Pseudomonas solanacearum  Burkholderia solanacearum","2352237923462339 23252375 80 23602375 23572367235423812335 232823352344236623232306 23252379 23252350 23252352 2342237523402366 23612376 2332234823252367 235023752306 232623662342 23252375 236023662341 2350236723582381235223672340 23602381234123672352 23482381235423682330236723062327 23462366231323372352 23252366 23102357237523422344 12kgha furrows",22.2072,78.7988
SARANGPUR,Vegetables,2013,11,13,Potato,RAJGARH,"Plant Protection",KHARIF,HORTICULTURE,"MADHYA PRADESH","HOW TO CONTROL Bacterial Wilt or Brown ring Rot","Soaking of tubers in Mercuric chloride 1mllitre formalinPracticing crop rotation for 2-3 years with crops like maize finger millet cereals garlic lupin and onion cabbage can reduce the disease inoculum",23.8717,76.7745
UJJAIN,Vegetables,2013,11,14,Potato,UJJAIN,nan,KHARIF,HORTICULTURE,"MADHYA PRADESH","how to control Bacterial Wilt or Brown Rot of potato ","use copper oxy chloride 45 gram and  steptrocyclin 2 gram at 15 liter of water",23.1885,75.7717
BHANPURA,Vegetables,2013,12,18,Potato,MANDSAUR,nan,nan,HORTICULTURE,"MADHYA PRADESH","Bacterial Wilt in potato","spray validamicine  20 mlpump",24.2628,75.3857
KANNOD,Vegetables,2013,12,14,Potato,DEWAS,nan,KHARIF,HORTICULTURE,"MADHYA PRADESH","contol of bacterial wilt in potato","spray streptocyclin 35 mlpump",22.8057,76.294
MAJHGAWAN,Vegetables,2013,10,31,Potato,SATNA,nan,KHARIF,HORTICULTURE,"MADHYA PRADESH","HOW TO CONTROL  Bacterial Wilt of patato ","use copper oxy chloride 45 gram and  steptrocyclin 1 gram at 15 liter of water",24.6954,80.777
MYLLIEM,Vegetables,2013,5,22,Potato,"EAST KHASI HILLS","Plant Protection",nan,HORTICULTURE,MEGHALAYA,"asking about blight and bacterial wilt of potato","USE RIDOMIL2MLLITRE AND TOLD HER TO TAKE OUT THE WILTING AFFECTED PLANTSOR USE METALAXYL 025",25.4024,91.8317
NUAPADA,Vegetables,2013,11,27,Potato,NAWAPARA,nan,nan,HORTICULTURE,ODISHA,"Bacterial Wilt","copper oxychloride 20gm  streptcyclin 15gm  10 liter water",21.1447,82.9432
NUAPADA,Vegetables,2013,11,27,Potato,NAWAPARA,nan,nan,HORTICULTURE,ODISHA,"Bacterial Wilt","COPPEROXYCHLORIDE 20GM  STREPTOCYCLIN 15GM  10 LITER WATER",21.1447,82.9432
KUMARGHAT,Vegetables,2013,1,1,Potato,"NORTH TRIPURA",0,nan,HORTICULTURE,TRIPURA,"control measure of bacterial wilt","spray 1 gm hing  5 gm termeric  10 lits",24.0921,92.2451
PINDRA,Vegetables,2013,1,27,Potato,VARANASI,75,nan,HORTICULTURE,"UTTAR PRADESH","bacterial wilt in potato","12 kgha bleaching powder at the time of planting",25.3356,83.0076
KASIMABAD,Vegetables,2013,2,11,Potato,GHAZIPUR,75,nan,HORTICULTURE,"UTTAR PRADESH","bacterial wilt in potato","12 kgha bleaching powder at the time of planting",25.6035,83.5076
"0   ",Vegetables,2013,1,31,Potato,BASTI,75,nan,HORTICULTURE,"UTTAR PRADESH","bacterial wilt in potato","12 kgha bleaching powder at the time of planting",26.8387,82.5351
FALAKATA,Vegetables,2013,12,24,Potato,JALPAIGURI,nan,KHARIF,HORTICULTURE,"WEST BENGAL","CONTROL OF BACTERIAL WILT IN POTATO","SPRAY COPPER OXYCHLORIDE 50 WP  4 GMLIT WATER WITH STREPTOCYCLIN  1 GM10 LIT OF WATER",26.6263,88.7335
NAGRAKATA,Vegetables,2013,12,26,Potato,JALPAIGURI,nan,KHARIF,HORTICULTURE,"WEST BENGAL","CONTROL OF BACTERIAL WILT IN POTATO","SPRAY COPPER OXYCHLORIDE 50 WP  4 GMLIT WATER WITH STREPTOCYCLIN  1 GM10 LIT OF WATER",26.6263,88.7335
BURWAN,Vegetables,2013,11,30,Potato,MURSHIDABAD,"Plant Protection",KHARIF,HORTICULTURE,"WEST BENGAL","CONTROL OF BACTERIAL WILT IN POTATO","SPRAY COPPER OXYCHLORIDE 50 WP  4 GMLIT WATER WITH STREPTOCYCLIN  1 GM10 LIT OF WATER",24.1746,88.2721
RANINAGAR-I,Vegetables,2013,12,14,Potato,MURSHIDABAD,"Plant Protection",KHARIF,HORTICULTURE,"WEST BENGAL","CONTROL OF BACTERIAL WILT IN POTATO","SPRAY STREPTOCYCLINE  1 GM 8-10 LIT OF WATER",24.1746,88.2721
BURWAN,Vegetables,2013,12,20,Potato,MURSHIDABAD,"Plant Protection",KHARIF,HORTICULTURE,"WEST BENGAL","CONTROL OF BACTERIAL WILT IN POTATO","SPRAY COPPER OXYCHLORIDE 50 WP  4 GMLIT WATER WITH STREPTOCYCLIN  1 GM10 LIT OF WATER",24.1746,88.2721
DOMKAL,Vegetables,2013,12,23,Potato,MURSHIDABAD,nan,KHARIF,HORTICULTURE,"WEST BENGAL","CONTROL OF BACTERIAL WILT IN POTATO","SPRAY STREPTOCYCLINE1GM10 LIT OF WATER",24.1746,88.2721
BURWAN,Vegetables,2013,12,23,Potato,MURSHIDABAD,"Plant Protection",KHARIF,HORTICULTURE,"WEST BENGAL","CONTROL OF BACTERIAL WILT IN POTATO","SPRAY COPPER OXYCHLORIDE 50 WP  4 GMLIT WATER WITH STREPTOCYCLIN  1 GM10 LIT OF WATER",24.1746,88.2721
TEHATTA-II,Vegetables,2013,12,11,Potato,NADIA,"Plant Protection",KHARIF,HORTICULTURE,"WEST BENGAL","CONTROL OF BACTERIAL WILT IN POTATO","SPRAY COPPER OXYCHLORIDE 50 WP  4 GMLIT WATER WITH STREPTOCYCLIN  1 GM10 LIT OF WATER",23.4847,88.5567
BADURIA,Vegetables,2013,12,23,Potato,"NORTH 24 PARGANAS",nan,KHARIF,HORTICULTURE,"WEST BENGAL","CONTROL OF BACTERIAL WILT IN POTATO","SPRAY COPPER OXYCHLORIDE 50 WP  4 GMLIT WATER WITH STREPTOCYCLIN  1 GM10 LIT OF WATER",22.6927,88.6626
UDAYNARAYANPUR,Vegetables,2013,12,28,Potato,HOWRAH,nan,KHARIF,HORTICULTURE,"WEST BENGAL","CONTROL OF BACTERIAL WILT IN POTATO","SPRAY COPPER OXYCHLORIDE 50 WP  4 GMLIT WATER WITH STREPTOCYCLIN  1 GM10 LIT OF WATER",22.5736,88.3251
