BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
"0   ",Vegetables,2011,9,2,Potato,HAVERI,75,nan,HORTICULTURE,KARNATAKA,"common scab","Before planting the seed tubers are treated with Boric Acid 3 for 30 minutes and dried in shade The same treatment is repeated before the storage of the tubers The disease can be reduced by soil application of PCNB 30 kgha at the time of planting Following crop rotations with wheat pea oats barley lupin soybean sorghum and bajra checks the disease development",14.718,75.3656
SHIVRAJPUR,Vegetables,2012,10,12,Potato,"KANPUR CITY",0,nan,HORTICULTURE,"UTTAR PRADESH","common scab problem in potato","seed treated with boric acid for 30 minutes",26.4551,80.3512
HASANGANJ,Vegetables,2012,8,31,Potato,UNNAO,75,JAYAD,HORTICULTURE,"UTTAR PRADESH","alu me common scab ke liye upay","boric acid 3  me 30 minute tak dubo kar sukha le",26.5673,80.6198
GHATIGAON,Vegetables,2013,3,16,Potato,GWALIOR,"Plant Protection",KHARIF,HORTICULTURE,"MADHYA PRADESH","common scab disease","APPLY PCNB CULTURE 30KGHACTARE",26.2037,78.1574
SANWER,Vegetables,2013,1,10,Potato,INDORE,75,KHARIF,HORTICULTURE,"MADHYA PRADESH","how to control common scab in potato","-Seed tubers are treated with Boric Acid 3 for 30 minutes and dried in shade The same treatment is repeated before the storage of the tubers",22.7204,75.8682
SHERAGADA,Vegetables,2014,9,8,Potato,GANJAM,"Plant Protection",nan,HORTICULTURE,ODISHA,"common scab in potato","recommended to spray emisan25 gmlit",19.609,84.7081
LUDHIANA-1,Vegetables,2014,11,23,Potato,LUDHIANA,"Plant Protection",RABI,HORTICULTURE,PUNJAB,"INFORMATION REGARDING FOR THE CONTROL OF BLACK SCURF  COMMON SCAB DISEASE IN POTATPALOO CROP","FOR THE CONTROL OF BLACK SCURF  COMMON SCAB DISEASE IN POTATPALOO CROPDISINFECT THE TUBER WITH 25 ML MONCEREN 250 SL PER LITRE OF WATER FOR TEN MINUTES",30.909,75.8516
LUDHIANA-1,Vegetables,2014,11,23,Potato,LUDHIANA,"Plant Protection",RABI,HORTICULTURE,PUNJAB,"INFORMATION REGARDING FOR THE CONTROL OF BLACK SCURF  COMMON SCAB DISEASE IN POTATPALOO CROP","FOR THE CONTROL OF BLACK SCURF  COMMON SCAB DISEASE IN POTATPALOO CROPDISINFECT THE TUBER WITH 25 ML MONCEREN 250 SL PER LITRE OF WATER FOR TEN MINUTES",30.909,75.8516
SAMRALA,Vegetables,2014,12,14,Potato,LUDHIANA,"Plant Protection",RABI,HORTICULTURE,PUNJAB,"INFORMATION REGARDING FOR THE CONTROL OF BLACK SCURF  COMMON SCAB DISEASE IN POTATPALOO CROP","FOR THE CONTROL OF BLACK SCURF  COMMON SCAB DISEASE IN POTATPALOO CROPDISINFECT THE TUBER WITH 25 ML MONCEREN 250 SL PER LITRE OF WATER FOR TEN MINUTES",30.909,75.8516
DINANAGAR,Vegetables,2014,12,28,Potato,GURDASPUR,"Plant Protection",RABI,HORTICULTURE,PUNJAB,"INFORMATION REGARDING FOR THE CONTROL OF BLACK SCURF  COMMON SCAB DISEASE IN POTATPALOO CROP","FOR THE CONTROL OF BLACK SCURF  COMMON SCAB DISEASE IN POTATPALOO CROPDISINFECT THE TUBER WITH 25 ML MONCEREN 250 SL PER LITRE OF WATER FOR TEN MINUTES",31.9037,75.2276
"BHAGTA BHAIKA",Vegetables,2014,12,5,Potato,BHATINDA,"Plant Protection",RABI,HORTICULTURE,PUNJAB,"INFORMATION REGARDING FOR THE CONTROL OF BLACK SCURF  COMMON SCAB DISEASE IN POTATPALOO CROP","FOR THE CONTROL OF BLACK SCURF  COMMON SCAB DISEASE IN POTATPALOO CROPDISINFECT THE TUBER WITH 25 ML MONCEREN 250 SL PER LITRE OF WATER FOR TEN MINUTES",30.2068,74.9464
KHARAR,Vegetables,2014,12,21,Potato,"SAHIBZADA AJIT SINGH NAGAR","Plant Protection",RABI,HORTICULTURE,PUNJAB,"INFORMATION REGARDING FOR THE CONTROL OF BLACK SCURF  COMMON SCAB DISEASE IN POTATPALOO CROP","FOR THE CONTROL OF BLACK SCURF  COMMON SCAB DISEASE IN POTATPALOO CROPDISINFECT THE TUBER WITH 25 ML MONCEREN 250 SL PER LITRE OF WATER FOR TEN MINUTES",30.7041,76.7177
GANDIWIND-9,Vegetables,2014,11,30,Potato,"TARN TARAN","Plant Protection",RABI,HORTICULTURE,PUNJAB,"INFORMATION REGARDING FOR THE CONTROL OF BLACK SCURF  COMMON SCAB DISEASE IN POTATPALOO CROP","FOR THE CONTROL OF BLACK SCURF  COMMON SCAB DISEASE IN POTATPALOO CROPDISINFECT THE TUBER WITH 25 ML MONCEREN 250 SL PER LITRE OF WATER FOR TEN MINUTES",31.3212,74.8417
MOHAMDABAD,Vegetables,2014,10,10,Potato,FARRUKHABAD,"Plant Protection",RABI,HORTICULTURE,"UTTAR PRADESH","potato me common scab ki samasya aati hai kya kare","boric acid 3 ke ghol se upcharit kare",27.4362,79.4895
