BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
"0   ",0,2010,11,7,Potato,INDORE,3,KHARIF,AGRICULTURE,"MADHYA PRADESH","how to control of thrips in potato","should be apply spray metasystox 35mlpump",22.7204,75.8682
"0   ",Vegetables,2011,12,7,Potato,KARNAL,76,JAYAD,HORTICULTURE,HARYANA,"control of thrips in potato crop ","spray to rogor  300 ml in 250 litre of water acre ",29.7256,76.9107
BAGLI,Vegetables,2011,11,21,Potato,DEWAS,76,KHARIF,HORTICULTURE,"MADHYA PRADESH","what are control of thrips in potato ","apply imidacloprid  6 ml pump",22.8057,76.294
"0   ",0,2011,1,18,Potato,FEROZPUR,3,KHARIF,AGRICULTURE,PUNJAB,"how to control of thrips in potato ","spray  300 ml of rogor 30ec in 100 litres water per acre",30.4426,74.0656
"0   ",Vegetables,2011,12,16,Potato,FEROZPUR,76,KHARIF,HORTICULTURE,PUNJAB,"INFORMATION REGARING CONTROL OF THRIPS IN CHILLI ","I TOLD THE KISAN SPRAY 400 MLOF MALATHION 50 EC IN 100-125 LITRES OF WATERACRE",30.4426,74.0656
"0   ",Vegetables,2011,11,10,Potato,KOTA,76,KHARIF,HORTICULTURE,RAJASTHAN,"POTATO CROP AFFECTED BY THRIPS INSECT","SPRAY MITHYLE DEMETON 25EC 2 ML LITER WATER",25.1737,75.8574
DANTIVADA,Vegetables,2012,12,21,Potato,"BANAS KANTHA",76,KHARIF,HORTICULTURE,GUJARAT,"potato thrips","mithael-o-demeton 20 ml per pump and to spray",24.25,72.5
GUHLA,Vegetables,2012,12,4,Potato,KAITHAL,76,KHARIF,HORTICULTURE,HARYANA,"how to control thrips in potato crop ","spray to rogor  300 ml in250 liter of wateracre",29.7997,76.399
SERAJ,Vegetables,2012,11,19,Potato,MANDI,75,JAYAD,HORTICULTURE,"HIMACHAL PRADESH","How to control thrips in potato ","Spray of malathion  10 ml in 10 litre of water ",31.6517,77.0093
"0   ",Vegetables,2012,12,1,Potato,UJJAIN,"Plant Protection",KHARIF,HORTICULTURE,"MADHYA PRADESH","Poteto  thrips","control by dimethoet 30EC 25-30mlpump",23.1885,75.7717
SANWER,Vegetables,2012,11,29,Potato,INDORE,"Plant Protection",KHARIF,HORTICULTURE,"MADHYA PRADESH","how to control thrips in potato ","spray imidacloprid  7 ml  10 liter of water",22.7204,75.8682
"0   ",Vegetables,2012,12,22,Potato,AHMADNAGAR,76,KHARIF,HORTICULTURE,MAHARASHTRA,"potato atac  thrips",aidmire,19.0744,74.722
"0   ",Vegetables,2012,12,31,Potato,KOLHAPUR,76,KHARIF,HORTICULTURE,MAHARASHTRA,thrips,"spray regent",16.7028,74.2405
"AUNDHA  NAGNATH",Vegetables,2012,12,31,Potato,HINGOLI,76,KHARIF,HORTICULTURE,MAHARASHTRA,thrips,"spray regent",19.5431,77.1739
DANTIVADA,Vegetables,2013,11,26,Potato,"BANAS KANTHA",nan,KHARIF,HORTICULTURE,GUJARAT,"ask abt thrips","i suggested rizant",24.25,72.5
VADGAM,Vegetables,2013,12,11,Potato,"BANAS KANTHA","Plant Protection",KHARIF,HORTICULTURE,GUJARAT,"ask control of thrips","I suggested spray fipronil 25 mili pump",24.25,72.5
VADGAM,Vegetables,2013,12,13,Potato,"BANAS KANTHA","Plant Protection",nan,HORTICULTURE,GUJARAT,"ask about thrips in potato","i suggested prophenophosh 30 mili  15 liter",24.25,72.5
MANSA,Vegetables,2013,12,31,Potato,GANDHINAGAR,"Agriculture Mechanization",KHARIF,HORTICULTURE,GUJARAT,"ask for potato  thrips information","suggest: spray prophenphose 20mlpump",23.2233,72.6492
KHEDA,Vegetables,2013,2,14,Potato,KHEDA,76,KHARIF,HORTICULTURE,GUJARAT,"thrips in potato","methyl o demeton 10mlpump",22.8533,72.9954
HANSI-I,Vegetables,2013,11,19,Potato,HISSAR,nan,KHARIF,HORTICULTURE,HARYANA,"How to control thrips in potato crop ","spray metasistox or malathion or rogor  300 ml in 200 litre of wateracre",29.8573,76.4545
