BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
"0   ",0,2010,3,4,Potato,AURANGABAD,3,KHARIF,AGRICULTURE,MAHARASHTRA,"MANAGEMENT OF POTATO TUBER MOTH","Do earthing up at 60 days after planting to avoid female moths egg laying on the exposed tubers Install pheromone traps in the field at 20ha Remove and destroy infested tubers Release egg-larval parasitoid  Chelonus blackburni  30000ha twice  40 and 70 days after planting Spray NSKE 5 or quinalphos 2 mll to manage foliar damage ETL is 5 leaf damage",19.8773,75.339
"0   ",0,2010,2,2,Potato,BEED,3,JAYAD,AGRICULTURE,MAHARASHTRA,"POTATO TUBER MOTH","Release egg-larval parasitoid  Chelonus blackburni  30000ha twice  40 and 70 days after planting Spray NSKE 5 or quinalphos 2 mll to manage foliar damage ETL is 5 leaf damage",18.9918,75.9098
"0   ",0,2010,4,3,Potato,"RI BHOI","Plant Protection",nan,AGRICULTURE,MEGHALAYA,"Asking about management of potato tuber moth",nan,25.8764,91.8568
"0   ",0,2010,4,3,Potato,"RI BHOI","Plant Protection",nan,AGRICULTURE,MEGHALAYA,"Asking about management of potato tuber moth","Only healthy potatoes should be kept in the store Potatoes should be stored in cold storage and in case they are to be kept in ordinary stores a layer of sand about 25 to 5 centimetre thick should be kept below and above the heap of the potato Potato seeds should be protected by spraying with 1 percent Malathion on and around the heap",25.8764,91.8568
"0   ",0,2010,3,29,Potato,"WEST KHASI HILLS",3,nan,AGRICULTURE,MEGHALAYA,"Asking about management of potato tuber moth","Only healthy potatoes should be kept in the store Potatoes should be stored in cold storage and in case they are to be kept in ordinary stores a layer of sand about 25 to 5 centimetre thick should be kept below and above the heap of the potato Potato seeds should be protected by spraying with 1 percent Malathion on and around the heap",25.5814,91.0851
"0   ",0,2010,4,14,Potato,"EAST JAINTA HILLS",3,nan,AGRICULTURE,MEGHALAYA,"Asking about management of potato tuber moth","Only healthy potatoes should be kept in the store Potatoes should be stored in cold storage and in case they are to be kept in ordinary stores a layer of sand about 25 to 5 centimetre thick should be kept below and above the heap of the potato Potato seeds should be protected by spraying with 1 percent Malathion on and around the heap",25.5379,91.2999
"0   ",0,2010,1,5,Potato,JAUNPUR,2,KHARIF,AGRICULTURE,"UTTAR PRADESH","tuber moth of potato","Indosulfan  125 ltPhosphamidon 250 ml with 1000lt of waterhactare",25.7967,82.4889
SISSIBORGAON,Vegetables,2011,7,14,Potato,DHEMAJI,76,JAYAD,HORTICULTURE,ASSAM,"ASKING ABOUT THE CONTROL MEASURE TO CONTROL POTATO TUBER MOTH ATTACK AT THE TIME OF STORAGE","SUGGESTED TO TREAT THE TUBER WITH MALATHION 5  DUST  100 GRAM QUINTALAND ALSO TO SUN DRY ATLEAST FOR 3-4 DAYS",27.5945,94.7192
SISSIBORGAON,Vegetables,2011,7,14,Potato,DHEMAJI,76,JAYAD,HORTICULTURE,ASSAM,"ASKING ABOUT THE CONTROL MEASURE TO CONTROL POTATO TUBER MOTH ATTACK AT THE TIME OF STORAGE",nan,27.5945,94.7192
SISSIBORGAON,Vegetables,2011,7,14,Potato,DHEMAJI,76,JAYAD,HORTICULTURE,ASSAM,"ASKING ABOUT THE CONTROL MEASURE TO CONTROL POTATO TUBER MOTH ATTACK AT THE TIME OF STORAGE",nan,27.5945,94.7192
