BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
"0   ",0,2009,5,25,Tomato,BADGAM,2,JAYAD,HORTICULTURE,"JAMMU AND KASHMIR","HOW TO CONTROL CUTWORMS IN TOMATO ","DRENCH THE FIELD WITH CHLOROPYRIPHOS 50 EC  2 ML IN 1 LITER OF WATER ",34.0385,74.736
"0   ",0,2009,5,17,Tomato,BARAMULLA,29,JAYAD,HORTICULTURE,"JAMMU AND KASHMIR","HOW TO CONTROL CUTWORMS IN TOMATO ","DRENCH THE FIELD WITH CHLOROPYRIPHOS 50 EC  2 ML IN 1 LITER OF WATER",34.2087,74.3435
"0   ",0,2009,5,14,Tomato,JAMMU,29,JAYAD,HORTICULTURE,"JAMMU AND KASHMIR","HOW TO CONTROL CUTWORMS IN TOMATO SEEDLINGS ","DRENCH THE SEED BED WITH CHLOROPYRIPHOS 50 EC  2 ML IN 1 LITER OF WATER",32.7186,74.8581
"0   ",0,2009,5,20,Tomato,JAMMU,29,JAYAD,HORTICULTURE,"JAMMU AND KASHMIR","HOW TO CONTROL CUTWORMS IN TOMATO ","DRENCH THE FIELD WITH CHLOROPYRIPHOS 50 EC  2 ML IN 1 LITER OF WATER",32.7186,74.8581
"0   ",0,2009,4,6,Tomato,DODA,29,KHARIF,HORTICULTURE,"JAMMU AND KASHMIR","HOW TO CONTROL CUTWORMS IN TOMATO ","DRENCH THE FIELD WITH CHLOROPYRIPHOS 50 EC  2 ML IN 1 LITER OF WATER",33.1326,75.589
"0   ",0,2009,3,23,Tomato,GANDERBAL,29,RABI,HORTICULTURE,"JAMMU AND KASHMIR","HOW TO CONTROL CUTWORMS IN TOMATO ","DRENCH THE FIELD WITH CHLOROPYRIPHOS 25 EC  2 ML IN 1 LITER OF WATER",34.2889,75.0408
"0   ",0,2009,5,31,Tomato,GANDERBAL,29,JAYAD,HORTICULTURE,"JAMMU AND KASHMIR","HOW TO CONTROL CUTWORMS IN TOMATO ","DRENCH THE FIELD WITH CHLOROPYRIPHOS 50 EC  1-2 ML IN 1 LITER OF WATER",34.2889,75.0408
"0   ",0,2010,5,24,Tomato,JAMMU,76,JAYAD,HORTICULTURE,"JAMMU AND KASHMIR","HOW TO CONTROL CUTWORMS IN TOMATO ","DRENCH THE FIELD WITH CHLOROPYRIPHOS 35 EC  2 ML IN 1 LITER OF WATER ",32.7186,74.8581
"0   ",0,2010,8,12,Tomato,JAMMU,76,JAYAD,HORTICULTURE,"JAMMU AND KASHMIR","HOW TO CONTROL CUTWORMS IN TOMATO ","DRENCH THE FIELD WITH CHLOROPYRIPHOS 50 EC  2 ML IN 1 LITER OF WATER ",32.7186,74.8581
"0   ",0,2010,10,24,Tomato,ALMORA,76,nan,HORTICULTURE,UTTARAKHAND,"INFORMATION REGARDING CONTROL CUTWORMS IN TOMATO",nan,29.7027,79.4326
"0   ",0,2010,10,24,Tomato,ALMORA,76,nan,HORTICULTURE,UTTARAKHAND,"INFORMATION REGARDING CONTROL CUTWORMS IN TOMATO",nan,29.7027,79.4326
"0   ",0,2010,10,24,Tomato,ALMORA,76,nan,HORTICULTURE,UTTARAKHAND,"INFORMATION REGARDING CONTROL CUTWORMS IN TOMATO","DRENCH THE FIELD WITH CHLOROPYRIPHOS 35 EC  2 ML IN 1 LITER OF WATER ",29.7027,79.4326
"0   ",0,2010,12,8,Tomato,"TEHRI GARWAL",76,nan,HORTICULTURE,UTTARAKHAND,"INFORMATION REGARDING CONTROL CUTWORMS IN TOMATO","DRENCH THE FIELD WITH CHLOROPYRIPHOS 35 EC  2 ML IN 1 LITER OF WATER ",29.9451,78.1527
"0   ",0,2011,4,1,Tomato,PITHORAGARH,"Agriculture Mechanization",nan,HORTICULTURE,UTTARAKHAND,"INFORMATION REGARDING CONTROL CUTWORMS IN TOMATO","DRENCH THE FIELD WITH CHLOROPYRIPHOS 35 EC  2 ML IN 1 LITER OF WATER ",30.1265,80.4817
SHOPIAN,Vegetables,2013,5,11,Tomato,PULWAMA,"Cultural Practices",RABI,HORTICULTURE,"JAMMU AND KASHMIR","HOW TO CONTROL CUTWORMS IN TOMATO ","DRENCH THE CROP WITH CHLOROPYRIPHOS 50 EC  2 ML IN 1 LITER OF WATER ",33.949,75.0418
BADGAM,Vegetables,2013,5,29,Tomato,BADGAM,"Cultural Practices",JAYAD,HORTICULTURE,"JAMMU AND KASHMIR","HOW TO CONTROL CUTWORMS IN TOMATO ","DRENCH THE CROP WITH CHLOROPYRIPHOS 50 EC  2 ML IN 1 LITER OF WATER ",34.0385,74.736
"DEHRA GOPIPUR",Vegetables,2014,7,22,Tomato,KANGRA,"Plant Protection",nan,HORTICULTURE,"HIMACHAL PRADESH","how to control cutworms in tomato nursery ","drenching with 2 ml chlorpyriphos per litre of water",32.0769,76.2986
KULGAM,Vegetables,2014,3,16,Tomato,ANANTNAG,"Cultural Practices",KHARIF,HORTICULTURE,"JAMMU AND KASHMIR","HOW TO CONTROL CUTWORMS IN TOMATO ","APPLY LINDANE  1 KG  KANAL BEFORE TRANPLANTING",33.7461,75.1854
