BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
"0   ",0,2009,4,15,Tomato,HASSAN,29,RABI,HORTICULTURE,KARNATAKA,"control of leaf miner in tomato","Spray with Triazophos 2 mll of water",13.0302,76.1745
"0   ",0,2009,4,16,Tomato,HASSAN,29,RABI,HORTICULTURE,KARNATAKA,"control of leaf miner in tomato","Spray with triazophos 2 gl of water",13.0302,76.1745
"0   ",0,2009,4,22,Tomato,HASSAN,29,JAYAD,HORTICULTURE,KARNATAKA,"control of leaf miner in tomato","spray triazophos  2ml per liter",13.0302,76.1745
"0   ",0,2009,4,14,Tomato,KOLAR,29,RABI,HORTICULTURE,KARNATAKA,"control of leaf miner in tomato","Spray with Triazophos 2 gl of water",13.1805,78.2669
"0   ",0,2009,9,15,Tomato,KOTTAYAM,29,JAYAD,HORTICULTURE,KERALA,"CONTROL OF SERPENTINE LEAF MINER IN TOMATO","SPRAYING OF MALATHION 2ML IN 1LITRE",9.62874,76.6455
"0   ",0,2009,7,9,Tomato,RAJGARH,29,JAYAD,HORTICULTURE,"MADHYA PRADESH","CONTROL OF TOMATO LEAF MINER","APPLY FAME 3 ML PUMP",23.8717,76.7745
"0   ",0,2009,9,19,Tomato,RAISEN,29,JAYAD,HORTICULTURE,"MADHYA PRADESH","CONTROL OF TOMATO LEAF MINER","APPLY FAME 3 ML PUMP",23.2676,78.1727
"0   ",0,2009,9,19,Tomato,RAISEN,29,JAYAD,HORTICULTURE,"MADHYA PRADESH","CONTROL OF TOMATO LEAF MINER","APPLY FAME 3 ML PUMP",23.2676,78.1727
"0   ",0,2009,4,14,Tomato,AHMADNAGAR,29,RABI,HORTICULTURE,MAHARASHTRA,"CONTROL MEASURE FOR TOMATO LEAF MINER","SPRAY EMIDACLOPRID7ML10LITOF WATER",19.0744,74.722
"0   ",0,2009,8,21,Tomato,SATARA,3,JAYAD,HORTICULTURE,MAHARASHTRA,"CONTROL LEAF MINER ON TOMATO","SPRAY VARTIMAKE  EBAMECTIN  4 ml IN 15 lit WATER",17.6361,74.2983
"0   ",0,2009,2,24,Tomato,BHADRAK,29,KHARIF,HORTICULTURE,ODISHA,"SERPENTINE LEAF MINER PEST OF TOMATO","SPRAY TRIAZOPHOS 2MLLIT OF WATER",20.9854,86.5934
