BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
"0   ",0,2009,8,10,Tomato,SOLAN,2,JAYAD,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL SEPTORIA LEAF SPOT IN TOMATO ","SPRAY THE CROP WHTH CARENDAZIM 01 OR MANCOZEB 025 OR COPPER OXYCHLORIDE 03 AND REPEAT AT 10-14 DAYS INTERVAL",30.9078,77.1024
ODDANCHATRAM,Vegetables,2011,11,21,Tomato,DINDIGUL,75,JAYAD,HORTICULTURE,TAMILNADU,"control measure for Septoria Leaf Spot in tomato","spray mancozep 25 gm  lit",10.4257,77.8157
SHAJAPUR,Vegetables,2012,8,7,Tomato,SHAJAPUR,75,JAYAD,HORTICULTURE,"MADHYA PRADESH","control of Septoria Leaf Spot tomato crop","Removal and destruction of the affected plant parts Seed treatment with Thiram or Dithane M-45 2 gkg seed is useful in checking seed borne infection In the field spraying with Mancozeb 02  effectively controls the disease",23.4171,76.6075
GAROTH,Vegetables,2012,2,9,Tomato,MANDSAUR,75,KHARIF,HORTICULTURE,"MADHYA PRADESH","how to control Septoria Leaf Spot ","field spraying with Dithane Z-78 02 effectively controls the disease",24.2628,75.3857
SALEM,Vegetables,2012,7,29,Tomato,SALEM,75,JAYAD,HORTICULTURE,TAMILNADU,"septoria leaf spot in tomato","spray mancozeb 2mllit",11.647,78.2107
DHARMAPURI,Vegetables,2012,8,29,Tomato,DHARMAPURI,75,JAYAD,HORTICULTURE,TAMILNADU,"septoria leaf spot in tomato","spray mancozeb 2 g  lit of water",12.1456,78.1132
THOTTIAM,Vegetables,2012,12,22,Tomato,TIRUCHIRAPPALLI,75,KHARIF,HORTICULTURE,TAMILNADU,"Septoria Leaf Spot in tomato","spray carbendazim 2gmlit  mancozeb 2gmlit",10.8071,78.6881
KOTTAMPATTI,Vegetables,2012,12,27,Tomato,MADURAI,75,KHARIF,HORTICULTURE,TAMILNADU,"Septoria Leaf Spot in tomato","spraying with Mancozeb 2 g  effectively controls the disease",9.92612,78.1141
NAMAKKAL,Vegetables,2012,8,23,Tomato,NAMAKKAL,75,JAYAD,HORTICULTURE,TAMILNADU,"septoria leaf spot in tomato","spray mancozeb 2 g  lit of water",11.3034,78.1186
KELAMANGALAM,Vegetables,2012,7,26,Tomato,KRISHNAGIRI,75,JAYAD,HORTICULTURE,TAMILNADU,"Septoria Leaf Spot in tomato","spray carbendazim 2gmlit  mancozeb 2gmlit",12.5152,78.0094
BARGUR,Vegetables,2012,8,25,Tomato,KRISHNAGIRI,75,JAYAD,HORTICULTURE,TAMILNADU,"Septoria Leaf Spot:Septoria lycopersici  in tomato","spray mancozeb 2gmlit",12.5152,78.0094
"0   ",Vegetables,2013,1,3,Tomato,VIZIANAGARM,0,nan,HORTICULTURE,"ANDHRA PRADESH","asked about septoria leaf spot in tomato","recomended mancozeb",15.9241,80.1864
ARSIKERE,Vegetables,2013,8,6,Tomato,HASSAN,"Plant Protection",nan,HORTICULTURE,KARNATAKA,"Septoria Leaf Spot","n the field spraying with Mancozeb 02  effectively controls the disease",13.0302,76.1745
CHIKBALLAPUR,Vegetables,2013,8,11,Tomato,KOLAR,"Plant Protection",nan,HORTICULTURE,KARNATAKA," Septoria Leaf Spot","In the field spraying with Mancozeb 02  effectively controls the disease",13.1805,78.2669
CHINTAMANI,Vegetables,2013,12,1,Tomato,KOLAR,nan,nan,HORTICULTURE,KARNATAKA,"tomato Septoria Leaf Spot","spraying with Mancozeb 02  effectively controls the disease",13.1805,78.2669
MADHUGIRI,Vegetables,2013,8,5,Tomato,TUMKUR,"Plant Protection",nan,HORTICULTURE,KARNATAKA,"Septoria Leaf Spot:Septoria lycopersiciSymptom","n the field spraying with Mancozeb 02  effectively controls the disease",13.3401,77.1006
KHANDWA,Vegetables,2013,8,17,Tomato,"EAST NIMAR","Plant Protection",JAYAD,HORTICULTURE,"MADHYA PRADESH","4 Septoria Leaf Spot of tomato ","carbandazim  mancozeb 30gm 16 liter of water",21.75,76.5833
MAHIDPUR,Vegetables,2013,8,25,Tomato,UJJAIN,nan,JAYAD,HORTICULTURE,"MADHYA PRADESH","how to control Septoria Leaf Spot","In the field spraying with Mancozeb 02  effectively controls the disease",23.1885,75.7717
RATLAM,Vegetables,2013,8,4,Tomato,RATLAM,"Plant Protection",JAYAD,HORTICULTURE,"MADHYA PRADESH","How to control Septoria Leaf Spot in tomato crop","use copper oxy chloride 45 gram and  steptrocyclin 2 gram at 15 liter of water",23.5022,74.9552
