BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
REDDIGUDEM,Vegetables,2013,10,5,Tomato,KRISHNA,nan,nan,HORTICULTURE,"ANDHRA PRADESH","tobacco caterpillar","quinolphos 400 mlacre",16.2128,81.0307
CHINTALAPUDI,Vegetables,2015,12,6,Tomato,"WEST GODAVARI","Plant Protection",nan,HORTICULTURE,"ANDHRA PRADESH","tobacco caterpillar problem in tomato","recommended to spray chloroopyriphos 500 mlacre",16.6443,81.5885
KRISHNAGIRI,Vegetables,2015,11,16,Tomato,KURNOOL,"Plant Protection",nan,HORTICULTURE,"ANDHRA PRADESH","Tobacco caterpillar problem in tomato crop","RECOMMENDED TO SPRAY NOVALURANINDOXICARB PLITHORA 350 ML PER ACRE",15.8309,78.0425
CHENNEKOTHAPALLE,Vegetables,2015,11,10,Tomato,ANANTPUR,"Plant Protection",nan,HORTICULTURE,"ANDHRA PRADESH","tobacco caterpillar in tomato","RECOMMENDED TO SPRAY NOVALURANINDOXICARB PLITHORA 350 ML PER ACRE",13.5747,78.5029
DHIREHAL,Vegetables,2015,11,13,Tomato,ANANTPUR,"Plant Protection",nan,HORTICULTURE,"ANDHRA PRADESH","Tobacco caterpillar problem in tomato crop","RECOMMENDED TO SPRAY CHLORPYRPHOSKORBAN DURSBAN LETHAL CLASSIC RADAR 500 ML PER ACRE",13.5747,78.5029
PULIVENDLA,Vegetables,2015,10,28,Tomato,"Y S R ","Plant Protection",nan,HORTICULTURE,"ANDHRA PRADESH","tobacco caterpillar problem in tomato crop","RECOMMENDED TO SPRAY CHLORPYRPHOSKORBAN DURSBAN LETHAL CLASSIC RADAR 500 ML PER ACRE",15.9241,80.1864
GUDIPALA,Vegetables,2015,11,14,Tomato,CHITTOOR,"Plant Protection",nan,HORTICULTURE,"ANDHRA PRADESH","Tobacco caterpillar problem in Tomato crop","Recommended to spray Rinoxpril coragen 60 mlacre",13.2026,79.0032
SAGAR,Vegetables,2015,3,11,Tomato,SAGAR,"Plant Protection",RABI,HORTICULTURE,"MADHYA PRADESH","How to control tobacco caterpillars in tomato brinjal crop","Recommended for Spray emamectin benjoate or corajan or fem 10 ml at 15 liter of water or indoxa carb 10 ml at 15 liter of water",23.8083,78.7583
RAHATGARH,Vegetables,2015,4,12,Tomato,SAGAR,"Plant Protection",JAYAD,HORTICULTURE,"MADHYA PRADESH","How to control tobacco caterpillars or pod borer in tomato crop","Recommended for Spray emamectin benjoate or corajan or fem 10 ml at 15 liter of water or indoxa carb 10 ml at 15 liter of water",23.8083,78.7583
"SEONI MALWA",Vegetables,2015,9,13,Tomato,HOSHANGABAD,"Plant Protection",nan,HORTICULTURE,"MADHYA PRADESH","How to control tobacco caterpillars in soyabean crop","Recommended for Spray emamectin benjoate or corajan or fem 10 ml at 15 liter of water or indoxa carb 10 ml at 15 liter of water",22.7546,77.7198
AMLA,Vegetables,2015,5,5,Tomato,BETUL,"Plant Protection",JAYAD,HORTICULTURE,"MADHYA PRADESH","How to control tobacco caterpillars in tomoto crop","Spray emamectin benjoate  8- 10 gram or corajan fem 4-5 ml at 15 liter of water or indoxa carb 12-15 ml at 15 liter of water",21.8797,77.8754
HARRAI,Vegetables,2015,4,10,Tomato,CHHINDWARA,"Plant Protection",JAYAD,HORTICULTURE,"MADHYA PRADESH","How to control tobacco caterpillars crop","Recommended for Spray emamectin benjoate or corajan or fem 10 ml at 15 liter of water or indoxa carb 10 ml at 15 liter of water",22.2072,78.7988
CHHINDWARA,Vegetables,2015,8,30,Tomato,CHHINDWARA,"Plant Protection",KHARIF,HORTICULTURE,"MADHYA PRADESH","How to control tobacco caterpillars in soyabean crop","Recommended for Spray emamectin benjoate or corajan or fem 10 ml at 15 liter of water or indoxa carb 10 ml at 15 liter of water",22.2072,78.7988
AMARWARA,Vegetables,2015,9,2,Tomato,CHHINDWARA,"Plant Protection",KHARIF,HORTICULTURE,"MADHYA PRADESH","How to control tobacco caterpillars in soyabean crop","Recommended for Spray emamectin benjoate or corajan or fem 10 ml at 15 liter of water or indoxa carb 10 ml at 15 liter of water",22.2072,78.7988
PICHHORE,Vegetables,2015,4,10,Tomato,SHIVPURI,"Plant Protection",nan,HORTICULTURE,"MADHYA PRADESH","How to control tobacco caterpillars in tomato  crop","Recommended for Spray emamectin benjoate or corajan or fem 10 ml at 15 liter of water or indoxa carb 10 ml at 15 liter of water",25.3741,77.8279
PICHHORE,Vegetables,2015,4,10,Tomato,SHIVPURI,"Plant Protection",nan,HORTICULTURE,"MADHYA PRADESH","How to control tobacco caterpillars in tomato  crop","Recommended for Spray emamectin benjoate or corajan or fem 10 ml at 15 liter of water or indoxa carb 10 ml at 15 liter of water",25.3741,77.8279
SHIVPURI,Vegetables,2015,8,12,Tomato,SHIVPURI,"Plant Protection",KHARIF,HORTICULTURE,"MADHYA PRADESH","How to control tobacco caterpillars in tomato crop","Recommended for Spray emamectin benjoate or corajan or fem 10 ml at 15 liter of water or indoxa carb 10 ml at 15 liter of water",25.3741,77.8279
POHRI,Vegetables,2015,9,5,Tomato,SHIVPURI,"Plant Protection",KHARIF,HORTICULTURE,"MADHYA PRADESH","How to control tobacco caterpillars in soyabean crop","fem 10 ml Acetameprid 20 SP 5gmpump",25.3741,77.8279
SHIVPURI,Vegetables,2015,9,6,Tomato,SHIVPURI,"Plant Protection",KHARIF,HORTICULTURE,"MADHYA PRADESH","How to control tobacco caterpillars in tomato ","Recommended for Spray emamectin benjoate or corajan or fem 10 ml at 15 liter of water or indoxa carb 10 ml at 15 liter of water",25.3741,77.8279
KOLARAS,Vegetables,2015,9,7,Tomato,SHIVPURI,"Plant Protection",nan,HORTICULTURE,"MADHYA PRADESH","Farmer wants to know information about Tobacco caterpillar in soyabean ","Indokscarb 145 05 liters per hectare or a drug called SP Avaunt  12 ml  pump or Reneksipir 20 SC Corrosion 010 liters per hectare Spinosed Lemdaselothrin 03 liters per hectare 0125 liters per hectare use",25.3741,77.8279
POHRI,Vegetables,2015,9,13,Tomato,SHIVPURI,"Plant Protection",nan,HORTICULTURE,"MADHYA PRADESH","How to control tobacco caterpillars in tomato crop","Recommended for Spray emamectin benjoate or corajan or fem 10 ml at 15 liter of water or indoxa carb 10 ml at 15 liter of water",25.3741,77.8279
POHRI,Vegetables,2015,9,13,Tomato,SHIVPURI,"Plant Protection",KHARIF,HORTICULTURE,"MADHYA PRADESH","How to control tobacco caterpillars in tomato crop","Thiomethoxam 25 WG 5gm  Acetameprid 20 SP 5gmpump",25.3741,77.8279
SHIVPURI,Vegetables,2015,9,20,Tomato,SHIVPURI,"Plant Protection",KHARIF,HORTICULTURE,"MADHYA PRADESH","How to control tobacco caterpillars in tomato crop","Recommended for Spray of Queenolfos 25 EC 1000 Ml  hac",25.3741,77.8279
POHRI,Vegetables,2015,9,25,Tomato,SHIVPURI,"Plant Protection",KHARIF,HORTICULTURE,"MADHYA PRADESH","How to control tobacco caterpillars in tomato crop","Recommended for Spray of Queenolfos 25 EC 1000 Ml  hac",25.3741,77.8279
POHRI,Vegetables,2015,9,28,Tomato,SHIVPURI,"Plant Protection",KHARIF,HORTICULTURE,"MADHYA PRADESH","How to control tobacco caterpillars in tomato crop","Recommended for Spray clorosyper 40 ml at 15 liter of water",25.3741,77.8279
NARSINGHGARH,Vegetables,2015,8,11,Tomato,RAJGARH,"Plant Protection",nan,HORTICULTURE,"MADHYA PRADESH","How to control tobacco caterpillars in  tomato  crop","Recommended for Spray emamectin benjoate or corajan or fem 10 ml at 15 liter of water or indoxacarb 145SC 10 ml at 15 liter of water",23.8717,76.7745
NARSINGHGARH,Vegetables,2015,9,15,Tomato,RAJGARH,"Plant Protection",KHARIF,HORTICULTURE,"MADHYA PRADESH","How to control tobacco caterpillars in tomato  crop","Thiomethoxam 25 WG 5gm  Acetameprid 20 SP 5gmpump",23.8717,76.7745
JOURA,Vegetables,2015,12,7,Tomato,MORENA,"Plant Protection",RABI,HORTICULTURE,"MADHYA PRADESH","How to control tobacco caterpillars in tomato crop","Recommended for Spray or indoxa carb 10 ml at 15 liter of water",26.385,77.8613
SHAJAPUR,Vegetables,2015,8,6,Tomato,SHAJAPUR,"Plant Protection",KHARIF,HORTICULTURE,"MADHYA PRADESH","How to control tobacco caterpillars in tomato crop","Recommended for Spray emamectin benjoate or corajan or fem 10 ml at 15 liter of water or indoxacarb 10 ml at 15 liter of water",23.4171,76.6075
KHACHAROD,Vegetables,2015,12,9,Tomato,UJJAIN,"Plant Protection",RABI,HORTICULTURE,"MADHYA PRADESH","How to control tobacco caterpillars in  tomato crop","Recommended for Spray indoxa carb 10 ml at 15 liter of water",23.1885,75.7717
SITAMAU,Vegetables,2015,9,8,Tomato,MANDSAUR,"Plant Protection",nan,HORTICULTURE,"MADHYA PRADESH","how to control tobacco caterpillar in crop  ","Recommended  for spray to Emamectin benzoate 5  SG 8-10 grampump",24.2628,75.3857
SITAMAU,Vegetables,2015,9,16,Tomato,MANDSAUR,"Plant Protection",nan,HORTICULTURE,"MADHYA PRADESH","Farmer wants to know information about Tobacco caterpillar in tomato  ","Indokscarb 145 05 liters per hectare or a drug called SP Avaunt  12 ml  pump or Reneksipir 20 SC Corrosion 010 liters per hectare Spinosed Lemdaselothrin 03 liters per hectare 0125 liters per hectare use",24.2628,75.3857
"RAIPUR  KARCHULIYAN",Vegetables,2015,4,19,Tomato,REWA,"Plant Protection",JAYAD,HORTICULTURE,"MADHYA PRADESH","How to control tobacco caterpillars in tomato crop","Recommended for Spray emamectin benjoate or corajan or fem 10 ml at 15 liter of water or indoxa carb 10 ml at 15 liter of water",24.7561,81.3811
PHANDA,Vegetables,2015,9,13,Tomato,BHOPAL,"Plant Protection",KHARIF,HORTICULTURE,"MADHYA PRADESH","How to control tobacco caterpillars in tomato  crop","Thiomethoxam 25 WG 5gm  Acetameprid 20 SP 5gmpump",23.2585,77.402
ANUPPUR,Vegetables,2015,2,27,Tomato,ANUPPUR,"Plant Protection",JAYAD,HORTICULTURE,"MADHYA PRADESH","How to control tobacco caterpillars in TOmato crop","Recommended for Spray emamectin benjoate or corajan or fem 10 ml at 15 liter of water or indoxa carb 10 ml at 15 liter of water",23.0346,81.751
KUKUDAKHANDI,Vegetables,2015,11,16,Tomato,GANJAM,"Plant Protection",nan,HORTICULTURE,ODISHA,"tobacco caterpillar in tomato","RECOMENDED TO SPRAY MALATHION 25 EC  2ML PER 1 LITER WATER TO CONTROL tobacco caterpillar in tomato",19.609,84.7081
KOMNA,Vegetables,2015,11,12,Tomato,NAWAPARA,"Plant Protection",nan,HORTICULTURE,ODISHA,"TOBACCO CATERPILLAR IN TOMATO","RECOMMENDED SPRAY OF CHLOROPYRIPHOS 20 EC  2 MLLITRE OF WATER FOR CONTROLING TOBACCO CATERPILLAR IN TOMATO",21.1447,82.9432
KHAIRAGARH,Vegetables,2015,9,8,Tomato,"RAJ NANDGAON","Plant Protection",KHARIF,HORTICULTURE,CHHATTISGARH,"how to control tobacco caterpillar in  ","Recommended  for spray to Emamectin benzoate 5  SG 8-10 grampump",21.6637,81.8406
BALRAMPUR,Vegetables,2015,9,25,Tomato,SURGUJA,"Plant Protection",KHARIF,HORTICULTURE,CHHATTISGARH,"How to control tobacco caterpillars in tomato crop","Recommended for Spray of Queenolfos 25 EC 1000 Ml  hac",22.9469,83.1657
DHARMAVARAM,Vegetables,2016,1,21,Tomato,ANANTPUR,"Plant Protection",nan,HORTICULTURE,"ANDHRA PRADESH","tobacco caterpillar","RECOMMENDED TO SPRAY CHLORIPYRIPHOS 500 MLAcre",13.5747,78.5029
KHURAI,Vegetables,2016,3,9,Tomato,SAGAR,"Plant Protection",JAYAD,HORTICULTURE,"MADHYA PRADESH","How to control tobacco caterpillars in tomato  crop","Recommended for Spray emamectin benjoate or corajan or fem 10 ml at 15 liter of water or indoxa carb 10 ml at 15 liter of water",23.8083,78.7583
PATAN,Vegetables,2016,10,30,Tomato,JABALPUR,"Plant Protection",KHARIF,HORTICULTURE,"MADHYA PRADESH","How to control tobacco caterpillars in tomato  crop","Recommended for Spray emamectin benjoate or corajan or fem 10 ml at 15 liter of water or indoxa carb 10 ml at 15 liter of water",23.1702,79.9324
BALAGHAT,Vegetables,2016,10,13,Tomato,BALAGHAT,"Plant Protection",KHARIF,HORTICULTURE,"MADHYA PRADESH","how to control tobacco caterpillar in Tomato  ","recommended for spray to Emamectin benzoate 5  SG 8-10 grampump",21.8612,80.3237
BETUL,Vegetables,2016,9,25,Tomato,BETUL,"Plant Protection",KHARIF,HORTICULTURE,"MADHYA PRADESH","How to control tobacco caterpillars in tomato  crop","Recommended for Spray of Queenolfos 25 EC 1000 Ml  hac",21.8797,77.8754
MOHKHED,Vegetables,2016,9,28,Tomato,CHHINDWARA,"Plant Protection",KHARIF,HORTICULTURE,"MADHYA PRADESH","How to control tobacco caterpillars in tomato crop","Recommended for Spray emamectin benjoate or corajan or fem 10 ml at 15 liter of water or indoxa carb 10 ml at 15 liter of water",22.2072,78.7988
KOLARAS,Vegetables,2016,9,19,Tomato,SHIVPURI,"Plant Protection",KHARIF,HORTICULTURE,"MADHYA PRADESH","How to control tobacco caterpillars in tomato crop","Recommended for Spray corajan or fem 10 ml at 15 liter of water or indoxa carb 10 ml at 15 liter of water",25.3741,77.8279
SHIVPURI,Vegetables,2016,9,24,Tomato,SHIVPURI,"Plant Protection",KHARIF,HORTICULTURE,"MADHYA PRADESH","How to control tobacco caterpillars in tomato crop","Recommended for Spray emamectin benjoate or corajan or fem 10 ml at 15 liter of water ",25.3741,77.8279
RAJGARH,Vegetables,2016,2,23,Tomato,RAJGARH,"Plant Protection",RABI,HORTICULTURE,"MADHYA PRADESH","How to control tobacco caterpillars or pod borer in tomato crop","Recommended for Spray emamectin benjoate or corajan or fem 5-7 ml at 15 liter of water or indoxa carb 10 ml at 15 liter of water",23.8717,76.7745
PORSA,Vegetables,2016,8,25,Tomato,MORENA,"Plant Protection",KHARIF,HORTICULTURE,"MADHYA PRADESH","How to control tobacco caterpillars in tomato crop","Recommended for Spray emamectin benjoate or corajan or fem 10 ml at 15 liter of water or indoxa carb 10 ml at 15 liter of water",26.385,77.8613
DATIA,Vegetables,2016,9,8,Tomato,DATIA,"Plant Protection",KHARIF,HORTICULTURE,"MADHYA PRADESH","How to control tobacco caterpillars in tomato crop","Recommended: for Spray emamectin benjoate or corajan or fem 10 ml at 15 liter of water or indoxa carb 10 ml at 15 liter of water",25.9183,78.6645
PALERA,Vegetables,2016,1,30,Tomato,TIKAMGARH,"Plant Protection",RABI,HORTICULTURE,"MADHYA PRADESH","How to control tobacco caterpillars in tomato crop","Recommended for Spray emamectin benjoate or corajan or fem 10 ml at 15 liter of water or indoxa carb 10 ml at 15 liter of water",24.8552,79.0473
BARAILY,Vegetables,2016,2,21,Tomato,RAISEN,"Plant Protection",RABI,HORTICULTURE,"MADHYA PRADESH","How to control tobacco caterpillars in tomato  crop","Recommended for Spray emamectin benjoate or corajan or fem 10 ml at 15 liter of water or indoxa carb 10 ml at 15 liter of water",23.2676,78.1727
AMBIKAPUR,Vegetables,2016,8,9,Tomato,SURGUJA,"Cultural Practices",KHARIF,HORTICULTURE,CHHATTISGARH,"How to control tobacco caterpillars in soyabean crop","Recommended for Spray emamectin benjoate or corajan or fem 10 ml at 15 liter of water or indoxa carb 10 ml at 15 liter of water",22.9469,83.1657
BARAMKELA,Vegetables,2016,8,19,Tomato,RAIGARH,"Cultural Practices",KHARIF,HORTICULTURE,CHHATTISGARH,"How to control tobacco caterpillars in soyabean crop","Recommended for Spray emamectin benjoate or corajan or fem 10 ml at 15 liter of water or indoxa carb 10 ml at 15 liter of water",22.2362,83.353
ADONI,Vegetables,2017,2,6,Tomato,KURNOOL,"Plant Protection",nan,HORTICULTURE,"ANDHRA PRADESH","tomato tobacco caterpillar management","tomato tobacco caterpillar management : RECOMMENDED TO SPRAY SPINOSAD 75 ML200 LITRES OF WATER  ACRE",15.8309,78.0425
PEAPULLY,Vegetables,2017,7,30,Tomato,KURNOOL,"Plant Protection",nan,HORTICULTURE,"ANDHRA PRADESH","TOBACCO CATERPILLAR MANAGEMENT","TOBACCO CATERPILLAR MANAGEMENT :RECOMMENDED TO SPRAY CHLORANTRANILIPROLE 60 ML200 LITRES OF WATER  ACRE",15.8309,78.0425
BELUGUPPA,Vegetables,2017,5,20,Tomato,ANANTPUR,"Plant Protection",nan,HORTICULTURE,"ANDHRA PRADESH","TOMATO TOBACCO CATERPILLAR MANAGEMENT","TOMATO TOBACCO CATERPILLAR MANAGEMENT : RECOMMENDED TO SPRAY ACEPHATE 300 GRAMS 200 LITRES OF WATER  ACRE",13.5747,78.5029
SAMBEPALLE,Vegetables,2017,10,26,Tomato,"Y S R ","Plant Protection",nan,HORTICULTURE,"ANDHRA PRADESH","tomato tobacco caterpillar","RECOMMENDED TO SPRAY MALATHION   400 ML 200 LITRES OF WATER  ACRE",15.9241,80.1864
KURABALAKOTA,Vegetables,2017,4,5,Tomato,CHITTOOR,"Plant Protection",nan,HORTICULTURE,"ANDHRA PRADESH","tomato tobacco caterpillar management","tomato tobacco caterpillar management : RECOMMENDED TO SPRAY SPINOSAD 75 ML200 LITRES OF WATER  ACRE",13.2026,79.0032
"GANGADHARA NELLORE",Vegetables,2017,8,2,Tomato,CHITTOOR,"Plant Protection",nan,HORTICULTURE,"ANDHRA PRADESH","tomato tobacco caterpillar management","tomato tobacco caterpillar management :  RECOMMENDED TO SPRAY  CHLORPYRIFOS  500 ML200 LITRES OF WATER  ACRE",13.2026,79.0032
KURABALAKOTA,Vegetables,2017,8,23,Tomato,CHITTOOR,"Plant Protection",nan,HORTICULTURE,"ANDHRA PRADESH","tobacco caterpillar management","tobacco caterpillar management :RECOMMENDED TO SPRAY  CHLORPYRIFOS  500 ML200 LITRES OF WATER  ACRE",13.2026,79.0032
PUNGANUR,Vegetables,2017,11,20,Tomato,CHITTOOR,"Plant Protection",nan,HORTICULTURE,"ANDHRA PRADESH","TOMATO TOBACCO CATERPILLAR MANAGEMENT","RECOMMENDED TO SPRAY PROFENOFOS 400 ML200 LITRES OF WATER   ACRE",13.2026,79.0032
JAISINAGAR,Vegetables,2017,9,3,Tomato,SAGAR,"Plant Protection",KHARIF,HORTICULTURE,"MADHYA PRADESH","How to control tobacco caterpillars in tomato crop","Recommended for Spray emamectin benjoate 10 gram at 15 liter of water for control of caterpillars in tomato crop",23.8083,78.7583
REHLI,Vegetables,2017,9,14,Tomato,SAGAR,"Plant Protection",KHARIF,HORTICULTURE,"MADHYA PRADESH","How to control tobacco caterpillars in tomato crop","Recommended for Spray indoxa carb 10 ml at 15 liter of water",23.8083,78.7583
BETUL,Vegetables,2017,5,5,Tomato,BETUL,"Plant Protection",JAYAD,HORTICULTURE,"MADHYA PRADESH","How to control tobacco caterpillars in tomato crop","Recommended for Spray emamectin benjoate 10 gram at 15 liter of water",21.8797,77.8754
KOLARAS,Vegetables,2017,9,14,Tomato,SHIVPURI,"Plant Protection",KHARIF,HORTICULTURE,"MADHYA PRADESH","How to control tobacco caterpillars in tomato crop","Recommended for Spray indoxa carb 10 ml at 15 liter of water",25.3741,77.8279
GAROTH,Vegetables,2017,7,14,Tomato,MANDSAUR,"Plant Protection",KHARIF,HORTICULTURE,"MADHYA PRADESH","How to control tobacco caterpillars in tomato crop","Recommended for Spray indoxa carb 10 ml at 15 liter of water",24.2628,75.3857
TIRLA,Vegetables,2017,7,21,Tomato,DHAR,"Plant Protection",KHARIF,HORTICULTURE,"MADHYA PRADESH","How to control tobacco caterpillars in tomato crop","Recommended for Spray emamectin benjoate or corajan or fem 10 ml at 15 liter of water or indoxa carb 10 ml at 15 liter of water",22.5787,75.2259
HARUR,Vegetables,2017,11,28,Tomato,DHARMAPURI,"Plant Protection",RABI,HORTICULTURE,TAMILNADU,"Asking about Tobacco caterpillar in Tomato","Recommended for spray Azadirachtin 3 ml Teepol 1 ml litre of water",12.1456,78.1132
ARANG,Vegetables,2017,12,13,Tomato,RAIPUR,"Plant Protection",RABI,HORTICULTURE,CHHATTISGARH,"How to control tobacco caterpillars or pod borer in Brinjal crop","Recommended for Spray emamectin benjoate or corajan or fem 5-7 ml at 15 liter of water or indoxa carb 10 ml at 15 liter of water",21.2381,81.6337
SAJA,Vegetables,2017,12,11,Tomato,Bemetara,"Plant Protection",RABI,HORTICULTURE,CHHATTISGARH,"How to control tobacco caterpillars in tomato  crop","Recommended for Spray emamectin benjoate or corajan or fem 10 ml at 15 liter of water or indoxa carb 10 ml at 15 liter of water",21.6784,81.4413
SEETHARAMAPURAM,Vegetables,2018,3,13,Tomato,NELLORE,"Plant Protection",nan,HORTICULTURE,"ANDHRA PRADESH","TOMATO TOBACCO CATERPILLAR MANAGEMENT","RECOMMENDED TO SPRAY  CHLORPYRIFOS 500 ML200 LITERS OF WATER  Acre",14.4494,79.9874
THAMBALLAPALLE,Vegetables,2018,1,29,Tomato,CHITTOOR,"Plant Protection",nan,HORTICULTURE,"ANDHRA PRADESH","TOBACCO CATERPILLAR IN TOMATO","RECOMMENDED TO SPRAY PROFENOFOS 400 ML200 LITRES OF WATER  ACRE",13.2026,79.0032
BHAINSDEHI,Vegetables,2018,9,12,Tomato,BETUL,"Plant Protection",nan,HORTICULTURE,"MADHYA PRADESH","How to control tobacco caterpillars in tomato crop","Recommended for Spray emamectin benjoate or corajan or fem 10 ml at 15 liter of water or indoxa carb 10 ml at 15 liter of water",21.8797,77.8754
CHAURAI,Vegetables,2018,12,14,Tomato,CHHINDWARA,nan,0,HORTICULTURE,"MADHYA PRADESH","Farmer wants to know information about how to control caterpillar or  tobacco caterpillar incaterpillar ","Recommended  for spray to emamectin benzoate 5  sg 8-10 grampump",22.2072,78.7988
CHAURAI,Vegetables,2018,12,14,Tomato,CHHINDWARA,nan,0,HORTICULTURE,"MADHYA PRADESH","Farmer wants to know information about how to control caterpillar or  tobacco caterpillar incaterpillar ","Recommended  for spray to emamectin benzoate 5  sg 8-10 grampump",22.2072,78.7988
CHAURAI,Vegetables,2018,12,14,Tomato,CHHINDWARA,nan,0,HORTICULTURE,"MADHYA PRADESH","Farmer wants to know information about how to control caterpillar or  tobacco caterpillar incaterpillar ","Recommended  for spray to emamectin benzoate 5  sg 8-10 grampump",22.2072,78.7988
