BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
"0   ",0,2009,6,23,Apple,PULWAMA,29,JAYAD,HORTICULTURE,"JAMMU AND KASHMIR","INFORMATION REGARDING HOW TO CONTROL LEAF MINER IN APPLE","SPRAY DIMETHOATE  2MLLITRE OF WATER",33.949,75.0418
"0   ",0,2009,6,2,Apple,BADGAM,29,JAYAD,HORTICULTURE,"JAMMU AND KASHMIR","INFORMATION REGARDING LEAF MINER IN APPLE TREE","SPRAY METHYL DEMETON  2MLLITRE OF WATER",34.0385,74.736
"0   ",0,2009,5,31,Apple,BARAMULLA,29,JAYAD,HORTICULTURE,"JAMMU AND KASHMIR","CONTROL OF APPLE LEAF MINER ","APPLICATION OFMETHYL DEMETON 0025",34.2087,74.3435
SRINAGAR,0,2010,3,20,Apple,GANDERBAL,76,RABI,HORTICULTURE,"JAMMU AND KASHMIR","HOW TO CONTROL APPLE LEAF MINER ","SPRAY METHYL DEMETON  0025  AFTER PETTLE FALL ",34.2889,75.0408
"0   ",0,2010,6,21,Apple,ALMORA,0,nan,HORTICULTURE,UTTARAKHAND,"INFORAMTION REGARDING  CONTROL OF APPLE LEAF MINER","SPRAY METHYL DEMATION  80 ML IN 100 LITRE OF WATER",29.7027,79.4326
"0   ",0,2010,11,14,Apple,CHAMOLI,76,nan,HORTICULTURE,UTTARAKHAND,"INFORAMTION REGARDING CONTROL OF APPLE LEAF MINER INSECT","SPRAY METHYL DEMATION  80 ML  100 LITRE OF WATER",30.4986,79.6191
"0   ",0,2010,11,9,Apple,RUDRAPRAYAG,76,KHARIF,HORTICULTURE,UTTARAKHAND,"INFORAMTION REGARDING  CONTROL OF APPLE LEAF MINER","SPRAY METHYL DEMATION  80 ML IN 100 LITRE OF WATER",30.4916,79.0366
"0   ",Fruits,2011,7,28,Apple,BAGESHWAR,0,JAYAD,HORTICULTURE,UTTARAKHAND,"INFORAMTION REGARDING  CONTROL OF APPLE LEAF MINER","SPRAY METHYL DEMATION  80 ML IN 100 LITRE OF WATER",30.0088,79.928
KARSOG,Fruits,2013,3,22,Apple,MANDI,76,RABI,HORTICULTURE,"HIMACHAL PRADESH","how to control leaf miner in pea","spray metasistox  1mlliter of water",31.6517,77.0093
BADGAM,Fruits,2013,5,21,Apple,BADGAM,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","CONTROL OF LEAF MINER IN APPLE","SPRAY CHLOROPYRIPHOS  1 ML PER LITRE OF WATER",34.0385,74.736
GANDERBAL,Fruits,2013,5,13,Apple,GANDERBAL,"Cultural Practices",nan,HORTICULTURE,"JAMMU AND KASHMIR","LEAF MINER IN APPLE","SPRAY CHLOROPYRIPHIOS  2 ML PER LITRE OF WATER",34.2889,75.0408
"DANTA RAMGARH",Fruits,2017,11,17,Apple,SIKAR,"Plant Protection",RABI,HORTICULTURE,RAJASTHAN,"TELL ME LEAF MINER IN LEMON","SPRAY OF QUINOLPHOS 25 EC 2 ML PER LITER WATER",27.6625,75.028
RAJOURI,Fruits,2018,8,16,Apple,RAJOURI,"Plant Protection",KHARIF,HORTICULTURE,"JAMMU AND KASHMIR","leaf miner in brinjal","spray cypermethrin1ml1 litre of water",33.3773,74.3132
KARSOG,Fruits,2019,4,8,Apple,MANDI,"Plant Protection",nan,HORTICULTURE,"HIMACHAL PRADESH","Information regarding control of leaf miner in pea",nan,31.6517,77.0093
CHAUPAL,Fruits,2019,4,25,Apple,SHIMLA,"Plant Protection",nan,HORTICULTURE,"HIMACHAL PRADESH","Information regarding control of leaf miner in pea",nan,31.1042,77.171
PULWAMA,Fruits,2019,5,26,Apple,PULWAMA,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","PROBLEM OF LEAF MINER IN APPLE TREES ",nan,33.949,75.0418
KHAN-SAHIB,Fruits,2019,5,25,Apple,BADGAM,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","problem of leaf miner in apple trees",nan,34.0385,74.736
DODA,Fruits,2019,7,25,Apple,DODA,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","Leaf miner in frash bean ",nan,33.1326,75.589
RSPURA,Fruits,2020,3,18,Apple,JAMMU,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","regarding leaf miner on lemon orchard and flowers","regarding leaf miner:spray them with imidacloprid  3 ml per 10 litres of water or dimethoate  2 ml per litre of water",32.7186,74.8581
BAIJNATH,Fruits,2021,5,4,Apple,KANGRA,"Plant Protection",nan,HORTICULTURE,"HIMACHAL PRADESH","Information regarding Control of leaf miner  Apple  plants ","            2        ",32.0769,76.2986
KATHUA,Fruits,2021,4,6,Apple,KATHUA,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","Farmer asked the query on leaf miner in tomato","Collect and destroy the infested leaves and give a light hoeing to the soil and spray Neem seen Kernal Extract NSKE Its dosage depends upon the concentration of pack Spray in such a way that it falls on the foliage and penetrates into the soil as wellSpray neem oil in 5ml in 1 liter of water",32.3766,75.5243
SHANGUS,Fruits,2022,4,18,Apple,ANANTNAG,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","regarding application of leaf miner in apple orchards","the farmer was advised to spray chlorpyriphos 20 ec or dimethoate  1 ml per liter of water",33.7461,75.1854
BADGAM,Fruits,2022,4,22,Apple,BADGAM,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","REGARDING ATTACK OF LEAF MINER IN APPLE ORCHARDS","THE FARMER WAS ADVISED TO SPRAY CHLORPYRIPHOS 20 EC  1ML PER 1 LITER OF WATER",34.0385,74.736
KUPWARA,Fruits,2022,4,21,Apple,KUPWARA,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","regarding attack of leaf miner in apple orchards","the farmer was advised to spray chlorpyriphos 20 ec  1ml per liter of water",34.5141,74.1914
BRENG,Fruits,2022,5,24,Apple,ANANTNAG,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","LEAF MINER IN APPLE","April-May: Adult emergence and Egg laying of First Generation1 Install trapssticky traps  1 per 10 m apart or2 Pheromone traps  1 trap per hectare for monitoring of moth emergence3 After first moth catch in the trap sprayDeltamethrin 28 EC  1 ml per litre of water orChlorpyriphos 50   Cypermethrin 5  EC  125 ml per litre of water at 15 days interval",33.7461,75.1854
QAIMOH,Fruits,2022,5,26,Apple,ANANTNAG,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","regarding attack of apple blotch leaf miner","the farmer was advised to spray :imidachlorpid 178  sl  30 ml per 100 liter of waterThiacloprid 217  sc  60 ml per 100 liter of waterflubendiamide 3935  sc  40 ml per 100 liter of water",33.7461,75.1854
DHPORA,Fruits,2022,5,16,Apple,KULGAM,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","regarding attack of leaf miner on apple orchards","the farmer was advised to spray chlorpyriphos 20 ec  1 ml per liter of water ",33.6447,75.0188
KULGAM,Fruits,2022,5,18,Apple,KULGAM,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","REGARDING ATTACK OF LEAF MINER ON APPLE ORCHARDS","THE FARMER WAS ADVISED TO SPRAY CHLORPYRIPHOS 20 EC  100 ML PER 100 LITER OF WATER",33.6447,75.0188
KULGAM,Fruits,2022,5,20,Apple,KULGAM,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","regarding leaf miner","April-May: Adult emergence and Egg laying of First Generation1 Install trapssticky traps  1 per 10 m apart or2 Pheromone traps  1 trap per hectare for monitoring of moth emergence3 After first moth catch in the trap sprayDeltamethrin 28 EC  1 ml per litre of water orChlorpyriphos 50   Cypermethrin 5  EC  125 ml per litre of water at15 days interval",33.6447,75.0188
SHOPIAN,Fruits,2022,5,11,Apple,SHUPIYAN,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","REGARDING ATTACK OF LEAF MINER IN APPLE ORCHARDS","THE FARMER WAS ADVISED TO SPRAY CHLORPYRIPHOS  100 ML PER 100 LITER OF WATERThe following are trade names for the same:Coroban 20 EC MS Coromandel Agrico Pvt LtdKohiban 20 EC MS FIL Industries Ltd Dursban 20 EC MS Dow Agro Science Mumbai Ltd Tafaban 20 EC  MS Rallis India Ltd ",33.6649,75.163
SHOPIAN,Fruits,2022,5,14,Apple,SHUPIYAN,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","Leaf miner in apple","Chlorpyriphos 20 EC 100 ml or Dimethoate 30 EC 100 ml in 100 liters of water",33.6649,75.163
SHOPIAN,Fruits,2022,5,20,Apple,SHUPIYAN,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","regarding attack of apple blotch leaf miner","the farmer was advised to spray :imidachlorpid 178  sl  30 ml per 100 liter of waterThiacloprid 217  sc  60 ml per 100 liter of waterflubendiamide 3935  sc  40 ml per 100 liter of water",33.6649,75.163
SHOPIAN,Fruits,2022,5,23,Apple,SHUPIYAN,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","regarding attack of apple blotch leaf miner","the farmer was advised to spray :imidachlorpid 178  sl  30 ml per 100 liter of waterThiacloprid 217  sc  60 ml per 100 liter of waterflubendiamide 3935  sc  40 ml per 100 liter of water",33.6649,75.163
QAIMOH,Fruits,2022,6,24,Apple,ANANTNAG,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","leaf miner in apple","Chlorpyriphos 20 EC 100 ml or Dimethoate 30 EC 100 ml in 100 liters of water",33.7461,75.1854
KAKAPORA,Fruits,2022,6,3,Apple,PULWAMA,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","leaf miner in apple trees ","Spray Dimethoate 30 EC100 ml orCholorpyriphos 20 EC100 mlorQuinalphos 25 EC100 ml in 100ltr of water",33.949,75.0418
KULGAM,Fruits,2022,6,3,Apple,KULGAM,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","regarding attack of apple blotch leaf miner","the farmer was advised to spray :imidachlorpid 178  sl  30 ml per 100 liter of waterThiacloprid 217  sc  60 ml per 100 liter of waterflubendiamide 3935  sc  40 ml per 100 liter of water",33.6447,75.0188
SHOPIAN,Fruits,2022,6,1,Apple,SHUPIYAN,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","regarding attack of apple blotch leaf miner","the farmer was advised to spray :imidachlorpid 178  sl  30 ml per 100 liter of waterThiacloprid 217  sc  60 ml per 100 liter of waterflubendiamide 3935  sc  40 ml per 100 liter of water",33.6649,75.163
QAIMOH,Fruits,2022,7,28,Apple,ANANTNAG,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","Spray of mite and leaf miner","For Insects: Dimethoate 30 EC 100 ml  or Chlorpyriphos 20 EC 100 ml For Mites:  Hexythiazox 545 EC 40 ml or Fenazaquin 10 EC 40 ml   or Spiromesifen 229 SC 40 ml or Summer Spray Oil 750 ml in 100 liters  of water",33.7461,75.1854
SHOPIAN,Fruits,2022,8,17,Apple,SHUPIYAN,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","regarding attack of apple blotch leaf miner","the farmer was advised to spray :imidachlorpid 178  sl  30 ml per 100 liter of waterThiacloprid 217  sc  60 ml per 100 liter of waterflubendiamide 3935  sc  40 ml per 100 liter of water",33.6649,75.163
