BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
PULWAMA,Fruits,2018,7,3,Apple,PULWAMA,"Plant Protection",KHARIF,HORTICULTURE,"JAMMU AND KASHMIR","Marssonina leaf blotch","Mancozeb 75WP 300 g or Ziram 27 SC 600 ml or Propineb 70 WP 300 g or Ziram 80 WP 200g",33.949,75.0418
KELLER,Fruits,2018,7,5,Apple,PULWAMA,"Plant Protection",KHARIF,HORTICULTURE,"JAMMU AND KASHMIR","For Marssonina LEAF BLOTCH IN APPLE","SPRAY Mancozeb 75WP 300 g or Ziram 27 SC 600 ml or Propineb 70 WP 300 g or Ziram 80 WP 200 g IN 100 LTRS OF WATER",33.949,75.0418
PAMPORE,Fruits,2018,7,29,Apple,PULWAMA,"Plant Protection",KHARIF,HORTICULTURE,"JAMMU AND KASHMIR","REGARDING Marssonina LEAF BLOTCH IN APPLE","SPRAY Mancozeb 75WP 300 g or Ziram 27 SC 600 ml or Propineb 70 WP 300 g or Ziram 80 WP 200 g IN 100 LTRS OF WATER",33.949,75.0418
PULWAMA,Fruits,2018,8,17,Apple,PULWAMA,"Plant Protection",KHARIF,HORTICULTURE,"JAMMU AND KASHMIR","REGARDING Marssonina LEAF BLOTCH IN APPLE","SPRAY Ziram 27 SC 600 ml or Propineb 70 WP 300 g or Ziram 80 WP 200 g IN 100 LTRS OF WATER",33.949,75.0418
CHADOORA,Fruits,2018,8,15,Apple,BADGAM,"Plant Protection",KHARIF,HORTICULTURE,"JAMMU AND KASHMIR","REGARDING Marssonina LEAF BLOTCH IN APPLE","SPRAY Mancozeb 75WP 300 g or Ziram 27 SC 600 ml or Propineb 70 WP 300 g or Ziram 80 WP 200 g IN 100 LTRS OF WATER",34.0385,74.736
KULGAM,Fruits,2018,7,3,Apple,KULGAM,"Plant Protection",KHARIF,HORTICULTURE,"JAMMU AND KASHMIR","Marssonina LEAF BLOTCH IN APPLE","Mancozeb 75WP 300 g or Ziram 27 SC 600 ml or Propineb 70 WP 300 g or Ziram 80 WP 200 g",33.6447,75.0188
KULGAM,Fruits,2018,7,4,Apple,KULGAM,"Plant Protection",KHARIF,HORTICULTURE,"JAMMU AND KASHMIR","marssonina leaf blotch in apple","Mancozeb 75WP 300 g or Ziram 27 SC 600 ml or Propineb 70 WP 300 g or Ziram 80 WP 200 g",33.6447,75.0188
SHOPIAN,Fruits,2018,7,2,Apple,SHUPIYAN,"Plant Protection",KHARIF,HORTICULTURE,"JAMMU AND KASHMIR","Marssonina leaf blotch in apple","Mancozeb 75WP 300 g or Ziram 27 SC 600 ml or Propineb 70 WP 300 g or Ziram 80 WP 200 g in 100 ltrs of water",33.6649,75.163
SHOPIAN,Fruits,2018,8,14,Apple,SHUPIYAN,"Plant Protection",KHARIF,HORTICULTURE,"JAMMU AND KASHMIR","REGARDING  Marssonina LEAF BLOTCH AND FLYSPECK IN APPLE","SPRAY Mancozeb 75WP 300 g or Ziram 27 SC 600 ml or Propineb 70 WP 300 g or Ziram 80 WP 200 g IN 100 LTRS OF WATER",33.6649,75.163
ACHABAL,Fruits,2019,7,22,Apple,ANANTNAG,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","REGARDING MARSSONINA LEAF BLOTCH IN APPLE",nan,33.7461,75.1854
QAIMOH,Fruits,2019,8,4,Apple,ANANTNAG,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","Regarding Marssonina leaf blotch or necrotic leaf blotch in apple",nan,33.7461,75.1854
ACHABAL,Fruits,2019,8,4,Apple,ANANTNAG,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","Regarding necrotic leaf blotch Marssonina leaf blotch in apple",nan,33.7461,75.1854
BRENG,Fruits,2019,8,4,Apple,ANANTNAG,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","Regarding necrotic leaf blotch Marssonina leaf blotch in apple",nan,33.7461,75.1854
BRENG,Fruits,2019,8,4,Apple,ANANTNAG,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","Regarding necrotic leaf blotch Marssonina leaf blotch in apple",nan,33.7461,75.1854
PULWAMA,Fruits,2019,8,4,Apple,PULWAMA,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","Regarding necrotic leaf blotch Marssonina leaf blotch in apple",nan,33.949,75.0418
TRAL,Fruits,2019,8,4,Apple,PULWAMA,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","Regarding necrotic leaf blotch Marssonina leaf blotch in apple",nan,33.949,75.0418
PULWAMA,Fruits,2019,8,4,Apple,PULWAMA,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","Regarding necrotic leaf blotch Marssonina leaf blotch in apple",nan,33.949,75.0418
PULWAMA,Fruits,2019,8,4,Apple,PULWAMA,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","Regarding necrotic leaf blotch Marssonina leaf blotch in apple",nan,33.949,75.0418
NAGAM,Fruits,2019,8,3,Apple,BADGAM,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR"," Regarding problem of Marssonina leaf blotch in apple",nan,34.0385,74.736
BADGAM,Fruits,2019,8,4,Apple,BADGAM,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","Regarding necrotic leaf blotch Marssonina leaf blotch in apple",nan,34.0385,74.736
BADGAM,Fruits,2019,8,4,Apple,BADGAM,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","Regarding necrotic leaf blotch Marssonina leaf blotch in apple",nan,34.0385,74.736
BADGAM,Fruits,2019,8,4,Apple,BADGAM,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","Regarding necrotic leaf blotch Marssonina leaf blotch in apple",nan,34.0385,74.736
BADGAM,Fruits,2019,8,4,Apple,BADGAM,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","Regarding necrotic leaf blotch Marssonina leaf blotch in apple",nan,34.0385,74.736
KHAG,Fruits,2019,8,4,Apple,BADGAM,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","Regarding necrotic leaf blotch Marssonina leaf blotch in apple",nan,34.0385,74.736
BEERWAH,Fruits,2019,8,4,Apple,BADGAM,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","Regarding necrotic leaf blotch Marssonina leaf blotch in apple",nan,34.0385,74.736
KUNZER,Fruits,2019,8,4,Apple,BARAMULLA,"Nutrient Management",nan,HORTICULTURE,"JAMMU AND KASHMIR","Regarding necrotic leaf blotch Marssonina leaf blotch in apple",nan,34.2087,74.3435
PATTAN,Fruits,2019,8,4,Apple,BARAMULLA,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","Regarding necrotic leaf blotch Marssonina leaf blotch in apple",nan,34.2087,74.3435
TREHGAM,Fruits,2019,7,28,Apple,KUPWARA,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","REGARDING  MARSSONINA LEAF BLOTCH IN APPLE ",nan,34.5141,74.1914
BHADERWAH,Fruits,2019,8,1,Apple,DODA,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","Regarding  Marssonina leaf blotch in apple",nan,33.1326,75.589
KULGAM,Fruits,2019,7,18,Apple,KULGAM,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","Regarding marssonina leaf blotch in apple",nan,33.6447,75.0188
DEVSAR,Fruits,2019,7,22,Apple,KULGAM,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","REGARDING MARSSONINA LEAF BLOTCH PROBLEM IN APPLE",nan,33.6447,75.0188
KULGAM,Fruits,2019,8,4,Apple,KULGAM,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","Regarding necrotic leaf blotch Marssonina leaf blotch in apple",nan,33.6447,75.0188
PAHLOO,Fruits,2019,8,4,Apple,KULGAM,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","Regarding necrotic leaf blotch Marssonina leaf blotch in apple",nan,33.6447,75.0188
DHPORA,Fruits,2019,8,4,Apple,KULGAM,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","Regarding necrotic leaf blotch Marssonina leaf blotch in apple",nan,33.6447,75.0188
