BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
"0   ",0,2009,8,29,Apple,KINNAUR,29,JAYAD,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL WOOLLY APHID IN APPLE ","SPRAY CHLOROPYRIPHOS  400 ML  200 LITER OF WATER",31.593,78.3281
"0   ",0,2009,10,7,Apple,KINNAUR,29,KHARIF,HORTICULTURE,"HIMACHAL PRADESH","HOW CONTROL WOOLLY APHID IN APPLE","SPRAY CHLORPYRIPHOS  400ML200 LITRES OF WATER",31.593,78.3281
"0   ",0,2009,10,12,Apple,KINNAUR,29,JAYAD,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL WOOLLY APHID IN APPLE AFTER FRUIT HARVEST ","SPRAY CHLORPYRIPHOS 20 EC  400 ML IN 200 LITRES OF WATER ",31.593,78.3281
"0   ",0,2009,5,28,Apple,KULLU,29,JAYAD,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL WOOLLY APHID IN APPLE ","SPERY CARBOSALPHAN  200 ML  200 LITER OF WATER",31.9579,77.1089
"0   ",0,2009,7,16,Apple,KULLU,29,JAYAD,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL WOOLLY APHID IN APPLE POST- HARVEST ","SPRAY CARBOSULFAN  200 ML OR CHLORPYRIPHOS  400 ML IN 200 LITRES OF WATER ",31.9579,77.1089
"0   ",0,2009,8,2,Apple,KULLU,29,JAYAD,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL WOOLLY APHID IN APPLE POST HARVEST ","SPRAY CHLORPYRIPHOS 20 EC  400 ML OR CARBOSULFAN  200 ML IN 200 LITRES OF WATER",31.9579,77.1089
"0   ",0,2009,8,4,Apple,KULLU,29,JAYAD,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL WOOLLY APHID IN APPLE ON POST HARVEST ","SPRAY CHLORPYRIHOS 20 EC  400 ML OR CARBOSULFAN  200 ML IN 200 LITRES OF WATER ",31.9579,77.1089
"0   ",0,2009,8,11,Apple,KULLU,29,JAYAD,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL WOOLLY APHID IN APPLE AFTER FRUIT HARVEST ","SPRAY CHLORPYRIPHOS 20 EC  400 ML IN 200 LITRES OF WATER ",31.9579,77.1089
"0   ",0,2009,8,11,Apple,KULLU,29,JAYAD,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL WOOLLY APHID IN APPLE AFTER FRUIT HARVEST ","SPRAY CHLORPYRIPHOS 20 EC  400 ML IN 200 LITRES OF WATER ",31.9579,77.1089
"0   ",0,2009,8,24,Apple,KULLU,3,JAYAD,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL WOOLLY APHID IN APPLE AFTER FRUIT HARVEST ","SPRAY CHLORPYRIPHOS 20 EC  400 ML IN 200 LITRES OF WATER ",31.9579,77.1089
"0   ",0,2009,9,16,Apple,KULLU,29,JAYAD,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL WOOLLY APHID IN APPLE","SPRAY CHLORPYRIPHOS 20 EC  400 ML IN 200 LITRES OF WATER AT POST HARVEST STAGE",31.9579,77.1089
"0   ",0,2009,12,1,Apple,KULLU,76,KHARIF,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL WOOLLY APHID OF APPLE",nan,31.9579,77.1089
"0   ",0,2009,12,1,Apple,KULLU,76,KHARIF,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL WOOLLY APHID IN APPLE",nan,31.9579,77.1089
"0   ",0,2009,12,1,Apple,KULLU,76,KHARIF,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL WOOLLY APHID IN APPLE","SPRAY CARBOSULFAN  200ML200 LTRES OF WATER AFTER POST-HARVEST",31.9579,77.1089
"0   ",0,2009,12,7,Apple,KULLU,76,KHARIF,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL WOOLLY APHID ON APPLE TREES IN MAY - JUNE MONTH ","SPRAY JUNE- OCTOBER MONTH CHLORPYRIPHOS 20 EC  400 ML IN 200 LITRES OF WATER ",31.9579,77.1089
"0   ",0,2009,12,7,Apple,KULLU,76,KHARIF,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL WOOLLY APHID IN APPLE","SPRAY CHLORPYRIPHOS  400ML200 LITRES OF WATER",31.9579,77.1089
"0   ",0,2009,12,20,Apple,KULLU,76,KHARIF,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL WOOLLY APHID IN APPLE ROOTS ","PLACE GRANULES OF PHORATE  10-30 GM OR CARBOFURAN  30-50 GM AT 5 CM DEPTH IN THE ROOT ZONE OF 1 TO 4 YEAR OLD INFESTED TREES",31.9579,77.1089
"0   ",0,2009,1,22,Apple,MANDI,29,KHARIF,HORTICULTURE,"HIMACHAL PRADESH","INFORMATION REGARDING HOW CAN CONTROL WOOLLY APHID IN APPLE ORCHARD","ESCALATION LEVEL-2",31.6517,77.0093
"0   ",0,2009,7,29,Apple,MANDI,29,JAYAD,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL WOOLLY APHID IN APPLE POST- HARVEST STAGE ","SPRAY CARBOSULFAN  200 ML OR 400 ML CHLORPYRIPHOS 20 EC IN 200 LITRES OF WATER ",31.6517,77.0093
"0   ",0,2009,8,3,Apple,MANDI,29,JAYAD,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL WOOLLY APHID OF APPLE","SPRAY CHLORPYRIPHOS  400NL200 LITRES OF WATER",31.6517,77.0093
"0   ",0,2009,8,5,Apple,MANDI,29,JAYAD,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL WOOLLY APHID IN APPLE AFTER FRUIT HARVEST STAGE ","SPRAY CHLORPYRIPHOS 20 EC  400 ML IN 200 LITRES OF WATER ",31.6517,77.0093
"0   ",0,2009,8,15,Apple,MANDI,29,JAYAD,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL WOOLLY APHID IN APPLE POST HARVEST STAGE ","SPRAY CHLORPYRIPHOS 20 EC  400 ML IIN 200 LITRES OF WATER",31.6517,77.0093
"0   ",0,2009,8,30,Apple,MANDI,29,JAYAD,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL WOOLLY APHID IN APPLE AFTER FRUIT HARVEST STAGE ","SPRAY CHLORPYRIPHOS 20 EC  400 ML IN 200 LITRES OF WATER ",31.6517,77.0093
"0   ",0,2009,9,15,Apple,MANDI,29,JAYAD,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL WOOLLY APHID IN APPLE AT POST HARVEST STAGE ","SPRAY CHLORPYRIPHOS 20 EC  400 ML IN 200 LITRES OF WATER ",31.6517,77.0093
"0   ",0,2009,10,14,Apple,MANDI,29,KHARIF,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL WOOLLY APHID IN APPLE ","SPRAY CHLORPYRIPHOS 20 EC  400 ML IN 200 LITRES OF WATER",31.6517,77.0093
"0   ",0,2009,7,16,Apple,SHIMLA,29,JAYAD,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL WOOLLY APHID IN APPLE ON POST - HARVEST STAGE ","SPRAY CARBOSULFAN  200 ML OR CHLORPYRIPHOS 20 EC  400 ML IN 200 LITRES OF WATER ",31.1042,77.171
"0   ",0,2009,7,16,Apple,SHIMLA,29,JAYAD,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL WOOLLY APHID IN APPLE ","SPRAY CHLORPYRIPHOS 20 EC  400 ML IN 200 LITRES OF WATER AT POST - HARVEST ",31.1042,77.171
"0   ",0,2009,7,30,Apple,SHIMLA,29,JAYAD,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL WOOLLY APHID IN APPLE ","YOU SHOULD SPRAY AFTER FRUIT HARVEST 400 ML CHLORPYRIPHOS 20 EC OR CARBOSULFAN  200 ML IN 200 LITRES OF WATER ",31.1042,77.171
"0   ",0,2009,7,30,Apple,SHIMLA,29,JAYAD,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL WOOLLY APHID IN APPLE AFTER FRUIT HARVESTING ","SPRAY CHLORPYRIPHOS 20 EC  400 ML OR CARBOSULFAN  200 ML IN 200 LITRES OF WATER ",31.1042,77.171
"0   ",0,2009,7,31,Apple,SHIMLA,29,JAYAD,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL WOOLLY APHID IN APPLE AFTER FRUIT HARVEST","SPRAY CHLORPYRIPHOS 20 EC  400 ML OR CARBOSULFAN  200 ML IN 200 LITRES OF WATER ",31.1042,77.171
"0   ",0,2009,7,31,Apple,SHIMLA,29,JAYAD,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL WOOLLY APHID ON APPLE AT POST - HARVEST ","SPRAY CAROSULFAN  200 ML OR CHLORYRIPHOS 20 EC  400 ML IN 200 LITRES OF WATER ",31.1042,77.171
"0   ",0,2009,8,3,Apple,SHIMLA,29,JAYAD,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL WOOLLY APHID IN APPLE POST HARVEST STAGE ","SPRAY CHLORPYRIPHOS 20 EC  400 ML IN 200 LITRES OF WATER ",31.1042,77.171
"0   ",0,2009,8,11,Apple,SHIMLA,29,JAYAD,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL WOOLLY APHID IN APPLE AFTER FRUIT HARVEST","SPRAY CHLORPYRIPHOS 20 EC  400 ML IN 200 LITRES OF WATER ",31.1042,77.171
"0   ",0,2009,8,15,Apple,SHIMLA,29,JAYAD,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL WOOLLY APHID IN APPLE POST HARVEST FRUIT ","SPRAY CHLOROPYRIPHOS  400 ML  200 LITER OF WATER",31.1042,77.171
"0   ",0,2009,8,15,Apple,SHIMLA,29,JAYAD,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL WOOLLY APHID IN APPLE AFTER FRUIT HARVEST ","SPRAY CHLORPYRIPHOS 20 EC  400 ML IN 200 LITRES OF WATER ",31.1042,77.171
"0   ",0,2009,8,19,Apple,SHIMLA,29,JAYAD,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL WOOLLY APHID IN APPLE ","SPRAY CHLORPYRIPHOS 20 EC  400 ML IN 200 LITRES OF WATER AFTER FRUIT HARVEST",31.1042,77.171
"0   ",0,2009,8,23,Apple,SHIMLA,3,JAYAD,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL WOOLLY APHID IN APPLE AFTER FRUIT HARVEST ","SPRAY CHLORPYRIPHOS 20 EC  400 ML IN 200 LITRES OF WATER ",31.1042,77.171
"0   ",0,2009,8,25,Apple,SHIMLA,3,JAYAD,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL WOOLLY APHID IN APPLE AFTER FRUIT HARVEST","SPRAY CHLORPYRIPHOS 20 EC  400 ML IN 200 LITRES OF WATER ",31.1042,77.171
"0   ",0,2009,8,26,Apple,SHIMLA,29,JAYAD,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL WOOLLY APHID IN APPLE ","SPRAY CHLOROPYRIPHOS  400 ML  200 LITER OF WATER",31.1042,77.171
"0   ",0,2009,8,28,Apple,SHIMLA,29,JAYAD,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL WOOLLY APHID IN APPLE ","SPRAY CHLOROPYRIPHOS  400 ML  200 LITER OF WATER",31.1042,77.171
"0   ",0,2009,8,31,Apple,SHIMLA,29,JAYAD,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL WOOLLY APHID IN APPLE POST HARVEST STAGE ","SPRAY CHLORPYRIPHOS 20 EC  400 ML IN 200 LITRES OF WATER ",31.1042,77.171
"0   ",0,2009,9,7,Apple,SHIMLA,29,JAYAD,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL WOOLLY APHID IN APPLE AFTER FRUIT HARVEST ","SPRAY CHLORPYRIPHOS 20 EC  400 ML IN 200 LITRES OF WATER ",31.1042,77.171
"0   ",0,2009,9,11,Apple,SHIMLA,29,JAYAD,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL WOOLLY APHID IN APPLE AT POST HARVEST STAGE","SPRAY CHLORPYRIPHOS 20 EC  400 ML IN 200 LITRES OF WATER ",31.1042,77.171
"0   ",0,2009,9,11,Apple,SHIMLA,29,JAYAD,HORTICULTURE,"HIMACHAL PRADESH","HOW TO CONTROL WOOLLY APHID IN APPLE ","SPRAY CHLORPYRIPHOS 20 EC  400 ML IN 200 LITRES OF WATER POST HARVEST STAGE",31.1042,77.171
