BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
"0   ",0,2009,11,13,Coconut,KAMRUP,75,KHARIF,HORTICULTURE,ASSAM,"ASKING ABOUT THE CONTROL MEASURE TO CONTROL BUD ROT DISEASE IN COCONUT","SUGGESTED TO CLEAN THE AFFECTED PORTION AND TO APPLY 1 BORDEAUX MIXTURE",26.1469,91.2227
"0   ",0,2009,11,13,Coconut,KAMRUP,75,KHARIF,HORTICULTURE,ASSAM,"ASKING ABOUT THE CONTROL MEASURE TO CONTROL BUD ROT DISEASE IN COCONUT","SUGGESTED TO CLEAN THE AFFECTED PORTION AND TO APPLY 1 BORDEAUX MIXTURE",26.1469,91.2227
"0   ",0,2009,12,30,Coconut,PALAKKAD,0,nan,HORTICULTURE,KERALA,"Control for bud rot in coconut","recommended removal of the affected portion and application of Bordeaux Paste",10.7874,76.4742
"0   ",0,2009,12,8,Coconut,KASARGOD,75,nan,HORTICULTURE,KERALA,"Farmer ask about control measures of bud rot in coconut","Remove all affected tissue of the crown and apply Bordeaux paste on cut end and provide a protective covering till normal shoot emerges Dissolve 100 gm of copper sulphate and 100 gm of quick lime each in 500ml water separately and mix to form 1 litre of Bordeaux paste",12.4915,74.9878
"0   ",0,2009,11,7,Coconut,KOLLAM,75,nan,HORTICULTURE,KERALA,"Farmer ask about control measures of bud rot in coconut","Remove all affected tissue of the crown and apply Bordeaux paste on cut end and provide a protective covering till normal shoot emerges Dissolve 100 gm of copper sulphate and 100 gm of quick lime each in 500ml water separately and mix to form 1 litre of Bordeaux paste",8.88724,76.5909
"0   ",0,2009,11,12,Coconut,JAJAPUR,75,KHARIF,HORTICULTURE,ODISHA,"BUD ROT IN COCONUT","SPRAY COC  3GMLIT OF WATER",20.8278,86.3798
"0   ",0,2009,11,11,Coconut,NAMAKKAL,75,KHARIF,HORTICULTURE,TAMILNADU,"bud rot in coconut","spray copperoxychloride 25glitre of water in the affected area",11.3034,78.1186
"0   ",0,2010,10,13,Coconut,GOALPARA,75,JAYAD,HORTICULTURE,ASSAM,"ASKING ABOUT THE CONTROL MEASURE TO CONTROL BUD ROT DISEASE IN COCONUT TREE","SUGGESTED TO SPRAY 1BORDEAX MIXTURE AND ASLO GIVEN THE PREPARATION METHOD OF BORDEAUX MIXTURE",26.0492,90.6002
"0   ",0,2010,10,13,Coconut,GOALPARA,75,JAYAD,HORTICULTURE,ASSAM,"ASKING ABOUT THE CONTROL MEASURE TO CONTROL BUD ROT DISEASE IN COCONUT TREE",nan,26.0492,90.6002
"0   ",0,2010,3,11,Coconut,DHUBRI,75,JAYAD,HORTICULTURE,ASSAM,"ASKING ABOUT THE CONTROL MEASURE TO CONTROL BUD ROT DISEASE OF COCONUT","SUGGESTED FIRST TO MAINTAIN PROPER DRAINAGE FACILITY AND TO APPLY BORDEAUX MIXTURE100 GRAM LIME 100 GRAM COPPER SULPHATE10 LITERS OF WATER",26.1323,90.125
"0   ",0,2010,11,21,Coconut,DHUBRI,75,KHARIF,HORTICULTURE,ASSAM,"ASKING ABOUT THE CONTROL MEASURE TO CONTROL BUD ROT DISEASE IN COCONUT","SUGGESTED TO MAINTAIN PROPER DRAINAGE AND TO SPARY BLITOX-502GRAMLITER OF WATER",26.1323,90.125
"0   ",0,2010,7,19,Coconut,KAMRUP,75,JAYAD,HORTICULTURE,ASSAM,"ASKING ABOUT THE CONTROL MEASURE TO CONTROL BUD ROT DISEASE IN COCONUT","SUGGESTED TO IMPROVE THE DRAINAGE SYSTEM AND TO SPRAY 1 BOREAUX MIXTURE",26.1469,91.2227
"0   ",0,2010,11,26,Coconut,KAMRUP,75,KHARIF,HORTICULTURE,ASSAM,"ASKING ABOUT THE CONTROL MEASURE TO CONTROL BUD ROT DISEASE IN COCONUT","SUGGESTED TO SPRAY 1 BORDEAUX MIXTURE AND ALSO GIVEN THE PROCEDURE OF BORDEAUX MIXTURE PREPARATION",26.1469,91.2227
"0   ",0,2010,12,30,Coconut,KAMRUP,75,KHARIF,HORTICULTURE,ASSAM,"ASKING ABOUT THE CONTROL MEASURE TO CONTROL BUD ROT DISAESE IN COCONUT","SUGGESTED TO SPRAY WITH 1 BORDEAUX MIXTURE COVERING THE ENTIRE CROWN",26.1469,91.2227
"KALAIGAON  Pt",0,2010,11,23,Coconut,DARRANG,75,KHARIF,HORTICULTURE,ASSAM,"ASKING ABOUT THE CONTROL MEASURE TO CONTROL BUD ROT DISEASE IN COCONUT","SUGGESTED TO SPRAY 1BORDEAUX MIXTURE COVERING THE ENTIRE CROWN",26.4373,92.0047
