BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
"0   ",0,2009,11,20,Coconut,PALAKKAD,"Agriculture Mechanization",nan,HORTICULTURE,KERALA,"Rhinoceros beetle control in coconut ","Apply Sevidol 8G 25g  fine sand 200g mixture can use to fill the innermost 2-3 innerwhorlwhich should be done thrice in a year April-MaySept-Oct  Dec-Jan",10.7874,76.4742
"0   ",0,2009,11,8,Coconut,SALEM,76,JAYAD,HORTICULTURE,TAMILNADU,"Control measures for Rhinoceros beetle in Coconut","Apply mixture of Neem seed powder   Sand1:2 150 gm per palm",11.647,78.2107
"0   ",0,2009,11,4,Coconut,COIMBATORE,76,JAYAD,HORTICULTURE,TAMILNADU,"Control measures for Rhinoceros beetle in Coconut","Place Phorate 10 G 5 gm in two inner most leaf axils for 2 times at 6 months intervels",11.0018,76.9628
"0   ",0,2009,11,7,Coconut,COIMBATORE,76,JAYAD,HORTICULTURE,TAMILNADU,"Rhinoceros beetle control measure","Apply mixture of either neem seed powder  sand 1:2 150 g perpalm or neem seed kernel powder  sand 1:2 150 g per palm in thebase of the 3 inner most leaves in the crown",11.0018,76.9628
RADHAPURAM,0,2009,11,2,Coconut,TIRUNELVELI,76,JAYAD,HORTICULTURE,TAMILNADU,"Control measures for Rhinoceros beetle in Coconut","Apply mixture of either Neem seed powder   Sand1:2 150 gm per palm",8.72031,77.7075
"0   ",0,2010,12,6,Coconut,CACHAR,76,KHARIF,HORTICULTURE,ASSAM,"ASKING FOR THE CONTROL MEASURE AGAINST RHINOCEROS BEETLE IN COCONUT TREES","ADVISED TO APPLY MALATHION 5 DUST MIXED WITH EQUAL QUANTITY OF SAND AT THE AXIL OF THE LEAVES AT THE CROWN AS A CONTROL MEASURE AGAINST RHINOCEROS BEETLE IN COCONUT TREES",24.7586,92.8817
"0   ",0,2010,9,21,Coconut,KOKRAJHAR,76,JAYAD,HORTICULTURE,ASSAM,"ASKING ABOUT THE CONTROL MEASURE TO CONTROL RHINOCEROS BEETLE IN COCONUT PLANT","SUGGESTED TO APPLY 5MALATHION DUST MIXED WITH EQUAL QUANTITY OF SAND AT THE AXIL OF LEAVES OF THE CROWN",26.4912,90.1215
"0   ",0,2010,12,20,Coconut,KAMRUP,76,KHARIF,HORTICULTURE,ASSAM,"ASKING FOR THE CONTROL MEASURE AGAINST RHINOCEROS BEETLE IN COCONUT TREES","SUGGESTED TO APPLY MALATHION 5 DUST MIXED WITH EQUAL QUANTITY OF SAND AT THE AXIL OF LEAVES OF THE CROWN",26.1469,91.2227
HAJO,0,2010,12,24,Coconut,KAMRUP,76,KHARIF,HORTICULTURE,ASSAM,"ASKING ABOUT THE CONTROL MEASURE TO CONTROL RHINOCEROS BEETLE IN COCONUT TREE","SUGGESTED TO APPLY 5 MALATHION DUST MIXED WITH EQUAL QUANTITY OF SAND AT THE AXIL OF LEAVES OF THE CROWN",26.1469,91.2227
"0   ",0,2010,12,2,Coconut,BARPETA,76,KHARIF,HORTICULTURE,ASSAM,"ASKING FOR THE CONTROL MEASURE AGAINST RHINOCEROS BEETLE IN COCONUT TREES","SUGGESTED TO APPLY 5 MALATHION DUST MIXED WITH EQUAL QUANTITY OF SAND AT THE AXIL OF LEAVES OF THE CROWN",26.3459,91.0397
