BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
"0   ",0,2010,3,14,Coconut,TRIVANDRUM,75,nan,HORTICULTURE,KERALA,"Control measures of Root wilt disease in coconut","Rogue out palms that are affected severely by root wilt and yield less than 10 nutspalmyearrplant with disease tolerant onesApply fertilizers for coconut palms in recommended dosesapply 50 kg cattle manure or green manure and 1 kg of lime  palm  year Magnesium may be supplied  500 g MgO per palm per year in the Onattukara region sandy soil and 100 g MgO in the remaining areas",8.48823,76.9475
"0   ",0,2010,8,12,Coconut,PALAKKAD,75,nan,HORTICULTURE,KERALA,"what are the symptoms of Root wilt disease","Symptoms of root wilt are  Abnormal bending or ribbing of the leaflets flaccidity of the leaves general yellowing followed by marginal necrosis of the leafletsAbnormal shedding of buttons reduced leaves and crown gradual reduction in yield",10.7874,76.4742
"0   ",Fruits,2011,11,3,Coconut,TRIVANDRUM,0,nan,HORTICULTURE,KERALA,"what are the symptoms of Root wilt disease","Symptoms of root wilt are Abnormal bending or ribbing of the leaflets flaccidity of the leaves general yellowing followed by marginal necrosis of the leafletsAbnormal shedding of buttons reduced leaves and crown gradual reduction in yield",8.48823,76.9475
"CHAPAR SALKOCHA",Fruits,2012,6,1,Coconut,DHUBRI,0,nan,HORTICULTURE,ASSAM,"ROOT WILT DISEASE OF COCONUT","SUGGESTED PROPER MNGT AND PROTECTION METHOD",26.1323,90.125
"0   ","Plantation Crops",2012,12,18,Coconut,ERNAKULAM,75,nan,HORTICULTURE,KERALA,"root wilt disease in coconut","Apply fertilizers for coconut palms in average management at the rate of 034 kg N 017 kg P2O5 and 068 kg K2O  palm  year in the form of urea rock phosphate and muriate of potash respectively For palms under good management fertilizers may be given  of 05 kg N 032 kg P2O5 and 12 kg K2O  palm  year 3 In addition to the above apply 50 kg cattle manure or green manure and 1 kg of lime  palm  year",9.98408,76.2741
"0   ",Fruits,2012,1,16,Coconut,KOZHIKODE,0,nan,HORTICULTURE,KERALA,"What are the causes of root wilt disease and give the recommended control measures ","Root wilt disease of coconut is caused by a micro organism called phytoplasma The disease is transmitted by lace bug Stephanities typicus and plant hopper Proutista moesta No definite control measure has been developed so far The bearing palms in the early and middle stages of the disease respond well for the management practices and the yield of those palms could be maintained at economic level by the adoption of",11.2451,75.7755
ATTUR,Fruits,2012,8,15,Coconut,SALEM,75,JAYAD,HORTICULTURE,TAMILNADU,"root wilt disease in coconut","Apply pseudomonas fluorescence 50g  Trichoderma viride 50g  Cowdung 5kg tree",11.647,78.2107
THONDAMUTHUR,"Plantation Crops",2012,12,7,Coconut,COIMBATORE,75,KHARIF,HORTICULTURE,TAMILNADU,"Root wilt Disease","Root feeding with Calyxin 5ml 100ml water",11.0018,76.9628
TIRUPPUR,"Plantation Crops",2012,12,10,Coconut,COIMBATORE,75,KHARIF,HORTICULTURE,TAMILNADU,"Root wilt Disease","Pseudomonas fluorescence 50g  Trichoderma viride 50g  Cowdung 5kg tree",11.0018,76.9628
TIRUPPUR,"Plantation Crops",2012,12,22,Coconut,COIMBATORE,75,KHARIF,HORTICULTURE,TAMILNADU,"Root wilt Disease in coconut","Pseudomonas fluorescence 50g  Trichoderma viride 50g  Cowdung 5kg tree",11.0018,76.9628
ODDANCHATRAM,Fruits,2012,7,26,Coconut,DINDIGUL,75,JAYAD,HORTICULTURE,TAMILNADU,"Root wilt Disease in coconut","Root feeding with Calyxin 5ml 100ml water Intercrop with Sunhemp",10.4257,77.8157
VALANGAIMAN,Fruits,2012,7,8,Coconut,THIRUVARUR,75,JAYAD,HORTICULTURE,TAMILNADU,"Root wilt Disease","applyPseudomonas fluorescence 50g  Trichoderma viride 50g  Cowdung 5kg treeMix well  apply around the tree",10.6879,79.4979
"0   ",Fruits,2012,8,7,Coconut,THOOTHUKUDI,75,JAYAD,HORTICULTURE,TAMILNADU,"Root wilt Disease in  coconut","apply pseudomonas spp 50gm  trichoderma viride 50gm  cow dung 5kgtree",8.8457,77.9938
"0   ",Fruits,2012,9,10,Coconut,THOOTHUKUDI,75,JAYAD,HORTICULTURE,TAMILNADU,"Root wilt Disease control","Root feeding with Calyxin 5ml 100ml water",8.8457,77.9938
"0   ","Plantation Crops",2012,12,29,Coconut,THOOTHUKUDI,75,KHARIF,HORTICULTURE,TAMILNADU,"coconut  Root wilt Disease","apply Pseudomonas fluorescence 50g  Trichoderma viride 50g  Cowdung 5kg tree",8.8457,77.9938
ARSIKERE,"Plantation Crops",2013,12,1,Coconut,HASSAN,nan,nan,HORTICULTURE,KARNATAKA,"coconut Root wilt Disease","Trichoderma viride 50g  Cowdung 5kg tree",13.0302,76.1745
"0   ","Plantation Crops",2013,1,14,Coconut,TRIVANDRUM,75,nan,HORTICULTURE,KERALA,"coconut root wilt disease","proper fertilizer application",8.48823,76.9475
GARADAPUR,"Plantation Crops",2013,9,28,Coconut,KENDRAPARA,nan,nan,HORTICULTURE,ODISHA,"Root wilt Disease","DETAILS GIVEN",20.5475,86.5296
THONDAMUTHUR,"Plantation Crops",2013,1,20,Coconut,COIMBATORE,75,KHARIF,HORTICULTURE,TAMILNADU,"Root wilt Disease in coconut","Root feeding with Calyxin 5ml 100ml water",11.0018,76.9628
TIRUPPUR,"Plantation Crops",2013,3,5,Coconut,COIMBATORE,75,KHARIF,HORTICULTURE,TAMILNADU,"Root wilt Disease in coconut","Pseudomonas fluorescence 50g  Trichoderma viride 50g  Cowdung 5kg tree",11.0018,76.9628
AVANASHI,"Plantation Crops",2013,3,17,Coconut,COIMBATORE,75,KHARIF,HORTICULTURE,TAMILNADU,"Root wilt Disease in coconut","Root feeding with Calyxin 5ml 100ml water",11.0018,76.9628
