BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
"0   ",0,2009,11,27,Coconut,MALAPPURAM,76,nan,HORTICULTURE,KERALA,"Farmer asks about the control measures of eriophyid mite attack in coconut nuts","1 Collect and distroy all the fall buttons of the affected palms 2 Apply 2 neem oil  garlic emulsion or commercial neem formulation azadirachin 0004 Neemazal 4mlL in crown on young bunches 2nd -7th bunch gave 3 round of spray per year viz March-aprilaug-sept and dec -jan",11.1068,76.11
"0   ",0,2009,11,1,Coconut,BALASORE,76,KHARIF,HORTICULTURE,ODISHA,"ERIOPHYID MITES IN COCONUT","SPRAY NIMAZOL 4MLLIT OF WATER",21.5006,86.9199
"0   ",0,2010,3,4,Coconut,ERNAKULAM,76,nan,HORTICULTURE,KERALA,"Control of eriophyid mite attack in coconut nuts","1 Collect and distroy all the fall buttons of the affected palms 2 Apply 2 neem oil  garlic emulsion or commercial neem formulation azadirachin 0004 Neemazal 4mlL in crown on young bunches 2nd -7th bunch gave 3 round of spray per year viz March-aprilaug-sept and dec -jan",9.98408,76.2741
"0   ",0,2010,10,1,Coconut,MALAPPURAM,"Agriculture Mechanization",nan,HORTICULTURE,KERALA,"How can I control Coconut eriophyid mite Aceria Eriophyes guerreronis attack ","1Collect and destroy all the fallen buttons of the affected palm2 Apply 2 neem oil  garlic emulsion or commercial neem formulation azadirachtin 0004 Neemazal TS 1  4 ml per litre of water or micronized wettable sulphur 04  in the crown on young bunches In large coconut plantations dicofol 01 can be applied after taking adequate precautions However spraying of dicofol should be avoided in homesteads",11.1068,76.11
"0   ",0,2010,8,4,Coconut,VELLORE,76,JAYAD,HORTICULTURE,TAMILNADU,"control measure for Coconut Eriophyid mite in coconut","Apply urea 13 kg super phosphate 20 and muriate of potash 35 kgpalmyear",12.9022,79.0611
"0   ",0,2010,7,31,Coconut,VILLUPPURAM,76,JAYAD,HORTICULTURE,TAMILNADU,"control measure for Coconut eriophyid mite","apply Urea 13 kgSuper phosphate 20 kgMuriate of potash 35 kg Increased quantity is recommended to increase the plant resistance to the miteNeem cake application  5 kgOrganic manure well rotten FYM  50 kg",10.9094,78.3665
GINGEE,0,2010,10,2,Coconut,VILLUPPURAM,76,JAYAD,HORTICULTURE,TAMILNADU,"Coconut eriophyid mite control measure","Root feeding with monocrotophos 36 WSC 10 ml  water 10 ml",10.9094,78.3665
"0   ",0,2010,5,7,Coconut,THOOTHUKUDI,76,KHARIF,HORTICULTURE,TAMILNADU,"Coconut eriophyid mite control measure","root feeding with monocrotophos 10ml  water 10ml  tree",8.8457,77.9938
"0   ",0,2010,11,14,Coconut,THOOTHUKUDI,76,JAYAD,HORTICULTURE,TAMILNADU,"Coconut eriophyid mite control measure","Root feeding with monocrotophos 36 WSC 10 ml  water 10 ml in a 7 x 10 cm polythene bag",8.8457,77.9938
KANCHIPURAM,Fruits,2011,6,4,Coconut,KANCHEEPURAM,76,JAYAD,HORTICULTURE,TAMILNADU,"control measure for Eriophyid mite in coconut","apply Borax 50 g  gypsum 10kg  Manganese sulphate 05 kgpalm year arbosulfan 25EC  15 ml  15 ml of water After root feeding next harvest should be done 45 days later",12.8796,79.7043
"0   ",Fruits,2011,10,10,Coconut,SALEM,76,JAYAD,HORTICULTURE,TAMILNADU,"eriophyid mite in coconut","spot application with Azadirachtin 1 -  5 ml in one lit of waterQuantitytree",11.647,78.2107
VALAPADY,Fruits,2011,10,20,Coconut,SALEM,76,JAYAD,HORTICULTURE,TAMILNADU,"control measure for Eriophyid mite in coconut","Root feeding with TNAU - Agro Biocide 30 mltreeapply Borax 50 g  gypsum 10kg  Manganese sulphate 05 kgpalm year arbosulfan 25EC  15 ml  15 ml of water After root feeding next harvest should be done 45 days later",11.647,78.2107
TIRUPPUR,Fruits,2011,10,6,Coconut,COIMBATORE,76,KHARIF,HORTICULTURE,TAMILNADU,"control measure for coconut eriophyid mite","Root feeding with TNAU - Agro Biocide 30 mltree",11.0018,76.9628
RISHIVANDIAM,Fruits,2011,10,16,Coconut,VILLUPPURAM,76,KHARIF,HORTICULTURE,TAMILNADU,"control measure for coconut eriophyid mite","root feedind with monocrotophos 10ml  10ml water",10.9094,78.3665
"0   ",Fruits,2011,12,14,Coconut,VILLUPPURAM,76,KHARIF,HORTICULTURE,TAMILNADU,"control measure for coconut eriophyid mite","root feeding with agribiocide 40mltree",10.9094,78.3665
KUTTALAM,Fruits,2011,9,29,Coconut,NAGAPATTINAM,76,JAYAD,HORTICULTURE,TAMILNADU,"control measure for  Eriophyid mite in Coconut","Root feeding with TNAU - Agro Biocide 30 mltree",10.6026,79.7619
"0   ","Plantation Crops",2012,11,17,Coconut,TRIVANDRUM,0,nan,HORTICULTURE,KERALA,"mandarieriophyid mite-","veppenna  veluthulli sprayneemazal T-4ml in 1 liter water",8.48823,76.9475
