BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
BANKHEDI,Cereals,2013,7,27,"Paddy Dhan",HOSHANGABAD,nan,JAYAD,AGRICULTURE,"MADHYA PRADESH","how to control of armyworm in peddy ","foret 10 kg acre to control of armyworm in peddy",22.7546,77.7198
RAJNANDGAON,Cereals,2014,1,25,"Paddy Dhan","RAJ NANDGAON","Plant Protection",KHARIF,AGRICULTURE,CHHATTISGARH,"armyworm adults in paddy ","use light trap",21.6637,81.8406
PANITOLA,Cereals,2015,11,10,"Paddy Dhan",DIBRUGARH,"Plant Protection",nan,AGRICULTURE,ASSAM,"ASKING FOR CONTROL OF ARMYWORM","RECOMMENDED HIM TO APPLY MALATHION 5 DUST AT SURROUNDING",27.4845,94.9019
MAJITHA-3,Cereals,2015,9,25,"Paddy Dhan",AMRITSAR,"Plant Protection",KHARIF,AGRICULTURE,PUNJAB,"INFORMATION REGARDING FOR THE CONTROL OF FALL ARMYWORM ATTACK IN SPINACHPALAK CROP FOR THE CONTROL OF FALL ARMYWORM ATTACK IN SPINACHPALAK CROP SPRAY 250ML DELTAMETHRIN 1TRIZOPHOS 35ECSPARK IN 100 LITRE WATER PER ACRE","INFORMATION REGARDING FOR THE CONTROL OF FALL ARMYWORM ATTACK IN SPINACHPALAK CROP FOR THE CONTROL OF FALL ARMYWORM ATTACK IN SPINACHPALAK CROP SPRAY 250ML DELTAMETHRIN 1TRIZOPHOS 35ECSPARK IN 100 LITRE WATER PER ACRE",31.6357,74.8787
GIDDERBAHA,Cereals,2015,8,29,"Paddy Dhan",MUKTSAR,"Plant Protection",KHARIF,AGRICULTURE,PUNJAB,"INFORMATION REGARDING FOR THE CONTROL OF ARMYWORM IN WHEAT CROP","FOR THE CONTROL OF ARMYWORM IN WHEAT CROPSPRAY 400 ML QUINALPHOS 25 EC IN 100 LITRE OF WATER PER ACRE",30.4692,74.5182
GIDDERBAHA,Cereals,2015,9,1,"Paddy Dhan",MUKTSAR,"Plant Protection",KHARIF,AGRICULTURE,PUNJAB,"INFORMATION REGARDING FOR THE CONTROL OF ARMYWORM IN WHEAT CROPFOR THE CONTROL OF ARMYWORM IN WHEAT CROPSPRAY 400 ML QUINALPHOS 25 EC IN 100 LITRE OF WATER PER ACRE","INFORMATION REGARDING FOR THE CONTROL OF ARMYWORM IN WHEAT CROPFOR THE CONTROL OF ARMYWORM IN WHEAT CROPSPRAY 400 ML QUINALPHOS 25 EC IN 100 LITRE OF WATER PER ACRE",30.4692,74.5182
RANGIA,Cereals,2016,9,14,"Paddy Dhan",KAMRUP,"Plant Protection",KHARIF,AGRICULTURE,ASSAM,"asking about the control measure of armyworm on paddy","suggested him to spray ustaad 3mllit of water",26.1469,91.2227
BARPETA,Cereals,2016,9,8,"Paddy Dhan",BARPETA,"Plant Protection",KHARIF,AGRICULTURE,ASSAM,"ASKING ABOUT ARMYWORM PROBLEM IN RICE","SUGGESTED TO SPRAY ROCKET  25ML PER LITRE OF WATER",26.3459,91.0397
BIHAGURI,Cereals,2016,9,14,"Paddy Dhan",SONITPUR,"Plant Protection",KHARIF,AGRICULTURE,ASSAM,"asking about the control measure of armyworm on paddy","suggested him to spray ustaaddecis 3mllit of water",26.7678,92.7014
KALIAPANI,Cereals,2016,9,14,"Paddy Dhan",JORHAT,"Plant Protection",KHARIF,AGRICULTURE,ASSAM,"asking about the control measure of armyworm on paddy","suggested him to spray ustaaddecis 3mllit of water",26.7578,94.208
DEMOW,Cereals,2016,8,19,"Paddy Dhan",SIVASAGAR,"Plant Protection",KHARIF,AGRICULTURE,ASSAM,"ASKING ABOUT ARMYWORM PROBLEM IN RICE","SUGGESTED TO SPRAY CLASSIC 20EC  3ML PER LITRE OF WATER",26.9835,94.6394
DEMOW,Cereals,2016,9,6,"Paddy Dhan",SIVASAGAR,"Plant Protection",KHARIF,AGRICULTURE,ASSAM,"ASKING ABOUT ARMYWORM PROBLEM IN RICE","SUGGESTED TO SPRAY ROCKET  25ML PER LITRE OF WATER",26.9835,94.6394
SIVASAGAR,Cereals,2016,9,14,"Paddy Dhan",SIVASAGAR,"Plant Protection",KHARIF,AGRICULTURE,ASSAM,"asking about the control measure of armyworm on paddy","suggested him to spray ustaad 3mllit of water",26.9835,94.6394
SONARI,Cereals,2016,9,16,"Paddy Dhan",SIVASAGAR,"Plant Protection",KHARIF,AGRICULTURE,ASSAM,"ASKING ABOUT THE CONTROL MEASURE OF ARMYWORM ON PADDY","SUGGESTED HIM TO SPRAY USTAAD 3MLLIT OF WATER",26.9835,94.6394
KARUNABARI,Cereals,2016,9,9,"Paddy Dhan",LAKHIMPUR,"Plant Protection",KHARIF,AGRICULTURE,ASSAM,"ASKING ABOUT ARMYWORM PROBLEM IN RICE","SUGGESTED TO SPRAY ROCKET  25ML PER LITRE OF WATER",27.1763,94.1993
BIHPURIA,Cereals,2016,9,10,"Paddy Dhan",LAKHIMPUR,"Plant Protection",KHARIF,AGRICULTURE,ASSAM,"ASKING ABOUT ARMYWORM PROBLEM IN RICE","SUGGESTED TO SPRAY ROCKET  3ML PER LITRE OF WATER",27.1763,94.1993
LAHOAL,Cereals,2016,6,20,"Paddy Dhan",DIBRUGARH,"Plant Protection",nan,AGRICULTURE,ASSAM,"asking about the control of armyworm infestation in paddy","suggest him to apply tricel 20  2mllitre of water",27.4845,94.9019
TINGKHONG,Cereals,2016,8,21,"Paddy Dhan",DIBRUGARH,"Plant Protection",KHARIF,AGRICULTURE,ASSAM,"query regarding armyworm","advised to spray ustad  cypermethrin 25 ec   15 mllit of water",27.4845,94.9019
KHOWANG,Cereals,2016,9,14,"Paddy Dhan",DIBRUGARH,"Plant Protection",nan,AGRICULTURE,ASSAM,"asking about the control measure of armyworm on paddy","suggested him to spray ustaad 3mllit of water",27.4845,94.9019
BORBHAG,Cereals,2016,9,17,"Paddy Dhan",NALBARI,"Plant Protection",nan,AGRICULTURE,ASSAM,"Asking about control measure armyworm","Recommended to spray chloropyriphos 20 EC  3 ml  lit water of water",26.3534,91.3984
GobardhanaPart,Cereals,2016,9,14,"Paddy Dhan",BAKSA,"Plant Protection",KHARIF,AGRICULTURE,ASSAM,"asking about the control measure of armyworm on paddy","suggested him to spray ustaad 3mllit of water",26.6276,91.3389
SOHAGPUR,Cereals,2016,8,9,"Paddy Dhan",HOSHANGABAD,"Plant Protection",KHARIF,AGRICULTURE,"MADHYA PRADESH","Farmer needs information regarding control measures of armyworm in paddyRice","Recommended for to control armyworm in paddy Apply phorate 10G  125kghac orSpray cartap hydrochloride 50 sp 300-400gmAcer orCartap hydrochloride 4  Gr  8-10 kgacer or Monocrotophos 36 WSC 1000 mlhectare to control yellow armyworm ",22.7546,77.7198
KESLA,Cereals,2016,8,10,"Paddy Dhan",HOSHANGABAD,"Plant Protection",KHARIF,AGRICULTURE,"MADHYA PRADESH","Farmer needs information regarding control measures of armyworm in paddyRice","Recommended for to control stem borer in paddy Apply phorate 10G  125kghac orSpray cartap hydrochloride 50 sp 300-400gmAcer orCartap hydrochloride 4  Gr  8-10 kgacer or Monocrotophos 36 WSC 1000 mlhectare to control yellow armyworm",22.7546,77.7198
BANKHEDI,Cereals,2016,8,11,"Paddy Dhan",HOSHANGABAD,"Plant Protection",KHARIF,AGRICULTURE,"MADHYA PRADESH","Farmer needs information regarding control measures of armyworm  in paddyRice","Recommended for to control stem borer in paddy Apply phorate 10G  125kghac orSpray cartap hydrochloride 50 sp 300-400gmAcer orCartap hydrochloride 4  Gr  8-10 kgacer or Monocrotophos 36 WSC 1000 mlhectare to control yellow armyworm  ",22.7546,77.7198
GOTEGAON,Cereals,2016,8,3,"Paddy Dhan",NARSIMPUR,"Plant Protection",KHARIF,AGRICULTURE,"MADHYA PRADESH","Farmer needs information regarding control measures of armyworm  in paddyRice","Recommended for to control stem borer in paddy Apply phorate 10G  125kghac orSpray cartap hydrochloride 50 sp 300-400gmAcer orCartap hydrochloride 4  Gr  8-10 kgacer or Monocrotophos 36 WSC 1000 mlhectare to control yellow stem borer ",23.8143,77.5341
DATIA,Cereals,2016,8,30,"Paddy Dhan",DATIA,"Plant Protection",KHARIF,AGRICULTURE,"MADHYA PRADESH","Farmer needs information regarding control measures of armyworm in paddy crop ","Spray chloropyriphos 20 EC  1000 ml itre 8-10 ",25.9183,78.6645
DATIA,Cereals,2016,9,30,"Paddy Dhan",DATIA,"Plant Protection",KHARIF,AGRICULTURE,"MADHYA PRADESH","Farmer needs information regarding control measures of armyworm in paddyRice","Recommended for to control armyworm in paddy use recommended dose of chloropyriphos 20EC 1 liter mixed in 8-10 kg of sand and broad cast in 1 acre of fieldApply phorate 10G  125kghac or",25.9183,78.6645
PHANDA,Cereals,2016,9,9,"Paddy Dhan",BHOPAL,"Plant Protection",KHARIF,AGRICULTURE,"MADHYA PRADESH","Farmer needs information regarding control measures of armyworm in paddyRice","use recommended dose of chloropyriphos 20EC 1 liter mixed in 8-10 kg of sand and broad cast in 1 acre of field",23.2585,77.402
DUNGURIPALI,Cereals,2016,2,22,"Paddy Dhan",SONEPUR,"Plant Protection",nan,AGRICULTURE,ODISHA,"ARMYWORM IN RICE","ARMYWORM IN RICE  SPRAY QUINOLPHOS 25EC OR  TRIZOPHOS 40EC 2ML1 LITRE OF WATER  AND SPRAY CHLOROPYRIPHOS POWDER IN THE BUND OF FIELD  12KGACRE",20.8454,83.9091
HUNSUR,Cereals,2017,11,27,"Paddy Dhan",MYSORE,"Plant Protection",nan,AGRICULTURE,KARNATAKA,"ASKING ABOUT ARMYWORMS MANAGEMENT IN PADDY","Dust Malathion 5 D at 8 kg per acre during evening hours when infestation noticed",12.3052,76.6554
HOSANAGARA,Cereals,2017,11,18,"Paddy Dhan",SHIMOGA,"Plant Protection",nan,AGRICULTURE,KARNATAKA,"asking about armyworm management in paddy","Dust Malathion 5 D at 8 kg per acre during evening hours when infestation noticed",14.0557,75.2381
TIRTHAHALLI,Cereals,2017,11,21,"Paddy Dhan",SHIMOGA,"Plant Protection",nan,AGRICULTURE,KARNATAKA,"ASKING ABOUT ARMYWORM MANAGEMENT IN PADDY","suggested to spray indaxocarb  04 gram per litre of water and dust with melathionn 5d  8 kg per acre",14.0557,75.2381
