BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
CHITTAMUR,Cereals,2013,7,27,"Paddy Dhan",NELLORE,nan,nan,AGRICULTURE,"ANDHRA PRADESH","asked about control bacterial blight","plantmysin 1gr  copper oxy chloride 30gr10lit water",14.4494,79.9874
DEVANAKONDA,Cereals,2013,9,14,"Paddy Dhan",KURNOOL,nan,nan,AGRICULTURE,"ANDHRA PRADESH","bacterial blight","3 times nitrogen mangment",15.8309,78.0425
KAMALPURPT,Cereals,2013,9,12,"Paddy Dhan",KAMRUP,"Plant Protection",JAYAD,AGRICULTURE,ASSAM,"CONTROL OF BACTERIAL BLIGHT IN PADDY","ADVISED TO SPRAY BLITOX-50  2 GRAM  LITRE OF WATER ALTERNATING WITH PLANTOMYCIN  1 GRAM  10-15 LITRES OF WATER AT 10-12 DAYS INTERVAL FOR TWO TIMES",26.1469,91.2227
"JORHAT EAST",Cereals,2013,7,8,"Paddy Dhan",JORHAT,nan,JAYAD,AGRICULTURE,ASSAM,"Query regarding control measures of bacterial blight in paddy","Suggested bevistin  2gm per litr of water",26.7578,94.208
SAMPATCHAK,Cereals,2013,10,29,"Paddy Dhan",PATNA,"Plant Protection",KHARIF,AGRICULTURE,BIHAR,"Bacterial blight","Spray hexaconazole  2mllit of water",25.6093,85.1235
BAGAHA-I,Cereals,2013,8,25,"Paddy Dhan","PASHCHIM CHAMPARAN","Plant Protection",JAYAD,AGRICULTURE,BIHAR,"paddy bacterial blight","SPRAY COPPEROXYCLORIDE  2ML IN 1 LITRE  STEPTOCYCLENE 1 ML IN 15 LITRE OF LITRE OF WATER",27,84.5
JIND,Cereals,2013,10,25,"Paddy Dhan",JIND,"Plant Protection",KHARIF,AGRICULTURE,HARYANA,"how to control bacterial blight of paddy crop ","234323662344 23252368 234723602354 235023762306 2347230623272360 23252368 235223792325234123662350  23102346 234623812352237923462367232523792344233223792354  240824062406 231923502381 23192354 240824062406 2354236823352352  2346236623442368 235023762306 235023672354236623252352 23462381235223402367 231923252396  233123672337232523662357 2325235223752306",29.314,76.3179
YADGIR,Cereals,2013,10,6,"Paddy Dhan",GULBARGA,nan,nan,AGRICULTURE,KARNATAKA,"paddy bacterial blight","coc 1glt",17.331,76.8334
KHAIRLANJI,Cereals,2013,8,3,"Paddy Dhan",BALAGHAT,"Plant Protection",JAYAD,AGRICULTURE,"MADHYA PRADESH","how to control in bacterial blight ","Propakonajol 1 ml  liter  use in paddy crop",21.8612,80.3237
SIRMOUR,Cereals,2013,9,16,"Paddy Dhan",REWA,"Plant Protection",JAYAD,AGRICULTURE,"MADHYA PRADESH","how to control bacterial blight","15 23272381235223662350 23602381233523812352237523462335237923602366231123252381235423682344 500 2354236823352352 2346236623442368 235023752306 23462381235223402367 23612375232523812335237523512352 23252368 23422352 23602375 235223792327 23252368 2358236923522370235723662340 235023752306 233123672396232523662357 23252352237523062404",24.7561,81.3811
PARSEONI,Cereals,2013,9,3,"Paddy Dhan",NAGPUR,"Plant Protection",JAYAD,AGRICULTURE,MAHARASHTRA,"attack of bacterial blight","spray of blue copper 25 gm  streptocyklin 2 gm per pump",21.1498,79.0821
